True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,11.705597,1501.0889,1501.1345,-89.553215,2.465475290402537,-0.02950732,3.826024e-06,1.5146579e-05,1.5145658e-05,1.0,40,0.010093027,6.723599e-06,0,4.442389648438115e-09,1.0
1,1,6057573.0,329.11615,1642.196,1674.8508,-78.66736,3.017477503308328,-0.029463071,-3.8408325e-05,1.5999136e-05,1.5381342e-05,1.0,40,0.014257857,8.512911e-06,0,6.397595009338551e-10,1.0
2,2,5242039.0,255.38002,1822.565,1840.37,-82.023575,3.4334914163628127,-0.029442202,-2.439845e-05,1.6658538e-05,1.6337764e-05,1.0,40,0.019470137,1.0579469e-05,0,-1.8943732888045713e-09,1.0
3,3,4536288.0,221.596,2108.423,2120.0361,-84.00022,4.801498708053259,-0.029518686,3.6459784e-05,1.6640322e-05,1.645852e-05,1.0,40,0.020360958,9.604061e-06,0,1.625740643697308e-08,1.0
4,4,3925558.5,263.07324,2381.7554,2396.24,-83.69703,5.217500141094206,-0.02945616,-1.879822e-05,1.7022428e-05,1.681726e-05,1.0,40,0.018758979,7.828506e-06,0,1.332381399601622e-08,1.0
5,5,3397055.0,311.70578,2702.5369,2720.4534,-83.42068,5.633500694209943,-0.029535288,6.616735e-06,1.7335882e-05,1.710829e-05,1.0,40,0.019645592,7.2214402e-06,0,1.1618543946351818e-08,1.0
6,6,2939708.2,340.4969,3034.6016,3053.6445,-83.597916,6.049498500622576,-0.029535325,9.351734e-06,1.7840795e-05,1.7618973e-05,1.0,40,0.0214416,7.0216424e-06,0,1.2183828875022426e-08,1.0
7,7,2543924.5,305.64926,3574.2993,3587.344,-85.11235,6.601500366843538,-0.029377403,-6.983281e-05,1.7503504e-05,1.7376438e-05,1.0,40,0.020946873,5.839104e-06,0,8.8270647286903e-09,1.0
8,8,2201436.2,422.3476,3934.4944,3957.098,-83.873055,7.153502846398624,-0.029546484,-2.42548e-06,1.8374905e-05,1.8165583e-05,1.0,40,0.02028149,5.1253446e-06,0,5.381249207011428e-09,1.0
9,9,1905053.1,527.8006,4646.3267,4676.2085,-83.51925,7.705492579290876,-0.029458767,-3.9878123e-05,1.7980563e-05,1.77515e-05,1.0,40,0.020606237,4.406612e-06,0,-2.471613717868119e-09,1.0
10,10,1648567.4,644.8442,5679.0254,5715.5186,-83.521904,8.424491120124003,-0.029409299,-1.1337622e-05,1.6999637e-05,1.6783246e-05,1.0,41,0.019148543,3.3502722e-06,0,-9.429262373133598e-09,1.0
11,11,1426616.2,631.75586,6374.182,6405.4126,-84.339806,8.840496419899864,-0.029612757,5.0644708e-06,1.7502034e-05,1.7331782e-05,1.0,41,0.021972185,3.430253e-06,0,-9.141854688430663e-09,1.0
12,12,1234551.2,465.03018,7455.8057,7470.294,-86.431,9.392496046115411,-0.02945489,-9.901866e-06,1.7290853e-05,1.7223849e-05,1.0,41,0.020956554,2.8053184e-06,0,-8.542459961063287e-09,1.0
13,13,1068345.5,774.24066,8595.667,8630.466,-84.853065,9.944483912287978,-0.029453438,-4.1384205e-06,1.7331207e-05,1.7191727e-05,1.0,41,0.020895394,2.4211201e-06,0,-7.900721625933076e-09,1.0
14,14,924510.06,400.26904,9724.475,9732.709,-87.64298,10.496502071880968,-0.029552838,-2.7734436e-06,1.7702816e-05,1.7672874e-05,1.0,41,0.020210575,2.0765622e-06,0,-7.809914790395092e-09,1.0
15,15,800039.0,506.2737,9440.623,9454.188,-86.93033,11.048503191414056,-0.029477268,-3.834886e-06,2.1072123e-05,2.1011696e-05,1.0,41,0.01946018,2.0583661e-06,0,-7.722441378247267e-09,1.0
16,16,692334.1,1228.317,12716.69,12775.875,-84.482864,11.600486337643815,-0.029645642,1.1181729e-05,1.8077164e-05,1.7910066e-05,1.0,41,0.020132551,1.5758256e-06,0,-8.023279584241058e-09,1.0
17,17,599122.25,1646.6775,14771.857,14863.3545,-83.639275,12.152503430523211,-0.029534224,9.322949e-07,1.7983308e-05,1.7762584e-05,1.0,41,0.02050187,1.379357e-06,0,-8.300850188277308e-09,1.0
18,18,518454.94,2637.1104,17152.002,17353.545,-81.259254,12.704492790071527,-0.029518574,-1.4624686e-06,1.7897579e-05,1.748427e-05,1.0,41,0.020540033,1.1836217e-06,0,-6.664964040074513e-09,1.0
19,19,448662.03,3117.87,19834.186,20077.75,-81.0664,13.25648500295938,-0.029566253,1.1296854e-06,1.7884895e-05,1.7453604e-05,1.0,41,0.020178031,1.0049946e-06,0,-6.239249922193343e-09,1.0
20,20,388258.97,4311.675,22670.795,23077.164,-79.23173,13.808490202500252,-0.02963331,9.623087e-06,1.8081393e-05,1.7450204e-05,1.0,41,0.021087898,9.1379934e-07,0,-6.02802618019243e-09,1.0
21,21,335983.9,10063.365,32413.162,33939.42,-72.751915,14.360495908738812,-0.02958932,3.3102972e-06,1.4614375e-05,1.3329509e-05,1.0,41,0.020663828,6.088444e-07,0,-6.364358542387865e-09,1.0
22,22,290751.2,7208.68,30822.97,31654.709,-76.836624,14.912487134948606,-0.029579872,1.4853612e-06,1.775923e-05,1.6838232e-05,1.0,41,0.020639546,6.5202136e-07,0,-5.689139818025681e-09,1.0
23,23,251605.19,9397.342,32990.637,34302.945,-74.100464,15.464489827834768,-0.029605696,8.146378e-06,1.9173873e-05,1.7734887e-05,1.0,41,0.020268455,5.908663e-07,0,-4.815161245520332e-09,1.0
24,24,217729.38,10773.881,37172.85,38702.68,-73.83672,16.01648190736887,-0.029463053,-8.898152e-06,1.9664243e-05,1.8140403e-05,1.0,41,0.020356061,5.2596e-07,0,-4.237546830948544e-09,1.0
25,25,188418.58,15542.081,42011.91,44794.61,-69.69832,16.568493720289553,-0.029458003,-4.708249e-06,2.0105921e-05,1.76855e-05,1.0,41,0.02073171,4.6281707e-07,0,-4.226466081880808e-09,1.0
26,26,163051.14,19384.611,46712.113,50574.547,-67.46251,17.12048275981215,-0.029508458,-2.9820085e-06,2.0896176e-05,1.7826325e-05,1.0,41,0.020320116,4.0178543e-07,0,-3.832369573515848e-09,1.0
27,27,141098.2,21755.197,53872.527,58099.38,-68.009796,17.838492500566645,-0.029547397,-2.4908363e-07,2.093781e-05,1.8002092e-05,1.0,42,0.019073322,3.2828788e-07,0,-3.3446988496788065e-09,1.0
28,28,122105.11,23923.354,58448.805,63155.28,-67.7405,18.25448476037127,-0.029593268,1.8357787e-07,2.2300299e-05,1.9100406e-05,1.0,42,0.020416752,3.232786e-07,0,-3.4029964230743757e-09,1.0
29,29,105663.59,34530.957,61693.418,70699.82,-60.763447,18.670485713431844,-0.02955267,7.9463526e-08,2.4414954e-05,1.8590752e-05,1.0,42,0.021808257,3.084627e-07,0,-3.4583321354888754e-09,1.0
30,30,91439.65,40744.9,68969.69,80105.96,-59.42688,19.222478912997758,-0.029592896,2.3442445e-07,2.5236397e-05,1.8707433e-05,1.0,42,0.020471575,2.555562e-07,0,-3.465494660923854e-09,1.0
31,31,79127.08,51258.15,73206.02,89367.33,-55.00066,19.638491786055965,-0.029583171,1.5284644e-07,2.7475664e-05,1.8436745e-05,1.0,42,0.021467498,2.402164e-07,0,-3.484101445311083e-09,1.0
32,32,68475.36,62270.453,74392.195,97014.48,-50.068775,20.19049874562188,-0.029601002,5.7080727e-09,3.124341e-05,1.837131e-05,1.0,42,0.020221168,2.0843454e-07,0,-3.526497293506736e-09,1.0
33,33,59252.523,72636.68,77910.63,106518.33,-47.00636,20.606484712072415,-0.029487459,-4.813388e-07,3.4475976e-05,1.8444263e-05,1.0,42,0.02087467,1.9597256e-07,0,-3.46927371545173e-09,1.0
34,34,51282.285,80495.55,77760.49,111920.63,-44.009888,21.022499851795146,-0.029549224,-1.18335024e-07,3.991111e-05,1.9265995e-05,1.0,42,0.021311859,1.9041939e-07,0,-3.521465646022194e-09,1.0
35,35,44369.8,91801.75,75276.61,118718.695,-39.351444,21.438489258260233,-0.029541455,-6.951549e-07,4.7651065e-05,1.915819e-05,1.0,42,0.021671534,1.8254525e-07,0,-3.626737746649332e-09,1.0
36,36,38403.727,105776.5,74003.01,129093.43,-34.97728,21.99048621780821,-0.029613933,3.0035744e-07,5.600121e-05,1.8402967e-05,1.0,42,0.020223048,1.5665435e-07,0,-3.583499258607582e-09,1.0
37,37,33226.32,115077.35,68793.99,134072.4,-30.871256,22.40650071753771,-0.02951101,-1.8780676e-07,6.962856e-05,1.833199e-05,1.0,42,0.020427676,1.5236301e-07,0,-3.6377285529393987e-09,1.0
38,38,28754.086,124033.38,65484.332,140258.61,-27.832142,22.82248393734335,-0.029445184,-1.0788323e-06,8.452461e-05,1.8424636e-05,1.0,42,0.020560414,1.4658931e-07,0,-3.6674474404342226e-09,1.0
39,39,24884.947,133002.4,63118.15,147219.36,-25.387331,23.23850174373365,-0.029477175,-3.1240876e-07,0.00010132793,1.8625495e-05,1.0,42,0.020654105,1.4029476e-07,0,-3.729054805588087e-09,1.0
40,40,21553.963,136575.89,53501.934,146681.39,-21.392155,23.65547912355396,-0.029570576,2.3559439e-09,0.00013801412,1.8361681e-05,1.0,42,0.020544766,1.4006389e-07,0,-3.8055441751478405e-09,1.0
41,41,18631.234,141935.27,48871.066,150113.3,-18.99958,24.071488129993668,-0.029636104,2.1319237e-07,0.00017479407,1.852644e-05,1.0,42,0.02046626,1.3633876e-07,0,-3.7952432915125835e-09,1.0
42,42,16126.037,146996.4,41301.99,152688.56,-15.693917,24.487501856376184,-0.029609349,4.0428617e-07,0.00023895796,1.7484386e-05,1.0,42,0.020356309,1.3331915e-07,0,-3.7988332021099165e-09,1.0
43,43,13954.87,143910.16,44096.48,150514.56,-17.035942,24.903497076156782,-0.029690508,1.2580616e-06,0.00025863686,2.21994e-05,1.0,42,0.019775782,1.3138784e-07,0,-3.859896117763902e-09,1.0
44,44,12080.609,154334.8,30492.092,157318.14,-11.176056,25.319502802594798,-0.029658517,8.1105895e-07,0.00043205998,1.6231583e-05,1.0,42,0.019820765,1.259916e-07,0,-3.854726543334408e-09,1.0
45,45,10447.592,153129.58,27208.98,155528.12,-10.0755,25.735490235703764,-0.029604318,2.2976919e-07,0.00055987574,1.713556e-05,1.0,42,0.019260053,1.2383646e-07,0,-3.8578481185279e-09,1.0
46,46,9045.586,152561.39,23779.332,154403.48,-8.859253,26.167268149525626,-0.029579053,5.730112e-08,0.00073991827,1.7549666e-05,1.0,42,0.021783514,1.4108176e-07,0,-3.855345826484601e-09,1.0
47,47,7827.7437,153386.72,20581.541,154761.38,-7.642342,26.647920172370505,-0.02959897,3.1339653e-07,0.0009878833,1.7471744e-05,1.0,42,0.021804528,1.4089127e-07,0,-3.815909177357746e-09,1.0
48,48,6770.8345,154326.86,18271.223,155404.69,-6.7519903,27.186401451268466,-0.029493608,-4.1039335e-08,0.0012865016,1.7783505e-05,1.0,42,0.021842577,1.4055288e-07,0,-3.8266933749386095e-09,1.0
49,49,5860.798,153981.3,15146.245,154724.42,-5.617781,27.791996226704214,-0.029001767,-3.2609491e-06,0.0017929096,1.7181086e-05,1.0,42,0.021954194,1.4189223e-07,0,-3.7247806704516033e-09,1.0
50,50,5071.625,154883.3,13591.087,155478.47,-5.014888,28.69371186956414,-0.029562658,4.277376e-08,0.0023089729,1.7643579e-05,1.0,42,0.020201387,1.2993044e-07,0,-3.828161949289132e-09,1.0
