True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,41.771286,1279.6141,1280.2958,-88.13032,2.46747715715901,-0.04412164,-2.5477462e-05,1.7768138e-05,1.7749224e-05,1.0,40,0.01001901,7.825543e-06,0,2.6591489496973333e-09,1.0
1,1,6057573.0,334.35547,1610.4666,1644.8088,-78.27122,3.019494863372529,-0.04409897,-4.2892225e-05,1.631435e-05,1.5640202e-05,1.0,40,0.0141562,8.606593e-06,0,-1.782116346804388e-09,1.0
2,2,5242039.0,252.81682,1798.5756,1816.2572,-81.99864,3.4354912298440468,-0.044137277,5.370178e-06,1.688073e-05,1.6553655e-05,1.0,40,0.019533446,1.0754779e-05,0,-3.726930900294671e-09,1.0
3,3,4536288.0,207.50702,2018.4458,2029.0842,-84.13031,4.803480068134377,-0.044145305,-2.4044943e-05,1.7382106e-05,1.7200317e-05,1.0,40,0.019789275,9.752811e-06,0,-2.4317403090208246e-09,1.0
4,4,3925558.5,254.85199,2365.3137,2379.0037,-83.85036,5.219500487874029,-0.044225775,-1.93936e-05,1.7140754e-05,1.6944048e-05,1.0,40,0.01861299,7.823859e-06,0,-6.145147026169676e-09,1.0
5,5,3397055.0,353.31384,2711.6506,2734.5713,-82.576485,5.635494400950847,-0.044215996,-2.2910017e-05,1.7277616e-05,1.6989194e-05,1.0,40,0.019545106,7.1474115e-06,0,-8.588236279542293e-09,1.0
6,6,2939708.2,365.11984,3074.8762,3096.478,-83.22824,6.051480634050677,-0.04402217,-9.5936164e-05,1.7607117e-05,1.736231e-05,1.0,40,0.021244705,6.8609256e-06,0,-5.451598474792263e-09,1.0
7,7,2543924.5,295.32495,3663.1309,3675.0164,-85.39073,6.6034945536230225,-0.04427096,-2.499896e-06,1.707904e-05,1.6968748e-05,1.0,40,0.021023644,5.720694e-06,0,-5.579191155043696e-09,1.0
8,8,2201436.2,585.87964,4120.316,4161.761,-81.907196,7.155484899849398,-0.04426559,1.3426311e-05,1.7546217e-05,1.7198487e-05,1.0,40,0.02075459,4.986973e-06,0,-1.0112217696157838e-08,1.0
9,9,1905053.1,447.8351,4580.576,4602.416,-84.41604,7.707477699412266,-0.044086896,-0.00010663427,1.823866e-05,1.8065975e-05,1.0,40,0.020203162,4.389686e-06,0,-7.40248616548595e-09,1.0
10,10,1648567.4,483.4372,5587.8784,5608.752,-85.05535,8.426500640198356,-0.04430973,1.02208305e-05,1.7276927e-05,1.714857e-05,1.0,41,0.019060617,3.3983704e-06,0,-1.3513406867389222e-08,1.0
11,11,1426616.2,567.77686,6295.8496,6321.3994,-84.84685,8.842485033295816,-0.044255607,6.0756342e-06,1.7719793e-05,1.7576842e-05,1.0,41,0.021924963,3.4683717e-06,0,-1.4009713367859906e-08,1.0
12,12,1234551.2,487.84174,7339.107,7355.3027,-86.19705,9.394487512850901,-0.04417849,-6.190542e-06,1.7565793e-05,1.7488523e-05,1.0,41,0.020945653,2.8476943e-06,0,-1.4242301457670693e-08,1.0
13,13,1068345.5,635.9504,8608.341,8631.8,-85.77489,9.946493272407679,-0.04429857,1.25839515e-05,1.7305692e-05,1.7211754e-05,1.0,41,0.020658132,2.393259e-06,0,-1.3580740166988094e-08,1.0
14,14,924510.06,508.64523,9891.444,9904.514,-87.05629,10.498484791984083,-0.044208746,-1.4215018e-06,1.7403989e-05,1.7358088e-05,1.0,41,0.020267908,2.0463303e-06,0,-1.2933322834745316e-08,1.0
15,15,800039.0,-1307.4403,9574.625,9663.4795,-97.775795,11.050494658149546,-0.044189088,-3.4754842e-06,2.0777206e-05,2.0396878e-05,1.0,41,0.019960193,2.0655286e-06,0,-1.3944650233579775e-08,1.0
16,16,692334.1,1220.8713,13400.043,13455.545,-84.79418,11.602478817716474,-0.044143368,-2.0155353e-06,1.7155295e-05,1.7014063e-05,1.0,41,0.020421587,1.5177079e-06,0,-1.2682555857521846e-08,1.0
17,17,599122.25,1783.4009,15148.43,15253.047,-83.28557,12.154497323936084,-0.0442009,-3.659841e-06,1.7536264e-05,1.7296536e-05,1.0,41,0.020634886,1.352837e-06,0,-1.2337840400369437e-08,1.0
18,18,518454.94,2209.9731,17393.777,17533.61,-82.759056,12.706503616849659,-0.04422844,3.1371144e-06,1.7648801e-05,1.7368422e-05,1.0,41,0.020613713,1.1756686e-06,0,-1.0944777609498462e-08,1.0
19,19,448662.03,3241.6638,19914.08,20176.197,-80.75434,13.258502576354658,-0.04424055,3.6454885e-06,1.7813143e-05,1.7353314e-05,1.0,41,0.020401288,1.0111562e-06,0,-1.1610495230279918e-08,1.0
20,20,388258.97,4157.179,22480.082,22861.238,-79.52281,13.810504522611154,-0.044192575,-2.9652485e-06,1.823479e-05,1.7631815e-05,1.0,41,0.020861559,9.125297e-07,0,-1.144825906567822e-08,1.0
21,21,335983.9,7844.5234,24008.996,25258.037,-71.9061,14.362485428835498,-0.04425061,2.388519e-06,1.9730025e-05,1.7826926e-05,1.0,41,0.021359319,8.456445e-07,0,-1.1417211588631442e-08,1.0
22,22,290751.2,6547.3413,29635.244,30349.883,-77.54172,14.914494201686466,-0.044233415,-2.9391779e-06,1.8470988e-05,1.7611368e-05,1.0,41,0.020675778,6.812474e-07,0,-1.1673910796004192e-08,1.0
23,23,251605.19,8399.703,34048.426,35069.223,-76.141914,15.466479854570935,-0.04425771,-5.537263e-07,1.8578196e-05,1.7512386e-05,1.0,41,0.02048995,5.8427156e-07,0,-1.1166065612886516e-08,1.0
24,24,217729.38,10987.162,37414.32,38994.22,-73.63449,16.01948857420939,-0.044174332,-2.3414182e-06,1.9537332e-05,1.7986245e-05,1.0,41,0.020137064,5.1641155e-07,0,-1.0862415664244433e-08,1.0
25,25,188418.58,13772.845,40796.926,43059.035,-71.345566,16.571481587103335,-0.044217616,6.41794e-07,2.0704701e-05,1.85864e-05,1.0,41,0.020752657,4.8195824e-07,0,-1.0722115613851378e-08,1.0
26,26,163051.14,18066.086,47624.523,50936.023,-69.22605,17.123498146625934,-0.0442712,2.9751045e-06,2.0495838e-05,1.7917479e-05,1.0,41,0.020203207,3.9663885e-07,0,-1.0828024328026863e-08,1.0
27,27,141098.2,19926.604,53712.324,57289.47,-69.645775,17.84149908737163,-0.04429831,1.047783e-06,2.100026e-05,1.845963e-05,1.0,42,0.01898589,3.314028e-07,0,-1.0301501112935164e-08,1.0
28,28,122105.11,25694.535,62044.9,67154.88,-67.50418,18.257499533850932,-0.044134255,-7.2272036e-07,2.1007783e-05,1.7932349e-05,1.0,42,0.020653881,3.0755592e-07,0,-1.0302273235940302e-08,1.0
29,29,105663.59,32244.074,66765.79,74144.125,-64.22211,18.673504380247323,-0.044372834,1.141095e-06,2.2560087e-05,1.8293435e-05,1.0,42,0.021985216,2.9652e-07,0,-1.0339542568297153e-08,1.0
30,30,91439.65,38753.973,70462.73,80416.83,-61.189533,19.225502966466593,-0.044308335,4.9834233e-07,2.470166e-05,1.8964925e-05,1.0,42,0.020333612,2.5285271e-07,0,-1.033023162477637e-08,1.0
31,31,79127.08,50760.293,77784.086,92881.49,-56.872364,19.642492612969363,-0.044268556,5.96683e-07,2.5858555e-05,1.813541e-05,1.0,42,0.021385277,2.302426e-07,0,-1.0338482512389508e-08,1.0
32,32,68475.36,61073.742,81849.41,102124.08,-53.27073,20.194480905804085,-0.044254933,2.9868107e-07,2.8396858e-05,1.824085e-05,1.0,42,0.020267945,1.9846392e-07,0,-1.0441268317683279e-08,1.0
