True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,103.23606,1238.502,1242.7971,-85.23509,2.46947491724859,0.0102944225,5.8283993e-05,1.8357952e-05,1.8231282e-05,1.0,40,0.009969046,8.0214595e-06,0,3.9784111768565506e-10,1.0
1,1,6057573.0,300.1239,1603.1874,1631.0377,-79.3967,3.0214879301784094,0.010554969,-9.0838315e-05,1.6388425e-05,1.5833532e-05,1.0,40,0.014157198,8.679872e-06,0,-1.2282243287068518e-09,1.0
2,2,5242039.0,256.28467,1857.504,1875.1008,-82.14435,3.437495709891664,0.010501272,-4.625979e-05,1.6345195e-05,1.6039854e-05,1.0,40,0.019454464,1.0375156e-05,0,-6.033125516410109e-09,1.0
3,3,4536288.0,218.40445,2057.1714,2068.7327,-83.93976,4.805493881547591,0.0102925785,3.718539e-05,1.7054894e-05,1.6864802e-05,1.0,40,0.021246808,1.0270446e-05,0,-1.658961057482126e-08,1.0
4,4,3925558.5,274.0813,2422.3381,2437.7947,-83.544586,5.222482088051038,0.010363919,1.183953e-06,1.6737242e-05,1.6525673e-05,1.0,40,0.019077756,7.825825e-06,0,-1.845289024148163e-08,1.0
5,5,3397055.0,319.3771,2719.479,2738.1687,-83.301834,5.638495574443368,0.010339083,4.681768e-06,1.7227881e-05,1.6993501e-05,1.0,40,0.019928806,7.2781513e-06,0,-2.0874010407371518e-08,1.0
6,6,2939708.2,374.90942,3118.7947,3141.2478,-83.14538,6.054493620904395,0.010510588,-8.494039e-05,1.7359176e-05,1.7111903e-05,1.0,40,0.021683784,6.9029206e-06,0,-2.7375997975961277e-08,1.0
7,7,2543924.5,331.39124,3552.7559,3568.178,-84.67103,6.606487353768898,0.010396655,-4.5255092e-05,1.7609642e-05,1.7457749e-05,1.0,40,0.020625947,5.7805264e-06,0,-3.427666733826603e-08,1.0
8,8,2201436.2,236.47714,4044.298,4051.2058,-86.653625,7.158494526665891,0.010297199,2.8050148e-05,1.7876022e-05,1.7815111e-05,1.0,40,0.020406058,5.037033e-06,0,-4.072531309426116e-08,1.0
9,9,1905053.1,529.77966,4781.2764,4810.5376,-83.677246,7.7104964195459615,0.010302528,2.2561559e-05,1.7473069e-05,1.7261147e-05,1.0,40,0.020581214,4.2783604e-06,0,-4.496521333886802e-08,1.0
10,10,1648567.4,232.55484,5667.015,5671.7847,-87.65009,8.429503040359123,0.010369155,-2.7548376e-06,1.7035663e-05,1.7007025e-05,1.0,41,0.019036107,3.3562817e-06,0,-4.2118756282611176e-08,1.0
11,11,1426616.2,296.28732,6412.51,6419.351,-87.35455,8.845483353448799,0.010307632,3.1591247e-07,1.7397424e-05,1.7360362e-05,1.0,41,0.021927426,3.4158322e-06,0,-4.285667621845669e-08,1.0
12,12,1234551.2,432.95987,7422.229,7434.846,-86.66156,9.3974897263397,0.010481429,-1.139906e-05,1.7369073e-05,1.731017e-05,1.0,41,0.02099517,2.8238876e-06,0,-4.1370178959473e-08,1.0
13,13,1068345.5,371.68948,8489.227,8497.359,-87.49298,9.94949975257623,0.010409082,-8.307842e-06,1.7548513e-05,1.7514936e-05,1.0,41,0.02069163,2.4350659e-06,0,-4.2656027799722154e-08,1.0
14,14,924510.06,464.44772,10012.815,10023.581,-87.34422,10.50149468544987,0.010420783,-5.942872e-06,1.7193024e-05,1.7156113e-05,1.0,41,0.02026557,2.0217894e-06,0,-4.1761768363256934e-08,1.0
15,15,800039.0,8086.1147,10433.156,13199.849,-52.222878,11.05348812500597,0.010215946,1.4414472e-05,1.9067478e-05,1.1912057e-05,1.0,41,0.020951202,1.5872305e-06,0,-4.094005069487139e-08,1.0
16,16,692334.1,1046.1409,12946.762,12988.959,-85.38035,11.605488817876903,0.010318272,2.8559239e-06,1.7755923e-05,1.7640743e-05,1.0,41,0.020410312,1.5713586e-06,0,-4.0887398048259314e-08,1.0
17,17,599122.25,1179.9949,15393.196,15438.357,-85.616455,12.157501964102266,0.010273667,1.260816e-05,1.7257422e-05,1.7156604e-05,1.0,41,0.020486133,1.3269632e-06,0,-4.097698334829324e-08,1.0
18,18,518454.94,1599.5188,17644.48,17716.832,-84.820145,12.709485830302583,0.010243838,1.08707445e-05,1.7398037e-05,1.7256227e-05,1.0,41,0.020554882,1.1601894e-06,0,-4.059017945688165e-08,1.0
19,19,448662.03,2140.2693,20642.16,20752.82,-84.080475,13.261492896504933,0.010238937,1.390051e-05,1.7184846e-05,1.7002067e-05,1.0,41,0.020452488,9.855281e-07,0,-3.965508267194432e-08,1.0
20,20,388258.97,2475.509,23419.209,23549.682,-83.966,13.81349481610232,0.010388327,-2.080714e-06,1.7503562e-05,1.7310149e-05,1.0,41,0.02083646,8.847873e-07,0,-3.9684489936197075e-08,1.0
21,21,335983.9,10379.826,30399.63,32122.863,-71.14774,14.36550238894415,0.0103244195,4.541196e-06,1.5582364e-05,1.3955373e-05,1.0,41,0.021066392,6.558068e-07,0,-3.894404433216141e-08,1.0
22,22,290751.2,3324.996,30826.865,31005.664,-83.84386,14.917480068543227,0.010505465,-1.3842239e-05,1.7756985e-05,1.755278e-05,1.0,41,0.020697437,6.675373e-07,0,-3.934832293911129e-08,1.0
23,23,251605.19,5817.973,35093.113,35572.117,-80.58674,15.469483561377274,0.010180285,1.5112789e-05,1.802514e-05,1.7542965e-05,1.0,41,0.020362431,5.7242676e-07,0,-3.947685429913545e-08,1.0
24,24,217729.38,6337.1743,40417.152,40910.953,-81.088905,16.021491267631063,0.010487764,-1.0643016e-05,1.8085786e-05,1.7651826e-05,1.0,41,0.02020457,4.93867e-07,0,-3.948718666297562e-08,1.0
25,25,188418.58,7829.6,45208.91,45881.895,-80.17457,16.573487640504027,0.010414318,-5.9670833e-06,1.8684108e-05,1.814002e-05,1.0,41,0.020814158,4.5364644e-07,0,-3.924679294837574e-08,1.0
26,26,163051.14,9224.347,52504.16,53308.305,-80.035515,17.292478954681428,0.010439321,1.1503741e-07,1.8590992e-05,1.8034341e-05,1.0,42,0.019048404,3.5732526e-07,0,-3.9636655536658025e-08,1.0
27,27,141098.2,11750.969,60541.51,61671.387,-79.0156,17.7085021744424,0.010358386,2.3591444e-07,1.8631394e-05,1.795496e-05,1.0,42,0.020831196,3.3777732e-07,0,-3.9608524981317496e-08,1.0
28,28,122105.11,15566.522,64441.81,66295.27,-76.419815,18.260491880617337,0.010267481,1.195294e-06,2.02264e-05,1.9111241e-05,1.0,42,0.02020054,3.0470557e-07,0,-3.968212057438208e-08,1.0
29,29,105663.59,17360.426,76950.0,78884.01,-77.286545,18.676503553724615,0.010417784,-2.3939864e-07,1.9574296e-05,1.8626251e-05,1.0,42,0.021702299,2.7511658e-07,0,-3.96455184602118e-08,1.0
30,30,91439.65,25349.654,87263.766,90871.17,-73.801704,19.22847896660096,0.010500881,-1.0427001e-06,1.9945808e-05,1.8393623e-05,1.0,42,0.020387553,2.2435667e-07,0,-3.951536234180075e-08,1.0
31,31,79127.08,32055.664,98596.65,103676.734,-71.98966,19.644495679676766,0.010403885,-2.1112278e-08,2.0400126e-05,1.8449922e-05,1.0,42,0.021477206,2.071555e-07,0,-3.942427779153847e-08,1.0
32,32,68475.36,41602.273,112322.56,119779.414,-69.67627,20.19648389259237,0.010341003,5.408074e-07,2.0692778e-05,1.8196524e-05,1.0,42,0.02024315,1.6900357e-07,0,-3.927274458757631e-08,1.0
33,33,59252.523,52606.086,124686.89,135330.05,-67.124855,20.612487139034783,0.010379756,-3.0611194e-08,2.154232e-05,1.8287132e-05,1.0,42,0.020922529,1.5460371e-07,0,-3.924584719542502e-08,1.0
34,34,51282.285,63248.18,138768.75,152502.78,-65.4974,21.028482545429142,0.010469003,-5.327441e-07,2.2364598e-05,1.851778e-05,1.0,42,0.021486588,1.4089309e-07,0,-3.9275889395310536e-08,1.0
35,35,44369.8,76574.03,147820.95,166477.08,-62.614994,21.444497071875958,0.010417169,3.7150537e-07,2.4265913e-05,1.9131972e-05,1.0,42,0.021784468,1.3085565e-07,0,-3.9216968793044294e-08,1.0
36,36,38403.727,98269.48,160102.88,187855.84,-58.45883,21.99648368472117,0.010405803,3.7821007e-07,2.5884967e-05,1.8801671e-05,1.0,42,0.020139655,1.0720803e-07,0,-3.9156505289491624e-08,1.0
37,37,33226.32,124108.266,174238.3,213920.19,-54.538094,22.41248815783183,0.010246949,1.4078066e-06,2.7491238e-05,1.8238032e-05,1.0,42,0.02040923,9.540582e-08,0,-3.905851897858614e-08,1.0
38,38,28754.086,148161.5,176695.06,230592.66,-50.019653,22.82948732431396,0.01042477,1.7724517e-07,3.1325366e-05,1.8393062e-05,1.0,42,0.020520411,8.898987e-08,0,-3.890801617648856e-08,1.0
39,39,24884.947,174468.89,186180.42,255152.0,-46.85994,23.245478944067145,0.010411486,9.939243e-08,3.4351793e-05,1.8290242e-05,1.0,42,0.020607505,8.07656e-08,0,-3.88346048657328e-08,1.0
40,40,21553.963,197537.97,179289.89,266769.78,-42.22759,23.662489203881705,0.010259302,1.1502215e-06,4.118482e-05,1.8602681e-05,1.0,42,0.020507976,7.687518e-08,0,-3.880593613504778e-08,1.0
41,41,18631.234,221973.2,178978.31,285140.9,-38.879436,24.078491836989997,0.01038896,-2.0624572e-07,4.7728532e-05,1.8804416e-05,1.0,42,0.02040612,7.156504e-08,0,-3.8803780299729514e-08,1.0
42,42,16126.037,247229.27,164947.19,297203.44,-33.71055,24.494487376738107,0.010270202,9.634115e-07,5.9833936e-05,1.8430186e-05,1.0,42,0.020147134,6.778903e-08,0,-3.8692706200699375e-08,1.0
43,43,13954.87,276447.7,159922.16,319371.9,-30.048943,24.910480489808833,0.010388662,3.6293784e-07,7.131579e-05,1.7881732e-05,1.0,42,0.020010881,6.265699e-08,0,-3.8531504092612066e-08,1.0
44,44,12080.609,275840.2,144966.08,311613.5,-27.72389,25.326478936272906,0.010421249,1.4744492e-07,9.087928e-05,1.9668223e-05,1.0,42,0.019404978,6.227258e-08,0,-3.8484407030773445e-08,1.0
45,45,10447.592,302170.72,137046.78,331796.56,-24.396235,25.742483782669296,0.010285648,1.2250943e-06,0.00011115656,1.896396e-05,1.0,42,0.019018758,5.7320538e-08,0,-3.836573772494331e-08,1.0
46,46,9045.586,317772.47,124268.16,341206.56,-21.358488,26.174263509834418,0.010354157,5.9388935e-07,0.00014158705,1.878056e-05,1.0,42,0.021617865,6.335712e-08,0,-3.828390447868399e-08,1.0
47,47,7827.7437,321705.06,108724.61,339580.9,-18.673382,26.65494089270942,0.010411169,1.8581304e-07,0.00018700605,1.9170122e-05,1.0,42,0.021502035,6.331933e-08,0,-3.815861490862218e-08,1.0
48,48,6770.8345,340725.6,102190.35,355720.12,-16.695028,27.19339243826107,0.010389631,4.6146474e-07,0.00023002131,1.8983268e-05,1.0,42,0.021720415,6.1060405e-08,0,-3.8029844691121955e-08,1.0
49,49,5860.798,345446.34,86847.62,356196.12,-14.112089,27.79999924043659,0.0103912335,-7.508441e-07,0.00031268387,1.8588438e-05,1.0,42,0.021674922,6.0851086e-08,0,-3.785339176176914e-08,1.0
50,50,5071.625,348311.5,80997.375,357605.2,-13.091066,28.480707592781982,0.010346964,8.0696066e-07,0.00038743785,1.9876336e-05,1.0,42,0.021618051,6.045229e-08,0,-3.773270879949002e-08,1.0
51,51,4388.5933,346132.8,68099.95,352768.38,-11.130505,29.16083349174005,0.010326432,4.7543358e-07,0.0005325348,1.9845513e-05,1.0,42,0.021568589,6.114094e-08,0,-3.7702227340205375e-08,1.0
52,52,3798.7827,352881.3,63363.945,358525.06,-10.179643,29.84082021737413,0.0103556095,6.2629704e-07,0.00066120096,2.0652797e-05,1.0,42,0.02162437,6.0314804e-08,0,-3.7629842424907126e-08,1.0
53,53,3286.0488,350797.06,53691.273,354882.12,-8.70188,30.52068798300752,0.010293305,1.0574685e-06,0.0009020745,2.064817e-05,1.0,42,0.021535443,6.068337e-08,0,-3.735988817263013e-08,1.0
54,54,2844.088,359011.25,49829.74,362452.88,-7.9020057,31.200829908644664,0.010351269,3.100426e-07,0.0011230226,2.122573e-05,1.0,42,0.021616196,5.963864e-08,0,-3.72037878213618e-08,1.0
55,55,2460.7852,355834.66,42081.004,358314.28,-6.744473,31.88070524761133,0.010297515,7.317152e-07,0.0015369521,2.1198459e-05,1.0,42,0.021560581,6.017226e-08,0,-3.7088875371850745e-08,1.0
56,56,2129.3164,386226.66,36828.562,387978.56,-5.4469585,32.81181166516035,0.010307409,7.155605e-07,0.0020295286,1.8287285e-05,1.0,43,0.021347098,5.5021335e-08,0,-3.6857440318899036e-08,1.0
57,57,1843.2289,384397.28,36677.48,386143.12,-5.450408,33.49193124411977,0.010260252,7.1038335e-07,0.0023541893,2.1239473e-05,1.0,43,0.0212123,5.4933775e-08,0,-3.6714406285600634e-08,1.0
58,58,1594.4913,390607.97,27911.115,391603.9,-4.087156,34.17182559642242,0.010366863,6.887622e-07,0.0035761916,1.8166913e-05,1.0,43,0.021470785,5.482781e-08,0,-3.657807539460774e-08,1.0
59,59,1380.4436,391741.0,25498.59,392569.97,-3.7241533,34.851712588722876,0.010286784,7.284104e-07,0.0045215287,1.9075831e-05,1.0,43,0.021512872,5.4800097e-08,0,-3.646737242091813e-08,1.0
60,60,1194.6187,388720.84,20702.26,389271.72,-3.048544,35.53183158101456,0.010400959,6.3227907e-07,0.0064353636,1.8201321e-05,1.0,43,0.021467997,5.514913e-08,0,-3.631793782518628e-08,1.0
61,61,1033.3434,386743.2,14606.921,387018.94,-2.1629786,36.212093373324024,0.010431347,6.5732706e-07,0.010544277,1.5019992e-05,1.0,43,0.02142363,5.535551e-08,0,-3.6161688440414294e-08,1.0
62,62,894.71045,389185.84,12285.914,389379.72,-1.8081267,36.89182748561143,0.010419666,6.5483164e-07,0.01447872,1.4414462e-05,1.0,43,0.021559097,5.5367796e-08,0,-3.606166062201578e-08,1.0
63,63,774.2569,383922.34,11536.762,384095.66,-1.7212045,37.571936264575925,0.010087517,8.825714e-07,0.01781768,1.60746e-05,1.0,43,0.021422027,5.5772635e-08,0,-3.595996381534702e-08,1.0
64,64,669.7856,385407.78,12201.502,385600.88,-1.8133031,38.251824776874855,0.010324942,7.0053244e-07,0.019474713,1.9499417e-05,1.0,43,0.021530658,5.583664e-08,0,-3.5794962785124916e-08,1.0
65,65,579.81464,381441.78,8842.516,381544.25,-1.3279828,38.931842009173124,0.0103477845,6.913141e-07,0.031042388,1.6673124e-05,1.0,43,0.021456411,5.623571e-08,0,-3.565537549647443e-08,1.0
66,66,501.44418,383832.9,11593.208,384007.94,-1.7300237,39.609208707959624,0.010379309,6.766207e-07,0.027377507,2.4952884e-05,1.0,43,0.021599906,5.624859e-08,0,-3.5534909164499715e-08,1.0
67,67,434.02762,383241.88,12402.634,383442.5,-1.8535831,40.28919772696099,0.010284808,6.8172335e-07,0.029565746,3.0932584e-05,1.0,43,0.021616468,5.637473e-08,0,-3.5434206280251363e-08,1.0
68,68,375.6009,385202.84,13728.754,385447.4,-2.0411763,40.967419012478786,0.010321812,7.1908096e-07,0.030864723,3.9155646e-05,1.0,43,0.021753887,5.6438015e-08,0,-3.5312838963541933e-08,1.0
69,69,325.10385,382385.12,16439.488,382738.34,-2.4617424,41.64670997813664,0.010449309,6.468241e-07,0.029778972,5.4939203e-05,1.0,43,0.021653011,5.6573928e-08,0,-3.521062832664611e-08,1.0
