True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,-134.71516,1460.0372,1466.239,-95.27166,82.72749208929599,0.0015632936,-4.4827077e-05,1.5572452e-05,1.5440997e-05,2.0,40,0.010120193,6.902144e-06,0,-3.1881887662467257e-10,2.0
111,111,6057573.0,316.7829,1631.6948,1662.161,-79.01308,83.28048688892159,0.0014428396,-6.20776e-07,1.6102102e-05,1.5517231e-05,2.0,40,0.014173745,8.5272995e-06,0,-4.273180650067518e-09,2.0
112,112,5242039.0,248.71541,1864.304,1880.8213,-82.401085,83.69650069533964,0.0014959961,-6.667511e-06,1.6285578e-05,1.6000795e-05,2.0,40,0.019515079,1.0375828e-05,0,-1.3075078377114845e-08,2.0
113,113,4536288.0,157.22726,2069.8782,2075.841,-85.65617,85.06450734697864,0.001472222,-2.4677522e-05,1.6950196e-05,1.6852957e-05,2.0,40,0.020405088,9.829793e-06,0,-2.0723432384370404e-08,2.0
114,114,3925558.5,209.91028,2396.2373,2405.4138,-84.993675,85.4804947534285,0.0013912858,2.4236035e-05,1.6919552e-05,1.6790704e-05,2.0,40,0.018833602,7.8296725e-06,0,-2.5173881195911315e-08,2.0
115,115,3397055.0,321.8656,2678.1482,2697.4202,-83.14694,85.89649509315495,0.0014576147,-1.4202699e-05,1.749375e-05,1.7244673e-05,2.0,40,0.019696461,7.3019623e-06,0,-2.6398037417736484e-08,2.0
116,116,2939708.2,293.3003,3108.4292,3122.2358,-84.60973,86.31249191294773,0.0014822832,-2.723163e-06,1.7417064e-05,1.7263366e-05,2.0,40,0.021596476,6.916991e-06,0,-2.900550059976566e-08,2.0
117,117,2543924.5,364.98288,3523.9673,3542.8179,-84.08687,86.86448489912436,0.001472837,-3.210108e-05,1.7753502e-05,1.756508e-05,2.0,40,0.020126084,5.6808126e-06,0,-2.940444655059555e-08,2.0
118,118,2201436.2,407.6053,4104.8926,4125.08,-84.32926,87.41650244538323,0.0015471776,-8.2931e-05,1.7612145e-05,1.7440183e-05,2.0,40,0.020971604,5.0839267e-06,0,-3.5425133897411324e-08,2.0
119,119,1905053.1,330.71222,4789.8657,4801.269,-86.05033,87.96848857824807,0.001449659,-2.1068074e-05,1.7441735e-05,1.7358983e-05,2.0,40,0.020505665,4.2708843e-06,0,-3.9849244342617495e-08,2.0
120,120,1648567.4,464.4512,5607.7476,5626.948,-85.26539,88.68748829237302,0.0015602569,-1.6391577e-05,1.7215712e-05,1.7098422e-05,2.0,41,0.01907891,3.390632e-06,0,-4.5314057611417465e-08,2.0
121,121,1426616.2,327.46603,6413.3887,6421.743,-87.07703,89.23948914531502,0.0015025918,-4.365608e-06,1.739504e-05,1.7349808e-05,2.0,41,0.020255236,3.1541647e-06,0,-4.4528619620093976e-08,2.0
122,122,1234551.2,635.27405,7305.322,7332.8916,-85.03004,89.79149557152414,0.0014533853,-6.933895e-07,1.7647031e-05,1.7514583e-05,2.0,41,0.020689474,2.821462e-06,0,-4.371279655863209e-08,2.0
123,123,1068345.5,561.18933,8527.366,8545.8125,-86.23477,90.3434839710535,0.0014757994,1.6734407e-06,1.7470024e-05,1.7394686e-05,2.0,41,0.020754557,2.428623e-06,0,-4.292068116409394e-08,2.0
124,124,924510.06,666.243,9718.813,9741.623,-86.0784,90.89548533063498,0.0012851221,1.3047632e-05,1.7713128e-05,1.7630275e-05,2.0,41,0.020272061,2.0809737e-06,0,-4.240178394101986e-08,2.0
125,125,800039.0,-178.88205,12030.406,12031.736,-90.851875,91.44750389017281,0.0015500468,-1.0723089e-05,1.6535932e-05,1.6532276e-05,2.0,41,0.020341959,1.6906919e-06,0,-4.340190426824265e-08,2.0
126,126,692334.1,1076.0851,12619.398,12665.195,-85.126045,91.99948426304036,0.0014802337,-4.2948436e-06,1.8216535e-05,1.8085031e-05,2.0,41,0.020326702,1.6049261e-06,0,-4.40042779294109e-08,2.0
127,127,599122.25,1183.844,15115.376,15161.665,-85.521706,92.55149439591332,0.0014122651,-2.8370852e-07,1.7574612e-05,1.7467464e-05,2.0,41,0.020513026,1.3529534e-06,0,-4.299260841093459e-08,2.0
128,128,518454.94,1695.5393,17724.805,17805.717,-84.53576,93.1035026354657,0.0015377685,-6.3357934e-06,1.7319193e-05,1.7162149e-05,2.0,41,0.020562798,1.1548425e-06,0,-4.38695634002308e-08,2.0
129,129,448662.03,1754.6725,19849.498,19926.902,-84.94825,93.65550676835119,0.0015758144,-6.1588876e-06,1.78711e-05,1.7732531e-05,2.0,41,0.02022823,1.0151216e-06,0,-4.35150928338831e-08,2.0
130,130,388258.97,2463.6416,22917.594,23049.635,-83.864265,94.20749588790932,0.0014440323,-8.274665e-07,1.7886676e-05,1.7682332e-05,2.0,41,0.020761874,9.0074633e-07,0,-4.418368192418834e-08,2.0
131,131,335983.9,3224.4287,29629.723,29804.654,-83.789276,94.75948642080766,0.0014668375,-2.4550122e-06,1.598726e-05,1.5800144e-05,2.0,41,0.020587929,6.907622e-07,0,-4.4821949026868225e-08,2.0
132,132,290751.2,4226.589,30944.674,31231.984,-82.22237,95.31148743370431,0.0013503891,1.243125e-05,1.7689385e-05,1.7365424e-05,2.0,41,0.020656075,6.613757e-07,0,-4.482173175868947e-08,2.0
133,133,251605.19,5797.5337,35304.633,35777.484,-80.67443,95.86349263324519,0.0014927542,-2.192444e-06,1.7917147e-05,1.7446673e-05,2.0,41,0.0204352,5.7117484e-07,0,-4.601920866552827e-08,2.0
134,134,217729.38,7638.269,40855.24,41563.13,-79.41027,96.41550111278775,0.0013316084,1.4695662e-05,1.7891854e-05,1.7287588e-05,2.0,41,0.020298198,4.883703e-07,0,-4.647996358733191e-08,2.0
135,135,188418.58,8371.348,45765.45,46524.785,-79.63414,96.9674899923557,0.0015013807,-5.5071246e-06,1.8456896e-05,1.7859338e-05,2.0,41,0.02075324,4.460685e-07,0,-4.625805127110342e-08,2.0
136,136,163051.14,9520.046,52353.12,53211.656,-79.69378,97.68648509317427,0.0014714395,4.5006736e-08,1.8644629e-05,1.8047844e-05,2.0,42,0.019139387,3.596841e-07,0,-4.653377198307219e-08,2.0
137,137,141098.2,11306.81,59754.63,60814.96,-79.28513,98.10250473956694,0.0014653656,-4.852501e-07,1.8876744e-05,1.8224237e-05,2.0,42,0.02081977,3.423462e-07,0,-4.657539112992085e-08,2.0
138,138,122105.11,16333.978,65519.69,67525.02,-76.00158,98.654488739121,0.001417482,5.5161e-07,1.989365e-05,1.8729606e-05,2.0,42,0.02042248,3.0244314e-07,0,-4.6560398321950026e-08,2.0
139,139,105663.59,19477.285,76466.914,78908.516,-75.70977,99.20650177870994,0.001479153,9.7902124e-08,1.9697958e-05,1.8497822e-05,2.0,42,0.020148486,2.553398e-07,0,-4.663755359389575e-08,2.0
140,140,91439.65,26645.008,88035.516,91979.39,-73.16093,99.62250014513847,0.0015494692,-1.0907527e-06,1.9770956e-05,1.8111834e-05,2.0,42,0.021384805,2.3249562e-07,0,-4.671285431688352e-08,2.0
141,141,79127.08,32401.25,95821.555,101151.43,-71.31747,100.17450315799215,0.0014108492,7.3264613e-07,2.0990936e-05,1.8837105e-05,2.0,42,0.020166395,1.9936836e-07,0,-4.646004453483934e-08,2.0
142,142,68475.36,43501.8,110190.16,118466.35,-68.45647,100.59049893778865,0.0014683467,2.4057059e-07,2.1093225e-05,1.824898e-05,2.0,42,0.021112079,1.7821161e-07,0,-4.643887472621364e-08,2.0
143,143,59252.523,57909.582,121043.414,134182.81,-64.43262,101.00650005086209,0.0014398961,2.4019818e-07,2.2190756e-05,1.8057626e-05,2.0,42,0.021850578,1.6284186e-07,0,-4.644485437965922e-08,2.0
144,144,51282.285,64680.63,132149.14,147129.12,-63.920483,101.55849247708102,0.0014624962,4.1415657e-07,2.3484885e-05,1.8946099e-05,2.0,42,0.02013984,1.3688548e-07,0,-4.6310015174797786e-08,2.0
145,145,44369.8,86322.53,147803.02,171164.58,-59.713463,101.97449441681965,0.0013996328,5.0988996e-07,2.4268858e-05,1.8096232e-05,2.0,42,0.020592257,1.2030677e-07,0,-4.6352873600288035e-08,2.0
146,146,38403.727,106186.086,153108.75,186327.06,-55.257385,102.39050254327594,0.0014294622,1.8339163e-07,2.7067414e-05,1.8276578e-05,2.0,42,0.020894593,1.1213933e-07,0,-4.635100532643883e-08,2.0
147,147,33226.32,129659.26,161542.72,207141.44,-51.24838,102.80649320301018,0.0013295962,1.5625814e-06,2.9651763e-05,1.8033968e-05,2.0,42,0.021134151,1.02027634e-07,0,-4.624902675977201e-08,2.0
148,148,28754.086,149812.69,163189.73,221528.17,-47.44721,103.22248559611035,0.0014377347,5.273974e-07,3.3917804e-05,1.8405834e-05,2.0,42,0.021179134,9.56047e-08,0,-4.625802159785152e-08,2.0
149,149,24884.947,172579.1,164495.44,238416.22,-43.62621,103.63949196258909,0.0014749982,1.994091e-07,3.8880295e-05,1.8508263e-05,2.0,42,0.021242142,8.909688e-08,0,-4.625738004903014e-08,2.0
150,150,21553.963,197828.38,158633.92,253576.0,-38.725304,104.05650654240162,0.001349588,7.6319157e-07,4.654756e-05,1.8216828e-05,2.0,42,0.021232,8.373032e-08,0,-4.6195960475496403e-08,2.0
151,151,18631.234,219196.6,156776.89,269492.38,-35.573643,104.4725000821345,0.0014503112,4.2421425e-07,5.4487446e-05,1.8440283e-05,2.0,42,0.021124834,7.83875e-08,0,-4.6119409635263116e-08,2.0
152,152,16126.037,235843.8,144323.28,276498.66,-31.464312,104.88948591527878,0.0014264439,4.9104695e-08,6.8384245e-05,1.8631285e-05,2.0,42,0.020827858,7.532716e-08,0,-4.611044397429787e-08,2.0
153,153,13954.87,256506.92,159375.75,301987.47,-31.853973,105.30550249505905,0.0013194418,1.1908242e-06,7.1560295e-05,1.9931444e-05,2.0,42,0.020582743,6.8157604e-08,0,-4.599225915572151e-08,2.0
154,154,12080.609,283495.28,135340.36,314144.22,-25.519762,105.72149384816294,0.0014814262,7.9277214e-08,9.7342825e-05,1.80676e-05,2.0,42,0.020433236,6.504413e-08,0,-4.601300931147535e-08,2.0
155,155,10447.592,284600.2,112792.4,306136.22,-21.619354,106.1375077078992,0.0016045818,-1.195612e-06,0.00013505918,1.8333878e-05,2.0,42,0.019680642,6.428721e-08,0,-4.602113759914101e-08,2.0
