True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,-61.98677,1268.9288,1270.4419,-92.79666,82.86349457575125,-0.029742565,5.8563077e-05,1.7917759e-05,1.7875105e-05,2.0,40,0.010068245,7.924995e-06,0,1.9919297054841856e-08,2.0
111,111,6057573.0,226.7017,1461.4503,1478.929,-81.182495,83.41548796198913,-0.02963327,1.7593899e-05,1.7977838e-05,1.7555409e-05,2.0,40,0.014065285,9.510453e-06,0,1.788312107552069e-08,2.0
112,112,5242039.0,215.56392,1644.182,1658.2528,-82.530716,83.83149392841733,-0.029632954,2.7566404e-05,1.8465878e-05,1.815383e-05,2.0,40,0.019341037,1.1663503e-05,0,1.2984825236492212e-08,2.0
113,113,4536288.0,154.75256,1879.3505,1885.7112,-85.29268,85.19948826005566,-0.029475573,-5.282748e-05,1.86686e-05,1.8542869e-05,2.0,40,0.01917896,1.0170677e-05,0,-1.7927688392729538e-10,2.0
114,114,3925558.5,221.66492,2182.573,2193.8003,-84.20085,85.6154877197987,-0.029659411,1.0616895e-05,1.8575902e-05,1.8386254e-05,2.0,40,0.018411292,8.39242e-06,0,-9.456559498605996e-10,2.0
115,115,3397055.0,254.51225,2423.9778,2437.3027,-84.006035,86.03148635293473,-0.029665448,-2.1868118e-05,1.9328088e-05,1.911733e-05,2.0,40,0.01940788,7.962852e-06,0,9.94265769794605e-10,2.0
116,116,2939708.2,341.73117,2778.1724,2799.1108,-82.98752,86.44748879931285,-0.029602883,-4.3822474e-05,1.9487525e-05,1.9197067e-05,2.0,40,0.021267345,7.5978933e-06,0,-1.2256756301453187e-09,2.0
117,117,2543924.5,361.28525,3194.058,3214.426,-83.54661,86.99949783887132,-0.029650953,5.686469e-06,1.9587234e-05,1.9339794e-05,2.0,40,0.020555712,6.3948314e-06,0,-1.4682800425059503e-09,2.0
118,118,2201436.2,235.2157,3765.4216,3772.7612,-86.42553,87.55148146513966,-0.029616224,-2.9087005e-05,1.9199962e-05,1.9125333e-05,2.0,40,0.021029681,5.574082e-06,0,-9.401092017985076e-09,2.0
119,119,1905053.1,474.44617,4285.5586,4311.741,-83.68262,88.10349173130817,-0.02978145,4.9037026e-05,1.9494208e-05,1.9258174e-05,2.0,40,0.020431891,4.7386634e-06,0,-1.4880411454704657e-08,2.0
120,120,1648567.4,304.99765,5032.24,5041.4746,-86.53162,88.65550141085987,-0.029695353,1.3142064e-06,1.918457e-05,1.9114355e-05,2.0,40,0.020132337,3.993343e-06,0,-1.8727355558361482e-08,2.0
