True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,44.853786,1349.1694,1349.9148,-88.09588,82.65848043272854,-0.0139989555,1.4449688e-05,1.6852116e-05,1.6833512e-05,2.0,40,0.010095442,7.4785767e-06,0,-2.699907801287734e-08,2.0
111,111,6057573.0,299.38895,1652.7012,1679.5996,-79.73215,83.21049019225757,-0.013917237,-3.6324524e-05,1.5897438e-05,1.5392328e-05,2.0,40,0.01419747,8.452889e-06,0,-2.4946888175351056e-08,2.0
112,112,5242039.0,252.38512,1854.0107,1871.1104,-82.24802,83.62648319869186,-0.013894524,-1.770051e-05,1.6375992e-05,1.607805e-05,2.0,40,0.019472383,1.04068595e-05,0,-3.176936490052739e-08,2.0
113,113,4536288.0,264.31888,2109.7625,2126.2554,-82.85898,84.99449907700182,-0.013902256,-2.8435818e-05,1.6629758e-05,1.6372773e-05,2.0,40,0.020478737,9.631362e-06,0,-5.4907193358633044e-08,2.0
114,114,3925558.5,315.7222,2396.5312,2417.2385,-82.494995,85.4104868567374,-0.01402163,1.40774955e-05,1.6917476e-05,1.662887e-05,2.0,40,0.018885076,7.812666e-06,0,-5.5954683244409427e-08,2.0
115,115,3397055.0,328.24478,2746.6565,2766.2007,-83.185074,85.82648844984942,-0.013911367,-6.808391e-05,1.7057415e-05,1.6817232e-05,2.0,40,0.019794948,7.156006e-06,0,-5.9409551684777956e-08,2.0
116,116,2939708.2,344.24817,3126.738,3145.6316,-83.71714,86.24348548296257,-0.013927689,-4.9459897e-05,1.7315077e-05,1.7107703e-05,2.0,40,0.021525718,6.8430513e-06,0,-6.495017490664898e-08,2.0
117,117,2543924.5,340.15656,3527.5256,3543.8882,-84.49204,86.79548268255894,-0.013934676,-6.547915e-05,1.7735594e-05,1.7572198e-05,2.0,40,0.020873955,5.890128e-06,0,-7.433834258955052e-08,2.0
118,118,2201436.2,358.26282,4217.3423,4232.532,-85.14439,87.34749332207139,-0.01398623,1.4282161e-05,1.714254e-05,1.7019716e-05,2.0,40,0.020721406,4.8957468e-06,0,-8.01699830435114e-08,2.0
119,119,1905053.1,542.1008,4679.888,4711.181,-83.39252,87.89949412163696,-0.013930651,-5.167395e-05,1.7851617e-05,1.7615253e-05,2.0,40,0.020339563,4.317296e-06,0,-8.73815207892989e-08,2.0
