True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,91.59248,1179.4249,1182.9761,-85.5594,2.4664967304852325,-0.026057394,5.0506937e-05,1.9277497e-05,1.9161935e-05,1.0,40,0.010026123,8.475339e-06,0,6.277148713631201e-09,1.0
1,1,6057573.0,295.56403,1496.3679,1525.2787,-78.826706,3.018488863337552,-0.025887081,5.5934265e-06,1.7558326e-05,1.689902e-05,1.0,40,0.0141223585,9.258871e-06,0,1.072716260005614e-09,1.0
2,2,5242039.0,242.81686,1616.8474,1634.9788,-81.45919,3.4345029364631046,-0.025785297,-2.5868272e-05,1.8778066e-05,1.8363891e-05,1.0,40,0.01930961,1.1810313e-05,0,4.497228932981064e-10,1.0
3,3,4536288.0,218.8349,1886.1074,1898.7601,-83.38187,4.802480388054391,-0.025855763,-2.1402975e-05,1.8601719e-05,1.8354634e-05,1.0,40,0.019344276,1.0187846e-05,0,-2.067467461636675e-08,1.0
4,4,3925558.5,247.92096,2138.2522,2152.577,-83.38634,5.218484594515758,-0.025862303,-3.2566222e-05,1.8960935e-05,1.8709416e-05,1.0,40,0.018510573,8.5992615e-06,0,-2.4152035145145115e-08,1.0
5,5,3397055.0,303.8325,2406.473,2425.5774,-82.804115,5.6344901609409135,-0.02596338,-3.861297e-05,1.9468684e-05,1.916321e-05,1.0,40,0.019488804,8.034707e-06,0,-3.702509821943699e-08,1.0
6,6,2939708.2,354.7219,2740.4011,2763.2637,-82.62455,6.050490180699853,-0.02587786,-3.589658e-05,1.9756124e-05,1.9430563e-05,1.0,40,0.021325119,7.717366e-06,0,-4.1100891672423736e-08,1.0
7,7,2543924.5,362.01822,3241.7112,3261.8628,-83.62789,6.602490846911678,-0.025973888,1.2179755e-05,1.9299301e-05,1.9061577e-05,1.0,40,0.020550253,6.3001585e-06,0,-4.811677305620934e-08,1.0
8,8,2201436.2,386.12323,3806.198,3825.7332,-84.2074,7.154498366435291,-0.026015697,3.2906148e-05,1.8994271e-05,1.8800787e-05,1.0,40,0.020936744,5.4726097e-06,0,-5.0369338021634275e-08,1.0
9,9,1905053.1,491.89825,4229.508,4258.016,-83.36622,7.706495646008989,-0.025916297,-3.530121e-05,1.9752551e-05,1.9488942e-05,1.0,40,0.020550985,4.8264224e-06,0,-5.7201783059724676e-08,1.0
10,10,1648567.4,596.1043,5094.1904,5128.9487,-83.3258,8.258502232230967,-0.025972582,-4.3003838e-05,1.8951268e-05,1.8695277e-05,1.0,40,0.020020634,3.9034576e-06,0,-6.089486130137327e-08,1.0
11,11,1426616.2,440.12137,5623.374,5640.5713,-85.52479,8.977495759696467,-0.026052568,-2.533464e-09,1.9838828e-05,1.9718042e-05,1.0,41,0.01938462,3.4366415e-06,0,-6.469407342918979e-08,1.0
12,12,1234551.2,781.5695,6518.313,6565.0024,-83.16267,9.529487172578229,-0.02607107,1.2088612e-05,1.97777e-05,1.9497387e-05,1.0,41,0.020637568,3.1435736e-06,0,-6.477644153498356e-08,1.0
13,13,1068345.5,707.15234,7387.9404,7421.7065,-84.53247,10.081486292154295,-0.025988327,6.9021286e-07,2.0164387e-05,1.9981324e-05,1.0,41,0.02048359,2.759957e-06,0,-6.564451251699665e-08,1.0
14,14,924510.06,1040.0978,8666.606,8728.796,-83.15654,10.633488318388117,-0.025962913,2.4760423e-06,1.9863666e-05,1.9581632e-05,1.0,41,0.020287368,2.3241887e-06,0,-6.538965314033065e-08,1.0
15,15,800039.0,162.321,9495.143,9496.53,-89.020615,11.185480371263111,-0.025932413,-3.8795793e-06,2.095113e-05,2.0945008e-05,1.0,41,0.020323275,2.1400738e-06,0,-6.644440132849007e-08,1.0
16,16,692334.1,1903.5966,11065.123,11227.673,-80.23863,11.737478850787738,-0.02595466,2.6175667e-06,2.077534e-05,2.017814e-05,1.0,41,0.020372797,1.8145164e-06,0,-6.505757069607259e-08,1.0
17,17,599122.25,1567.6078,13056.356,13150.127,-83.15357,12.289492557029007,-0.025896901,-7.851606e-06,2.0346171e-05,2.0057038e-05,1.0,41,0.020483296,1.5576501e-06,0,-6.521639413762002e-08,1.0
18,18,518454.94,2632.5986,15458.529,15681.094,-80.33521,12.84149970326689,-0.026069263,5.2432406e-06,1.9858247e-05,1.9298546e-05,1.0,41,0.020728063,1.3218506e-06,0,-6.442695993942809e-08,1.0
19,19,448662.03,2511.6016,16915.945,17101.385,-81.55469,13.393502209481085,-0.025976421,2.7870258e-06,2.0970294e-05,2.0517977e-05,1.0,41,0.020248678,1.1840373e-06,0,-6.523066393104828e-08,1.0
20,20,388258.97,3247.2913,19227.994,19500.273,-80.41414,13.945483569026692,-0.025910167,-1.3526003e-06,2.1318894e-05,2.0727704e-05,1.0,41,0.020777065,1.0654755e-06,0,-6.536473520650393e-08,1.0
21,21,335983.9,5144.3135,24949.395,25474.227,-78.349464,14.497497888543876,-0.02596148,-3.6564413e-07,1.8986355e-05,1.8212084e-05,1.0,41,0.020510957,8.0516503e-07,0,-6.955393251650183e-08,1.0
