True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,THD_I,NSD_I,NSR_I,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
0,0,7000018.5,108.962135,405.60046,419.98154,-74.96286,5.304484891908942,-0.027095098,-0.00015940376,5.605605e-05,5.228282e-05,1.0,40,0.017169314,4.0881114e-05,0,-1.5047585581694041e-07,0.7897234,0.09625428,2.4294891,1.8207422,0.27249345,11.34381,4.2656688e-05,7.92544e-06,0.000108199085,6.756563e-05,6.713419e-06,5.4577044e-06,2.5008512e-07,7.8085364e-08,4.759078e-07,4.6687464e-07,8.034397e-08,8.067398e-08,1.0
1,1,4765894.0,143.956,431.2622,454.65417,-71.54091,7.515494623599807,-0.027084196,-9.24203e-05,7.7434466e-05,6.967144e-05,1.0,40,0.019741349,4.3420583e-05,0,-2.0167556287772943e-07,1.6676824,0.090923704,2.029222,3.2427497,0.18370445,5.8015985,0.00032030282,8.420331e-06,7.818824e-06,7.107065e-05,1.751275e-05,8.86354e-06,8.874169e-07,9.8910725e-08,8.585979e-08,1.0602536e-06,1.6842237e-07,9.898353e-08,1.0
2,2,3244822.5,206.5561,518.07904,557.7377,-68.26302,9.7804891311971,-0.027108217,-8.93078e-05,9.467453e-05,8.168931e-05,1.0,40,0.01931569,3.4632212e-05,0,-2.6021145499372424e-07,4.88273,0.0737772,2.1060607,9.559438,0.10705753,5.0714607,0.0009421022,3.9929047e-05,8.786311e-06,9.234419e-06,6.859878e-06,7.428152e-06,3.3022714e-06,1.17487666e-07,1.1886462e-07,7.990169e-08,5.1421893e-08,9.6814546e-08,1.0
3,3,2209211.8,301.55804,670.358,735.0626,-65.77958,12.044500358722871,-0.027122192,-8.3977386e-05,0.00010746722,8.938011e-05,1.0,40,0.020555638,2.7964472e-05,0,-3.042103425773853e-07,1.3076105,0.05308303,1.9571838,2.2591136,0.12040833,4.3678613,0.0002353833,0.00012785605,1.1347239e-05,6.2552867e-06,9.946845e-06,7.4414274e-06,4.835743e-07,3.6066226e-07,9.657199e-08,8.332099e-08,7.3837086e-08,8.574739e-08,1.0
4,4,1504119.6,480.32108,860.6916,985.6462,-60.835682,14.309497212962015,-0.027135927,-6.966361e-05,0.00012293915,9.374395e-05,1.0,40,0.021109363,2.1416776e-05,0,-3.687974870940454e-07,0.4413966,0.094178595,4.2263727,1.194206,0.08708338,4.203888,8.305049e-05,3.140998e-05,1.1116538e-05,2.0548441e-05,1.067726e-05,8.360531e-06,1.3747439e-07,8.203214e-08,7.203525e-08,9.4211835e-08,1.1390828e-07,7.184492e-08,1.0
5,5,1024068.44,756.22614,1044.5177,1289.533,-54.09563,16.57447860055254,-0.027154114,-8.0231206e-05,0.00014879054,9.762073e-05,1.0,40,0.021179436,1.6424114e-05,0,-4.239325405674208e-07,0.2806623,0.048632357,5.24814,0.91333973,0.09685308,4.499766,4.112854e-05,1.5968877e-05,1.1752793e-05,1.538953e-05,1.5843216e-05,2.7560476e-05,5.2365323e-08,3.4573237e-08,2.3609674e-08,7.261906e-08,3.539173e-08,9.249978e-08,1.0
6,6,697233.1,1125.5758,1167.1431,1621.4635,-46.038666,18.838495854724897,-0.02715264,-8.254227e-05,0.00019557711,0.00010133322,1.0,40,0.021031199,1.2970504e-05,0,-4.619296285155643e-07,0.16235861,0.075731754,3.1824589,0.7326336,0.088051476,4.2884355,2.5894218e-05,8.735761e-06,8.602254e-06,9.388395e-06,9.750063e-06,7.989088e-06,3.5538335e-08,2.50603e-08,2.8203628e-08,2.3976924e-08,4.9727642e-08,4.889863e-08,1.0
7,7,474706.8,1541.0603,1180.7068,1941.3746,-37.45808,21.103496922325576,-0.027142411,-8.606478e-05,0.00028395702,0.00010503113,1.0,40,0.021444095,1.104583e-05,0,-5.229724254792119e-07,0.14248678,0.048321217,2.438518,0.62848204,0.064230286,3.7949812,2.211481e-05,6.3050434e-06,1.1203286e-05,8.05072e-06,7.0002934e-06,8.747744e-06,1.3303615e-08,2.0082744e-08,2.0036639e-08,1.7077175e-08,4.259721e-08,2.8158565e-08,1.0
8,8,323198.12,1924.9421,1081.9778,2208.1843,-29.339613,23.367498496518238,-0.027154561,-8.4685606e-05,0.00045512733,0.00010926951,1.0,40,0.021007538,9.513489e-06,0,-5.744990628171157e-07,0.12935695,0.059123058,2.7698972,0.4321894,0.08142685,4.356122,1.5080481e-05,8.464021e-06,8.0466325e-06,1.0364188e-05,7.131408e-06,1.205796e-05,9.518885e-09,1.6839827e-08,1.2381442e-08,1.285548e-08,2.1229203e-08,2.063035e-08,1.0
9,9,220049.0,2230.7952,909.7948,2409.1853,-22.187319,25.63149225738016,-0.027158046,-8.722033e-05,0.000794982,0.00011337147,1.0,40,0.021345505,8.860051e-06,0,-6.361454996761798e-07,0.11026562,0.06876971,2.7870753,0.35104886,0.088768825,4.5116196,8.903246e-06,8.273582e-06,8.833069e-06,1.0183759e-05,9.361374e-06,6.780512e-06,6.546832e-09,8.999459e-09,8.980007e-09,1.7447787e-08,6.366884e-09,1.677648e-08,1.0
10,10,149820.0,2442.8252,721.2848,2547.086,-16.450113,27.895486444962444,-0.027161026,-8.0380305e-05,0.0014727993,0.00011810545,1.0,40,0.020952804,8.226187e-06,0,-6.925105920821201e-07,0.10907959,0.06648898,2.7180052,0.29585186,0.10554849,4.479879,1.2331447e-05,1.030046e-05,6.516015e-06,6.119582e-06,7.5051466e-06,6.9997295e-06,7.889531e-09,6.3589507e-09,9.169693e-09,4.349622e-09,1.4372566e-08,1.0531269e-08,1.0
11,11,101998.59,2578.5193,547.92523,2636.0925,-11.996684,30.159491325815907,-0.027159965,-8.159176e-05,0.0028477684,0.00012303423,1.0,40,0.020904047,7.929937e-06,0,-7.630362202868229e-07,0.13021755,0.043790806,2.6710215,0.24665897,0.08785266,4.4726014,7.791129e-06,1.8089298e-05,6.056691e-06,1.0509087e-05,8.130378e-06,6.10972e-06,4.5134607e-09,1.1891476e-08,5.580475e-09,3.9994994e-09,8.556498e-09,6.8615336e-09,1.0
12,12,69449.59,2662.4512,410.5386,2693.917,-8.765727,32.42349316665786,-0.02716276,-8.295232e-05,0.005582085,0.0001296391,1.0,40,0.02055614,7.630577e-06,0,-8.026428567643253e-07,0.119864136,0.06905314,2.5697258,0.19165038,0.084082685,4.3865223,7.676087e-06,1.22787e-05,7.950437e-06,1.172752e-05,8.058056e-06,7.760095e-06,5.887251e-09,4.755964e-09,7.767952e-09,5.108346e-09,4.8589577e-09,4.6207607e-09,1.0
13,13,47283.254,2713.4954,306.61597,2730.7637,-6.4468875,34.687490047566826,-0.027126087,-8.295231e-05,0.010977869,0.00013840102,1.0,40,0.020286262,7.428787e-06,0,-8.404550214915314e-07,0.12915961,0.041325096,2.3826804,0.17969191,0.083011545,4.1498537,1.0361416e-05,1.4423124e-05,1.0390056e-05,8.829156e-06,4.9521586e-06,8.816425e-06,3.8552486e-09,5.6522893e-09,3.7674432e-09,6.633389e-09,4.638647e-09,5.261416e-09,1.0
14,14,32196.41,2748.6274,237.56657,2758.875,-4.939854,36.81549238858861,-0.027155586,-8.054806e-05,0.020807855,0.00015428865,1.0,40,0.02139548,7.755147e-06,0,-8.826005708898871e-07,0.15606189,0.065176085,2.1114933,0.17095713,0.093972236,3.7069457,8.818228e-06,2.2628323e-05,1.3642947e-05,7.4474406e-06,8.813992e-06,1.1233699e-05,3.2623448e-09,5.204059e-09,3.3995207e-09,6.065647e-09,4.5590363e-09,6.4660477e-09,1.0
15,15,21915.822,2778.5974,194.70891,2785.4111,-4.0084224,38.94349686303758,-0.027157057,-7.995166e-05,0.037297226,0.00018225085,1.0,40,0.021722393,7.798631e-06,0,-9.273017220359381e-07,0.13297214,0.06244051,1.965622,0.16568135,0.081275776,3.4922645,6.7360256e-06,1.472749e-05,1.1945711e-05,1.4001972e-05,7.446062e-06,7.975679e-06,3.4959544e-09,6.7327544e-09,3.0274971e-09,4.857891e-09,5.770696e-09,4.9472924e-09,1.0
16,16,14919.832,2800.3418,171.25371,2805.5735,-3.4995406,41.071483070758404,-0.027157525,-7.818107e-05,0.062289696,0.0002320881,1.0,40,0.021374194,7.6184756e-06,0,-9.693030039135616e-07,0.1482533,0.04702823,1.9317354,0.19550829,0.07281989,3.3697705,8.120718e-06,1.5816235e-05,1.3018136e-05,1.9520186e-05,6.7513015e-06,5.7745733e-06,3.6680323e-09,7.594085e-09,5.2121982e-09,7.222949e-09,4.2699817e-09,4.6113757e-09,1.0
17,17,10159.962,2821.4575,162.32623,2826.1233,-3.2927542,43.19949791851104,-0.027164046,-8.209497e-05,0.09650268,0.00031837178,1.0,40,0.02027456,7.1739832e-06,0,-1.0228066428133438e-06,0.16101533,0.038537093,2.0022523,0.2092917,0.0804246,3.4837027,7.341339e-06,2.2369773e-05,9.220985e-06,1.6123626e-05,7.1471254e-06,6.259961e-06,4.075672e-09,6.4920638e-09,3.4043046e-09,9.726601e-09,4.5176334e-09,2.5559972e-09,1.0
18,18,6916.754,2847.107,169.18727,2852.1294,-3.400761,45.477206853363896,-0.027144087,-7.2664276e-05,0.13600351,0.00047857175,1.0,40,0.020282758,7.111444e-06,0,-1.07193253468808e-06,0.15377638,0.06625507,1.9783361,0.20208108,0.087208085,3.4375408,7.802266e-06,2.0383575e-05,1.1071552e-05,1.4284033e-05,6.7475034e-06,6.785816e-06,4.750699e-09,4.732572e-09,5.612995e-09,8.002155e-09,3.2971712e-09,4.70526e-09,1.0
19,19,4708.491,2872.9465,189.58717,2879.1953,-3.7755027,47.71783023982425,-0.02714774,-6.5917426e-05,0.17829101,0.0007730455,1.0,40,0.020305362,7.0524434e-06,0,-1.1177878412574702e-06,0.14570427,0.06887585,1.9690092,0.17427526,0.12520649,3.4185007,5.6091226e-06,1.7367998e-05,9.620113e-06,1.7030736e-05,8.433459e-06,5.7462944e-06,5.1916977e-09,4.828811e-09,5.1464366e-09,4.7480024e-09,2.658622e-09,4.047095e-09,1.0
20,20,3206.0295,2903.1611,226.06268,2911.9492,-4.4525104,49.93371183841373,-0.027151896,-6.7054316e-05,0.21959564,0.0013234693,1.0,40,0.020312665,6.9756247e-06,0,-1.1639840691749567e-06,0.14954627,0.12582386,1.9772638,0.18561229,0.14885393,3.4646726,8.6127875e-06,2.0104879e-05,9.609601e-06,1.1439021e-05,8.964117e-06,8.09e-06,3.373839e-09,5.7240275e-09,6.239127e-09,5.3841567e-09,3.707845e-09,4.3849715e-09,1.0
21,21,2182.901,2940.2712,280.8161,2953.6506,-5.455593,52.15097413037438,-0.027174426,-7.8125144e-05,0.25963554,0.0023468747,1.0,40,0.020314133,6.8776358e-06,0,-1.2051509891789464e-06,0.1407817,0.11026136,1.9649742,0.17080767,0.11923519,3.485482,7.106111e-06,1.8275037e-05,7.342033e-06,1.4777175e-05,5.952454e-06,7.4610493e-06,3.005235e-09,5.158523e-09,3.1380416e-09,7.259907e-09,2.555624e-09,4.010806e-09,1.0
22,22,1486.4281,2981.4214,357.69458,3002.8018,-6.8413343,54.36557695551892,-0.027161922,-7.490082e-05,0.29933938,0.0042475183,1.0,40,0.02031351,6.7648525e-06,0,-1.2496983698018893e-06,0.14411265,0.068032645,1.9654866,0.19256845,0.090951465,3.5322754,9.4516445e-06,2.0005005e-05,6.538825e-06,1.304525e-05,5.897163e-06,7.775944e-06,4.3836303e-09,4.863698e-09,4.431095e-09,6.7640076e-09,4.080481e-09,4.672696e-09,1.0
23,23,1012.2657,3028.5183,466.3733,3064.2173,-8.75443,56.57731223394512,-0.027153984,-7.292521e-05,0.33712578,0.007809445,1.0,40,0.020315114,6.629789e-06,0,-1.2990556596320553e-06,0.14595117,0.06076907,1.9591067,0.21472102,0.07960298,3.6202865,9.4824345e-06,1.8108725e-05,6.0543002e-06,1.679172e-05,5.4307243e-06,6.951432e-06,3.0431657e-09,7.950375e-09,3.823937e-09,7.657187e-09,4.4167017e-09,4.0323234e-09,1.0
24,24,688.8978,3089.7117,609.0801,3149.174,-11.151824,59.04707893793238,-0.0271625,-2.3922155e-06,0.37930706,0.014188823,1.0,41,0.020359127,6.46491e-06,0,-1.304201846048525e-06,0.15983182,0.04984534,2.1230757,0.13286881,0.015452306,0.6083006,1.07222995e-05,2.1523105e-05,7.540111e-06,1.3211022e-05,9.256989e-06,8.843239e-06,1.0445678e-09,6.2067103e-09,4.661738e-10,5.6524505e-09,1.0437915e-09,4.9478205e-10,1.0
25,25,468.94922,3154.7456,821.78455,3260.023,-14.600594,61.26520424327464,-0.027137045,-9.056233e-06,0.41298696,0.026242848,1.0,41,0.020350304,6.2423806e-06,0,-1.3086057735961023e-06,0.15289417,0.06302807,2.113325,0.13636939,0.011775043,0.62663525,9.9218005e-06,1.7998127e-05,7.233466e-06,1.7862983e-05,7.673349e-06,6.341217e-06,7.80127e-10,6.044837e-09,5.609182e-10,5.8414606e-09,6.640899e-10,2.9871583e-10,1.0
26,26,319.28494,3231.4934,1119.0107,3419.7566,-19.100092,63.483221148577286,-0.02714746,-8.875477e-06,0.44545868,0.047696397,1.0,41,0.02034548,5.949394e-06,0,-1.3105316046516388e-06,0.14822473,0.05535444,2.1117208,0.13643983,0.015669711,0.6536926,5.0446797e-06,2.0243055e-05,1.0186165e-05,1.3876044e-05,7.146029e-06,6.8594163e-06,6.324366e-10,5.910341e-09,6.634305e-10,5.364612e-09,4.9989857e-10,5.731725e-10,1.0
27,27,217.43552,3322.8867,1539.2404,3662.081,-24.854696,65.68853954665246,-0.027154822,-9.919071e-06,0.47553578,0.08401178,1.0,41,0.020341463,5.5546184e-06,0,-1.311300606083402e-06,0.14582556,0.045835722,2.1227105,0.14425743,0.016665675,0.70206267,7.295533e-06,2.0428643e-05,4.180703e-06,1.409715e-05,7.2593807e-06,7.5215867e-06,6.7086353e-10,5.688705e-09,4.405246e-10,5.454703e-09,5.369198e-10,5.759532e-10,1.0
28,28,148.05719,3435.4197,2137.2734,4045.9915,-31.886932,67.9193892259791,-0.027144462,-9.531457e-06,0.5029566,0.14034624,1.0,41,0.02033066,5.0248896e-06,0,-1.321420939680138e-06,0.14462358,0.054817714,2.1333916,0.15452367,0.01729795,0.7829911,8.868868e-06,1.7960821e-05,7.290719e-06,1.2810392e-05,7.251147e-06,9.08288e-06,1.1336547e-09,5.2022617e-09,4.5615203e-10,5.5267275e-09,4.5828666e-10,6.741072e-10,1.0
29,29,100.80636,3574.6926,2993.564,4662.6016,-39.9439,70.12814167756005,-0.027135702,-7.326885e-06,0.5274043,0.21740231,1.0,41,0.020324336,4.359012e-06,0,-1.329548513892683e-06,0.13074699,0.048870828,2.1309226,0.17565799,0.02011336,0.89873135,6.571747e-06,1.7365279e-05,6.9900684e-06,1.3120877e-05,5.377417e-06,7.0883148e-06,1.088076e-09,5.399864e-09,3.844762e-10,5.2009193e-09,3.7154033e-10,6.818961e-10,1.0
30,30,68.616714,3760.479,4218.0444,5650.938,-48.282295,72.29477135383058,-0.027174203,-9.989912e-06,0.5498941,0.3063799,1.0,41,0.020317059,3.5953428e-06,0,-1.3385522536582934e-06,0.14474763,0.042661987,2.12435,0.2001657,0.026723176,1.0972153,8.767156e-06,1.9792446e-05,4.85031e-06,1.4030032e-05,6.8852873e-06,6.0557263e-06,1.5313182e-09,4.7922697e-09,5.4441307e-10,4.9875957e-09,7.1877926e-10,5.803771e-10,1.0
31,31,46.71924,4018.9087,5972.107,7198.45,-56.061554,74.39541892023408,-0.027145728,-6.861053e-06,0.5704227,0.3926214,1.0,41,0.02031302,2.8218603e-06,0,-1.3399143253131771e-06,0.14785254,0.047624312,2.132019,0.23165348,0.023309246,1.3707852,8.223067e-06,1.9035133e-05,7.078239e-06,1.4816941e-05,9.096953e-06,7.088541e-06,1.5022689e-09,4.174438e-09,5.1479215e-10,4.683854e-09,5.7048805e-10,4.905354e-10,1.0
32,32,31.801239,4395.952,8476.996,9549.024,-62.58991,76.4804422459274,-0.027150704,-8.830834e-06,0.59038335,0.46526465,1.0,41,0.020314697,2.1274107e-06,0,-1.3482595153743787e-06,0.16221422,0.06063271,2.1153774,0.27461144,0.040028334,1.8203053,5.98925e-06,2.2957776e-05,6.214956e-06,1.6955652e-05,8.935129e-06,6.120949e-06,1.4365407e-09,3.8539287e-09,5.2932003e-10,4.006628e-09,4.67629e-10,4.6911114e-10,1.0
33,33,21.656305,4955.1826,12032.282,13012.673,-67.61696,78.55145834430004,-0.02714694,-8.210293e-06,0.6107842,0.52221674,1.0,41,0.02030716,1.560568e-06,0,-1.3512293347094504e-06,0.14554635,0.057817698,2.1204226,0.33656147,0.052766018,2.508227,5.2111955e-06,1.8356202e-05,6.2590025e-06,1.5130209e-05,9.407851e-06,7.752094e-06,1.603978e-09,3.2964902e-09,6.8760536e-10,3.4886478e-09,4.3182227e-10,4.9158533e-10,1.0
