True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,167.60951,1373.5732,1383.7617,-83.04291,58.7944876725378,-0.08113095,6.0214397e-06,1.655271e-05,1.6309858e-05,2.0,40,0.009888199,7.145883e-06,0,3.4695634342263428e-09,2.0
111,111,6057573.0,184.07407,1646.3453,1656.6039,-83.620384,59.213492732465966,-0.08116344,-8.546694e-06,1.5958813e-05,1.5761774e-05,2.0,40,0.014093362,8.507382e-06,0,3.6120892420924423e-09,2.0
112,112,5242039.0,187.45901,1855.7982,1865.2421,-84.23197,59.49648021257599,-0.081132874,3.0444833e-06,1.636022e-05,1.6194974e-05,2.0,40,0.019459696,1.0432799e-05,0,5.365685649594276e-11,2.0
113,113,4536288.0,124.37919,2193.367,2196.8906,-86.7544,60.73150533789885,-0.08121299,2.6859376e-05,1.5995884e-05,1.5944612e-05,2.0,40,0.018196972,8.2830575e-06,0,-2.19221520143118e-08,2.0
114,114,3925558.5,164.35672,2507.0012,2512.383,-86.24911,61.150495224486804,-0.081187814,1.8351363e-06,1.6172015e-05,1.6102804e-05,2.0,40,0.02046395,8.1452345e-06,0,-2.344708663137175e-08,2.0
115,115,3397055.0,228.16583,2838.7468,2847.9016,-85.4047,61.433482571243076,-0.0811619,-1.8165654e-05,1.6504064e-05,1.6398128e-05,2.0,40,0.021303276,7.480341e-06,0,-2.602444167434189e-08,2.0
116,116,2939708.2,247.30284,3269.8538,3279.1924,-85.67489,61.85248717779177,-0.081189305,-2.6389238e-05,1.6557226e-05,1.6463055e-05,2.0,40,0.020263499,6.1794176e-06,0,-2.3673024679868475e-08,2.0
117,117,2543924.5,212.15887,3783.9316,3789.8748,-86.79088,62.271490024373634,-0.08119372,-1.24724065e-05,1.6533797e-05,1.6481983e-05,2.0,40,0.020773878,5.4814154e-06,0,-2.0341042574132187e-08,2.0
118,118,2201436.2,273.86566,4350.77,4359.381,-86.398186,62.69050593758584,-0.081223704,-8.9373825e-06,1.661682e-05,1.655124e-05,2.0,40,0.020741168,4.757824e-06,0,-3.195748016653803e-08,2.0
119,119,1905053.1,215.29706,5015.579,5020.1978,-87.54205,63.10949214416905,-0.08121627,-1.859358e-05,1.6656815e-05,1.662618e-05,2.0,40,0.02041069,4.0657146e-06,0,-3.0657758326960393e-08,2.0
120,120,1648567.4,218.98819,5812.7583,5816.882,-87.842476,63.694497265300015,-0.08122173,-2.2241177e-06,1.660853e-05,1.658499e-05,2.0,41,0.018836057,3.2381708e-06,0,-2.8299017949286132e-08,2.0
121,121,1426616.2,65.7777,6751.1123,6751.4326,-89.44177,63.9774948254053,-0.08121299,-5.034487e-07,1.6524855e-05,1.6523287e-05,2.0,41,0.021774588,3.2251803e-06,0,-2.803639192111134e-08,2.0
122,122,1234551.2,133.94252,7789.0947,7790.246,-89.01483,64.39649025865947,-0.081210755,1.5948697e-07,1.655099e-05,1.6546099e-05,2.0,41,0.021037465,2.7004878e-06,0,-2.8332625807726727e-08,2.0
123,123,1068345.5,207.7366,9063.344,9065.725,-88.68698,64.81550078521832,-0.08114528,-3.0527729e-06,1.6436901e-05,1.642827e-05,2.0,41,0.02077494,2.2915917e-06,0,-2.7521094794389356e-08,2.0
124,124,924510.06,208.35141,10394.462,10396.55,-88.85169,65.23448571175686,-0.081222676,1.6380569e-06,1.6561758e-05,1.6555108e-05,2.0,41,0.020232914,1.9461181e-06,0,-2.7266748846018196e-08,2.0
125,125,800039.0,-393.5998,11558.267,11564.967,-91.95037,65.65348159833229,-0.08123592,2.4965211e-06,1.7211401e-05,1.7191465e-05,2.0,41,0.020457888,1.7689534e-06,0,-2.7149583807544964e-08,2.0
126,126,692334.1,192.29736,13962.436,13963.76,-89.210945,66.07248572490062,-0.08118627,-1.2315613e-06,1.6464299e-05,1.6461176e-05,2.0,41,0.020307906,1.4543293e-06,0,-2.7773786102854932e-08,2.0
127,127,599122.25,594.7784,15843.55,15854.71,-87.85008,66.49148542483454,-0.08119643,-1.06804904e-07,1.6766879e-05,1.6743283e-05,2.0,41,0.020481547,1.2918273e-06,0,-2.737790044818765e-08,2.0
128,128,518454.94,391.28705,18543.86,18547.986,-88.7912,66.91048819138086,-0.081235126,2.9583418e-06,1.655423e-05,1.6546865e-05,2.0,41,0.020521522,1.1064016e-06,0,-2.635092504725003e-08,2.0
129,129,448662.03,396.62674,21524.46,21528.115,-88.94434,67.32948845127248,-0.081187725,2.2838742e-07,1.648043e-05,1.6474834e-05,2.0,41,0.020219795,9.392274e-07,0,-2.6640089277277566e-08,2.0
130,130,388258.97,318.18927,24722.596,24724.643,-89.26262,67.74849591116072,-0.08122711,1.3531437e-06,1.6580765e-05,1.657802e-05,2.0,41,0.020763999,8.398099e-07,0,-2.6166344114709776e-08,2.0
131,131,335983.9,4519.484,26526.104,26908.361,-80.330864,68.16749529106892,-0.08128849,5.816787e-06,1.7857808e-05,1.735404e-05,2.0,41,0.020308044,7.5471127e-07,0,-2.5560926693288896e-08,2.0
132,132,290751.2,805.9281,33156.723,33166.516,-88.607605,68.58648765765247,-0.081200615,1.8186879e-06,1.6509237e-05,1.649949e-05,2.0,41,0.020521538,6.1874266e-07,0,-2.47132054618435e-08,2.0
133,133,251605.19,1130.145,38413.402,38430.023,-88.31481,69.00548226424144,-0.08119598,2.9080625e-06,1.6467126e-05,1.6452883e-05,2.0,41,0.020456195,5.3229724e-07,0,-2.344795204109277e-08,2.0
134,134,217729.38,1288.0149,43596.027,43615.05,-88.307724,69.42450337743503,-0.08118277,-1.7678699e-06,1.6767031e-05,1.6752409e-05,2.0,41,0.020120265,4.6131473e-07,0,-2.368054827652206e-08,2.0
135,135,188418.58,1954.4442,50501.59,50539.395,-87.78372,69.84349363736692,-0.08121664,2.1911242e-06,1.6725971e-05,1.6700958e-05,2.0,41,0.020850766,4.1256462e-07,0,-2.304233415567837e-08,2.0
136,136,163051.14,791.0164,57475.867,57481.31,-89.21151,70.42949070516624,-0.081230335,-2.9043173e-07,1.6982858e-05,1.6979642e-05,2.0,42,0.019172374,3.33541e-07,0,-2.2963830697817438e-08,2.0
137,137,141098.2,867.6586,66486.33,66491.99,-89.25232,70.71250394530944,-0.081222564,-1.5092941e-07,1.6965485e-05,1.6962595e-05,2.0,42,0.020894617,3.142426e-07,0,-2.3002395202616475e-08,2.0
138,138,122105.11,-411.2384,78403.086,78404.164,-90.30052,71.13149321856326,-0.081273116,1.5210114e-07,1.6624674e-05,1.6624217e-05,2.0,42,0.020417515,2.6041366e-07,0,-2.3026252305127127e-08,2.0
139,139,105663.59,1845.0433,88595.43,88614.64,-88.80696,71.41449765863945,-0.08123343,-2.0270717e-07,1.700135e-05,1.6993981e-05,2.0,42,0.021802202,2.4603386e-07,0,-2.3022534094647125e-08,2.0
140,140,91439.65,1986.67,101227.086,101246.58,-88.87566,71.83349957186147,-0.081239276,-3.1259543e-07,1.7194472e-05,1.7187853e-05,2.0,42,0.020260097,2.0010648e-07,0,-2.309935828064654e-08,2.0
141,141,79127.08,1988.0244,117714.6,117731.39,-89.03245,72.11650281198672,-0.08118949,-2.533675e-07,1.7086955e-05,1.7082082e-05,2.0,42,0.021268874,1.8065593e-07,0,-2.3077297899734402e-08,2.0
142,142,68475.36,4846.3833,138540.78,138625.52,-87.99651,72.535496911878,-0.08122568,4.6869232e-08,1.6776763e-05,1.675626e-05,2.0,42,0.020297648,1.4642072e-07,0,-2.3082635137057662e-08,2.0
143,143,59252.523,3326.6748,157865.52,157900.56,-88.79279,72.8184997253411,-0.081178114,-2.9676406e-07,1.7014767e-05,1.7007214e-05,2.0,42,0.02098408,1.3289427e-07,0,-2.310141676038017e-08,2.0
