True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,THD_I,NSD_I,NSR_I,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
42,42,7000018.5,69.85393,156.92873,171.77368,-66.00465,131.68049617446377,0.08734409,-0.0046103112,0.00014488335,0.000120923345,2.0,39,0.01688562,9.8301556e-05,0,-2.0975761712010657e-05,3.3430529,0.10017871,3.1806738,6.208015,0.17815945,4.8994493,6.628067e-05,8.529774e-06,0.00015801226,0.0005375319,5.9650556e-06,9.103211e-06,2.0825148e-07,1.006101e-07,7.8116636e-07,6.0456223e-06,6.73313e-08,1.13344846e-07,2.0
43,43,4765894.0,74.97527,202.55533,215.98601,-69.68811,134.2995010188606,0.087371185,-0.0034341011,0.00016486636,0.00014500006,2.0,39,0.020027455,9.2725706e-05,0,-2.3160652750242003e-05,1.8524392,0.1292046,1.6304733,2.6451526,0.15708455,3.3525035,0.00036968838,1.0922072e-05,4.735669e-06,1.073553e-05,2.3881277e-05,9.031341e-06,2.4198548e-06,1.5016013e-07,1.7977129e-07,2.0521598e-07,2.0924041e-07,6.903473e-08,2.0
44,44,3244822.5,92.62678,273.10422,288.38452,-71.26498,136.42750623993925,0.08734828,-0.0034542459,0.0001795977,0.00016106963,2.0,39,0.020523038,7.116553e-05,0,-2.5209597602394398e-05,2.9738207,0.066997506,1.5957465,6.0359964,0.13543597,3.6472783,0.00060843,4.497082e-05,8.053055e-06,9.8990095e-06,5.664288e-06,6.4933756e-06,4.2896754e-06,1.0064078e-07,7.966801e-08,6.9520496e-08,8.212146e-08,1.05072985e-07,2.0
45,45,2209211.8,124.81615,374.15622,394.4261,-71.55163,138.6925014675071,0.08732801,-0.0034497688,0.00019254393,0.00017326247,2.0,39,0.021650448,5.4891017e-05,0,-2.7450736835510422e-05,0.934149,0.04861042,1.4870318,1.6326272,0.12398508,4.016131,0.00018198718,8.696205e-05,6.3351313e-06,7.758432e-06,6.4998044e-06,6.4000305e-06,7.3611983e-07,4.562643e-07,1.4781227e-07,9.044296e-08,6.694938e-08,8.142277e-08,2.0
46,46,1504119.6,235.12483,612.6813,656.2485,-69.00501,141.26050236282754,0.08733509,-0.00033637314,0.0001727043,0.0001505344,2.0,40,0.018698554,2.8493103e-05,0,-2.8013076852625796e-05,0.4195231,0.09912757,1.8798156,0.96257657,0.09482786,2.670799,7.032601e-05,2.34658e-05,1.0215178e-05,1.5066937e-05,1.17316085e-05,9.437453e-06,1.614652e-07,9.170136e-08,7.911066e-08,1.190861e-07,6.971202e-08,9.336926e-08,2.0
47,47,1024068.44,359.1547,803.9089,880.4894,-65.926796,143.5254847370379,0.0873399,-0.00033497452,0.00019332334,0.0001611572,2.0,40,0.020492103,2.3273538e-05,0,-2.8220247284550625e-05,0.24174884,0.04482021,1.7159268,0.76081353,0.075179204,2.2918246,3.6356818e-05,1.9178477e-05,4.843927e-06,1.5681084e-05,1.3940753e-05,1.3777527e-05,7.4639544e-08,3.982618e-08,3.8965947e-08,5.2535565e-08,7.523225e-08,1.0128796e-07,2.0
48,48,697233.1,535.4324,1028.59,1159.6056,-62.500774,145.79048367132782,0.0873385,-0.00034442902,0.00022192173,0.00017460786,2.0,40,0.021208368,1.8289295e-05,0,-2.8444685790912747e-05,0.14941156,0.05953463,1.6219244,0.4788262,0.045555227,2.1941643,1.558918e-05,1.7431028e-05,7.926403e-06,1.4728739e-05,7.902197e-06,7.1083755e-06,2.8328307e-08,2.8204298e-08,3.2338345e-08,3.0176544e-08,3.1184342e-08,4.440655e-08,2.0
49,49,474706.8,769.5067,1290.2828,1502.3217,-59.18874,148.05549476554734,0.08734622,-0.00034094186,0.00025984226,0.00019166982,2.0,40,0.02130252,1.4179733e-05,0,-2.8638637950910024e-05,0.12530409,0.042097796,1.6333299,0.43375403,0.07099355,2.241265,1.2186913e-05,1.4904716e-05,5.4606603e-06,1.11927175e-05,5.8190326e-06,9.298549e-06,2.0258431e-08,1.4682263e-08,2.2343492e-08,3.380128e-08,1.936254e-08,2.431434e-08,2.0
50,50,323198.12,1070.1484,1598.296,1923.478,-56.195484,150.32048444650718,0.0873388,-0.00033685798,0.00030810168,0.0002127326,2.0,40,0.02137767,1.111407e-05,0,-2.8862872688399978e-05,0.12414016,0.06373335,1.6270714,0.35752118,0.06652289,2.3050947,9.796502e-06,1.5924848e-05,4.3878963e-06,9.058735e-06,1.057047e-05,8.6034615e-06,1.035951e-08,1.1432969e-08,1.4957898e-08,1.717512e-08,1.5939206e-08,1.905583e-08,2.0
51,51,220049.0,1477.3297,1965.7122,2458.9688,-53.07333,152.5854884207074,0.08732955,-0.00034118435,0.00036794323,0.00023513357,2.0,40,0.021735383,8.839227e-06,0,-2.906240617489089e-05,0.10962377,0.07392558,1.6204143,0.28868645,0.08615494,2.6011248,5.388256e-06,1.583884e-05,6.236505e-06,9.291644e-06,5.177118e-06,8.290841e-06,5.3348543e-09,7.0838975e-09,1.0521638e-08,1.4916008e-08,1.3204947e-08,7.83333e-09,2.0
