True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
550,550,7000018.5,172.046,1520.0901,1529.7953,-83.542656,285.4134920630313,-0.09250019,1.44682845e-05,1.4957246e-05,1.4768067e-05,6.0,40,0.009932039,6.4923975e-06,0,1.5425762149857568e-09,6.0
551,551,6057573.0,245.08038,1789.7798,1806.4817,-82.2028,285.8325142162794,-0.092431284,-2.0454145e-05,1.4679858e-05,1.44096675e-05,6.0,40,0.01413456,7.824358e-06,0,-2.1880826133181664e-10,6.0
552,552,5242039.0,217.3864,2064.986,2076.397,-83.99046,286.11551172306645,-0.09246318,9.978874e-07,1.4702892e-05,1.4541735e-05,6.0,40,0.019598031,9.43848e-06,0,4.066944421843546e-10,6.0
553,553,4536288.0,112.42913,2397.3562,2399.991,-87.31496,287.3505131684069,-0.092462994,5.0538615e-06,1.4634805e-05,1.460269e-05,6.0,40,0.018761808,7.81745e-06,0,1.1386884104116233e-09,6.0
554,554,3925558.5,215.22049,2808.9607,2817.1936,-85.6186,287.63349334182567,-0.09249137,-8.211783e-06,1.4433545e-05,1.4349307e-05,6.0,40,0.018370047,6.5206905e-06,0,-5.368406688323427e-10,6.0
555,555,3397055.0,293.2928,3198.3628,3211.7822,-84.760574,287.9165009019489,-0.09250764,-6.6489283e-06,1.4648388e-05,1.4526236e-05,6.0,40,0.01952159,6.0781176e-06,0,-4.0261544551542826e-10,6.0
556,556,2939708.2,301.6317,3603.8486,3616.4495,-85.21566,288.19950992873055,-0.092509575,-7.2070834e-06,1.5022748e-05,1.49182415e-05,6.0,40,0.021457259,5.9332388e-06,0,-2.1054710435771304e-10,6.0
557,557,2543924.5,286.3557,4227.4253,4237.113,-86.12484,288.6185017886164,-0.09248632,-1.816566e-05,1.4799259e-05,1.4731664e-05,6.0,40,0.020530654,4.845435e-06,0,-4.509141631140245e-09,6.0
558,558,2201436.2,355.02463,4851.185,4864.1587,-85.81438,289.03749580853037,-0.09252539,4.049173e-06,1.4902741e-05,1.4823351e-05,6.0,40,0.020962002,4.3094815e-06,0,-6.869284956291959e-09,6.0
559,559,1905053.1,179.0653,5604.532,5607.392,-88.17001,289.6235074096767,-0.09254792,1.0924231e-06,1.4906431e-05,1.48912295e-05,6.0,41,0.019585056,3.4927211e-06,0,-2.811554383677084e-09,6.0
560,560,1648567.4,108.38326,6510.988,6511.8896,-89.04633,290.0425087095646,-0.09249769,-8.796105e-07,1.4827452e-05,1.4823347e-05,6.0,41,0.019955687,3.0645e-06,0,-1.9975378822829624e-09,6.0
561,561,1426616.2,172.4273,7538.0146,7539.9863,-88.68962,290.46150136951474,-0.09251686,7.740053e-07,1.4799806e-05,1.4792066e-05,6.0,41,0.020237496,2.684023e-06,0,-1.6746292187991408e-09,6.0
562,562,1234551.2,119.92952,8769.634,8770.454,-89.2165,290.88050186939654,-0.09248482,-1.4159177e-06,1.4700414e-05,1.4697664e-05,6.0,41,0.02079522,2.371054e-06,0,-1.7006164671882947e-09,6.0
563,563,1068345.5,127.287025,10482.053,10482.825,-89.304276,291.29949908927665,-0.092477135,-9.9719415e-09,1.4212224e-05,1.4210131e-05,6.0,41,0.020704346,1.975073e-06,0,-2.5857961504036136e-09,6.0
564,564,924510.06,278.19724,11632.153,11635.4795,-88.62996,291.71849462916725,-0.09250268,-7.701028e-08,1.4799546e-05,1.4791085e-05,6.0,41,0.02042563,1.7554611e-06,0,-1.9154501417723877e-09,6.0
565,565,800039.0,1621.5989,14439.582,14530.352,-83.5924,292.1375081424194,-0.0925294,1.6361943e-06,1.3776989e-05,1.36054e-05,6.0,41,0.02085414,1.4352123e-06,0,-2.8229787580077805e-09,6.0
566,566,692334.1,108.028336,15514.174,15514.55,-89.60104,292.55650690899347,-0.09249383,1.2954157e-06,1.4817528e-05,1.4816809e-05,6.0,41,0.020330945,1.3104437e-06,0,-1.9916393847726846e-09,6.0
567,567,599122.25,414.32242,18006.3,18011.066,-88.68186,292.97550735555706,-0.09248109,-7.660167e-07,1.4752995e-05,1.4745189e-05,6.0,41,0.020749278,1.1520294e-06,0,-2.5855702505422288e-09,6.0
568,568,518454.94,158.87817,20644.195,20644.807,-89.55906,293.3945169754734,-0.09252055,4.582162e-06,1.48700055e-05,1.4869125e-05,6.0,41,0.020329714,9.847374e-07,0,-1.8015257511495699e-09,6.0
569,569,448662.03,650.305,23767.156,23776.05,-88.43269,293.8135023820505,-0.09247971,9.2111736e-07,1.4925317e-05,1.4914152e-05,6.0,41,0.020149382,8.4746546e-07,0,-1.8899840802189478e-09,6.0
570,570,388258.97,493.64252,27628.117,27632.527,-88.97638,294.23249861525255,-0.09250878,1.2414125e-06,1.4837043e-05,1.4832307e-05,6.0,41,0.020916333,7.5694606e-07,0,-1.36961360337779e-09,6.0
571,571,335983.9,1450.251,32791.316,32823.37,-87.46765,294.6515091951878,-0.09250636,2.772123e-06,1.4445839e-05,1.4417638e-05,6.0,41,0.020394677,6.213462e-07,0,-6.581240014786142e-10,6.0
572,572,290751.2,746.43445,36453.586,36461.227,-88.82696,295.0704980417213,-0.09247173,-9.429241e-07,1.5016142e-05,1.5009849e-05,6.0,41,0.02060294,5.6506434e-07,0,-7.913883217678633e-10,6.0
