True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,192.12518,1638.3246,1649.5513,-83.311516,2.470487104001222,0.04470395,1.2440291e-05,1.3877812e-05,1.3689553e-05,1.0,40,0.009974385,6.046726e-06,0,2.4927040551321825e-09,1.0
1,1,6057573.0,262.09174,1928.7765,1946.5022,-82.26176,3.022488996881293,0.044738624,-8.844388e-06,1.362196e-05,1.33749945e-05,1.0,40,0.014118782,7.2534117e-06,0,1.8724361600940633e-09,1.0
2,2,5242039.0,241.647,2239.2078,2252.2087,-83.84069,3.4384944566118065,0.04474138,-3.6534652e-06,1.3558933e-05,1.3402845e-05,1.0,40,0.019591264,8.698689e-06,0,1.966303069379036e-09,1.0
3,3,4536288.0,165.55663,2583.4355,2588.7349,-86.333275,4.806493961572414,0.04472603,-9.625792e-06,1.3580691e-05,1.3525148e-05,1.0,40,0.01947589,7.5233233e-06,0,-9.032778833392917e-09,1.0
4,4,3925558.5,244.72327,2994.702,3004.6846,-85.32824,5.222499128052732,0.044682242,-1.2007289e-05,1.3538329e-05,1.344852e-05,1.0,40,0.018716007,6.2289423e-06,0,-8.554552340974118e-09,1.0
5,5,3397055.0,294.93045,3394.1533,3406.943,-85.03384,5.638488481141394,0.044688802,-1.2565447e-05,1.3803401e-05,1.3699958e-05,1.0,40,0.01980634,5.8135224e-06,0,-8.47775708541576e-09,1.0
6,6,2939708.2,339.6511,3884.9956,3899.8145,-85.00354,6.054496607539477,0.044689715,-1.3532916e-05,1.3935591e-05,1.3829884e-05,1.0,40,0.021736694,5.5737764e-06,0,-7.750247706351527e-09,1.0
7,7,2543924.5,373.86774,4465.966,4481.5874,-85.214645,6.606502740440192,0.044653736,-1.6230706e-05,1.4008786e-05,1.3911295e-05,1.0,40,0.020479513,4.5697006e-06,0,-1.4894601067579869e-08,1.0
8,8,2201436.2,388.5168,5101.925,5116.6963,-85.64527,7.158483620005427,0.044670768,-1.5839987e-05,1.417033e-05,1.408863e-05,1.0,40,0.02088312,4.081368e-06,0,-1.8606912072300473e-08,1.0
9,9,1905053.1,209.47694,5932.052,5935.749,-87.97757,7.877485040778993,0.04465137,-3.0434778e-06,1.4083419e-05,1.406588e-05,1.0,41,0.019743798,3.3262522e-06,0,-1.796293082960195e-08,1.0
10,10,1648567.4,311.54135,6975.4336,6982.387,-87.44272,8.429481520346599,0.044670396,-1.186871e-06,1.3840196e-05,1.3812643e-05,1.0,41,0.019877488,2.846804e-06,0,-1.7265357934129435e-08,1.0
11,11,1426616.2,273.43994,7948.332,7953.034,-88.02968,8.981478319881717,0.044663742,-1.0155504e-06,1.4035794e-05,1.4019201e-05,1.0,41,0.020301815,2.552713e-06,0,-1.709312456090749e-08,1.0
12,12,1234551.2,349.2715,9210.023,9216.644,-87.82822,9.533482612780062,0.044675965,-7.6974254e-07,1.3997493e-05,1.3977392e-05,1.0,41,0.020718511,2.2479453e-06,0,-1.681979319751845e-08,1.0
13,13,1068345.5,441.3613,10660.548,10669.681,-87.62923,10.08549783899798,0.044665866,-2.9488666e-07,1.3974263e-05,1.395035e-05,1.0,41,0.020686477,1.9388094e-06,0,-1.675129902401472e-08,1.0
