True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,THD_I,NSD_I,NSR_I,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
0,0,7000018.5,81.1075,365.3081,374.20374,-77.481964,5.149479897896526,0.03198881,0.00013654534,6.223886e-05,5.931493e-05,1.0,40,0.018034797,4.819513e-05,0,1.375538044731507e-07,0.98330855,0.07785625,4.1333866,2.2736435,0.23430349,19.100416,3.769738e-05,2.0831132e-05,0.00013736292,9.4867755e-05,1.1774343e-05,7.667151e-06,1.5289517e-07,2.2162607e-07,5.6205766e-07,8.4563544e-07,1.05843945e-07,1.2346494e-07,1.0
1,1,4765894.0,121.90114,416.0638,433.5539,-73.67012,7.22350092974375,0.03201377,0.00012849229,8.0263075e-05,7.391788e-05,1.0,40,0.019214554,4.431872e-05,0,2.1333637485769133e-07,1.9189149,0.119850464,3.9406106,4.5766325,0.20228298,12.162215,0.0003561826,1.3101183e-05,6.158461e-06,9.191488e-05,1.4318574e-05,9.596583e-06,1.3307035e-06,1.0761613e-07,8.785786e-08,1.5083056e-06,1.3860377e-07,1.1683844e-07,1.0
2,2,3244822.5,174.97418,509.8962,539.08264,-71.06001,9.488493677316,0.0319814,0.00013188506,9.619387e-05,8.605979e-05,1.0,40,0.018380517,3.4095916e-05,0,2.9302565331646393e-07,4.5323334,0.06701311,4.1048107,9.520535,0.15070999,11.292915,0.0008321264,3.394413e-05,7.997948e-06,7.904192e-06,8.7521785e-06,1.0002001e-05,3.2386527e-06,8.977883e-08,6.519642e-08,7.9931006e-08,1.1757e-07,9.09881e-08,1.0
3,3,2209211.8,263.03802,672.46533,722.07935,-68.63681,11.75248781152186,0.031959537,0.00013408475,0.00010713044,9.291436e-05,1.0,40,0.02019028,2.7961303e-05,0,3.880758462324694e-07,0.9100614,0.079538845,3.7674985,1.7412325,0.15521583,9.671106,0.00017490471,5.241486e-05,7.3093543e-06,6.8887402e-06,1.1970934e-05,9.556896e-06,4.063561e-07,1.201792e-07,9.269596e-08,1.1515817e-07,9.8213604e-08,1.1403686e-07,1.0
4,4,1504119.6,427.51843,874.1827,973.1225,-63.939087,14.017502452450572,0.031964988,0.00014219379,0.00012104185,9.767984e-05,1.0,40,0.021161282,2.1745755e-05,0,4.580620477321102e-07,0.35898763,0.10499403,3.5446491,1.1593779,0.1895037,8.212513,6.042137e-05,3.6445508e-05,1.1883582e-05,1.7298222e-05,1.1259342e-05,8.3534605e-06,1.1483092e-07,8.560247e-08,1.1094721e-07,9.512459e-08,1.18611645e-07,7.648508e-08,1.0
5,5,1024068.44,687.85846,1086.9253,1286.2954,-57.67241,16.28249354669242,0.031953175,0.0001456611,0.00014298531,0.00010209616,1.0,40,0.020755252,1.613568e-05,0,5.380716632072209e-07,0.17734343,0.06324579,3.6051621,1.0311067,0.104581825,7.8602257,2.4537532e-05,1.5110927e-05,5.948159e-06,1.34383745e-05,5.703379e-06,1.2340065e-05,4.322079e-08,3.3179447e-08,6.077223e-08,5.630802e-08,1.0498767e-07,6.664585e-08,1.0
6,6,697233.1,1050.29,1262.0836,1641.9392,-50.2332,18.54749597425689,0.03194493,0.00014299541,0.00018086476,0.00010686023,1.0,40,0.021249108,1.294147e-05,0,6.105893560920776e-07,0.1709846,0.06727118,3.5326939,0.7597803,0.084121384,7.486765,2.7749164e-05,9.764208e-06,9.940969e-06,8.764216e-06,9.9691515e-06,6.61424e-06,2.7720612e-08,3.3325588e-08,3.6529453e-08,2.8911698e-08,3.939708e-08,4.6290797e-08,1.0
7,7,474706.8,1491.1743,1350.6722,2011.9435,-42.16958,20.812503041845048,0.031962465,0.0001395281,0.00024822453,0.000111869864,1.0,40,0.021512398,1.0692347e-05,0,6.917693367780784e-07,0.14216839,0.0413525,3.4710462,0.6985689,0.10534566,7.1065207,1.2943691e-05,1.3339225e-05,7.861501e-06,9.807655e-06,1.3458787e-05,1.1046827e-05,1.6544753e-08,2.0425034e-08,2.566358e-08,2.764994e-08,3.1072865e-08,4.1523e-08,1.0
8,8,323198.12,1946.7145,1319.4421,2351.728,-34.128593,23.07749421612243,0.031946965,0.00014418844,0.0003732166,0.00011748095,1.0,40,0.021034596,8.944315e-06,0,7.655649308681202e-07,0.1494924,0.068206064,3.5814588,0.5885735,0.08656457,7.009724,1.14048225e-05,1.6138565e-05,7.819739e-06,1.01334745e-05,1.4568966e-05,1.0793043e-05,1.2671101e-08,1.8666677e-08,1.342818e-08,1.837084e-08,2.7507467e-08,2.7229317e-08,1.0
9,9,220049.0,2357.1416,1181.0157,2636.4587,-26.612577,25.342492777010193,0.031946067,0.00013507274,0.0006124139,0.00012288941,1.0,40,0.021351269,8.098465e-06,0,8.384332858746449e-07,0.11656567,0.06678305,3.5635526,0.3936888,0.11308492,7.0461564,8.5196425e-06,7.470258e-06,7.868652e-06,1.5424404e-05,7.3428523e-06,7.1688046e-06,6.2146595e-09,6.7106107e-09,1.023452e-08,1.786335e-08,1.0044328e-08,1.8215971e-08,1.0
