True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
220,220,7000018.5,202.1088,1615.5804,1628.1732,-82.869354,116.10749324809876,-0.0990582,-8.695389e-06,1.40731845e-05,1.3856334e-05,3.0,40,0.009965088,6.1204105e-06,0,1.4808557289617004e-08,3.0
221,221,6057573.0,290.42233,1795.5283,1818.8643,-80.81212,116.52648524133838,-0.099012814,-9.383892e-06,1.4632861e-05,1.4259792e-05,3.0,40,0.014068954,7.735021e-06,0,1.1727419732690475e-08,3.0
222,222,5242039.0,225.64159,2044.0682,2056.4846,-83.70071,116.80950872143148,-0.09898493,-4.493879e-05,1.4853353e-05,1.4674535e-05,3.0,40,0.019598896,9.53029e-06,0,1.2032658933328142e-08,3.0
223,223,4536288.0,112.635574,2547.825,2550.3135,-87.46869,117.9084978136525,-0.09890377,-4.616673e-05,1.37705065e-05,1.3743646e-05,3.0,40,0.022051085,8.6464215e-06,0,6.370887285653677e-09,3.0
224,224,3925558.5,133.8546,2868.8484,2871.9695,-87.328636,118.19150246711797,-0.09911924,5.109711e-06,1.41322425e-05,1.4101543e-05,3.0,40,0.02007331,6.989388e-06,0,5.46169800594508e-09,3.0
225,225,3397055.0,326.22293,3297.8125,3313.9084,-84.350624,118.47450717390166,-0.09902386,-6.527446e-05,1.4206647e-05,1.4068976e-05,3.0,40,0.02119561,6.395955e-06,0,6.595870099205135e-10,3.0
226,226,2939708.2,503.37894,3813.35,3846.4307,-82.48019,118.89349890043377,-0.09921234,4.773466e-05,1.4197413e-05,1.3954258e-05,3.0,40,0.02091758,5.4381794e-06,0,-2.3208576967147387e-09,3.0
227,227,2543924.5,340.9271,4342.93,4356.2915,-85.51139,119.31250406699837,-0.09916455,3.4580644e-05,1.4405658e-05,1.4317424e-05,3.0,40,0.020423343,4.688241e-06,0,2.6357695662114642e-09,3.0
228,228,2201436.2,283.28076,4939.1226,4947.2397,-86.71743,119.731488380261,-0.09902292,-4.0845593e-05,1.4637409e-05,1.45894155e-05,3.0,40,0.020866508,4.217808e-06,0,-1.70025173859815e-10,3.0
229,229,1905053.1,182.98206,5901.5786,5904.4146,-88.224075,120.31649619471864,-0.09923664,4.840995e-06,1.41561395e-05,1.4142544e-05,3.0,41,0.019357156,3.278421e-06,0,-3.6188668090016108e-09,3.0
