True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
220,220,7000018.5,96.65411,1706.918,1709.6523,-86.759094,115.87149206359754,-0.090762146,1.1882164e-05,1.3320126e-05,1.3277551e-05,3.0,40,0.010061725,5.885246e-06,0,2.193098707475401e-08,3.0
221,221,6057573.0,268.77832,1897.9702,1916.9071,-81.939735,116.2904869368358,-0.09081727,1.8468352e-05,1.384306e-05,1.3570903e-05,3.0,40,0.014095179,7.353084e-06,0,2.030603143469229e-08,3.0
222,222,5242039.0,175.1629,2329.7122,2336.2878,-85.70022,116.57349353694008,-0.09075039,-5.1976785e-06,1.3032197e-05,1.295894e-05,3.0,40,0.019782225,8.467375e-06,0,2.0673087129560152e-08,3.0
223,223,4536288.0,199.09196,2567.5642,2575.2715,-85.566086,117.67248942909646,-0.09071495,-5.814861e-05,1.36646395e-05,1.3582971e-05,3.0,40,0.020733953,8.051172e-06,0,1.208383791927946e-08,3.0
224,224,3925558.5,234.44101,2901.8494,2911.3042,-85.381096,117.95549850919633,-0.09084889,4.1539053e-05,1.3971525e-05,1.3880924e-05,3.0,40,0.01953758,6.710937e-06,0,1.3794967495874093e-08,3.0
225,225,3397055.0,316.38223,3243.7236,3259.1165,-84.42918,118.23849732268718,-0.09087988,2.37151e-05,1.4443543e-05,1.430743e-05,3.0,40,0.020746874,6.365797e-06,0,1.4180623764267825e-08,3.0
226,226,2939708.2,544.232,3673.104,3713.2036,-81.57198,118.65748638255172,-0.090883456,-8.118725e-06,1.4739497e-05,1.4422867e-05,3.0,40,0.020766733,5.592673e-06,0,1.2350120587217974e-08,3.0
227,227,2543924.5,357.97372,4259.2,4274.2173,-85.19574,119.07648394911666,-0.09073291,-6.205574e-05,1.4688852e-05,1.4585818e-05,3.0,40,0.020520095,4.800901e-06,0,1.2569445316297668e-08,3.0
228,228,2201436.2,291.07773,4955.5767,4964.1177,-86.63846,119.49548834239249,-0.09084425,-1.27886715e-05,1.4588808e-05,1.453865e-05,3.0,40,0.020935353,4.217336e-06,0,2.6150738313287983e-08,3.0
229,229,1905053.1,332.5284,6115.9917,6125.025,-86.88788,120.08148762353812,-0.090712525,-1.2531276e-05,1.3659856e-05,1.3619595e-05,3.0,41,0.019498544,3.1834227e-06,0,2.558806475052094e-08,3.0
