True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,80.54601,1078.147,1081.1515,-85.72749,2.4674940104887355,-0.021010095,-1.4951252e-06,2.108837e-05,2.0971323e-05,1.0,40,0.010074626,9.318422e-06,0,4.3641554105966975e-09,1.0
1,1,6057573.0,194.3197,1317.6036,1331.8557,-81.61051,3.019497556699207,-0.020912986,-7.0372385e-05,1.9940531e-05,1.951605e-05,1.0,40,0.0143051995,1.0740802e-05,0,-3.924986968437831e-09,1.0
2,2,5242039.0,201.7427,1470.7903,1484.5619,-82.1897,3.435488696472021,-0.02095038,-4.4901593e-05,2.0642825e-05,2.0261614e-05,1.0,40,0.019693404,1.3265465e-05,0,-3.5059543277434893e-09,1.0
3,3,4536288.0,197.73166,1691.7867,1703.3027,-83.333664,4.803482441435335,-0.020963237,-4.475275e-05,2.0738335e-05,2.0458861e-05,1.0,40,0.018689517,1.0972516e-05,0,-3.610847706762696e-08,1.0
4,4,3925558.5,261.49323,1924.9584,1942.6383,-82.26409,5.2194811812078115,-0.021104949,3.1003306e-06,2.106189e-05,2.0680265e-05,1.0,40,0.018195994,9.36664e-06,0,-3.7423531670608806e-08,1.0
5,5,3397055.0,263.30798,2168.4736,2184.4014,-83.07672,5.635496694332687,-0.021087976,2.6580328e-05,2.1605454e-05,2.1291527e-05,1.0,40,0.019233953,8.8051365e-06,0,-3.7028811141155416e-08,1.0
6,6,2939708.2,348.356,2460.6853,2485.2212,-81.94226,6.051490687386831,-0.021090975,-2.1905309e-05,2.2001881e-05,2.1569589e-05,1.0,40,0.02116526,8.516449e-06,0,-4.0259267130901814e-08,1.0
7,7,2543924.5,368.5251,2837.1064,2860.9412,-82.59902,6.603494900307851,-0.021029249,-4.3115473e-05,2.2051609e-05,2.1685712e-05,1.0,40,0.02065935,7.221173e-06,0,-3.4455055314955034e-08,1.0
8,8,2201436.2,417.72058,3304.2258,3330.5254,-82.79488,7.155495619837893,-0.02099206,-3.4966306e-05,2.1879849e-05,2.1535663e-05,1.0,40,0.02098617,6.301159e-06,0,-3.86399376539354e-08,1.0
9,9,1905053.1,607.6015,3723.7087,3772.9546,-80.73266,7.707492792716948,-0.021010058,-1.7830731e-05,2.2435583e-05,2.185373e-05,1.0,40,0.020657914,5.475262e-06,0,-3.939703087692376e-08,1.0
10,10,1648567.4,930.29333,4450.1465,4546.3447,-78.19248,8.259493912250036,-0.021029733,-8.360584e-06,2.1693975e-05,2.0785623e-05,1.0,40,0.01992919,4.383563e-06,0,-4.061205009880256e-08,1.0
11,11,1426616.2,795.6322,4914.381,4978.37,-80.80368,8.811492711800383,-0.021067332,-4.0566534e-05,2.2700957e-05,2.2121136e-05,1.0,40,0.020581111,4.1341063e-06,0,-4.552105617704506e-08,1.0
12,12,1234551.2,719.99207,5825.5283,5869.8525,-82.9544,9.530495465995045,-0.020911478,-1.4332006e-05,2.2129707e-05,2.1796759e-05,1.0,41,0.019692734,3.354894e-06,0,-5.815117527687461e-08,1.0
13,13,1068345.5,924.57367,6698.6797,6762.185,-82.1415,10.082488558866316,-0.020994501,-5.862797e-06,2.2239203e-05,2.1823456e-05,1.0,41,0.020371,3.0124877e-06,0,-5.917863111309569e-08,1.0
14,14,924510.06,1263.0382,7812.5645,7914.002,-80.81659,10.634497091727098,-0.021070741,-4.995021e-06,2.2035092e-05,2.1473845e-05,1.0,41,0.02034157,2.5703266e-06,0,-5.96863974940018e-08,1.0
15,15,800039.0,-186.0945,8044.534,8046.6865,-91.32519,11.186492557957536,-0.021095596,2.3140337e-06,2.4729086e-05,2.4715859e-05,1.0,41,0.020206682,2.5111806e-06,0,-6.016444779939118e-08,1.0
16,16,692334.1,2462.6538,9644.406,9953.855,-75.67587,11.738495597528527,-0.021119837,9.825734e-07,2.3835753e-05,2.2376762e-05,1.0,41,0.020417556,2.051221e-06,0,-6.074587175836162e-08,1.0
17,17,599122.25,2242.984,11362.187,11581.462,-78.83295,12.290502503718017,-0.021094628,-1.3656323e-06,2.3379907e-05,2.250297e-05,1.0,41,0.020675031,1.7851831e-06,0,-6.170443001606588e-08,1.0
18,18,518454.94,3095.527,12739.602,13110.291,-76.34268,12.84248122331337,-0.021029659,3.4294778e-06,2.409646e-05,2.2753085e-05,1.0,41,0.02059555,1.5709453e-06,0,-6.131725505520396e-08,1.0
19,19,448662.03,3674.9724,14686.833,15139.633,-75.951775,13.39447866284172,-0.02090492,-7.0639053e-06,2.4153087e-05,2.2729939e-05,1.0,41,0.02008703,1.3267845e-06,0,-6.115275501347304e-08,1.0
20,20,388258.97,4736.5283,16851.916,17504.906,-74.30105,13.946497062366689,-0.021014363,-5.075094e-06,2.4324803e-05,2.2543863e-05,1.0,41,0.02088209,1.1929278e-06,0,-6.065056043693239e-08,1.0
21,21,335983.9,4109.999,17228.332,17711.791,-76.58228,14.498479968606262,-0.0209934,-2.5518439e-06,2.7495298e-05,2.6014764e-05,1.0,41,0.019983482,1.1282586e-06,0,-6.097197995847776e-08,1.0
22,22,290751.2,7301.858,21347.402,22561.664,-71.1168,15.050484074832639,-0.020907825,-7.659803e-06,2.5642099e-05,2.2956274e-05,1.0,41,0.02073193,9.1890075e-07,0,-6.107438712534277e-08,1.0
23,23,251605.19,9199.522,23719.398,25440.934,-68.801315,15.602488394390093,-0.020994129,-3.4549978e-06,2.6668395e-05,2.3181317e-05,1.0,41,0.020145528,7.918549e-07,0,-6.22443294884047e-08,1.0
