True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,35.51496,1217.316,1217.834,-88.32888,2.4664968371216673,-0.012034835,3.670173e-05,1.867745e-05,1.8661567e-05,1.0,40,0.010218786,8.390952e-06,0,3.2723753953026365e-09,1.0
1,1,6057573.0,213.92142,1466.7264,1482.2445,-81.70194,3.0184883566980716,-0.011977449,-1.58772e-05,1.7913166e-05,1.7540053e-05,1.0,40,0.014506199,9.786644e-06,0,-1.0714734730501933e-09,1.0
2,2,5242039.0,209.12698,1709.923,1722.6638,-83.02724,3.4344853631046135,-0.011932175,-4.4734144e-05,1.7755927e-05,1.7494252e-05,1.0,40,0.02013944,1.1690871e-05,0,-1.5560189216077762e-09,1.0
3,3,4536288.0,142.59013,1913.3036,1918.6095,-85.73788,4.666491421608953,-0.011990882,-2.7914866e-05,1.833731e-05,1.8236027e-05,1.0,40,0.02127556,1.1089051e-05,0,-2.2925473230120337e-08,1.0
4,4,3925558.5,263.90778,2199.2932,2215.0706,-83.15742,5.082480081386166,-0.012001559,-5.4967106e-05,1.8434677e-05,1.8173003e-05,1.0,40,0.019447215,8.7795015e-06,0,-2.679730195773623e-08,1.0
5,5,3397055.0,301.70746,2427.102,2445.7825,-82.91404,5.498501994443359,-0.01201557,-4.6581217e-06,1.930321e-05,1.9009467e-05,1.0,40,0.020249188,8.279227e-06,0,-3.203230044194546e-08,1.0
6,6,2939708.2,288.7371,2837.0623,2851.7173,-84.18883,5.914483960921643,-0.012057603,-1.8115111e-06,1.9083016e-05,1.8887384e-05,1.0,40,0.021993162,7.712252e-06,0,-3.7549041003374994e-08,1.0
7,7,2543924.5,330.61038,3321.5222,3337.9355,-84.31574,6.466489000449656,-0.012029599,-4.5571385e-05,1.883557e-05,1.8650788e-05,1.0,40,0.020593753,6.169608e-06,0,-4.251833053986805e-08,1.0
8,8,2201436.2,467.1109,3823.9578,3852.3818,-83.03561,7.018485133332433,-0.012063938,-8.379201e-06,1.8906056e-05,1.8628096e-05,1.0,40,0.02084189,5.4101306e-06,0,-4.577884248429756e-08,1.0
9,9,1905053.1,326.4145,4186.067,4198.774,-85.541306,7.570483639574377,-0.011991945,-3.8036185e-05,1.9957533e-05,1.9836918e-05,1.0,40,0.02050805,4.884295e-06,0,-5.211972295569467e-08,1.0
10,10,1648567.4,571.3577,4961.6367,4994.426,-83.43103,8.122492759110173,-0.012022445,-3.7347803e-05,1.9457564e-05,1.920292e-05,1.0,40,0.019811884,3.966799e-06,0,-5.5815823901614045e-08,1.0
11,11,1426616.2,494.76074,5819.475,5840.469,-85.14051,8.841492873238167,-0.011955017,-1.1009876e-05,1.9170311e-05,1.903274e-05,1.0,41,0.019375142,3.3173947e-06,0,-6.04504217732603e-08,1.0
12,12,1234551.2,573.1006,6798.879,6822.99,-85.18173,9.39349487281288,-0.012061013,-3.090014e-06,1.8961542e-05,1.8827766e-05,1.0,41,0.020639863,3.0250465e-06,0,-6.035362412567716e-08,1.0
13,13,1068345.5,674.4019,7786.2114,7815.3633,-85.04968,9.945503325696336,-0.0120173395,-4.441954e-06,1.9132964e-05,1.8990495e-05,1.0,41,0.020631589,2.639876e-06,0,-6.004498315972266e-08,1.0
14,14,924510.06,817.1235,9000.933,9037.946,-84.81279,10.497494738578098,-0.01208909,-9.652688e-07,1.912586e-05,1.8969526e-05,1.0,41,0.020279627,2.2438314e-06,0,-6.035022037597789e-08,1.0
15,15,800039.0,2869.2537,8851.515,9304.941,-72.039696,11.049498471460538,-0.012022575,-3.1365687e-06,2.2474569e-05,2.033758e-05,1.0,41,0.020009868,2.150456e-06,0,-6.036001680503016e-08,1.0
16,16,692334.1,1437.664,11759.3955,11846.951,-83.0298,11.601496204355499,-0.0121629285,4.131519e-06,1.9548768e-05,1.9260884e-05,1.0,41,0.020488411,1.7294248e-06,0,-6.051420302430997e-08,1.0
17,17,599122.25,1962.1764,13596.122,13736.981,-81.78784,12.153482123889262,-0.011992001,-6.8553413e-06,1.953843e-05,1.9139788e-05,1.0,41,0.020414907,1.4861276e-06,0,-6.141284560313112e-08,1.0
