True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,56.507114,1088.062,1089.5283,-87.027084,82.81448526677559,-0.015782384,-1.2639735e-05,2.0896201e-05,2.0839992e-05,2.0,40,0.010211676,9.372567e-06,0,-2.356624821790297e-08,2.0
111,111,6057573.0,160.90651,1335.3644,1345.0238,-83.129196,83.36648513298132,-0.015773349,-4.4752756e-05,1.9675315e-05,1.939373e-05,2.0,40,0.014530267,1.0802981e-05,0,-2.4354237338994742e-08,2.0
112,112,5242039.0,203.55705,1461.9589,1476.062,-82.07333,83.7824940327846,-0.015693568,-3.0073097e-05,2.0767526e-05,2.037257e-05,2.0,40,0.02001373,1.3558867e-05,0,-2.6939828462522384e-08,2.0
113,113,4536288.0,209.18051,1669.5865,1682.6395,-82.85869,85.01450291796937,-0.01570318,-6.800947e-05,2.101409e-05,2.0689324e-05,2.0,40,0.020678794,1.2289497e-05,0,-4.438774732621277e-08,2.0
114,114,3925558.5,259.47522,1911.3414,1928.8737,-82.26904,85.4305034710269,-0.015752127,-4.879012e-05,2.1211941e-05,2.0828087e-05,2.0,40,0.019365627,1.0039863e-05,0,-4.623896210126964e-08,2.0
115,115,3397055.0,279.8005,2186.4382,2204.2688,-82.70744,85.84649119744427,-0.015773945,-5.6176443e-05,2.1427935e-05,2.1082673e-05,2.0,40,0.020354722,9.234229e-06,0,-4.6133942830516774e-08,2.0
116,116,2939708.2,299.34116,2455.33,2473.5098,-83.049095,86.39849570367369,-0.01577946,-5.472523e-05,2.204987e-05,2.1726937e-05,2.0,40,0.020348318,8.226496e-06,0,-5.0900650677938583e-08,2.0
117,117,2543924.5,390.6586,2811.1304,2838.1453,-82.08836,86.95048796987976,-0.015823001,-3.211969e-05,2.2255375e-05,2.1833715e-05,2.0,40,0.020760477,7.3148044e-06,0,-5.812596731104631e-08,2.0
118,118,2201436.2,426.94867,3200.7524,3229.1023,-82.40216,87.502493596141,-0.015797514,-5.712533e-05,2.2587175e-05,2.219231e-05,2.0,40,0.020242872,6.268885e-06,0,-5.902917338429919e-08,2.0
119,119,1905053.1,558.369,3675.1316,3717.3066,-81.36102,88.05449898235383,-0.015817711,-1.2397977e-05,2.273213e-05,2.2219238e-05,2.0,40,0.02064401,5.5534856e-06,0,-6.264728244139109e-08,2.0
120,120,1648567.4,634.5652,4302.589,4349.1313,-81.610245,88.60648319523898,-0.015811227,-3.954324e-05,2.2437971e-05,2.1960299e-05,2.0,40,0.019940585,4.5849583e-06,0,-6.14243772869898e-08,2.0
121,121,1426616.2,781.6565,4897.493,4959.4785,-80.931885,89.15849500810145,-0.015825294,-2.9105602e-05,2.2779235e-05,2.2213388e-05,2.0,40,0.020511433,4.1358044e-06,0,-5.7849311783602925e-08,2.0
122,122,1234551.2,910.70044,5775.0312,5846.3975,-81.038475,89.87750034892815,-0.015745271,-8.970793e-06,2.2323211e-05,2.1781543e-05,2.0,41,0.019728217,3.374423e-06,0,-5.5973241982203585e-08,2.0
123,123,1068345.5,1039.2223,6666.0386,6746.5586,-81.13903,90.4294953084609,-0.015802078,-7.5275875e-06,2.2348098e-05,2.1817836e-05,2.0,41,0.020434191,3.0288318e-06,0,-5.597606021888405e-08,2.0
124,124,924510.06,1289.0872,7601.3213,7709.853,-80.37494,90.98149877469405,-0.015738769,-8.646757e-06,2.2647455e-05,2.2014325e-05,2.0,41,0.020030547,2.5980453e-06,0,-5.6409985256527606e-08,2.0
