True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,72.80469,1082.5824,1085.0277,-86.152596,82.64649867211119,-0.004158829,-1.656549e-05,2.1001968e-05,2.0907411e-05,2.0,40,0.010151712,9.3561775e-06,0,-3.411934032501346e-08,2.0
111,111,6057573.0,270.03064,1254.1154,1282.8569,-77.84884,83.19848669835483,-0.00416153,-4.8436643e-05,2.095e-05,2.0021773e-05,2.0,40,0.014330282,1.11706e-05,0,-4.3977922458865964e-08,2.0
112,112,5242039.0,208.1591,1435.4244,1450.4391,-81.74873,83.6144920514489,-0.0040965797,-5.312516e-05,2.115142e-05,2.0715777e-05,2.0,40,0.019855995,1.3689644e-05,0,-5.036025846485496e-08,2.0
113,113,4536288.0,210.93681,1622.253,1635.9093,-82.59156,85.11850121620228,-0.0041688895,-1.5430644e-05,2.1627231e-05,2.1267659e-05,2.0,40,0.020268314,1.2389632e-05,0,-7.271918608458943e-08,2.0
114,114,3925558.5,279.49542,1884.4277,1905.0421,-81.563484,85.53449835596257,-0.00420047,-7.895458e-06,2.1514892e-05,2.1051788e-05,2.0,40,0.019205896,1.0081612e-05,0,-7.882326353479583e-08,2.0
115,115,3397055.0,301.30716,2132.6838,2153.863,-81.958435,85.9504840557056,-0.0041500716,-5.811141e-05,2.1968028e-05,2.1538124e-05,2.0,40,0.020222738,9.389055e-06,0,-8.329328759983075e-08,2.0
116,116,2939708.2,362.40652,2423.3267,2450.2756,-81.4945,86.50250138863339,-0.0042360197,-2.2580275e-06,2.2341068e-05,2.1852342e-05,2.0,40,0.02064063,8.423799e-06,0,-8.364122911869545e-08,2.0
117,117,2543924.5,361.72064,2788.5007,2811.8638,-82.60894,87.05450141485198,-0.004189906,-5.1748357e-05,2.2435985e-05,2.2064705e-05,2.0,40,0.020860156,7.4186228e-06,0,-8.154497453317768e-08,2.0
118,118,2201436.2,524.69006,3158.5647,3201.848,-80.568344,87.60650101440842,-0.004240361,-3.1487096e-05,2.2888864e-05,2.2274215e-05,2.0,40,0.020190058,6.305752e-06,0,-8.177574822157515e-08,2.0
119,119,1905053.1,575.3334,3747.0427,3790.9548,-81.27079,88.15850146728917,-0.004213382,-5.3143765e-05,2.2295868e-05,2.1782336e-05,2.0,40,0.020641312,5.4448847e-06,0,-8.683386236581352e-08,2.0
120,120,1648567.4,786.7195,4112.944,4187.5093,-79.171326,88.71048834684188,-0.004135688,-4.3264306e-05,2.347257e-05,2.2644079e-05,2.0,40,0.020030756,4.7834533e-06,0,-8.795684822094193e-08,2.0
121,121,1426616.2,893.3196,4791.681,4874.241,-79.43951,89.26248834640137,-0.0041995575,-2.0714586e-05,2.3282257e-05,2.2500224e-05,2.0,40,0.02032756,4.170405e-06,0,-9.875359369701779e-08,2.0
122,122,1234551.2,741.52704,5541.891,5591.281,-82.37886,89.98150270050974,-0.0041562575,-9.339504e-06,2.3262319e-05,2.2853166e-05,2.0,41,0.01928686,3.449453e-06,0,-1.0564068401185346e-07,2.0
123,123,1068345.5,1036.6901,6505.4688,6587.5527,-80.94566,90.5334996333986,-0.004204998,2.1036042e-06,2.2899701e-05,2.2332575e-05,2.0,41,0.020158503,3.0600897e-06,0,-1.066865150590542e-07,2.0
124,124,924510.06,1395.9988,7377.9604,7508.869,-79.285614,91.0854842462868,-0.0041344394,-4.792046e-06,2.3333087e-05,2.2526605e-05,2.0,41,0.020723954,2.75993e-06,0,-1.057265801577086e-07,2.0
125,125,800039.0,1335.1117,8907.366,9006.869,-81.47548,91.6374881391821,-0.004196651,-1.1067916e-06,2.2333646e-05,2.1842912e-05,2.0,41,0.020816224,2.3111497e-06,0,-1.0483506459834086e-07,2.0
126,126,692334.1,1915.5271,9591.293,9780.703,-78.70576,92.18949323208653,-0.004230952,2.4946614e-06,2.3967748e-05,2.3048433e-05,2.0,41,0.020394739,2.0852017e-06,0,-1.0533350684891315e-07,2.0
127,127,599122.25,2801.7974,10922.045,11275.6875,-75.612335,92.74150651160744,-0.0042074947,4.3695326e-07,2.4322082e-05,2.2820366e-05,2.0,41,0.020597057,1.8266786e-06,0,-1.0388068052291802e-07,2.0
128,128,518454.94,3373.0962,12232.991,12689.518,-74.584465,93.2934899244865,-0.0041235397,-6.2687513e-06,2.5094378e-05,2.3321236e-05,2.0,41,0.020596454,1.6231078e-06,0,-1.0474326894392405e-07,2.0
129,129,448662.03,4397.689,13851.537,14532.885,-72.38601,93.84549536407576,-0.0042315107,-1.7902098e-06,2.5609601e-05,2.3264574e-05,2.0,41,0.020173255,1.3881108e-06,0,-1.04154544789338e-07,2.0
130,130,388258.97,5586.0713,15551.249,16524.09,-70.24151,94.39748245695955,-0.004242094,-3.8984982e-07,2.6359268e-05,2.3346878e-05,2.0,41,0.020903127,1.2650094e-06,0,-1.0529103407967276e-07,2.0
131,131,335983.9,5881.5474,16447.523,17467.502,-70.32322,94.94949453647132,-0.0041769943,-3.4941074e-06,2.8800574e-05,2.5535275e-05,2.0,41,0.020431392,1.1696802e-06,0,-1.0617709965416308e-07,2.0
132,132,290751.2,8881.266,19271.432,21219.447,-65.257324,95.50150261606905,-0.004243025,3.6510758e-06,2.8404338e-05,2.34285e-05,2.0,41,0.020622011,9.718449e-07,0,-1.0608659077964097e-07,2.0
133,133,251605.19,10610.497,21024.168,23549.91,-63.22079,96.0534904289234,-0.0041692434,-3.3712029e-06,3.0087196e-05,2.397954e-05,2.0,41,0.020238632,8.593932e-07,0,-1.054769823627891e-07,2.0
