True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,27.1326,1068.4846,1068.8291,-88.54537,2.468477343878476,0.006457478,4.82929e-05,2.1279071e-05,2.1265358e-05,1.0,40,0.010136907,9.484123e-06,0,-2.176398421261815e-09,1.0
1,1,6057573.0,187.8622,1231.5515,1245.7975,-81.3269,3.0204945967707317,0.0065689143,-5.4036846e-05,2.1333835e-05,2.0848709e-05,1.0,40,0.014287637,1.1468667e-05,0,-9.6635971615342e-09,1.0
2,2,5242039.0,227.34456,1416.1074,1434.2405,-80.879456,3.4364936831698287,0.006548606,1.2211776e-06,2.1439948e-05,2.0901243e-05,1.0,40,0.019649394,1.3700209e-05,0,-1.1366735991284966e-08,1.0
3,3,4536288.0,217.65822,1638.1997,1652.596,-82.43176,4.804493534815265,0.0066299704,-4.8418013e-05,2.1416705e-05,2.1045196e-05,1.0,40,0.018874768,1.1421284e-05,0,-2.5860226573829297e-08,1.0
4,4,3925558.5,269.35666,1857.9205,1877.3444,-81.75088,5.220485261263093,0.0065408363,-4.745053e-05,2.1821848e-05,2.1372627e-05,1.0,40,0.018122535,9.653282e-06,0,-3.0674979825764445e-08,1.0
5,5,3397055.0,317.33765,2086.2947,2110.291,-81.351265,5.636483601032523,0.006409967,-3.8208786e-06,2.245649e-05,2.1948685e-05,1.0,40,0.018951394,8.980464e-06,0,-3.252461860099882e-08,1.0
6,6,2939708.2,387.8856,2415.5833,2446.5276,-80.877525,6.052501034137094,0.006476054,-5.067451e-06,2.2412685e-05,2.1849308e-05,1.0,40,0.020673092,8.449973e-06,0,-3.155850058902211e-08,1.0
7,7,2543924.5,426.90555,2707.3262,2740.7778,-81.03908,6.6045013803231996,0.006459341,6.374857e-06,2.310869e-05,2.2548042e-05,1.0,40,0.020586375,7.5111434e-06,0,-3.548844221724165e-08,1.0
8,8,2201436.2,465.44308,3190.9321,3224.6992,-81.70112,7.156489699875237,0.0064247604,-1.4984113e-05,2.265669e-05,2.2184679e-05,1.0,40,0.020479243,6.3507455e-06,0,-3.956161576988077e-08,1.0
9,9,1905053.1,614.01575,3654.0933,3705.3223,-80.46141,7.708503646106692,0.0064153518,8.384255e-06,2.2863009e-05,2.2235183e-05,1.0,40,0.020443443,5.5173186e-06,0,-4.5078128658891123e-08,1.0
10,10,1648567.4,655.57886,4180.0225,4231.1196,-81.086555,8.260495938971872,0.006435679,-1.3049155e-05,2.3095896e-05,2.254143e-05,1.0,40,0.019990664,4.7246745e-06,0,-4.419978354898527e-08,1.0
11,11,1426616.2,864.7712,4707.1567,4785.933,-79.590034,8.812480685213814,0.0065186834,-2.1719266e-05,2.3700326e-05,2.2926533e-05,1.0,40,0.020574052,4.298859e-06,0,-4.4694459267677506e-08,1.0
12,12,1234551.2,802.91534,5395.257,5454.6743,-81.53544,9.531485652696574,0.0065264897,-1.2488447e-05,2.389455e-05,2.3376822e-05,1.0,41,0.019457389,3.5671037e-06,0,-4.934504587860526e-08,1.0
13,13,1068345.5,1116.4128,6289.288,6387.607,-79.934265,10.083488585572923,0.0064818854,-5.935421e-06,2.3686829e-05,2.296326e-05,1.0,41,0.020490507,3.2078535e-06,0,-4.956347207334646e-08,1.0
14,14,924510.06,1214.5801,7126.6953,7229.453,-80.328186,10.635488265106687,0.0066481177,-1.1926055e-05,2.4155737e-05,2.347393e-05,1.0,41,0.020197237,2.7937433e-06,0,-4.914671084981453e-08,1.0
15,15,800039.0,1711.7616,8083.071,8262.334,-78.04306,11.187497704668203,0.006494164,-5.6076774e-06,2.4611187e-05,2.3554823e-05,1.0,41,0.020433694,2.4731141e-06,0,-5.027484931066952e-08,1.0
16,16,692334.1,2262.203,8947.552,9229.098,-75.81129,11.739487410901347,0.006480581,-2.2855502e-06,2.5692134e-05,2.41485e-05,1.0,41,0.020297714,2.1993174e-06,0,-5.155360176187666e-08,1.0
17,17,599122.25,2633.748,10734.778,11053.148,-76.214935,12.291480583808152,0.006463645,8.63396e-07,2.4746376e-05,2.334134e-05,1.0,41,0.02081186,1.8828897e-06,0,-5.1572523149969934e-08,1.0
18,18,518454.94,3518.6692,12239.793,12735.523,-73.96123,12.84349018332432,0.006453621,3.6510753e-06,2.5080433e-05,2.3165921e-05,1.0,41,0.020366754,1.5992083e-06,0,-5.159149551279225e-08,1.0
19,19,448662.03,4198.752,13631.645,14263.634,-72.88038,13.395499276201008,0.0063862675,3.85033e-06,2.6022713e-05,2.3767785e-05,1.0,41,0.020252215,1.4198496e-06,0,-5.212273664838563e-08,1.0
20,20,388258.97,5193.0483,15123.008,15989.781,-71.04818,13.94747887577978,0.0064463736,-4.0102526e-07,2.710569e-05,2.4246652e-05,1.0,41,0.020782698,1.2997488e-06,0,-5.194762573220007e-08,1.0
21,21,335983.9,7520.187,14478.769,16315.268,-62.552902,14.499490875314223,0.006486059,-1.458741e-06,3.271674e-05,2.5765872e-05,1.0,41,0.020344423,1.2469561e-06,0,-5.100217130041705e-08,1.0
22,22,290751.2,8325.794,18750.074,20515.46,-66.05684,15.051481594884535,0.006498058,-2.3712125e-06,2.9194136e-05,2.4385916e-05,1.0,41,0.020479104,9.982278e-07,0,-5.209716427661072e-08,1.0
23,23,251605.19,10553.231,20743.494,23273.66,-63.03533,15.60349604775547,0.006408551,4.889425e-06,3.0494299e-05,2.4224402e-05,1.0,41,0.020216411,8.686391e-07,0,-5.1622718592650723e-08,1.0
24,24,217729.38,13080.857,22963.773,26428.086,-60.33286,16.155498073989293,0.006391261,1.2972831e-06,3.1831703e-05,2.4033385e-05,1.0,41,0.020400181,7.7191294e-07,0,-5.1557964945437284e-08,1.0
25,25,188418.58,15314.8545,24078.123,28535.955,-57.54166,16.70750354017946,0.0065229125,-3.1756713e-06,3.5081146e-05,2.497665e-05,1.0,41,0.020105567,7.0456963e-07,0,-5.270797379233253e-08,1.0
26,26,163051.14,18195.277,25656.635,31453.633,-54.65634,17.259500713058515,0.0064099296,-1.9093916e-06,3.8044913e-05,2.5313626e-05,1.0,41,0.020707615,6.5835366e-07,0,-5.3868869050104545e-08,1.0
27,27,141098.2,21999.566,26960.912,34797.582,-50.78624,17.81149820596329,0.0064326976,3.4011984e-07,4.183734e-05,2.511511e-05,1.0,41,0.020232452,5.814327e-07,0,-5.41036121587442e-08,1.0
28,28,122105.11,26046.307,27192.416,37654.184,-46.233257,18.36350095216767,0.006504486,-3.1049112e-06,4.7933434e-05,2.4998137e-05,1.0,41,0.020289754,5.3884463e-07,0,-5.4865486771670174e-08,1.0
29,29,105663.59,29069.85,28406.162,40644.387,-44.33842,18.779491878609406,0.006399794,-3.1722593e-07,5.3025185e-05,2.5900383e-05,1.0,41,0.021746157,5.350347e-07,0,-5.4643108743401096e-08,1.0
30,30,91439.65,32863.9,28368.033,43414.066,-40.800674,19.33149486486218,0.0064115506,1.8615228e-06,6.13559e-05,2.619714e-05,1.0,41,0.020292426,4.6741593e-07,0,-5.168075746243201e-08,1.0
31,31,79127.08,36605.223,28289.67,46262.812,-37.69798,19.74748440462281,0.0064958967,-5.4326347e-06,7.1099596e-05,2.6586356e-05,1.0,41,0.021378353,4.6210664e-07,0,-5.170004201620612e-08,1.0
32,32,68475.36,40103.93,27223.732,48471.195,-34.169823,20.29950408413424,0.00650184,-5.31532e-06,8.5376465e-05,2.6931839e-05,1.0,41,0.020289967,4.1859843e-07,0,-5.06208655670927e-08,1.0
33,33,59252.523,44660.5,28678.049,53075.332,-32.70592,20.881502858450403,0.0066062897,-1.4990148e-06,9.366205e-05,2.734497e-05,1.0,42,0.018938003,3.5681364e-07,0,-5.090360598143996e-08,1.0
34,34,51282.285,47357.34,27796.148,54912.145,-30.410583,21.2974989048962,0.00647842,-6.2922174e-07,0.00011165242,2.8608862e-05,1.0,42,0.019393058,3.531652e-07,0,-5.095892730751296e-08,1.0
35,35,44369.8,52488.508,25942.953,58549.81,-26.30133,21.71449007137562,0.0065658586,-1.4349438e-06,0.00013826531,2.7145703e-05,1.0,42,0.01989544,3.3980368e-07,0,-5.0974825215322127e-08,1.0
36,36,38403.727,54508.156,23784.414,59471.316,-23.573854,22.13049427777878,0.0064543104,-3.0607526e-07,0.0001742426,2.7869175e-05,1.0,42,0.020107988,3.381124e-07,0,-5.098407853058657e-08,1.0
37,37,33226.32,56598.047,21572.707,60569.965,-20.864666,22.54647968421341,0.0064780847,-3.3904172e-07,0.00022204104,2.8166176e-05,1.0,42,0.020317264,3.3543463e-07,0,-5.0842044877921605e-08,1.0
38,38,28754.086,58667.965,19472.459,61815.1,-18.3615,22.962479970621644,0.0064446777,-6.828609e-07,0.00028424955,2.8206694e-05,1.0,42,0.020441065,3.3068076e-07,0,-5.0984341336809775e-08,1.0
39,39,24884.947,60384.21,17358.797,62829.777,-16.038485,23.378499910380924,0.0065198382,-8.940697e-07,0.00036843747,2.812367e-05,1.0,42,0.02050944,3.2642868e-07,0,-5.093351124208232e-08,1.0
40,40,21553.963,61942.406,15622.039,63882.0,-14.154961,23.795485743525205,0.006455149,-2.5224804e-07,0.00047266696,2.8266608e-05,1.0,42,0.020561354,3.218646e-07,0,-5.103285027437544e-08,1.0
41,41,18631.234,62936.67,13721.497,64415.094,-12.299204,24.211504803301068,0.0065340917,-1.0713804e-06,0.0006225539,2.8249106e-05,1.0,42,0.020506207,3.1834475e-07,0,-5.0986158681155105e-08,1.0
42,42,16126.037,63064.836,11703.961,64141.688,-10.513688,24.627498396410374,0.0064380635,-3.7219317e-07,0.0008432563,2.8076603e-05,1.0,42,0.020195331,3.1485501e-07,0,-5.093217786978539e-08,1.0
43,43,13954.87,64418.11,11597.122,65453.695,-10.205578,25.043493562814547,0.00656761,-1.1909525e-06,0.0009834316,3.0872816e-05,1.0,42,0.020113148,3.072882e-07,0,-5.0860411761610616e-08,1.0
44,44,12080.609,65903.555,8410.013,66437.99,-7.272261,25.459482835925883,0.0064944434,-3.5840918e-07,0.0015665153,2.5101226e-05,1.0,42,0.02012163,3.0286333e-07,0,-5.071572654697793e-08,1.0
45,45,10447.592,65257.914,7433.8403,65679.96,-6.4988213,25.875491788989166,0.006455205,-5.325537e-07,0.0020492298,2.6251335e-05,1.0,42,0.01952193,2.972281e-07,0,-5.054227613156432e-08,1.0
46,46,9045.586,65260.18,6361.483,65569.5,-5.567533,26.448253682843642,0.0063874973,2.7465927e-07,0.0027658273,2.603383e-05,1.0,42,0.020206679,3.0817193e-07,0,-5.0816032978230906e-08,1.0
47,47,7827.7437,65815.9,4778.729,65989.16,-4.152817,26.928939945733873,0.006420606,-7.921765e-08,0.004254721,2.2312632e-05,1.0,42,0.020441927,3.0977708e-07,0,-5.0682603702364955e-08,1.0
48,48,6770.8345,65374.527,4087.0588,65502.16,-3.5773392,27.46739533127402,0.006339427,-2.0549604e-07,0.0057513136,2.2391212e-05,1.0,42,0.020488935,3.1279785e-07,0,-5.0718612422571636e-08,1.0
49,49,5860.798,64991.125,3270.569,65073.367,-2.8808835,28.0739871734404,0.0064687873,-2.1424944e-07,0.008303096,2.0973946e-05,1.0,42,0.020570973,3.161197e-07,0,-5.0617165894253306e-08,1.0
50,50,5071.625,65134.71,2581.7576,65185.86,-2.269856,28.75470931246673,0.006376784,-6.59931e-08,0.012155073,1.9066969e-05,1.0,42,0.02073304,3.180604e-07,0,-5.0429125435011794e-08,1.0
51,51,4388.5933,64927.562,2344.9617,64969.895,-2.0684288,29.4338330780447,0.00644533,-6.040519e-08,0.015465325,2.0146808e-05,1.0,42,0.020818187,3.204282e-07,0,-5.026530339597427e-08,1.0
52,52,3798.7827,65098.215,1956.5453,65127.61,-1.7215227,30.11383036368352,0.006430555,-2.6509514e-07,0.021413406,1.9325704e-05,1.0,42,0.020972418,3.2202038e-07,0,-5.0183676597079835e-08,1.0
53,53,3286.0488,64524.28,1651.7146,64545.418,-1.4663568,30.79371191597602,0.0064732777,-2.9061152e-07,0.029323183,1.9202169e-05,1.0,42,0.020942783,3.2446584e-07,0,-5.016532049479583e-08,1.0
54,54,2844.088,64518.26,1311.2727,64531.586,-1.1643223,31.473837201614515,0.006456211,-3.8969668e-07,0.042676035,1.7620792e-05,1.0,42,0.021022253,3.2576688e-07,0,-4.994894771259142e-08,1.0
55,55,2460.7852,64322.58,912.33105,64329.047,-0.8126107,32.15367795390921,0.006425059,-3.921177e-07,0.07089147,1.4258855e-05,1.0,42,0.021081457,3.2771288e-07,0,-4.991093686477102e-08,1.0
56,56,2129.3164,64246.082,1128.9038,64256.0,-1.0066725,32.8338493728661,0.006522633,-4.781654e-07,0.06620991,2.043664e-05,1.0,42,0.02111045,3.2853666e-07,0,-4.994048877804818e-08,1.0
57,57,1843.2289,64052.11,1427.0981,64068.004,-1.2763542,33.513942311838036,0.0065393643,-6.6516134e-07,0.060504407,3.0020114e-05,1.0,42,0.021111563,3.2951803e-07,0,-5.0031351202395766e-08,1.0
58,58,1594.4913,64242.203,865.15564,64248.027,-0.7715609,34.193849784118356,0.006400558,1.0778107e-07,0.11537288,2.0920526e-05,1.0,42,0.021212654,3.3016818e-07,0,-4.9989158509008054e-08,1.0
59,59,1380.4436,64305.094,1244.0197,64317.125,-1.1082822,34.8737005097646,0.0064450507,-2.9657005e-07,0.09267748,3.4671724e-05,1.0,42,0.021240475,3.3024602e-07,0,-4.975298843210672e-08,1.0
60,60,1194.6187,64185.64,1104.6775,64195.145,-0.9860011,35.55384056872572,0.006496977,-2.8502274e-07,0.120602235,3.571264e-05,1.0,42,0.021239698,3.3086144e-07,0,-5.002672059409916e-08,1.0
61,61,1033.3434,64207.73,1335.6954,64221.62,-1.1917362,36.23406148102367,0.0065010204,-4.4221852e-07,0.11531028,4.9879305e-05,1.0,42,0.021276342,3.312956e-07,0,-5.030494103228595e-08,1.0
62,62,894.71045,64469.844,1716.162,64492.68,-1.5248312,36.91382015332056,0.006476799,-5.603015e-07,0.1036524,7.3396455e-05,1.0,42,0.0213291,3.3072124e-07,0,-5.020172615091154e-08,1.0
63,63,774.2569,64493.543,752.3638,64497.93,-0.6683664,37.593975865631364,0.0065266946,-7.677854e-07,0.27321666,3.717675e-05,1.0,42,0.021318167,3.3052484e-07,0,-5.0025434887829805e-08,1.0
64,64,669.7856,64173.95,2021.424,64205.777,-1.804171,38.27380544459447,0.0064249653,-2.0918305e-08,0.11755116,0.00011651814,1.0,42,0.02128691,3.3154197e-07,0,-5.019484183724367e-08,1.0
65,65,579.81464,64001.09,2202.9417,64038.992,-1.971364,38.95382545022585,0.0064927293,-9.467364e-08,0.124602854,0.00014745008,1.0,42,0.021229692,3.3151196e-07,0,-5.043379331592214e-08,1.0
