True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,90.5824,1095.9448,1099.6819,-85.27511,82.78747875880799,-0.0003232067,1.6645125e-05,2.07459e-05,2.0605137e-05,2.0,40,0.010106207,9.190118e-06,0,-6.694379807030633e-08,2.0
111,111,6057573.0,234.91914,1227.4073,1249.6863,-79.16493,83.33948257172597,-0.00030379233,-2.8348131e-06,2.1405865e-05,2.0649437e-05,2.0,40,0.01434088,1.1475585e-05,0,-7.495616820876883e-08,2.0
112,112,5242039.0,209.29936,1428.4106,1443.6631,-81.663994,83.75549891145783,-0.0001183505,-5.5171764e-05,2.1255279e-05,2.0808524e-05,2.0,40,0.019870028,1.3763619e-05,0,-7.665347479795888e-08,2.0
113,113,4536288.0,202.05399,1626.4607,1638.9631,-82.91847,85.53148112914641,-0.00019099565,-7.94518e-05,2.157128e-05,2.1243433e-05,2.0,40,0.019642904,1.1984958e-05,0,-9.426418870459664e-08,2.0
114,114,3925558.5,270.48288,1873.3112,1892.7377,-81.78398,85.94748349560541,-0.00030025217,-7.1512604e-06,2.1642565e-05,2.120058e-05,2.0,40,0.018861413,9.965149e-06,0,-1.0862475902886477e-07,2.0
115,115,3397055.0,307.17395,2131.477,2153.4973,-81.799385,86.36349914202583,-0.00020470857,-5.2325136e-05,2.1980466e-05,2.1533247e-05,2.0,40,0.019875877,9.22958e-06,0,-1.1431629996362207e-07,2.0
116,116,2939708.2,382.7087,2420.3496,2450.42,-81.01471,86.77949462845572,-0.00024223285,-3.451977e-05,2.2368547e-05,2.1822925e-05,2.0,40,0.02171339,8.861089e-06,0,-1.1780384057955158e-07,2.0
117,117,2543924.5,430.35397,2776.6926,2809.8445,-81.18994,87.33149404134019,-0.00022833359,-2.4230985e-05,2.2531398e-05,2.2002861e-05,2.0,40,0.020595588,7.3297965e-06,0,-1.187772139048254e-07,2.0
118,118,2201436.2,472.59262,3099.9878,3135.8042,-81.33201,87.88349996085162,-0.00026207566,-6.4734915e-05,2.3321369e-05,2.2791668e-05,2.0,40,0.021051535,6.713281e-06,0,-1.1968578833625384e-07,2.0
119,119,1905053.1,574.0286,3634.0388,3679.096,-81.02379,88.43549046709086,-0.00027327336,-4.929246e-05,2.298918e-05,2.242954e-05,2.0,40,0.020459514,5.5610167e-06,0,-1.263859207212903e-07,2.0
120,120,1648567.4,728.87524,4410.9834,4470.798,-80.61717,88.9875013466517,-0.00026902533,-4.970177e-05,2.1886586e-05,2.1304866e-05,2.0,40,0.020124178,4.50125e-06,0,-1.3539558960735417e-07,2.0
121,121,1426616.2,853.522,4748.146,4824.25,-79.8094,89.53950574618648,-0.00029302298,2.1328474e-06,2.3495728e-05,2.276027e-05,2.0,40,0.020441672,4.2372744e-06,0,-1.363921046609329e-07,2.0
