True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,66.81914,1096.5619,1098.5958,-86.512985,82.73548891636892,0.004695102,1.0226285e-05,2.0734225e-05,2.0657522e-05,2.0,40,0.010106167,9.199168e-06,0,-3.554777619397795e-08,2.0
111,111,6057573.0,158.36047,1273.8118,1283.6177,-82.91334,83.28748272926896,0.004756475,-4.1534044e-05,2.062606e-05,2.0312125e-05,2.0,40,0.014333176,1.1166235e-05,0,-4.043592783913318e-08,2.0
112,112,5242039.0,205.67325,1455.2883,1469.7502,-81.955765,83.70349002900184,0.0047115353,-3.453839e-05,2.0862715e-05,2.045417e-05,2.0,40,0.019819055,1.3484641e-05,0,-4.599170755881548e-08,2.0
113,113,4536288.0,181.5487,1638.4697,1648.4972,-83.6772,84.93549147419981,0.0047677844,-1.3091474e-06,2.1413176e-05,2.1153464e-05,2.0,40,0.020389266,1.2368396e-05,0,-5.706167386808008e-08,2.0
114,114,3925558.5,259.7682,1921.5447,1939.0238,-82.30102,85.35150096061989,0.004689177,-2.2984437e-05,2.1099308e-05,2.0720627e-05,2.0,40,0.019418286,1.0014465e-05,0,-5.78822297834544e-08,2.0
115,115,3397055.0,342.40097,2137.3115,2164.5645,-80.89845,85.7674901803548,0.0046330024,-8.174538e-06,2.1920463e-05,2.137196e-05,2.0,40,0.020525763,9.482629e-06,0,-5.888275591002904e-08,2.0
116,116,2939708.2,382.39362,2447.0386,2476.7363,-81.11834,86.319500126614,0.004671347,-4.6613288e-05,2.2124583e-05,2.1597185e-05,2.0,40,0.020885604,8.432712e-06,0,-7.022354890382745e-08,2.0
117,117,2543924.5,400.9592,2778.8733,2807.6511,-81.78955,86.87150631283293,0.004627618,-1.7867964e-05,2.2513716e-05,2.2054559e-05,2.0,40,0.020180596,7.1877153e-06,0,-7.833522696769693e-08,2.0
118,118,2201436.2,401.95123,3159.4365,3184.9026,-82.74964,87.42348732569371,0.0046480573,-4.9422695e-05,2.2882548e-05,2.251808e-05,2.0,40,0.020976631,6.586271e-06,0,-8.326139381252852e-08,2.0
119,119,1905053.1,503.68622,3624.4282,3659.2595,-82.08829,87.97550697860424,0.004619215,-3.4859988e-06,2.305014e-05,2.2613413e-05,2.0,40,0.020824576,5.690926e-06,0,-9.290688613539702e-08,2.0
120,120,1648567.4,685.7113,4275.5415,4330.1797,-80.8885,88.52749996478087,0.0047434703,-7.820524e-05,2.2579916e-05,2.2013684e-05,2.0,40,0.01998975,4.6163786e-06,0,-1.0508346553839943e-07,2.0
121,121,1426616.2,903.9539,4813.3916,4897.537,-79.363754,89.07949116433156,0.0047354773,-7.476322e-05,2.3177243e-05,2.238766e-05,2.0,40,0.020487014,4.183126e-06,0,-1.1687315015905458e-07,2.0
122,122,1234551.2,916.2488,5654.6763,5728.427,-80.796135,89.79849106518668,0.0045254417,5.824224e-06,2.2798342e-05,2.2215087e-05,2.0,41,0.019608151,3.4229558e-06,0,-1.2225594325203639e-07,2.0
123,123,1068345.5,1152.2423,6480.9595,6582.5903,-79.918785,90.35048866472789,0.004600229,8.0938923e-07,2.2986304e-05,2.2281994e-05,2.0,41,0.020501796,3.1145485e-06,0,-1.2242906029110796e-07,2.0
124,124,924510.06,1483.8307,7370.5796,7518.457,-78.61747,90.90249223759747,0.0045895535,5.747566e-07,2.3356451e-05,2.244671e-05,2.0,41,0.020199737,2.6866865e-06,0,-1.2325677823131463e-07,2.0
