True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,349.4783,2164.0835,2192.1206,-80.82649,82.70249512812006,-0.0384867,-1.338398e-05,1.0506231e-05,1.0239201e-05,2.0,40,0.010128068,4.620215e-06,0,-1.84084418537734e-08,2.0
111,111,6057573.0,560.52576,2466.1665,2529.0642,-77.195,83.2544922476809,-0.038471233,-3.85944e-05,1.0653666e-05,1.0130344e-05,2.0,40,0.014322892,5.6633166e-06,0,-2.3510291287895057e-08,2.0
112,112,5242039.0,475.4414,2778.78,2819.16,-80.29087,83.67049914746895,-0.03846125,-1.541207e-05,1.0926114e-05,1.06153575e-05,2.0,40,0.01975764,7.008343e-06,0,-2.7040618534376805e-08,2.0
113,113,4536288.0,381.30084,3237.9758,3260.3494,-83.28384,84.9024934459303,-0.038473956,-3.1021984e-05,1.0835424e-05,1.0687222e-05,2.0,40,0.021014273,6.4454052e-06,0,-2.601330453410079e-08,2.0
114,114,3925558.5,511.484,3619.976,3655.9326,-81.95764,85.31848917240859,-0.03843697,-4.8101738e-05,1.119987e-05,1.0980649e-05,2.0,40,0.019671675,5.3807544e-06,0,-2.874173598628123e-08,2.0
115,115,3397055.0,506.23737,4061.806,4093.2314,-82.89565,85.73449220546172,-0.038449194,-5.111581e-05,1.153449e-05,1.1358059e-05,2.0,40,0.020841636,5.0917315e-06,0,-2.8293696616575658e-08,2.0
116,116,2939708.2,635.4128,4700.8354,4743.5854,-82.30198,86.28650503171957,-0.038481742,-4.194335e-05,1.1517039e-05,1.1310388e-05,2.0,40,0.02098008,4.422832e-06,0,-3.02143916753946e-08,2.0
117,117,2543924.5,398.0195,5604.1284,5618.2446,-85.93753,87.00449322580243,-0.038567133,1.3270569e-06,1.1163692e-05,1.1107663e-05,2.0,41,0.019833205,3.5301427e-06,0,-3.046681599485347e-08,2.0
118,118,2201436.2,387.70712,6463.4243,6475.042,-86.56724,87.55649986534263,-0.038474385,-4.8553648e-06,1.1185396e-05,1.1145294e-05,2.0,41,0.020655023,3.1899442e-06,0,-3.101501608242272e-08,2.0
119,119,1905053.1,342.56622,7362.946,7370.9106,-87.3362,88.1085023182386,-0.03856622,2.6156988e-06,1.1346488e-05,1.1321979e-05,2.0,41,0.020575605,2.7914605e-06,0,-3.0579377000281324e-08,2.0
120,120,1648567.4,227.37833,8462.391,8465.444,-88.46088,88.66049973110785,-0.038488824,-3.892618e-06,1.1408285e-05,1.1400056e-05,2.0,41,0.019805185,2.3395328e-06,0,-3.006048358031934e-08,2.0
121,121,1426616.2,428.5817,9712.656,9722.107,-87.4734,89.2125021040265,-0.038496163,-3.950345e-06,1.1486162e-05,1.14638415e-05,2.0,41,0.020641295,2.1231297e-06,0,-2.983071775836363e-08,2.0
122,122,1234551.2,641.7085,11337.954,11356.1,-86.76061,89.76448287689709,-0.038554296,2.1166347e-06,1.13704145e-05,1.1334107e-05,2.0,41,0.020289507,1.7866615e-06,0,-3.0237732423111416e-08,2.0
123,123,1068345.5,506.80524,13291.181,13300.84,-87.816315,90.31649938310147,-0.03853406,-1.5313738e-06,1.1208432e-05,1.1192159e-05,2.0,41,0.02070031,1.556316e-06,0,-3.000863548048984e-08,2.0
124,124,924510.06,429.62286,15321.806,15327.828,-88.39385,90.86850596932345,-0.03852646,-2.5276397e-06,1.1235659e-05,1.1226832e-05,2.0,41,0.020413224,1.3317754e-06,0,-3.021156502390178e-08,2.0
125,125,800039.0,457.89053,17408.463,17414.484,-88.49331,91.42048618223635,-0.03853624,4.0715491e-07,1.1427429e-05,1.1419527e-05,2.0,41,0.020673515,1.1871448e-06,0,-3.004607647489582e-08,2.0
126,126,692334.1,772.4624,20569.846,20584.346,-87.84937,91.97249946175725,-0.038550306,-1.6561402e-06,1.1175665e-05,1.1159926e-05,2.0,41,0.02031585,9.869564e-07,0,-3.072765882564394e-08,2.0
127,127,599122.25,1248.4626,23200.46,23234.027,-86.91977,92.52448252800968,-0.03847308,-6.1644764e-06,1.1450069e-05,1.1417008e-05,2.0,41,0.020718018,8.9171016e-07,0,-3.066384438238057e-08,2.0
128,128,518454.94,1130.3215,26595.41,26619.42,-87.56636,93.07649778088671,-0.03860667,7.2283174e-06,1.1542567e-05,1.15217545e-05,2.0,41,0.020378795,7.655612e-07,0,-3.1907243479048235e-08,2.0
