True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,371.06818,2332.3308,2361.6643,-80.960144,2.466484677133849,-0.02915356,1.577066e-05,9.7483435e-06,9.507685e-06,1.0,40,0.010175705,4.3087007e-06,0,-4.0975051056256637e-10,1.0
1,1,6057573.0,678.7012,2621.2415,2707.6821,-75.48357,3.0185013433510903,-0.029134352,-8.1187745e-06,1.00233865e-05,9.393624e-06,1.0,40,0.014321115,5.289068e-06,0,-1.3653365040100753e-09,1.0
2,2,5242039.0,529.895,2961.2444,3008.2815,-79.854675,3.4344860030978452,-0.029116875,-5.9791455e-06,1.0252875e-05,9.934755e-06,1.0,40,0.019833043,6.5928148e-06,0,-2.393621363731471e-09,1.0
3,3,4536288.0,433.9914,3388.467,3416.1465,-82.70135,4.802484708052361,-0.029185383,-1.0704913e-05,1.0354192e-05,1.0187082e-05,1.0,40,0.018120399,5.304339e-06,0,-2.0564908877872768e-08,1.0
4,4,3925558.5,583.25,3857.7778,3901.619,-81.40267,5.354502467642305,-0.029187527,-2.186814e-05,1.0509486e-05,1.027463e-05,1.0,40,0.019642055,5.0343347e-06,0,-2.320036744111399e-08,1.0
5,5,3397055.0,644.64136,4288.62,4336.799,-81.451614,5.770485767367063,-0.02917888,-2.037971e-05,1.092446e-05,1.0683082e-05,1.0,40,0.020664018,4.764809e-06,0,-2.5402419705490806e-08,1.0
6,6,2939708.2,745.0802,4902.6772,4958.9707,-81.35864,6.3224944069224875,-0.029222181,-3.1561547e-05,1.10428855e-05,1.0793595e-05,1.0,40,0.020426175,4.119035e-06,0,-3.275640853939876e-08,1.0
7,7,2543924.5,418.96503,5971.476,5986.156,-85.98665,7.041502121108351,-0.029116856,-1.1756617e-05,1.0476934e-05,1.0425612e-05,1.0,41,0.019930247,3.32939e-06,0,-3.703869857273566e-08,1.0
8,8,2201436.2,583.5145,6744.225,6769.421,-85.055046,7.593501880619442,-0.029129228,-6.5406375e-06,1.0719684e-05,1.0640035e-05,1.0,41,0.020534303,3.0333913e-06,0,-3.72571624313404e-08,1.0
9,9,1905053.1,267.10663,7801.2056,7805.777,-88.03901,8.145479320170125,-0.029220747,-3.557426e-06,1.0709059e-05,1.069652e-05,1.0,41,0.020659305,2.6466687e-06,0,-3.678402436812039e-08,1.0
10,10,1648567.4,320.9521,8976.315,8982.052,-87.95224,8.697492546431022,-0.029238874,2.1762232e-06,1.0755122e-05,1.0741389e-05,1.0,41,0.0199323,2.2191255e-06,0,-3.6142200590840425e-08,1.0
11,11,1426616.2,451.30344,10506.442,10516.131,-87.540375,9.24949798596208,-0.029193955,-2.3172142e-06,1.0618357e-05,1.05988e-05,1.0,41,0.020498488,1.9492425e-06,0,-3.648639411337879e-08,1.0
12,12,1234551.2,520.9283,11762.874,11774.403,-87.464264,9.801503105525626,-0.029223038,-1.8423585e-06,1.0959671e-05,1.0938219e-05,1.0,41,0.020327043,1.7263756e-06,0,-3.7149615724104027e-08,1.0
13,13,1068345.5,264.63965,13844.44,13846.97,-88.904915,10.353501718404004,-0.029105714,-7.3041306e-06,1.0760514e-05,1.0756583e-05,1.0,41,0.02057816,1.486113e-06,0,-3.82801462036721e-08,1.0
14,14,924510.06,452.53433,16105.877,16112.233,-88.39056,10.905500517954351,-0.029184228,-3.8199937e-06,1.0688681e-05,1.0680249e-05,1.0,41,0.020256761,1.2572286e-06,0,-3.824133684338666e-08,1.0
15,15,800039.0,1585.1031,18914.447,18980.75,-85.20959,11.457491664186819,-0.029158404,-7.1309482e-06,1.0517567e-05,1.0444217e-05,1.0,41,0.020673532,1.0891841e-06,0,-3.884394031613662e-08,1.0
16,16,692334.1,613.5685,21276.652,21285.498,-88.34818,12.009488837065874,-0.029215604,1.3605895e-06,1.0804411e-05,1.0795433e-05,1.0,41,0.020371027,9.570379e-07,0,-3.872872795164836e-08,1.0
17,17,599122.25,1301.8885,24734.873,24769.111,-86.98709,12.5615032632777,-0.029140126,-6.313452e-06,1.0739771e-05,1.07101005e-05,1.0,41,0.020795133,8.395591e-07,0,-3.816088490458943e-08,1.0
18,18,518454.94,1023.09106,28412.969,28431.383,-87.93779,13.113479956140509,-0.029154269,-5.872115e-06,1.0804197e-05,1.0790207e-05,1.0,41,0.020301003,7.14035e-07,0,-3.767309881861378e-08,1.0
19,19,448662.03,1740.1853,33568.613,33613.688,-87.03246,13.665494889050024,-0.029193955,-2.9019386e-06,1.0567382e-05,1.053906e-05,1.0,41,0.020304495,6.040544e-07,0,-3.7289059721627006e-08,1.0
20,20,388258.97,2502.0574,37858.637,37941.227,-86.21885,14.217488781927386,-0.029192183,-1.7250413e-06,1.0827636e-05,1.0780549e-05,1.0,41,0.020908237,5.510691e-07,0,-3.7569820687205414e-08,1.0
21,21,335983.9,5965.393,46052.863,46437.617,-82.61937,14.769497528177453,-0.029242955,5.636153e-06,1.0285964e-05,1.0116223e-05,1.0,41,0.02037062,4.3866635e-07,0,-3.72985001751513e-08,1.0
22,22,290751.2,3598.7283,49596.742,49727.133,-85.84991,15.321496247692266,-0.029222032,2.8913007e-06,1.1036858e-05,1.0979054e-05,1.0,41,0.020617316,4.1460896e-07,0,-3.6888317000471855e-08,1.0
23,23,251605.19,2003.9259,56548.613,56584.11,-87.97044,16.040488388534868,-0.029265277,2.841528e-07,1.1186097e-05,1.1172067e-05,1.0,42,0.019888498,3.5148557e-07,0,-3.794366910254136e-08,1.0
24,24,217729.38,2084.0562,66189.64,66222.445,-88.19657,16.59250225473079,-0.02916923,-6.091077e-07,1.1043661e-05,1.1032723e-05,1.0,42,0.020062495,3.0295612e-07,0,-3.800962781039373e-08,1.0
25,25,188418.58,1255.0214,74557.98,74568.54,-89.035645,17.14448689427809,-0.0291612,-4.4353035e-07,1.1329279e-05,1.132607e-05,1.0,42,0.020816747,2.791626e-07,0,-3.791873566798642e-08,1.0
26,26,163051.14,4819.3013,86133.86,86268.58,-86.79757,17.696496947173728,-0.029163063,-5.0741454e-07,1.1332413e-05,1.12970465e-05,1.0,42,0.020280149,2.3508153e-07,0,-3.790395550639936e-08,1.0
27,27,141098.2,3225.8252,98276.13,98329.06,-88.119995,18.248500200075796,-0.029270865,4.1452867e-07,1.1477587e-05,1.1465233e-05,1.0,42,0.020150235,2.0492655e-07,0,-3.8012810195111555e-08,1.0
28,28,122105.11,11397.593,118493.33,119040.22,-84.50576,18.66448733981815,-0.02923634,3.2587317e-07,1.0999993e-05,1.08991535e-05,1.0,42,0.021873035,1.8374492e-07,0,-3.802308289280375e-08,1.0
29,29,105663.59,6247.3306,132323.88,132471.27,-87.296936,19.216489046026254,-0.029278075,5.9630975e-07,1.1382995e-05,1.1357679e-05,1.0,42,0.020412624,1.5409096e-07,0,-3.794884567105801e-08,1.0
30,30,91439.65,8284.197,151579.84,151806.05,-86.871765,19.632485919137252,-0.029281113,3.5530087e-07,1.14827035e-05,1.1448508e-05,1.0,42,0.021605603,1.4232373e-07,0,-3.801125626937897e-08,1.0
31,31,79127.08,9958.854,182493.31,182764.84,-86.8764,20.18449783869437,-0.02920778,5.6740177e-08,1.1021686e-05,1.0988962e-05,1.0,42,0.020369425,1.1145155e-07,0,-3.8087056784704207e-08,1.0
32,32,68475.36,10525.331,203159.95,203432.42,-87.03426,20.60049503177288,-0.02916459,-6.7150177e-07,1.1440571e-05,1.1409946e-05,1.0,42,0.021116748,1.0380228e-07,0,-3.8100795978222815e-08,1.0
33,33,59252.523,15960.526,234333.9,234876.81,-86.10359,21.016488811554154,-0.029269356,3.8826738e-07,1.1462467e-05,1.1409539e-05,1.0,42,0.021841263,9.299029e-08,0,-3.814095714370907e-08,1.0
34,34,51282.285,5150.802,272483.1,272531.78,-88.91705,21.56849331772537,-0.029268313,5.279556e-07,1.1389724e-05,1.1385655e-05,1.0,42,0.020304915,7.4504754e-08,0,-3.8097233903192415e-08,1.0
35,35,44369.8,25655.342,321979.9,323000.4,-85.4443,21.985484324250137,-0.029225366,-2.0233506e-07,1.114048e-05,1.1070195e-05,1.0,42,0.020660164,6.396328e-08,0,-3.811223794008277e-08,1.0
36,36,38403.727,36423.52,361172.1,363004.06,-84.2413,22.401504850626225,-0.029141525,-3.632561e-07,1.1474468e-05,1.1358944e-05,1.0,42,0.020899124,5.7572702e-08,0,-3.8081223109956024e-08,1.0
37,37,33226.32,35220.38,421465.88,422934.94,-85.2231,22.81748884372064,-0.029279325,5.9221225e-07,1.1365158e-05,1.1286342e-05,1.0,42,0.021156555,5.002319e-08,0,-3.810506227545347e-08,1.0
38,38,28754.086,49367.844,502178.47,504599.25,-84.385445,23.399500951374648,-0.029237496,1.3243948e-07,1.1022053e-05,1.0916551e-05,1.0,43,0.021002196,4.1621536e-08,0,-3.8129051841246385e-08,1.0
39,39,24884.947,77939.54,573734.5,579004.2,-82.263954,23.816493477876065,-0.029254172,1.6048558e-07,1.1147371e-05,1.0945383e-05,1.0,43,0.021023517,3.6309785e-08,0,-3.811299748251656e-08,1.0
40,40,21553.963,66477.22,664073.9,667392.94,-84.28344,24.233501071023056,-0.029262071,1.414716e-07,1.1119278e-05,1.1008957e-05,1.0,43,0.021042826,3.152989e-08,0,-3.8095448761310105e-08,1.0
41,41,18631.234,80794.266,749329.25,753672.4,-83.84602,24.650488557497738,-0.029246105,1.564258e-07,1.1400026e-05,1.1269016e-05,1.0,43,0.020861054,2.7679208e-08,0,-3.8080542313074437e-08,1.0
42,42,16126.037,110602.32,856922.2,864030.4,-82.64554,25.066483537229942,-0.0292625,1.4933046e-07,1.1517311e-05,1.132859e-05,1.0,43,0.020675048,2.3928612e-08,0,-3.8065932706046784e-08,1.0
43,43,13954.87,99159.02,947816.5,952989.3,-84.027534,25.482500996993622,-0.029193098,5.0815295e-08,1.2032893e-05,1.190262e-05,1.0,43,0.020329768,2.133263e-08,0,-3.804901195015198e-08,1.0
44,44,12080.609,168720.62,1062064.9,1075382.9,-80.973366,25.898490216728533,-0.029203549,9.4635e-08,1.2404527e-05,1.20991845e-05,1.0,43,0.019889329,1.8495115e-08,0,-3.803351109655509e-08,1.0
45,45,10447.592,229640.9,1304289.1,1324350.8,-80.0145,26.314480183151318,-0.029155536,7.325589e-08,1.16796555e-05,1.1328483e-05,1.0,43,0.019475093,1.470539e-08,0,-3.801657616452412e-08,1.0
46,46,9045.586,215988.77,1407674.8,1424148.6,-81.276764,26.74626132371486,-0.029195799,1.4873454e-07,1.24991675e-05,1.2211672e-05,1.0,43,0.022008592,1.5453859e-08,0,-3.7995416430659e-08,1.0
47,47,7827.7437,343939.53,1628790.2,1664707.8,-78.07644,27.38291607395513,-0.029207202,1.2715059e-07,1.2482983e-05,1.1950132e-05,1.0,43,0.020118624,1.2085379e-08,0,-3.797853589555074e-08,1.0
48,48,6770.8345,359305.78,1914258.6,1947687.5,-79.36929,27.921396952850046,-0.029209642,1.5368822e-07,1.22794045e-05,1.1861511e-05,1.0,43,0.020164235,1.03529105e-08,0,-3.795559894929089e-08,1.0
49,49,5860.798,478879.0,2172170.2,2224331.0,-77.56738,28.52799770166166,-0.029240645,1.7547703e-07,1.2501713e-05,1.1922255e-05,1.0,43,0.020120274,9.045539e-09,0,-3.792794319705105e-08,1.0
