True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,312.9366,1907.715,1933.2113,-80.68431,2.4694945439405274,-0.0072874133,4.451598e-05,1.1918112e-05,1.1605819e-05,1.0,40,0.010117321,5.2334276e-06,0,1.2600270173531195e-08,1.0
1,1,6057573.0,368.08563,2118.0293,2149.7756,-80.14121,3.0214797435037326,-0.0072731045,1.9119521e-05,1.2404793e-05,1.2041129e-05,1.0,40,0.014253665,6.6303032e-06,0,1.4407970753925131e-08,1.0
2,2,5242039.0,405.57385,2409.431,2443.3271,-80.44511,3.437483336572768,-0.0072184945,8.160957e-06,1.2601011e-05,1.22538095e-05,1.0,40,0.019673835,8.052068e-06,0,1.5218567822153598e-08,1.0
3,3,4536288.0,349.14624,2797.6047,2819.3076,-82.88616,4.80548009488848,-0.0072280713,-2.6538084e-05,1.2541029e-05,1.2348692e-05,1.0,40,0.019954173,7.0776855e-06,0,2.6053482075054845e-08,1.0
4,4,3925558.5,406.6259,3139.4592,3165.683,-82.62008,5.221481741318712,-0.0073171123,3.4413155e-05,1.2914091e-05,1.2701021e-05,1.0,40,0.018724624,5.9148765e-06,0,2.623441036637865e-08,1.0
5,5,3397055.0,457.57635,3525.0764,3554.6504,-82.60401,5.637484987761127,-0.0072843577,1.1547138e-05,1.3290735e-05,1.3070503e-05,1.0,40,0.019619547,5.5194027e-06,0,3.072649544266268e-08,1.0
6,6,2939708.2,445.95258,4039.3613,4063.9038,-83.69996,6.053490474150749,-0.007295984,6.1143733e-06,1.3403036e-05,1.3241639e-05,1.0,40,0.021421658,5.271202e-06,0,3.341684565768648e-08,1.0
7,7,2543924.5,566.915,4601.1045,4635.8984,-82.97583,6.6054777270474005,-0.007310107,-1.7030734e-05,1.3597336e-05,1.3393997e-05,1.0,40,0.020643923,4.453058e-06,0,3.042950194406381e-08,1.0
8,8,2201436.2,713.1296,5231.1924,5279.5767,-82.237144,7.1575028465886135,-0.0072957044,-1.740284e-05,1.3820168e-05,1.3568021e-05,1.0,40,0.02081627,3.9427914e-06,0,3.0710185999364766e-08,1.0
9,9,1905053.1,272.77496,6428.129,6433.914,-87.57014,7.876500774087617,-0.0073720203,-2.0211412e-06,1.2996561e-05,1.29732e-05,1.0,41,0.019453011,3.0235112e-06,0,3.0000876200386666e-08,1.0
10,10,1648567.4,324.97385,7422.2812,7429.392,-87.49299,8.42850280032144,-0.007355997,7.801868e-06,1.3006967e-05,1.298208e-05,1.0,41,0.019919042,2.6811133e-06,0,2.958906754947874e-08,1.0
11,11,1426616.2,432.17468,8507.108,8518.079,-87.09178,8.980497253214708,-0.0073299683,4.541193e-06,1.3113874e-05,1.3080116e-05,1.0,41,0.020627394,2.4216017e-06,0,2.8903306355395446e-08,1.0
12,12,1234551.2,533.7211,9656.792,9671.53,-86.83654,9.53249647942721,-0.0072384677,-6.0192265e-06,1.3349904e-05,1.3309247e-05,1.0,41,0.02033697,2.1027665e-06,0,2.930521409186958e-08,1.0
13,13,1068345.5,525.16016,11163.235,11175.581,-87.30658,10.084502665646141,-0.0073776096,5.8354076e-06,1.3344992e-05,1.33155245e-05,1.0,41,0.020637069,1.8466216e-06,0,2.9251767207425258e-08,1.0
14,14,924510.06,644.24567,13084.9,13100.751,-87.181274,10.636499998538056,-0.0072824573,-3.00622e-06,1.315643e-05,1.3124613e-05,1.0,41,0.020282574,1.5481993e-06,0,2.9773234232855038e-08,1.0
15,15,800039.0,317.10605,14582.214,14585.661,-88.754234,11.188481491379207,-0.0073729516,7.4368813e-06,1.3642233e-05,1.3635786e-05,1.0,41,0.020596933,1.4121357e-06,0,2.997022188995481e-08,1.0
16,16,692334.1,612.3544,17513.09,17523.793,-87.99744,11.740488077601185,-0.0074682343,1.2211509e-05,1.3126279e-05,1.311025e-05,1.0,41,0.020343797,1.1609243e-06,0,3.025593828644762e-08,1.0
17,17,599122.25,851.323,19877.014,19895.236,-87.54755,12.292484850477194,-0.007334645,6.826087e-06,1.3364525e-05,1.3340055e-05,1.0,41,0.020700417,1.040471e-06,0,3.043218115857371e-08,1.0
18,18,518454.94,1120.7198,23084.098,23111.287,-87.220505,12.844497970043449,-0.0073230932,-1.0844514e-06,1.3298302e-05,1.3267031e-05,1.0,41,0.020276612,8.7734674e-07,0,3.092366915718495e-08,1.0
19,19,448662.03,1411.085,26975.117,27012.0,-87.005554,13.396504129603272,-0.007357711,6.306539e-06,1.3150355e-05,1.3114468e-05,1.0,41,0.020479389,7.5815893e-07,0,3.0901346467484496e-08,1.0
