True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,239.66432,1915.1455,1930.0833,-82.867,83.00450260916841,-0.012553822,1.9975476e-05,1.1871872e-05,1.16888195e-05,2.0,40,0.010169418,5.268901e-06,0,5.8196882174270064e-08,2.0
111,111,6057573.0,538.0188,2245.1152,2308.6807,-76.52379,83.55648402203224,-0.012471638,-6.0418522e-05,1.1702613e-05,1.10670635e-05,2.0,40,0.014307473,6.197251e-06,0,5.467024386802782e-08,2.0
112,112,5242039.0,461.28854,2504.5215,2546.6477,-79.56409,83.97249486847431,-0.012447341,-5.3553118e-05,1.2122581e-05,1.1724839e-05,2.0,40,0.019733962,7.748996e-06,0,5.57789691049331e-08,2.0
113,113,4536288.0,417.62524,2886.7766,2916.8289,-81.76823,85.20450415366213,-0.01255712,-2.3882942e-06,1.2153639e-05,1.190449e-05,2.0,40,0.020780824,7.1244576e-06,0,4.950084852419244e-08,2.0
114,114,3925558.5,533.69006,3349.9556,3392.201,-80.94813,85.62048926673015,-0.012546444,-3.4929126e-05,1.2102626e-05,1.1803059e-05,2.0,40,0.019608825,5.7805614e-06,0,4.767475816835661e-08,2.0
115,115,3397055.0,617.88666,3697.0376,3748.3157,-80.51184,86.03648731313297,-0.012507765,-5.8613776e-05,1.2672541e-05,1.2328184e-05,2.0,40,0.020789642,5.5463956e-06,0,4.600687073858604e-08,2.0
116,116,2939708.2,740.769,4176.1553,4241.3457,-79.94146,86.58849213938811,-0.012570926,-8.769942e-06,1.2964007e-05,1.256855e-05,2.0,40,0.020974882,4.9453365e-06,0,4.140239410443256e-08,2.0
117,117,2543924.5,731.2538,4763.5576,4819.3584,-81.27265,87.14049499222892,-0.012577764,-1.1170037e-05,1.3133622e-05,1.2831248e-05,2.0,40,0.020546928,4.2634156e-06,0,3.913903663874684e-08,2.0
118,118,2201436.2,619.1213,5703.3706,5736.876,-83.804596,87.8595077197242,-0.0126390625,8.875825e-07,1.2676006e-05,1.2528373e-05,2.0,41,0.019961586,3.479522e-06,0,4.360241771731547e-08,2.0
119,119,1905053.1,739.1015,6597.4307,6638.7017,-83.60788,88.41150651927455,-0.012693876,8.3419e-06,1.2663047e-05,1.2506091e-05,2.0,41,0.020507514,3.089085e-06,0,4.3753529801424665e-08,2.0
120,120,1648567.4,822.0691,7538.257,7582.9487,-83.77632,88.9635066788469,-0.01249476,-7.2929583e-06,1.2806856e-05,1.265634e-05,2.0,41,0.019787632,2.6094904e-06,0,4.182797586362715e-08,2.0
121,121,1426616.2,961.17267,8624.87,8678.263,-83.64108,89.51550249170396,-0.012564647,4.760544e-07,1.2934821e-05,1.2776149e-05,2.0,41,0.020587781,2.3723392e-06,0,4.283571864529397e-08,2.0
122,122,1234551.2,1228.7695,10039.105,10114.025,-83.021805,90.0674902779574,-0.012624585,5.0141853e-06,1.2841507e-05,1.26519635e-05,2.0,41,0.020459455,2.0228795e-06,0,4.385320120634104e-08,2.0
