True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,315.5711,1674.4023,1703.8804,-79.32678,2.4644796903885435,-0.01091164,1.750096e-05,1.3578792e-05,1.31130155e-05,1.0,40,0.010118507,5.938508e-06,0,5.883937741057505e-10,1.0
1,1,6057573.0,408.0228,1898.1752,1941.5333,-77.86857,3.016495983261848,-0.010901318,2.132798e-06,1.3841565e-05,1.3230251e-05,1.0,40,0.014294839,7.3626547e-06,0,-2.6611217243757637e-09,1.0
2,2,5242039.0,379.27795,2167.7002,2200.6309,-80.07554,3.432483416312607,-0.010895151,1.2868124e-05,1.400621e-05,1.3590165e-05,1.0,40,0.019730793,8.965972e-06,0,-2.774068403896182e-09,1.0
3,3,4536288.0,350.5173,2488.6526,2513.2158,-81.98284,4.664481101528509,-0.010860793,-4.3245716e-05,1.4097927e-05,1.3823697e-05,1.0,40,0.021587985,8.5897855e-06,0,-2.1636025293496963e-08,1.0
4,4,3925558.5,434.69168,2800.0,2833.5415,-81.175446,5.0804789612593595,-0.010915329,-3.0798717e-05,1.4479736e-05,1.4138963e-05,1.0,40,0.019875705,7.0144397e-06,0,-2.230241384689988e-08,1.0
5,5,3397055.0,534.62225,3162.2615,3207.1355,-80.40413,5.496488554374082,-0.010943798,-4.2302217e-06,1.4815619e-05,1.440392e-05,1.0,40,0.021029696,6.5571585e-06,0,-2.336014025775057e-08,1.0
6,6,2939708.2,529.0732,3620.2979,3658.7532,-81.68561,6.048499993950827,-0.010962094,1.3221632e-05,1.49544885e-05,1.4641783e-05,1.0,40,0.020900229,5.712391e-06,0,-2.8276353101808302e-08,1.0
7,7,2543924.5,595.59674,4159.816,4202.238,-81.851845,6.600493940146407,-0.010966566,-8.56528e-06,1.503979e-05,1.4737669e-05,1.0,40,0.020414043,4.857898e-06,0,-2.6546631127757792e-08,1.0
8,8,2201436.2,771.1088,4620.803,4684.7017,-80.52592,7.152496046357555,-0.01095045,-3.7961792e-05,1.5645755e-05,1.5221856e-05,1.0,40,0.020914443,4.464413e-06,0,-3.192038498315873e-08,1.0
9,9,1905053.1,588.42,5662.6113,5693.1016,-84.067505,7.871483840543078,-0.010987732,-3.7604166e-06,1.4753541e-05,1.4595935e-05,1.0,41,0.019426452,3.4122793e-06,0,-3.6542962785108876e-08,1.0
10,10,1648567.4,782.49054,6450.6484,6497.9346,-83.08357,8.423488853411982,-0.010955927,2.5914912e-06,1.496615e-05,1.4749121e-05,1.0,41,0.020088706,3.0915526e-06,0,-3.671888675587651e-08,1.0
