True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,312.85922,2031.2933,2055.2454,-81.244125,82.66550144637586,-0.024174007,-5.9232207e-06,1.1193047e-05,1.0933677e-05,2.0,40,0.010164663,4.9457176e-06,0,1.999351216158739e-08,2.0
111,111,6057573.0,494.57474,2130.4873,2187.1396,-76.93075,83.21750632594922,-0.024179222,7.1748573e-06,1.2332256e-05,1.1701659e-05,2.0,40,0.014306384,6.541139e-06,0,1.725833434091633e-08,2.0
112,112,5242039.0,502.5114,2423.807,2475.35,-78.28719,83.63348263900843,-0.024144456,-1.4630643e-05,1.2526273e-05,1.2010045e-05,2.0,40,0.019736864,7.973363e-06,0,1.7772918461821855e-08,2.0
113,113,4536288.0,435.67395,2776.1707,2810.1487,-81.08112,85.00150198399206,-0.024201488,4.235228e-06,1.2637855e-05,1.2334089e-05,2.0,40,0.020808913,7.4049153e-06,0,3.7259448410916895e-09,2.0
114,114,3925558.5,530.42944,3200.6272,3244.2827,-80.59009,85.41749725709087,-0.024247732,7.416741e-06,1.2667286e-05,1.23286745e-05,2.0,40,0.01916558,5.9074937e-06,0,2.3438884085651423e-09,2.0
115,115,3397055.0,595.3954,3531.0706,3580.9153,-80.42904,85.83349463684135,-0.024240335,1.3575126e-05,1.3268174e-05,1.2901371e-05,2.0,40,0.020087086,5.6094837e-06,0,2.402806907901203e-09,2.0
116,116,2939708.2,631.23566,4068.798,4117.472,-81.181404,86.24949217660469,-0.0242223,-5.234912e-06,1.33060685e-05,1.2993337e-05,2.0,40,0.021880066,5.313956e-06,0,1.5357926428846765e-09,2.0
117,117,2543924.5,721.67706,4597.3633,4653.6616,-81.07872,86.8014851094631,-0.024227368,-3.956186e-05,1.36084e-05,1.3281133e-05,2.0,40,0.02063178,4.433451e-06,0,7.288654312411818e-09,2.0
118,118,2201436.2,682.4057,5445.698,5488.288,-82.857445,87.52049901030841,-0.024239535,-2.151494e-06,1.3275792e-05,1.30705475e-05,2.0,41,0.01993363,3.6320305e-06,0,3.565876538733686e-09,2.0
119,119,1905053.1,704.38916,6374.3066,6413.1074,-83.694145,88.07248698317562,-0.024236254,-3.147746e-06,1.31063e-05,1.2948187e-05,2.0,41,0.020524446,3.2003902e-06,0,4.5839172418509954e-09,2.0
120,120,1648567.4,880.989,7323.905,7376.701,-83.14088,88.6244908227527,-0.024137525,-6.06392e-06,1.318168e-05,1.2993668e-05,2.0,41,0.019868838,2.6934583e-06,0,5.328313006811925e-09,2.0
121,121,1426616.2,976.22424,8407.173,8463.662,-83.37659,89.17649522228749,-0.024213264,-2.6635796e-06,1.3269758e-05,1.3093216e-05,2.0,41,0.02059251,2.4330498e-06,0,6.063462448181826e-09,2.0
