True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,208.82376,1575.7112,1589.4883,-82.450775,2.4684994239069056,-0.17829943,2.529665e-05,1.4429269e-05,1.4180218e-05,1.0,40,0.009814863,6.1748574e-06,0,-3.154329632448278e-09,1.0
1,1,6057573.0,435.6935,1953.0087,2001.0177,-77.42391,3.0204807834525127,-0.1782359,-6.026965e-05,1.3452944e-05,1.2815153e-05,1.0,40,0.0140308775,7.011871e-06,0,-1.0697720420656273e-08,1.0
2,2,5242039.0,222.14175,2064.4963,2076.4133,-83.85855,3.436486243183026,-0.17830718,1.0170364e-05,1.4706379e-05,1.4538058e-05,1.0,40,0.01955219,9.416328e-06,0,-1.1312506292319489e-08,1.0
3,3,4536288.0,306.86014,2322.003,2342.1914,-82.4718,4.804492654831847,-0.178245,-5.1934418e-05,1.5109731e-05,1.4850378e-05,1.0,40,0.0196126,8.37361e-06,0,-3.132041974575057e-08,1.0
4,4,3925558.5,314.02612,2680.0269,2698.3618,-83.31697,5.220477927912725,-0.17834769,6.5050986e-06,1.512793e-05,1.49230455e-05,1.0,40,0.01870339,6.931387e-06,0,-3.332464103444484e-08,1.0
5,5,3397055.0,448.6517,3090.2454,3122.6438,-81.739334,5.636500134336529,-0.17842351,2.853388e-05,1.51608865e-05,1.484792e-05,1.0,40,0.019704148,6.310085e-06,0,-3.6555286013733876e-08,1.0
6,6,2939708.2,468.9901,3438.8298,3470.663,-82.23387,6.052481834107311,-0.17833248,-7.3931246e-06,1.5743643e-05,1.5456162e-05,1.0,40,0.021473117,6.187036e-06,0,-3.910202254667183e-08,1.0
7,7,2543924.5,743.99774,4038.542,4106.5015,-79.56176,6.604481007001596,-0.17841117,3.433876e-05,1.5491423e-05,1.4982923e-05,1.0,40,0.020723986,5.046628e-06,0,-4.548877927785118e-08,1.0
8,8,2201436.2,569.6135,4588.1133,4623.337,-82.92295,7.156493273243541,-0.17830892,-1.9988971e-05,1.575723e-05,1.5518048e-05,1.0,40,0.020716611,4.4808785e-06,0,-5.232725856496422e-08,1.0
9,9,1905053.1,684.7819,5271.406,5315.6978,-82.59844,7.708494152786443,-0.17838255,2.2444672e-06,1.5848442e-05,1.5585434e-05,1.0,40,0.020475103,3.8518183e-06,0,-5.7185551665510404e-08,1.0
10,10,1648567.4,885.79565,6035.8813,6100.5327,-81.65115,8.427494560281048,-0.17842403,-1.9976273e-05,1.5994578e-05,1.5657362e-05,1.0,41,0.018937755,3.104279e-06,0,-6.615750966479321e-08,1.0
11,11,1426616.2,786.81757,7139.1934,7182.4204,-83.710754,8.843480660027126,-0.17834714,-2.373972e-05,1.5626576e-05,1.5439047e-05,1.0,41,0.021892464,3.0480621e-06,0,-6.881362458779942e-08,1.0
12,12,1234551.2,1133.6642,8133.4043,8212.031,-82.065025,9.39548167292378,-0.17839934,-1.9220211e-05,1.5850343e-05,1.5548274e-05,1.0,41,0.020950118,2.5511492e-06,0,-7.21923015556898e-08,1.0
13,13,1068345.5,1275.6893,9054.835,9144.256,-81.98067,9.947487085795728,-0.17823076,-3.3680037e-05,1.6452348e-05,1.613215e-05,1.0,41,0.020603284,2.2531394e-06,0,-7.628309735949302e-08,1.0
14,14,924510.06,1850.1876,10552.965,10713.929,-80.05575,10.499482311977772,-0.17844567,-1.6905524e-05,1.6313006e-05,1.5826521e-05,1.0,41,0.020476181,1.911174e-06,0,-8.04296612440396e-08,1.0
