True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,229.79492,1564.9446,1581.7261,-81.64644,82.75850198414992,-0.031479713,1.0096021e-05,1.452854e-05,1.4221891e-05,2.0,40,0.010155033,6.4202227e-06,0,3.2073762493668075e-09,2.0
111,111,6057573.0,385.95276,1766.4795,1808.1508,-77.67529,83.31049131698092,-0.031423446,-1.5300453e-05,1.4873491e-05,1.4195831e-05,2.0,40,0.014350916,7.936792e-06,0,1.792554289338197e-09,2.0
112,112,5242039.0,373.5725,2012.0721,2046.4581,-79.48191,83.7265021900821,-0.0313538,-2.7003221e-05,1.5089551e-05,1.45867225e-05,2.0,40,0.019859433,9.704295e-06,0,4.870864104985865e-10,2.0
113,113,4536288.0,320.25522,2290.462,2312.7427,-82.040436,84.95849307530443,-0.03138633,-1.9412213e-05,1.53178e-05,1.5024082e-05,2.0,40,0.021752423,9.405466e-06,0,-6.929793300162067e-10,2.0
114,114,3925558.5,427.7915,2586.7073,2621.8428,-80.60938,85.37450261504273,-0.031443775,-3.1319665e-05,1.5673695e-05,1.5256421e-05,2.0,40,0.019855268,7.5730204e-06,0,-4.666642581388479e-09,2.0
115,115,3397055.0,498.59622,2907.4827,2949.9243,-80.26916,85.7904878614645,-0.031455528,-1.9914562e-05,1.611389e-05,1.5653553e-05,2.0,40,0.020804439,7.052533e-06,0,-5.932122613603615e-09,2.0
116,116,2939708.2,566.6155,3306.352,3354.5518,-80.27558,86.342496714351,-0.031503525,-2.5477575e-05,1.6374453e-05,1.5907282e-05,2.0,40,0.020375239,6.073908e-06,0,-5.4540412242306425e-09,2.0
117,117,2543924.5,576.3491,3783.661,3827.3057,-81.33895,86.89449668725138,-0.031508386,3.5654389e-06,1.6534981e-05,1.6160018e-05,2.0,40,0.02079855,5.434254e-06,0,-1.035598337751568e-08,2.0
118,118,2201436.2,772.2674,4369.54,4437.2603,-79.97712,87.44650732676382,-0.031495813,-2.4286825e-05,1.6545438e-05,1.6044269e-05,2.0,40,0.020733451,4.6725795e-06,0,-1.0196430831741981e-08,2.0
119,119,1905053.1,806.26154,4971.357,5036.313,-80.7879,87.99849972632364,-0.031491023,-1.0314181e-05,1.6804985e-05,1.6374293e-05,2.0,40,0.020295408,4.0298146e-06,0,-1.2107152062458344e-08,2.0
120,120,1648567.4,908.88617,6024.3945,6092.5693,-81.42062,88.71748757382738,-0.03144327,-3.548128e-06,1.6025075e-05,1.5668445e-05,2.0,41,0.018962918,3.1124664e-06,0,-1.0045136470351323e-08,2.0
121,121,1426616.2,1019.4309,6894.913,6969.8687,-81.5896,89.13348164691706,-0.03151882,5.058526e-07,1.618021e-05,1.5834072e-05,2.0,41,0.021882609,3.1396012e-06,0,-9.922732444890059e-09,2.0
122,122,1234551.2,1337.3958,7901.385,8013.77,-80.39312,89.68548588649719,-0.03145814,-6.2635365e-07,1.6315778e-05,1.5861362e-05,2.0,41,0.020990387,2.61929e-06,0,-1.0242642883606163e-08,2.0
123,123,1068345.5,1669.186,9056.374,9208.914,-79.55698,90.23748724602046,-0.031426594,-3.0062192e-06,1.6449552e-05,1.5909112e-05,2.0,41,0.02076061,2.2544039e-06,0,-9.842737759976967e-09,2.0
124,124,924510.06,2178.0457,10376.563,10602.687,-78.14568,90.7895055655681,-0.031550143,4.5784377e-06,1.6590328e-05,1.5890231e-05,2.0,41,0.020319613,1.9164588e-06,0,-9.967472583402347e-09,2.0
125,125,800039.0,3406.9983,11182.705,11690.189,-73.05576,91.34149575178162,-0.03150507,1.5840538e-06,1.7789433e-05,1.6278438e-05,2.0,41,0.020670427,1.7681858e-06,0,-1.0724423288942001e-08,2.0
126,126,692334.1,3107.6138,13391.818,13747.656,-76.935555,91.8934957513411,-0.0314734,-1.5555814e-06,1.7165832e-05,1.6288708e-05,2.0,41,0.020353701,1.4805215e-06,0,-1.0828639465090323e-08,2.0
127,127,599122.25,4147.519,15393.345,15942.302,-74.920555,92.44550281754346,-0.03147891,-1.3101327e-07,1.7257255e-05,1.6089245e-05,2.0,41,0.020478563,1.2845425e-06,0,-1.0050582983986681e-08,2.0
128,128,518454.94,5399.67,17712.145,18516.924,-73.04579,92.99750487043639,-0.03149525,-1.1239241e-07,1.7331573e-05,1.5857788e-05,2.0,41,0.02052027,1.10819e-06,0,-1.092584542011801e-08,2.0
