True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,254.46248,1688.713,1707.7771,-81.43089,82.83749614786939,-0.08206295,2.3250028e-05,1.3463721e-05,1.3164805e-05,2.0,40,0.010159574,5.949005e-06,0,-3.812190056571237e-08,2.0
111,111,6057573.0,281.62476,1966.7479,1986.809,-81.851036,83.3895017474133,-0.08200691,-1.9654111e-05,1.3358965e-05,1.3090553e-05,2.0,40,0.014352544,7.2239177e-06,0,-4.140863863279224e-08,2.0
112,112,5242039.0,286.86935,2240.923,2259.2102,-82.70502,83.80548216719762,-0.081966646,-4.596211e-05,1.3548553e-05,1.3330105e-05,2.0,40,0.019755434,8.744399e-06,0,-3.801702928015614e-08,2.0
113,113,4536288.0,208.8189,2542.262,2550.8237,-85.30432,85.03748963904218,-0.082032785,-1.5598109e-05,1.380064e-05,1.3708152e-05,2.0,40,0.020978132,8.224062e-06,0,-5.1289867740230674e-08,2.0
114,114,3925558.5,325.82907,2893.2048,2911.4941,-83.57449,85.45349627212272,-0.0820394,-8.602496e-06,1.4013271e-05,1.3837767e-05,2.0,40,0.019622061,6.739516e-06,0,-5.521687411150763e-08,2.0
115,115,3397055.0,359.8183,3296.8752,3316.4521,-83.77144,85.86948725188267,-0.08200449,-4.6799352e-05,1.42106865e-05,1.404341e-05,2.0,40,0.020799583,6.2716367e-06,0,-5.7912175702576205e-08,2.0
116,116,2939708.2,373.75354,3753.5312,3772.0935,-84.31358,86.42150031813071,-0.08208063,-1.9542456e-05,1.4423673e-05,1.4282065e-05,2.0,40,0.020956622,5.5557007e-06,0,-6.441483264086816e-08,2.0
117,117,2543924.5,366.93344,4274.0264,4289.7485,-85.09308,86.97348375766887,-0.08210165,8.886574e-06,1.4637898e-05,1.4530798e-05,2.0,40,0.020443358,4.765631e-06,0,-7.37308547356397e-08,2.0
118,118,2201436.2,414.12006,4933.576,4950.9263,-85.20189,87.52549253051984,-0.082066625,-2.2482105e-05,1.4653865e-05,1.4551339e-05,2.0,40,0.020883745,4.218149e-06,0,-7.906875703218693e-08,2.0
119,119,1905053.1,261.83487,5839.062,5844.9297,-87.432465,88.24449184469995,-0.082076125,-5.8423334e-06,1.4307704e-05,1.4278991e-05,2.0,41,0.01936892,3.3137987e-06,0,-8.593708776267859e-08,2.0
120,120,1648567.4,236.55681,6850.7373,6854.8203,-88.022354,88.7964862442168,-0.082071036,-1.9745728e-06,1.4092113e-05,1.4075331e-05,2.0,41,0.019943874,2.9094672e-06,0,-8.639672570655539e-08,2.0
121,121,1426616.2,128.4549,7814.446,7815.5015,-89.05825,89.3494890438451,-0.08206824,4.9615632e-08,1.4276271e-05,1.4272415e-05,2.0,41,0.020302106,2.5976715e-06,0,-8.601150285189381e-08,2.0
122,122,1234551.2,486.0472,8939.668,8952.871,-86.88791,89.90150667008129,-0.08205276,9.211164e-07,1.4420808e-05,1.4378306e-05,2.0,41,0.02067552,2.309373e-06,0,-8.592574637122397e-08,2.0
123,123,1068345.5,190.3294,10489.493,10491.22,-88.960495,90.45350818961742,-0.08208583,1.7088181e-06,1.4202144e-05,1.419747e-05,2.0,41,0.020654708,1.9687614e-06,0,-8.54122053260509e-08,2.0
124,124,924510.06,431.2116,11710.41,11718.347,-87.89115,91.00548669582349,-0.08205266,-3.4401078e-06,1.4700645e-05,1.4680739e-05,2.0,41,0.020258736,1.7288049e-06,0,-8.56832902370199e-08,2.0
125,125,800039.0,137.65353,13214.216,13214.933,-89.40317,91.55750522870221,-0.082072824,2.916998e-07,1.5054543e-05,1.50529095e-05,2.0,41,0.02053849,1.5541881e-06,0,-8.538036582461375e-08,2.0
126,126,692334.1,270.25162,16063.001,16065.274,-89.03612,92.10948832161375,-0.08208227,3.1445581e-06,1.4311254e-05,1.4307205e-05,2.0,41,0.020319236,1.2647923e-06,0,-8.473118380068772e-08,2.0
127,127,599122.25,558.6281,18714.135,18722.47,-88.29019,92.66148466782761,-0.08213653,4.064475e-06,1.4194985e-05,1.41823475e-05,2.0,41,0.020752985,1.1084534e-06,0,-8.370033336706307e-08,2.0
128,128,518454.94,488.3398,21387.701,21393.275,-88.69201,93.2144918674312,-0.08210812,3.4890609e-06,1.4353076e-05,1.4345598e-05,2.0,41,0.020403512,9.537348e-07,0,-8.359642954462506e-08,2.0
129,129,448662.03,1071.2297,24692.133,24715.36,-87.51587,93.76648930695956,-0.08204067,-4.3283676e-06,1.436621e-05,1.4339221e-05,2.0,41,0.020171463,8.1615093e-07,0,-8.328189043846419e-08,2.0
130,130,388258.97,976.114,28462.775,28479.508,-88.03584,94.31849709319067,-0.082126595,1.200443e-06,1.4401954e-05,1.4385036e-05,2.0,41,0.02083226,7.3148243e-07,0,-8.30780821670114e-08,2.0
131,131,335983.9,21.404396,29587.066,29587.074,-89.95855,94.87050330606871,-0.08205781,-1.2166656e-06,1.601031e-05,1.60103e-05,2.0,41,0.020128377,6.803098e-07,0,-8.344052868068966e-08,2.0
132,132,290751.2,2420.139,36740.2,36819.82,-86.23128,95.42250613230863,-0.08207286,1.921106e-06,1.4898999e-05,1.4834633e-05,2.0,41,0.020430295,5.548722e-07,0,-8.235050375848986e-08,2.0
133,133,251605.19,2491.538,43144.05,43215.934,-86.69488,95.9745038918627,-0.08209012,1.919244e-06,1.466154e-05,1.4612808e-05,2.0,41,0.020361103,4.7114804e-07,0,-8.242413804702231e-08,2.0
134,134,217729.38,4226.1797,49832.125,50011.01,-85.15244,96.52648495804169,-0.08208848,1.7199903e-06,1.4668771e-05,1.4564019e-05,2.0,41,0.02023676,4.046461e-07,0,-8.276283415941421e-08,2.0
135,135,188418.58,1658.6809,57745.355,57769.17,-88.35468,97.2455032588623,-0.08203584,-6.182339e-07,1.4627811e-05,1.4615753e-05,2.0,42,0.019774457,3.423012e-07,0,-8.24824577372492e-08,2.0
136,136,163051.14,2294.0164,66296.35,66336.03,-88.01822,97.6614905052993,-0.08204804,-6.538078e-07,1.4723351e-05,1.4705743e-05,2.0,42,0.021685163,3.268987e-07,0,-8.245339828135773e-08,2.0
137,137,141098.2,1297.5951,75729.914,75741.03,-89.018364,98.21349405150977,-0.08202768,-5.2436326e-07,1.4894679e-05,1.4890307e-05,2.0,42,0.020438898,2.698524e-07,0,-8.243051084476229e-08,2.0
138,138,122105.11,4648.3145,81915.32,82047.1,-86.75221,98.76548325110343,-0.0820737,-1.442247e-07,1.5911868e-05,1.5860795e-05,2.0,42,0.01990084,2.4255385e-07,0,-8.243934539135446e-08,2.0
139,139,105663.59,2422.758,100707.164,100736.305,-88.62187,99.18149265748798,-0.082063176,2.470517e-08,1.4956652e-05,1.4948e-05,2.0,42,0.0214412,2.1284482e-07,0,-8.241447457298593e-08,2.0
140,140,91439.65,4037.8687,114291.89,114363.195,-87.976616,99.73350268372451,-0.08203945,-4.5749914e-07,1.5228958e-05,1.5209973e-05,2.0,42,0.020369899,1.7811585e-07,0,-8.243279593464514e-08,2.0
141,141,79127.08,6499.451,134919.84,135076.3,-87.24204,100.14949499678914,-0.08201904,-3.5934474e-07,1.4907993e-05,1.4873478e-05,2.0,42,0.021437354,1.5870553e-07,0,-8.246969721657413e-08,2.0
142,142,68475.36,4626.537,156425.94,156494.34,-88.305885,100.70149480967666,-0.08205259,-6.264667e-08,1.48585705e-05,1.4845584e-05,2.0,42,0.020183267,1.2897122e-07,0,-8.249599317029302e-08,2.0
143,143,59252.523,6656.204,181051.83,181174.14,-87.89452,101.11748901612009,-0.08205723,-7.7546744e-08,1.48357785e-05,1.4815754e-05,2.0,42,0.020869903,1.15192506e-07,0,-8.253540615011959e-08,2.0
144,144,51282.285,3719.9114,205876.14,205909.75,-88.96485,101.53350722257164,-0.08208438,-1.2820708e-07,1.5074633e-05,1.5069712e-05,2.0,42,0.021398745,1.03922936e-07,0,-8.257544444825646e-08,2.0
145,145,44369.8,10855.795,242759.5,243002.11,-87.43954,101.94948894900153,-0.08209353,3.0631693e-07,1.4775984e-05,1.4746494e-05,2.0,42,0.021841677,8.988266e-08,0,-8.254260073043678e-08,2.0
146,146,38403.727,12878.533,278434.78,278732.47,-87.35177,102.50249969525612,-0.08209975,-2.1593137e-07,1.48841245e-05,1.4852348e-05,2.0,42,0.020231094,7.258248e-08,0,-8.263973885679792e-08,2.0
147,147,33226.32,17839.543,318641.7,319140.7,-86.79557,102.91848339498392,-0.08207778,1.48337245e-08,1.5032642e-05,1.4985669e-05,2.0,42,0.020407889,6.394637e-08,0,-8.265968842800062e-08,2.0
148,148,28754.086,23171.543,366277.1,367009.3,-86.38016,103.3345077081176,-0.08206642,-1.1498329e-07,1.5111613e-05,1.5051374e-05,2.0,42,0.020488106,5.5824486e-08,0,-8.259605739116438e-08,2.0
149,149,24884.947,32921.047,421212.16,422496.72,-85.53097,103.75050746116904,-0.082061775,8.356039e-08,1.518387e-05,1.5091681e-05,2.0,42,0.020541174,4.8618542e-08,0,-8.2572134549229e-08,2.0
150,150,21553.963,30724.0,515507.16,516421.9,-86.58923,104.33449402227416,-0.082016334,-1.9672411e-08,1.4323802e-05,1.4273102e-05,2.0,43,0.020327039,3.9361304e-08,0,-8.256433020368882e-08,2.0
151,151,18631.234,45448.414,579429.44,581209.1,-85.5151,104.75050694870879,-0.082081005,3.3011794e-08,1.4742731e-05,1.4652584e-05,2.0,43,0.0201666,3.4697667e-08,0,-8.256130697099096e-08,2.0
152,152,16126.037,29225.99,661940.0,662584.9,-87.47192,105.16648672844167,-0.082020454,-2.2242372e-08,1.4909869e-05,1.488086e-05,2.0,43,0.02005938,3.0274432e-08,0,-8.256679091424792e-08,2.0
153,153,13954.87,44153.15,786895.25,788133.0,-86.78847,105.58248626822024,-0.08207022,2.7555279e-08,1.4493638e-05,1.444815e-05,2.0,43,0.019764334,2.507741e-08,0,-8.256290512107207e-08,2.0
154,154,12080.609,135977.38,934509.06,944350.06,-81.721176,105.99850580797647,-0.08205023,-6.3011667e-09,1.4097684e-05,1.3805393e-05,2.0,43,0.019423515,2.056813e-08,0,-8.255857537800419e-08,2.0
155,155,10447.592,100921.49,1026691.94,1031640.2,-84.38599,106.41448404107359,-0.082130864,4.096377e-08,1.4837604e-05,1.4695609e-05,2.0,43,0.018873569,1.829472e-08,0,-8.255738337440278e-08,2.0
156,156,9045.586,111351.164,1110013.5,1115584.6,-84.27153,106.84626200821367,-0.08201818,-1.6636863e-08,1.5850945e-05,1.5693024e-05,2.0,43,0.021277526,1.9072983e-08,0,-8.255686547788442e-08,2.0
157,157,7827.7437,141301.23,1342944.4,1350357.6,-83.99358,107.32693539108732,-0.08203694,-1.386206e-08,1.5139988e-05,1.4974211e-05,2.0,43,0.021348601,1.580959e-08,0,-8.25557282394899e-08,2.0
158,158,6770.8345,204766.81,1563700.1,1577050.2,-82.53956,107.86542696328252,-0.08206569,-4.550601e-09,1.5032268e-05,1.47788405e-05,2.0,43,0.021374667,1.3553573e-08,0,-8.255674147356728e-08,2.0
159,159,5860.798,265112.5,1779308.4,1798950.5,-81.52542,108.47300045884913,-0.08212652,2.5134312e-08,1.5262025e-05,1.4930562e-05,2.0,43,0.02137849,1.1883867e-08,0,-8.255682463285533e-08,2.0
160,160,5071.625,357422.1,2039189.8,2070276.6,-80.05838,109.15370107787749,-0.08212071,-6.2452825e-09,1.5389176e-05,1.4930484e-05,2.0,43,0.021334844,1.030531e-08,0,-8.255393648952087e-08,2.0
161,161,4388.5933,472798.8,2302795.5,2350831.0,-78.397545,109.83383479017357,-0.08206252,-5.1651523e-09,1.5748508e-05,1.5111493e-05,2.0,43,0.021354405,9.083768e-09,0,-8.255417110065189e-08,2.0
162,162,3798.7827,573279.9,2631258.0,2692985.0,-77.70888,110.51381156913703,-0.08204581,-6.2452843e-09,1.5922536e-05,1.5200968e-05,2.0,43,0.021322109,7.917649e-09,0,-8.255424767218323e-08,2.0
163,163,3286.0488,657271.25,2996470.8,3067709.8,-77.6282,111.19371613477415,-0.08213012,-8.442784e-09,1.6163525e-05,1.5421536e-05,2.0,43,0.02138138,6.9698185e-09,0,-8.255811396409967e-08,2.0
164,164,2844.088,932146.44,3403413.5,3528756.2,-74.68312,111.87384256707446,-0.082076125,-4.0850305e-09,1.6442293e-05,1.5294965e-05,2.0,43,0.021390604,6.061797e-09,0,-8.255249426734136e-08,2.0
165,165,2460.7852,1084773.4,3823602.8,3974502.8,-74.161125,112.55371465270582,-0.082102336,-5.016174e-09,1.6915064e-05,1.565502e-05,2.0,43,0.02135738,5.373598e-09,0,-8.255398834478465e-08,2.0
166,166,2129.3164,1433029.8,4263934.5,4498301.0,-71.423454,113.23382017832773,-0.0820656,-7.865484e-09,1.7529494e-05,1.5750467e-05,2.0,43,0.021293772,4.7337365e-09,0,-8.255142482465702e-08,2.0
167,167,1843.2289,1643658.4,4665945.0,4946984.5,-70.59432,113.91395738394931,-0.08210834,2.4705985e-08,1.8505518e-05,1.6462636e-05,2.0,43,0.02128794,4.3032156e-09,0,-8.255738344677768e-08,2.0
168,168,1594.4913,2191708.0,5353135.5,5784431.0,-67.73457,114.59381626959657,-0.08206392,-7.902734e-09,1.8646175e-05,1.5969264e-05,2.0,43,0.021367952,3.6940457e-09,0,-8.256822676249224e-08,2.0
169,169,1380.4436,2711561.8,5964992.5,6552381.5,-65.55444,115.27372318189737,-0.0820737,-1.1329357e-08,1.9328207e-05,1.6018173e-05,2.0,43,0.021435449,3.2713983e-09,0,-8.256879877762953e-08,2.0
170,170,1194.6187,3182936.5,6409626.5,7156423.5,-63.59161,115.95382182752655,-0.082025856,-8.5173015e-09,2.0785386e-05,1.667368e-05,2.0,43,0.021359032,2.984596e-09,0,-8.2572017690199e-08,2.0
171,171,1033.3434,3897306.8,6953962.0,7971611.5,-60.731808,116.63408740647719,-0.08211078,3.3179386e-08,2.214844e-05,1.6854487e-05,2.0,43,0.021363845,2.6799907e-09,0,-8.257404463531387e-08,2.0
172,172,894.71045,4814749.5,7646848.0,9036376.0,-57.803905,117.31383322546026,-0.08203923,4.5559694e-09,2.3262435e-05,1.6658332e-05,2.0,43,0.021412807,2.3696232e-09,0,-8.256907978218643e-08,2.0
173,173,774.2569,5879546.5,8097068.5,10006577.0,-54.01537,117.99395243107574,-0.08204989,-6.431548e-09,2.5386758e-05,1.6622325e-05,2.0,43,0.02139078,2.137672e-09,0,-8.256974173454168e-08,2.0
174,174,669.7856,6723094.0,8603149.0,10918524.0,-51.993477,118.67381801005104,-0.0820817,2.168256e-10,2.7620204e-05,1.7148019e-05,2.0,43,0.021382427,1.9583624e-09,0,-8.25757697697173e-08,2.0
175,175,579.81464,7644318.0,9012851.0,11818083.0,-49.696804,119.35385233568377,-0.082052685,-1.1888072e-08,3.0455712e-05,1.7713284e-05,2.0,43,0.021385908,1.8095919e-09,0,-8.25727208003673e-08,2.0
176,176,501.44418,8738199.0,9268988.0,12738535.0,-46.68839,120.03116639450309,-0.082068264,-5.165208e-09,3.424248e-05,1.8129711e-05,2.0,43,0.021297341,1.6718831e-09,0,-8.257254929759937e-08,2.0
177,177,434.02762,10387759.0,9042417.0,13772104.0,-41.03917,120.7111943468044,-0.08206351,-5.723899e-09,4.0552557e-05,1.7481823e-05,2.0,43,0.021347718,1.5500695e-09,0,-8.257277716447338e-08,2.0
178,178,375.6009,11293486.0,9530934.0,14777738.0,-40.16209,121.39043552571093,-0.082055986,-1.2446778e-08,4.4458833e-05,1.8493241e-05,2.0,43,0.021370843,1.4461512e-09,0,-8.257490689699882e-08,2.0
179,179,325.10385,12429656.0,9251490.0,15494722.0,-36.6606,122.06970766469021,-0.082078025,-2.7866546e-08,5.291592e-05,1.8864363e-05,2.0,43,0.021357948,1.3784015e-09,0,-8.257539545283116e-08,2.0
180,180,281.3503,13703269.0,9461194.0,16652140.0,-34.622494,122.74579495012586,-0.08200322,-1.2484029e-08,5.9789756e-05,1.9300945e-05,2.0,43,0.02141252,1.285872e-09,0,-8.25758936431118e-08,2.0
181,181,243.36427,14863031.0,8888867.0,17318246.0,-30.881624,123.42909391591093,-0.08204927,1.6027636e-08,7.357274e-05,1.9382149e-05,2.0,43,0.021377472,1.2343901e-09,0,-8.257773163453328e-08,2.0
182,182,210.60631,15773900.0,8434279.0,17887230.0,-28.133345,124.10619088137173,-0.0820375,6.3995906e-09,8.9598514e-05,1.9920974e-05,2.0,43,0.021377398,1.1951207e-09,0,-8.25870259634159e-08,2.0
183,183,182.27473,16299370.0,7479233.5,17933444.0,-24.6488,124.77727437994326,-0.08208823,-6.8785444e-09,0.00011674453,2.030595e-05,2.0,43,0.02132945,1.1893672e-09,0,-8.258705820160195e-08,2.0
184,184,157.72879,17747558.0,7724493.0,19355712.0,-23.520727,125.46564294599011,-0.082050525,1.2787243e-08,0.00013062886,2.080467e-05,2.0,43,0.021370353,1.104085e-09,0,-8.258697894285246e-08,2.0
185,185,136.52892,18191840.0,6185860.0,19214784.0,-18.779823,126.13750463115866,-0.08207558,2.5767408e-08,0.00018844967,1.9531004e-05,2.0,43,0.021391168,1.1132661e-09,0,-8.258678416404742e-08,2.0
186,186,118.14758,18685082.0,6102362.0,19656324.0,-18.086523,126.82590642391006,-0.08201785,-4.1014342e-08,0.00022074829,2.1275935e-05,2.0,43,0.021354241,1.0863802e-09,0,-8.259053367394525e-08,2.0
187,187,102.25773,19195196.0,4964651.5,19826834.0,-14.501221,127.49232576219947,-0.082056336,-7.2510074e-09,0.0003134983,1.9656492e-05,2.0,43,0.02136832,1.0777474e-09,0,-8.258514154583895e-08,2.0
188,188,88.4436,19651234.0,5089303.5,20299556.0,-14.519536,128.18226419496932,-0.08206705,-1.9281408e-08,0.00035358622,2.2224856e-05,2.0,43,0.021300554,1.0493113e-09,0,-8.258764130515988e-08,2.0
189,189,76.54279,20170762.0,4873816.5,20751234.0,-13.583887,128.848749186669,-0.08211076,1.1949209e-08,0.00042662534,2.3534076e-05,2.0,43,0.02137965,1.0302833e-09,0,-8.258573193177436e-08,2.0
190,190,66.250786,20593298.0,4507155.0,21080758.0,-12.345384,129.51701039171894,-0.08207851,-3.1725957e-09,0.0005329993,2.4364592e-05,2.0,43,0.021386608,1.0145085e-09,0,-8.258755333821831e-08,2.0
191,191,57.329906,21775716.0,2056870.1,21872644.0,-5.395981,130.17163111618174,-0.08206006,-1.9355902e-08,0.0013496839,1.1935571e-05,2.0,43,0.021398475,9.783214e-10,0,-8.259077929754503e-08,2.0
192,192,49.60321,20578902.0,4146548.8,20992500.0,-11.392279,130.85635714864475,-0.082065485,1.2037898e-09,0.00077379076,3.0190395e-05,2.0,43,0.021375528,1.0182459e-09,0,-8.259054770511031e-08,2.0
193,193,42.92585,20813348.0,2727812.5,20991342.0,-7.466669,131.56442840895033,-0.08205625,-2.3345619e-09,0.0013592106,2.2952783e-05,2.0,43,0.021346154,1.0169028e-09,0,-8.259530361962181e-08,2.0
