True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,217.70038,1711.4104,1725.2012,-82.75061,82.80949617319857,-0.033036396,-3.788147e-07,1.3285159e-05,1.3073613e-05,2.0,40,0.010179418,5.9004237e-06,0,-8.369481539601894e-09,2.0
111,111,6057573.0,350.47882,1869.6002,1902.1672,-79.382454,83.36150174608338,-0.033078186,1.0350807e-06,1.4053119e-05,1.3576032e-05,2.0,40,0.014377949,7.5587195e-06,0,-9.825752105658984e-09,2.0
112,112,5242039.0,355.0094,2166.4111,2195.3062,-80.693665,83.77748213920859,-0.03295533,-5.3739164e-05,1.4014546e-05,1.3648049e-05,2.0,40,0.019906241,9.067638e-06,0,-1.2427860657709831e-08,2.0
113,113,4536288.0,314.00882,2403.9312,2424.3528,-82.55798,85.00948502434767,-0.033011913,-3.671523e-05,1.4594778e-05,1.4349934e-05,2.0,40,0.020806003,8.582086e-06,0,-3.365759061014146e-08,2.0
114,114,3925558.5,443.4594,2782.43,2817.5474,-80.94445,85.42548181748134,-0.033037923,-1.6584201e-05,1.4571171e-05,1.4210209e-05,2.0,40,0.019527871,6.930805e-06,0,-3.6227390200461606e-08,2.0
115,115,3397055.0,468.99637,3138.764,3173.6094,-81.50169,85.84149554386386,-0.03302799,-2.3133302e-05,1.49265325e-05,1.4600551e-05,2.0,40,0.020533482,6.470072e-06,0,-3.939083747302045e-08,2.0
116,116,2939708.2,575.7508,3565.269,3611.4585,-80.82658,86.39350565013592,-0.03305674,-3.935719e-05,1.5185306e-05,1.47993605e-05,2.0,40,0.020525742,5.683505e-06,0,-4.763886552603027e-08,2.0
117,117,2543924.5,549.1928,4048.6943,4085.7727,-82.275154,86.94549375635688,-0.033041015,-3.8910664e-05,1.5452577e-05,1.5173386e-05,2.0,40,0.0205889,5.0391695e-06,0,-5.313296982450666e-08,2.0
118,118,2201436.2,718.4207,4709.8677,4764.3447,-81.327225,87.4974924758717,-0.033042766,-2.958936e-05,1.5349891e-05,1.5000867e-05,2.0,40,0.020905107,4.3878244e-06,0,-5.6900455634652204e-08,2.0
119,119,1905053.1,588.46014,5507.7725,5539.119,-83.90155,88.21650291004335,-0.03310021,-3.274387e-06,1.5168304e-05,1.4997111e-05,2.0,41,0.019581694,3.5351638e-06,0,-5.943849354961017e-08,2.0
120,120,1648567.4,671.78235,6605.105,6639.179,-84.19261,88.76848442960181,-0.033118524,7.9821285e-07,1.4616176e-05,1.446653e-05,2.0,41,0.02009835,3.027234e-06,0,-6.055772558447398e-08,2.0
121,121,1426616.2,772.3654,7415.623,7455.737,-84.05386,89.32050338914269,-0.033073753,8.6483825e-09,1.504407e-05,1.4882623e-05,2.0,41,0.020537278,2.7545605e-06,0,-6.168506956894781e-08,2.0
122,122,1234551.2,1123.0435,8548.067,8621.524,-82.51536,89.87250010870048,-0.033080254,-1.9805283e-07,1.5081449e-05,1.4825549e-05,2.0,41,0.020333577,2.3584664e-06,0,-6.227349547170865e-08,2.0
123,123,1068345.5,989.21387,9944.972,9994.049,-84.31955,90.42450533490046,-0.033058062,-8.665756e-07,1.4979761e-05,1.4833002e-05,2.0,41,0.02069452,2.0706843e-06,0,-6.345375155589158e-08,2.0
124,124,924510.06,1498.9705,11153.02,11253.3,-82.34529,90.97650701444945,-0.033096313,1.8596552e-06,1.5435335e-05,1.5161465e-05,2.0,41,0.02029146,1.8031565e-06,0,-6.353596215120858e-08,2.0
125,125,800039.0,817.0725,12169.087,12196.486,-86.15874,91.5285069073143,-0.033098925,3.7177475e-07,1.6347485e-05,1.6274118e-05,2.0,41,0.020643154,1.6925493e-06,0,-6.297161778693116e-08,2.0
126,126,692334.1,2421.2024,14727.671,14925.364,-80.664185,92.0804821868951,-0.03304996,-1.7790433e-06,1.560883e-05,1.5198076e-05,2.0,41,0.020458195,1.3706999e-06,0,-6.346638870798e-08,2.0
127,127,599122.25,2815.0796,16899.234,17132.098,-80.542496,92.63249559976975,-0.032996375,-4.039729e-06,1.571946e-05,1.5295042e-05,2.0,41,0.020659659,1.2059037e-06,0,-6.443020721512502e-08,2.0
128,128,518454.94,4016.308,19290.889,19704.545,-78.23919,93.18449050598429,-0.033082005,1.4685975e-06,1.5913176e-05,1.5252061e-05,2.0,41,0.020493157,1.0400219e-06,0,-6.430727793810852e-08,2.0
129,129,448662.03,4936.9775,21753.742,22306.928,-77.2134,93.73650482555968,-0.0330598,2.5784561e-06,1.6306727e-05,1.5507982e-05,2.0,41,0.020078335,9.000941e-07,0,-6.439610970758144e-08,2.0
130,130,388258.97,5781.619,24886.19,25548.963,-76.92092,94.28848823843873,-0.03310414,2.7888832e-06,1.647177e-05,1.5628255e-05,2.0,41,0.020811247,8.145633e-07,0,-6.387838458695723e-08,2.0
131,131,335983.9,7110.002,26441.273,27380.523,-74.949295,94.84048562464886,-0.033085153,2.835437e-06,1.7915101e-05,1.6707078e-05,2.0,41,0.020284235,7.4082715e-07,0,-6.337844758413011e-08,2.0
132,132,290751.2,9856.612,32116.88,33595.34,-72.93884,95.39248927755398,-0.03309391,3.1590855e-07,1.7043754e-05,1.5576645e-05,2.0,41,0.020523109,6.1089156e-07,0,-6.276624883222739e-08,2.0
133,133,251605.19,12521.88,35953.83,38071.973,-70.797966,95.94450762376073,-0.033077218,2.2227803e-06,1.759363e-05,1.5690433e-05,2.0,41,0.020469403,5.376502e-07,0,-6.346122103919269e-08,2.0
134,134,217729.38,15814.556,39822.49,42847.76,-68.340675,96.49648775663809,-0.033114314,4.1985513e-06,1.8355859e-05,1.5855328e-05,2.0,41,0.020116998,4.6949938e-07,0,-6.282551622660886e-08,2.0
135,135,188418.58,18957.84,44381.05,48260.516,-66.86973,97.04849484949955,-0.033054933,3.3791935e-06,1.903263e-05,1.6095708e-05,2.0,41,0.02077084,4.3038995e-07,0,-6.202725597756577e-08,2.0
136,136,163051.14,21568.541,49266.715,53781.14,-66.35661,97.76750208370504,-0.03305009,7.952262e-07,1.9812656e-05,1.6626082e-05,2.0,42,0.019138478,3.5585853e-07,0,-6.173021245847821e-08,2.0
137,137,141098.2,27491.436,55302.84,61759.074,-63.567703,98.18349370345823,-0.03303813,8.65443e-07,2.039629e-05,1.6354772e-05,2.0,42,0.020959457,3.3937454e-07,0,-6.160261705090796e-08,2.0
138,138,122105.11,33073.395,58052.098,66812.39,-60.329006,98.73550258300384,-0.0330908,1.1165095e-06,2.2452692e-05,1.69508e-05,2.0,42,0.020087626,3.0065718e-07,0,-6.15341037738896e-08,2.0
139,139,105663.59,40562.695,64162.156,75908.59,-57.69932,99.15148348276853,-0.033084147,1.0477828e-06,2.3475552e-05,1.6772268e-05,2.0,42,0.021532103,2.8365832e-07,0,-6.144082892866503e-08,2.0
140,140,91439.65,47767.047,66577.67,81940.695,-54.341946,99.70349534894922,-0.03306898,8.2577145e-07,2.6143094e-05,1.7258972e-05,2.0,42,0.020271696,2.4739472e-07,0,-6.134945926409765e-08,2.0
141,141,79127.08,57835.617,70704.91,91346.27,-50.717316,100.11949747541803,-0.03312456,1.0621242e-06,2.844759e-05,1.7043662e-05,2.0,42,0.021252645,2.3266023e-07,0,-6.122524023556765e-08,2.0
142,142,68475.36,67866.74,73157.44,99789.305,-47.148518,100.67149072830216,-0.033092774,1.0779555e-06,3.177074e-05,1.7075612e-05,2.0,42,0.020231023,2.027374e-07,0,-6.121119154521695e-08,2.0
143,143,59252.523,78553.82,74520.71,108277.6,-43.490753,101.08748501472292,-0.03307142,6.384029e-07,3.6044272e-05,1.7073124e-05,2.0,42,0.020914018,1.9315185e-07,0,-6.104828454544829e-08,2.0
144,144,51282.285,87220.13,76652.69,116116.26,-41.310352,101.50348583448795,-0.03310116,1.1060795e-06,4.048791e-05,1.764388e-05,2.0,42,0.021424172,1.8450622e-07,0,-6.092704652668562e-08,2.0
145,145,44369.8,99090.78,72107.81,122550.07,-36.043175,101.9195035075827,-0.033042636,6.6708566e-07,4.97451e-05,1.7222168e-05,2.0,42,0.021806424,1.779389e-07,0,-6.080312508442553e-08,2.0
146,146,38403.727,108150.46,68310.35,127917.266,-32.277462,102.47149633374647,-0.033064064,7.769738e-07,6.066808e-05,1.7301149e-05,2.0,42,0.020148084,1.5750871e-07,0,-6.083675497095895e-08,2.0
147,147,33226.32,116648.87,64731.19,133405.72,-29.02692,102.88748579352978,-0.03305646,6.7099694e-07,7.399873e-05,1.7422184e-05,2.0,42,0.020378847,1.5275842e-07,0,-6.079234572075897e-08,2.0
148,148,28754.086,123992.914,59735.312,137631.94,-25.72309,103.30348538662656,-0.033041276,6.6038075e-07,9.2659386e-05,1.7454735e-05,2.0,42,0.020475676,1.4877125e-07,0,-6.073045017058614e-08,2.0
149,149,24884.947,131058.25,55066.68,142156.97,-22.79066,103.71949124636012,-0.03308139,8.3005557e-07,0.0001161434,1.7427536e-05,2.0,42,0.020513717,1.4430329e-07,0,-6.063797039772388e-08,2.0
150,150,21553.963,136440.08,51496.36,145834.73,-20.677929,104.13649345285376,-0.033012398,4.1713685e-07,0.00014338922,1.7879178e-05,2.0,42,0.020480022,1.4043309e-07,0,-6.05426777073104e-08,2.0
151,151,18631.234,139777.88,46178.875,147208.5,-18.282175,104.55248392597423,-0.033061977,8.842548e-07,0.00018498441,1.820355e-05,2.0,42,0.020366007,1.3834804e-07,0,-6.048695990385234e-08,2.0
152,152,16126.037,144861.39,41739.76,150754.88,-16.073587,104.9684840523696,-0.033107232,8.263309e-07,0.00023645174,1.8125906e-05,2.0,42,0.020300157,1.3465672e-07,0,-6.033710220444021e-08,2.0
153,153,13954.87,144668.48,36183.133,149124.75,-14.042211,105.38449215210858,-0.03312005,1.4241972e-06,0.00031520144,1.8556713e-05,2.0,42,0.019884218,1.3333948e-07,0,-6.017482077768103e-08,2.0
154,154,12080.609,149862.03,32194.863,153281.23,-12.124571,105.80048377191997,-0.033081446,7.4847827e-07,0.00040920856,1.8052604e-05,2.0,42,0.019655755,1.2823328e-07,0,-5.998069993645277e-08,2.0
155,155,10447.592,151765.95,27090.396,154164.83,-10.1207695,106.21649501830689,-0.03307856,1.1697784e-06,0.0005623265,1.7363956e-05,2.0,42,0.019190867,1.2448278e-07,0,-5.986344318808258e-08,2.0
156,156,9045.586,152354.84,24266.588,154275.3,-9.049869,106.64826658551465,-0.033073567,8.175782e-07,0.0007250612,1.7939046e-05,2.0,42,0.021712258,1.407371e-07,0,-5.977684422710459e-08,2.0
157,157,7827.7437,153667.53,20814.604,155070.81,-7.713891,107.12894778168993,-0.033072427,1.2226745e-06,0.0009768219,1.7599144e-05,2.0,42,0.021789618,1.4051399e-07,0,-5.965117886588583e-08,2.0
158,158,6770.8345,154790.42,17254.184,155749.1,-6.3603916,107.66741354056285,-0.033127543,1.2457697e-06,0.0013623338,1.6719423e-05,2.0,42,0.021927668,1.4078842e-07,0,-5.9539719524721197e-08,2.0
159,159,5860.798,155335.6,15417.934,156098.88,-5.6683636,108.27399228941067,-0.033199664,2.1056912e-06,0.0017613157,1.7182645e-05,2.0,42,0.021956732,1.4065914e-07,0,-5.94422171388184e-08,2.0
160,160,5071.625,154843.12,13583.617,155437.8,-5.0134397,108.95472208176216,-0.033072747,9.3342663e-07,0.0023102425,1.7643111e-05,2.0,42,0.02196416,1.4130515e-07,0,-5.92848540933658e-08,2.0
161,161,4388.5933,155278.47,11421.567,155697.97,-4.2068367,109.63484587405401,-0.033091582,1.3660882e-06,0.0031751855,1.708656e-05,2.0,42,0.022020897,1.4143342e-07,0,-5.9030883095842294e-08,2.0
162,162,3798.7827,154947.92,9784.631,155256.55,-3.613309,110.314807026356,-0.033067975,1.0671552e-06,0.004281848,1.7006709e-05,2.0,42,0.022011934,1.4177782e-07,0,-5.8861348505816284e-08,2.0
163,163,3286.0488,154332.0,8306.234,154555.36,-3.0807185,111.21567904248514,-0.03306792,7.8256323e-07,0.005830985,1.6841554e-05,2.0,42,0.020192184,1.3064694e-07,0,-5.850058606432521e-08,2.0
164,164,2844.088,155813.9,7745.282,156006.3,-2.8457472,111.89583550144744,-0.033123814,1.1990207e-06,0.0072250334,1.7808614e-05,2.0,42,0.020328043,1.3030271e-07,0,-5.838269925526676e-08,2.0
165,165,2460.7852,155449.28,7429.959,155626.75,-2.7364652,112.5757029737506,-0.033136856,1.3489531e-06,0.008704824,1.9841036e-05,2.0,42,0.02029289,1.3039461e-07,0,-5.826486339145455e-08,2.0
