True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,242.7029,1778.3331,1794.8185,-82.22842,82.55650309452903,-0.08547276,3.15621e-06,1.2785209e-05,1.2551424e-05,2.0,40,0.010161179,5.6613967e-06,0,1.8622082435106977e-08,2.0
111,111,6057573.0,349.70447,2008.7616,2038.9744,-80.124374,83.1084992007527,-0.08546745,-1.6974936e-05,1.3079559e-05,1.2694814e-05,2.0,40,0.014360455,7.0429796e-06,0,1.3857707606564289e-08,2.0
112,112,5242039.0,327.5546,2331.826,2354.7195,-82.00391,83.52449703382445,-0.08543256,-1.984015e-05,1.3020383e-05,1.2768435e-05,2.0,40,0.019963752,8.478187e-06,0,1.118530903117011e-08,2.0
113,113,4536288.0,266.1992,2600.8503,2614.4377,-84.15608,84.75650599904475,-0.08547202,-1.3198014e-05,1.3489758e-05,1.3349908e-05,2.0,40,0.02046818,7.828903e-06,0,-6.565466890013916e-10,2.0
114,114,3925558.5,318.31525,3052.8196,3069.3699,-84.047325,85.17249799214187,-0.0854911,7.188051e-07,1.3280595e-05,1.3137761e-05,2.0,40,0.0193118,6.29178e-06,0,-9.797350907144361e-10,2.0
115,115,3397055.0,369.08136,3448.602,3468.296,-83.89126,85.58948827857967,-0.08548985,-5.649658e-07,1.3585464e-05,1.3431619e-05,2.0,40,0.020336926,5.863665e-06,0,-5.380300047523484e-09,2.0
116,116,2939708.2,432.5922,3883.499,3907.5186,-83.64389,86.14149697145331,-0.08553598,-8.304807e-06,1.394096e-05,1.3770097e-05,2.0,40,0.020194989,5.1682387e-06,0,-9.014512910027515e-09,2.0
117,117,2543924.5,420.3203,4558.257,4577.5947,-84.73161,86.6935027576692,-0.085555285,-7.0396354e-06,1.3725151e-05,1.3609433e-05,2.0,40,0.020678801,4.5173947e-06,0,-1.3771741765941167e-08,2.0
118,118,2201436.2,311.31467,5356.108,5365.1475,-86.67352,87.41248263182933,-0.085503824,-4.5369457e-06,1.3497853e-05,1.3452407e-05,2.0,41,0.019979998,3.7240352e-06,0,-1.1619863745382621e-08,2.0
119,119,1905053.1,246.42238,6216.9907,6221.8726,-87.73016,87.96450508470298,-0.08549795,-3.1723368e-07,1.3437943e-05,1.3416864e-05,2.0,41,0.020593353,3.309832e-06,0,-1.1457273585436874e-08,2.0
120,120,1648567.4,291.96005,6962.7925,6968.911,-87.59891,88.51648887092597,-0.08554431,1.5859141e-06,1.3865322e-05,1.3840987e-05,2.0,41,0.019714007,2.8288505e-06,0,-1.1432158031601099e-08,2.0
121,121,1426616.2,316.08807,8215.796,8221.874,-87.79673,89.06850047051557,-0.08552178,-2.2412354e-07,1.35788605e-05,1.3558792e-05,2.0,41,0.020302875,2.4693732e-06,0,-1.2474910949031414e-08,2.0
122,122,1234551.2,388.85562,9498.856,9506.8125,-87.655785,89.62049676341121,-0.08550868,1.8555569e-07,1.3571869e-05,1.3549163e-05,2.0,41,0.02061637,2.168589e-06,0,-1.1633402674948427e-08,2.0
123,123,1068345.5,289.5607,11050.81,11054.603,-88.49904,90.17250606961898,-0.08556892,1.5654308e-06,1.3480758e-05,1.3471509e-05,2.0,41,0.020690218,1.8716382e-06,0,-1.2327124659126012e-08,2.0
124,124,924510.06,83.89432,12857.662,12857.936,-89.62616,90.7245053491497,-0.08552163,1.6492279e-06,1.3388949e-05,1.338838e-05,2.0,41,0.02040125,1.5866661e-06,0,-1.2880350251368405e-08,2.0
125,125,800039.0,-1903.8856,16113.531,16225.618,-96.73851,91.2764850553649,-0.085539706,-2.7067878e-07,1.2345772e-05,1.2175791e-05,2.0,41,0.0203741,1.2556749e-06,0,-1.1961905915650531e-08,2.0
126,126,692334.1,50.533287,16765.229,16765.305,-89.8273,91.82849622823414,-0.08559996,4.36801e-06,1.3711814e-05,1.37116895e-05,2.0,41,0.020264134,1.2086947e-06,0,-1.1878766850921164e-08,2.0
127,127,599122.25,574.2312,19270.502,19279.055,-88.29318,92.38049630782916,-0.08550591,9.00632e-07,1.3785157e-05,1.3772928e-05,2.0,41,0.020790756,1.0784116e-06,0,-1.149035367674742e-08,2.0
128,128,518454.94,179.44092,22188.668,22189.393,-89.53666,92.93248478733585,-0.085499555,-1.8535313e-06,1.3834959e-05,1.3834056e-05,2.0,41,0.02042133,9.2031945e-07,0,-1.1322977342803903e-08,2.0
129,129,448662.03,1179.3086,25833.479,25860.383,-87.38624,93.48450417359709,-0.085519716,1.163199e-06,1.3731498e-05,1.3702941e-05,2.0,41,0.020338042,7.8645553e-07,0,-1.1232247824468436e-08,2.0
