True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,193.5349,1429.8737,1442.9117,-82.2918,2.4664770771341864,-0.010230781,8.068035e-06,1.5900958e-05,1.5614896e-05,1.0,40,0.0101849465,7.0586066e-06,0,1.9562807012505346e-09,1.0
1,1,6057573.0,350.45532,1574.0638,1612.6053,-77.44818,3.018489023350412,-0.010133038,-6.6117314e-06,1.6691645e-05,1.5903315e-05,1.0,40,0.014256301,8.8405395e-06,0,-5.124068791707101e-09,1.0
2,2,5242039.0,345.90778,1827.0283,1859.4851,-79.2792,3.434481923090061,-0.010102128,-2.1719285e-05,1.6617842e-05,1.6042784e-05,1.0,40,0.019789807,1.0642628e-05,0,-6.297365391513191e-09,1.0
3,3,4536288.0,306.23203,2070.9658,2093.4846,-81.58867,4.666481261636363,-0.010138796,-4.0864226e-05,1.6941294e-05,1.6578793e-05,1.0,40,0.021337718,1.0192441e-05,0,3.5201881462651524e-09,1.0
4,4,3925558.5,412.85855,2385.8582,2421.316,-80.182526,5.082501228054753,-0.010153254,-1.0351391e-05,1.6993157e-05,1.6499105e-05,1.0,40,0.019756284,8.159317e-06,0,-1.9191262178866155e-09,1.0
5,5,3397055.0,473.53445,2676.389,2717.9575,-79.96648,5.498488261160674,-0.010222601,-1.3272435e-05,1.750525e-05,1.6973892e-05,1.0,40,0.020898506,7.689048e-06,0,-2.7251474115498946e-09,1.0
6,6,2939708.2,514.8573,3033.9778,3077.3525,-80.36882,6.051484394090949,-0.010167954,-1.6119058e-05,1.7844464e-05,1.7344979e-05,1.0,40,0.020897226,6.790651e-06,0,-3.5211407726668163e-09,1.0
7,7,2543924.5,588.5895,3536.8794,3585.52,-80.55171,6.603487886983203,-0.010233593,1.0263382e-05,1.768869e-05,1.7212022e-05,1.0,40,0.020521406,5.7234115e-06,0,-8.98850371479259e-09,1.0
8,8,2201436.2,676.4555,4017.7646,4074.3127,-80.44296,7.155487059819279,-0.010177176,-3.0035893e-05,1.7994076e-05,1.7498056e-05,1.0,40,0.02048912,5.028853e-06,0,-1.2732769502905386e-08,1.0
9,9,1905053.1,781.03156,4569.7217,4635.986,-80.30104,7.70748561937944,-0.010202516,-2.9607967e-05,1.8281982e-05,1.7763092e-05,1.0,40,0.020507101,4.4234607e-06,0,-1.379234325961281e-08,1.0
10,10,1648567.4,937.5,5566.2036,5644.6016,-80.43956,8.426477520231856,-0.010211515,-4.229685e-06,1.7344202e-05,1.686576e-05,1.0,41,0.01914343,3.3914582e-06,0,-1.180622894027255e-08,1.0
11,11,1426616.2,956.22156,6228.6045,6301.577,-81.27204,8.978483413084177,-0.01022247,-5.686261e-07,1.79111e-05,1.7498676e-05,1.0,41,0.020174624,3.2015198e-06,0,-1.2433615191709022e-08,1.0
12,12,1234551.2,1108.613,7203.6406,7288.4473,-81.25104,9.53048527930514,-0.010140845,-1.7958007e-06,1.7896124e-05,1.7482076e-05,1.0,41,0.020951398,2.8746038e-06,0,-1.3159655282246755e-08,1.0
13,13,1068345.5,1487.9706,8233.752,8367.122,-79.756294,10.08348378559458,-0.010209037,-7.027019e-07,1.8093004e-05,1.7520802e-05,1.0,41,0.020542355,2.455128e-06,0,-1.275293688525873e-08,1.0
14,14,924510.06,2019.2104,9302.607,9519.229,-77.75343,10.635491358436411,-0.010164824,-6.3193994e-07,1.8505627e-05,1.7672975e-05,1.0,41,0.020292737,2.1317628e-06,0,-1.2725893882484722e-08,1.0
15,15,800039.0,2818.7715,10506.024,10877.593,-74.981224,11.187493678036844,-0.010159421,-1.397295e-06,1.8935229e-05,1.7663704e-05,1.0,41,0.020832846,1.9152073e-06,0,-1.3364402660482395e-08,1.0
16,16,692334.1,2891.1343,12286.43,12622.005,-76.75855,11.739499917573994,-0.010139951,-3.7715738e-06,1.8710212e-05,1.7728558e-05,1.0,41,0.020700553,1.6400369e-06,0,-1.3518355815301043e-08,1.0
17,17,599122.25,3864.651,13743.618,14276.645,-74.29423,12.292487197177252,-0.010209223,2.191125e-06,1.9328743e-05,1.7912387e-05,1.0,41,0.020517975,1.4371707e-06,0,-1.4193490819107208e-08,1.0
18,18,518454.94,4333.777,15608.02,16198.516,-74.48197,12.844498210033635,-0.010190405,8.466312e-07,1.966805e-05,1.826024e-05,1.0,41,0.0204714,1.2637825e-06,0,-1.3967122363727805e-08,1.0
19,19,448662.03,6019.2065,17683.87,18680.205,-71.20254,13.396495969587704,-0.01026646,6.8502973e-06,2.0059657e-05,1.7976901e-05,1.0,41,0.020376485,1.0908062e-06,0,-1.4010200425878515e-08,1.0
20,20,388258.97,7260.155,19739.477,21032.28,-69.80654,13.948479409184074,-0.01018176,7.9076614e-07,2.0766485e-05,1.8292018e-05,1.0,41,0.020863162,9.919592e-07,0,-1.3503479156087295e-08,1.0
21,21,335983.9,8048.539,22556.959,23949.852,-70.36311,14.500488502060762,-0.010227688,6.902072e-07,2.1000087e-05,1.8628441e-05,1.0,41,0.020164588,8.4195045e-07,0,-1.3845859220465525e-08,1.0
22,22,290751.2,11534.167,23851.633,26494.102,-64.19253,15.052500661608065,-0.010162607,-7.4553196e-07,2.2949886e-05,1.860023e-05,1.0,41,0.020581035,7.7681574e-07,0,-1.328455863765833e-08,1.0
23,23,251605.19,13679.784,26047.357,29421.104,-62.29204,15.604503434471553,-0.010173972,-1.0732762e-06,2.4284933e-05,1.9034711e-05,1.0,41,0.020424645,6.9421753e-07,0,-1.3998308586514617e-08,1.0
24,24,217729.38,17149.95,28135.455,32950.336,-58.63563,16.156483060709434,-0.010230613,3.924813e-06,2.59806e-05,1.8942503e-05,1.0,41,0.020063337,6.088963e-07,0,-1.4089199504278819e-08,1.0
25,25,188418.58,21012.59,30490.076,37029.363,-55.42688,16.708491406898247,-0.010212558,3.8410158e-06,2.7703705e-05,1.878289e-05,1.0,41,0.020887198,5.6407123e-07,0,-1.40390648210516e-08,1.0
26,26,163051.14,25099.273,31964.27,40640.965,-51.859966,17.260495833150344,-0.010233221,3.3512617e-06,3.053736e-05,1.8890049e-05,1.0,41,0.020440165,5.029449e-07,0,-1.3176163487432606e-08,1.0
27,27,141098.2,29148.502,33363.477,44303.01,-48.857426,17.812487272691214,-0.010191337,4.6115946e-07,3.380861e-05,1.9173589e-05,1.0,41,0.020139601,4.5458765e-07,0,-1.3144871000419142e-08,1.0
28,28,122105.11,32507.014,32283.469,45814.062,-44.802315,18.22848673243425,-0.010209857,1.7646853e-06,4.03744e-05,2.00479e-05,1.0,41,0.021759817,4.7495936e-07,0,-1.292384554844814e-08,1.0
29,29,105663.59,38371.652,33696.2,51066.793,-41.288097,18.780492971971398,-0.010226215,2.312164e-06,4.470065e-05,1.9462495e-05,1.0,41,0.02034197,3.9834046e-07,0,-1.2210159184773614e-08,1.0
30,30,91439.65,42545.24,35387.96,55339.0,-39.752754,19.36248326630448,-0.010164078,1.2474442e-06,4.9184702e-05,2.0113077e-05,1.0,42,0.019927114,3.600917e-07,0,-1.2094720577522366e-08,1.0
31,31,79127.08,47768.508,34725.625,59056.746,-36.01552,19.778500272746896,-0.010208609,1.2714708e-06,5.792218e-05,2.0026546e-05,1.0,42,0.020918354,3.542077e-07,0,-1.1976108885698445e-08,1.0
32,32,68475.36,52343.977,33918.086,62372.496,-32.942616,20.19449106583488,-0.010176264,1.2157816e-06,6.852586e-05,2.0264268e-05,1.0,42,0.021692084,3.4778284e-07,0,-1.1774570330010429e-08,1.0
33,33,59252.523,56215.777,32182.092,64775.773,-29.790031,20.746494265360525,-0.010262119,1.6711657e-06,8.3463965e-05,2.0601665e-05,1.0,42,0.020204697,3.119175e-07,0,-1.1452136973649847e-08,1.0
34,34,51282.285,60192.66,30656.26,67549.7,-26.98985,21.162481378443772,-0.01026251,1.8337631e-06,0.00010123568,2.0850912e-05,1.0,42,0.020718168,3.0670998e-07,0,-1.128334779921758e-08,1.0
35,35,44369.8,63696.438,27366.285,69326.4,-23.250105,21.578479798248736,-0.01016773,1.1878443e-06,0.00013107408,2.042449e-05,1.0,42,0.02108991,3.0421182e-07,0,-1.1065790664080113e-08,1.0
36,36,38403.727,65755.99,24688.936,70238.125,-20.579294,21.994499417982297,-0.010199982,1.5657481e-06,0.0001678589,2.073974e-05,1.0,42,0.021354966,3.0403666e-07,0,-1.0833459334605777e-08,1.0
37,37,33226.32,68661.45,22500.406,72254.16,-18.144007,22.410479544400005,-0.010230016,1.3105844e-06,0.00021288621,2.0644415e-05,1.0,42,0.021597551,2.9891083e-07,0,-1.065393289625089e-08,1.0
38,38,28754.086,70580.78,20217.285,73419.24,-15.983925,22.826503110845806,-0.010223532,1.3770764e-06,0.0002737775,2.075982e-05,1.0,42,0.021704093,2.9561858e-07,0,-1.0591976389598696e-08,1.0
39,39,24884.947,72160.555,17499.377,74252.09,-13.631427,23.242493397236103,-0.010190237,1.5560641e-06,0.00036547764,2.0299653e-05,1.0,42,0.021784276,2.9338264e-07,0,-1.0350127614183278e-08,1.0
40,40,21553.963,73551.445,15735.914,75215.914,-12.076055,23.659499497065553,-0.0101708975,1.516579e-06,0.00046924647,2.0538348e-05,1.0,42,0.02181947,2.9009115e-07,0,-1.0245931419404996e-08,1.0
41,41,18631.234,74178.08,13854.729,75460.86,-10.579609,24.075486316840397,-0.010292507,1.7067415e-06,0.00061656727,2.0784186e-05,1.0,42,0.02171924,2.8782125e-07,0,-9.954362169050373e-09,1.0
42,42,16126.037,75017.67,11528.895,75898.4,-8.736996,24.49150340326014,-0.010257014,1.5411645e-06,0.0008560611,1.9752175e-05,1.0,42,0.021573016,2.8423545e-07,0,-9.807506433107152e-09,1.0
43,43,13954.87,76397.44,9883.034,77034.04,-7.371042,24.90748611636809,-0.010247698,1.7344936e-06,0.0011539953,1.8994126e-05,1.0,42,0.021503234,2.7913939e-07,0,-9.70096823590991e-09,1.0
44,44,12080.609,74945.945,8051.357,75377.18,-6.1317034,25.323487762798322,-0.010247195,1.6650226e-06,0.0016362972,1.866898e-05,1.0,42,0.020956347,2.7801977e-07,0,-9.594712376231958e-09,1.0
45,45,10447.592,75950.22,6899.053,76262.92,-5.1903043,25.739499355870066,-0.010162551,1.217089e-06,0.002208078,1.807035e-05,1.0,42,0.020586783,2.6994485e-07,0,-9.436296694310898e-09,1.0
46,46,9045.586,75931.35,6094.0522,76175.51,-4.5885744,26.312263996427646,-0.01014703,1.3996154e-06,0.0028872027,1.8478166e-05,1.0,42,0.020372435,2.6744075e-07,0,-9.221472919716769e-09,1.0
47,47,7827.7437,76260.19,4525.613,76394.35,-3.396199,26.79292588593671,-0.010178835,1.4191723e-06,0.004492687,1.5766615e-05,1.0,42,0.02052676,2.6869472e-07,0,-9.044678303393678e-09,1.0
48,48,6770.8345,75625.68,3808.717,75721.53,-2.8831367,27.331401351460954,-0.010150086,1.3688848e-06,0.006171621,1.5614134e-05,1.0,42,0.020603012,2.720892e-07,0,-8.943144991453285e-09,1.0
49,49,5860.798,75389.4,3039.9119,75450.664,-2.3090754,27.93697954027448,-0.010264038,2.0880007e-06,0.008933104,1.4501009e-05,1.0,42,0.020703088,2.743924e-07,0,-8.81132140427749e-09,1.0
50,50,5071.625,75527.516,2597.0486,75572.16,-1.969366,28.617711039289134,-0.010205907,1.6726606e-06,0.012083504,1.427018e-05,1.0,42,0.020888356,2.764028e-07,0,-8.572113993968363e-09,1.0
