True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,209.55502,1871.7195,1883.4137,-83.61185,2.4654986237583216,-0.08675267,1.5212501e-05,1.2147313e-05,1.1996934e-05,1.0,40,0.010196559,5.4138713e-06,0,4.2640347250287256e-09,1.0
1,1,6057573.0,419.93536,2146.947,2187.6306,-78.93287,3.0174813166086096,-0.08675027,4.0491536e-06,1.22377105e-05,1.178677e-05,1.0,40,0.014428898,6.5956738e-06,0,2.048161176301417e-09,1.0
2,2,5242039.0,324.2506,2458.8904,2480.1775,-82.48782,3.433496349694906,-0.086674415,-3.0580918e-06,1.2347547e-05,1.2136502e-05,1.0,40,0.019959826,8.047741e-06,0,-3.2334962068287296e-11,1.0
3,3,4536288.0,263.3666,2760.6736,2773.2075,-84.55051,4.6654926482297014,-0.08674656,-2.0751813e-05,1.2708798e-05,1.2594178e-05,1.0,40,0.019845061,7.1559957e-06,0,-8.61110205189814e-10,1.0
4,4,3925558.5,365.2025,3146.3257,3167.4497,-83.37915,5.081492134690052,-0.08675449,-3.3124405e-05,1.28859065e-05,1.2714606e-05,1.0,40,0.019086171,6.025722e-06,0,-2.65390349452193e-09,1.0
5,5,3397055.0,404.5722,3571.912,3594.751,-83.53794,5.497482287726598,-0.08675196,-2.1179741e-05,1.3116465e-05,1.2950326e-05,1.0,40,0.020107727,5.5936357e-06,0,-4.9980096676891764e-09,1.0
6,6,2939708.2,434.3424,4065.6533,4088.7883,-83.9021,6.049501327303005,-0.08674574,-2.8584682e-05,1.331636e-05,1.31660945e-05,1.0,40,0.020251298,4.952885e-06,0,-1.0177898189984566e-08,1.0
7,7,2543924.5,391.05087,4771.6484,4787.6455,-85.31491,6.601488766871626,-0.08678667,-7.132665e-06,1.3111351e-05,1.302388e-05,1.0,40,0.020673014,4.3179916e-06,0,-7.621526861940866e-09,1.0
8,8,2201436.2,309.9043,5675.543,5683.9976,-86.87456,7.3204983476607595,-0.08674941,-3.4270865e-06,1.2738157e-05,1.270029e-05,1.0,41,0.02012425,3.5405099e-06,0,-9.633355596490231e-09,1.0
9,9,1905053.1,299.0566,6413.4443,6420.413,-87.33025,7.8725029072084,-0.08679353,-1.7198275e-07,1.302632e-05,1.2998056e-05,1.0,41,0.020363115,3.1716206e-06,0,-9.4183497564744e-09,1.0
10,10,1648567.4,126.32679,7418.0815,7419.157,-89.02437,8.42450277347234,-0.08678337,-7.6043295e-07,1.3014331e-05,1.3010557e-05,1.0,41,0.019794218,2.6679875e-06,0,-9.525868119434714e-09,1.0
11,11,1426616.2,293.9155,8624.056,8629.0625,-88.048065,8.9765035463206,-0.086801484,1.3754874e-06,1.29360415e-05,1.2921035e-05,1.0,41,0.0205743,2.384303e-06,0,-8.13258925185778e-09,1.0
12,12,1234551.2,412.816,9934.252,9942.825,-87.62045,9.528503465902759,-0.08678123,-2.2836944e-06,1.2977046e-05,1.2954676e-05,1.0,41,0.020525195,2.0643222e-06,0,-8.644555755184216e-09,1.0
13,13,1068345.5,448.18945,11059.084,11068.162,-87.67925,10.080479385418585,-0.08677248,-1.2948776e-06,1.34706725e-05,1.3448584e-05,1.0,41,0.020741727,1.8739992e-06,0,-9.725132906541805e-09,1.0
14,14,924510.06,647.0469,13215.695,13231.525,-87.19701,10.63249647829798,-0.08684423,4.4648423e-06,1.3026222e-05,1.2995071e-05,1.0,41,0.020144463,1.5224596e-06,0,-9.29507068844436e-09,1.0
15,15,800039.0,-1504.2797,13398.37,13482.551,-96.40596,11.18448127785814,-0.086776145,1.0160882e-06,1.4847626e-05,1.4662796e-05,1.0,41,0.020094575,1.4904135e-06,0,-9.55530784711161e-09,1.0
16,16,692334.1,589.7947,17568.178,17578.074,-88.0772,11.736491597403074,-0.086824924,1.0551929e-06,1.30851195e-05,1.3070389e-05,1.0,41,0.020345278,1.1574236e-06,0,-9.415119699686633e-09,1.0
17,17,599122.25,498.7711,20229.293,20235.441,-88.58761,12.288498930312926,-0.086808026,2.1594658e-06,1.3131792e-05,1.3123813e-05,1.0,41,0.020776963,1.0267611e-06,0,-9.207974293889581e-09,1.0
18,18,518454.94,473.92276,23538.959,23543.729,-88.84659,12.840503649873426,-0.086792655,2.1162556e-07,1.304133e-05,1.3036046e-05,1.0,41,0.020449655,8.685818e-07,0,-9.727555183158326e-09,1.0
