True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,-148.68434,1298.4567,1306.9418,-96.5324,82.5115029590379,0.021866202,-2.0323769e-05,1.7510296e-05,1.7283668e-05,2.0,40,0.010040965,7.682795e-06,0,-2.0228609055120077e-08,2.0
111,111,6057573.0,276.79858,1616.6357,1640.1611,-80.284096,83.06350663860212,0.021878146,-3.2938344e-05,1.6252094e-05,1.578922e-05,2.0,40,0.014167999,8.638175e-06,0,-2.6813441608181185e-08,2.0
112,112,5242039.0,225.54436,1900.5115,1913.848,-83.23204,83.47949340505875,0.021887088,-3.0333571e-05,1.5975313e-05,1.5753443e-05,2.0,40,0.019572238,1.0226641e-05,0,-3.063377984642478e-08,2.0
113,113,4536288.0,168.59392,2231.7844,2238.1433,-85.679955,84.84749624333926,0.021847906,-1.9244755e-05,1.5720532e-05,1.563133e-05,2.0,40,0.019405566,8.670386e-06,0,-2.06842573220827e-08,2.0
114,114,3925558.5,272.86392,2509.5095,2524.3005,-83.794495,85.26349335644045,0.021774273,-2.1092014e-06,1.6155851e-05,1.5967076e-05,2.0,40,0.018442085,7.30582e-06,0,-2.2657626974603792e-08,2.0
115,115,3397055.0,298.7058,2830.2153,2845.9346,-83.97521,85.67949993620277,0.02169384,2.2208056e-05,1.6553815e-05,1.6371452e-05,2.0,40,0.019473363,6.8425197e-06,0,-2.346486558577728e-08,2.0
116,116,2939708.2,291.68802,3202.9597,3216.214,-84.796524,86.09548811594141,0.021922693,-7.3739946e-05,1.6903025e-05,1.6763992e-05,2.0,40,0.021238325,6.6035172e-06,0,-3.140911748226216e-08,2.0
117,117,2543924.5,311.60452,3577.8738,3591.4172,-85.02255,86.64749590217252,0.02170841,4.979469e-06,1.7486018e-05,1.7354385e-05,2.0,40,0.020686388,5.7599514e-06,0,-2.966388170227595e-08,2.0
118,118,2201436.2,450.86954,4217.081,4241.1147,-83.8974,87.19948536841548,0.02186309,-5.6064822e-05,1.7143602e-05,1.6949853e-05,2.0,40,0.020726524,4.8870465e-06,0,-3.4700583173376114e-08,2.0
119,119,1905053.1,554.148,4848.195,4879.7617,-83.4794,87.75149459458771,0.02172285,-7.7466275e-06,1.7231892e-05,1.7009668e-05,2.0,40,0.020256717,4.1511694e-06,0,-3.4512296576053025e-08,2.0
120,120,1648567.4,204.46793,5728.8594,5732.507,-87.95593,88.47048497540527,0.0217058,-2.4289523e-06,1.685176e-05,1.6830323e-05,2.0,41,0.018874373,3.2925166e-06,0,-3.0022102756794155e-08,2.0
121,121,1426616.2,282.6736,6875.6504,6881.4585,-87.64577,88.88648366185953,0.021792607,-3.1645015e-06,1.6225542e-05,1.6198162e-05,2.0,41,0.0218699,3.1780908e-06,0,-3.1849334476500565e-08,2.0
122,122,1234551.2,221.67891,7453.839,7457.135,-88.29651,89.43849758143188,0.02162766,2.557977e-06,1.7295415e-05,1.728013e-05,2.0,41,0.020801518,2.7894787e-06,0,-3.1625726975056366e-08,2.0
123,123,1068345.5,749.257,9009.429,9040.53,-85.24601,89.99048515429604,0.021678152,1.3419738e-06,1.6535265e-05,1.642169e-05,2.0,41,0.020751107,2.2953418e-06,0,-3.144173453292925e-08,2.0
124,124,924510.06,641.6979,10146.956,10167.227,-86.38141,90.5424944338447,0.021736301,-5.499673e-06,1.6965736e-05,1.6898155e-05,2.0,41,0.02019684,1.9864651e-06,0,-3.246516026935116e-08,2.0
125,125,800039.0,-11.729628,9953.622,9953.629,-90.06752,91.09450195336831,0.021847738,-9.155133e-06,1.998609e-05,1.998606e-05,2.0,41,0.021027295,2.1125254e-06,0,-3.254125772248291e-08,2.0
126,126,692334.1,30.249327,13904.353,13904.386,-89.87535,91.64648915294674,0.021754393,1.4481185e-06,1.6533075e-05,1.6532997e-05,2.0,41,0.020173645,1.4508836e-06,0,-3.3300460896661833e-08,2.0
127,127,599122.25,1219.8932,15794.462,15841.501,-85.583496,92.19850141918869,0.021694139,2.1073295e-06,1.6818987e-05,1.6719254e-05,2.0,41,0.020516856,1.2951333e-06,0,-3.405828579082895e-08,2.0
128,128,518454.94,906.32825,17348.611,17372.27,-87.00947,92.75050181869301,0.021694288,9.397435e-07,1.7694749e-05,1.7646587e-05,2.0,41,0.020190079,1.1622016e-06,0,-3.42290574681788e-08,2.0
