True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,25.076542,1402.2545,1402.4788,-88.97549,2.467495343851624,-0.021064071,3.4655153e-05,1.6214148e-05,1.6208962e-05,1.0,40,0.01009459,7.1976774e-06,0,4.172676155197526e-09,1.0
1,1,6057573.0,317.604,1597.1974,1628.4691,-78.753395,3.0204892900947016,-0.020837864,-4.9292477e-05,1.6449885e-05,1.5824173e-05,1.0,40,0.014155656,8.692616e-06,0,1.3526174065848155e-09,1.0
2,2,5242039.0,251.96721,1811.4946,1828.9342,-82.08134,3.436478296556743,-0.020949822,-7.323922e-07,1.676034e-05,1.6442233e-05,1.0,40,0.019612782,1.0723613e-05,0,1.5742996274891791e-09,1.0
3,3,4536288.0,302.0986,2012.9647,2035.5074,-81.46495,4.80449310815311,-0.020970521,1.409611e-05,1.7429436e-05,1.704552e-05,1.0,40,0.018774483,9.22349e-06,0,-3.471998224995332e-08,1.0
4,4,3925558.5,314.72638,2391.4907,2412.1113,-82.50281,5.22148891465622,-0.02099534,3.5840517e-06,1.6953132e-05,1.6664515e-05,1.0,40,0.018092837,7.5008297e-06,0,-3.910964285037406e-08,1.0
5,5,3397055.0,365.75397,2680.1772,2705.0186,-82.22906,5.637501254415838,-0.020887889,-5.8483518e-05,1.7480506e-05,1.716092e-05,1.0,40,0.019026734,7.0338647e-06,0,-5.3595301444854866e-08,1.0
6,6,2939708.2,412.2197,3086.584,3113.9888,-82.39304,6.053485034179175,-0.02095489,-3.494769e-05,1.7540331e-05,1.7232962e-05,1.0,40,0.020781191,6.673496e-06,0,-5.300809802816452e-08,1.0
7,7,2543924.5,569.8365,3671.202,3715.163,-81.17707,6.605480873695342,-0.020973148,-6.7842026e-05,1.7041493e-05,1.6640579e-05,1.0,40,0.020725276,5.5785645e-06,0,-5.550558993680473e-08,1.0
8,8,2201436.2,511.02887,3949.8357,3982.7568,-82.62804,7.157501486624824,-0.021043222,-1.3011935e-05,1.8303535e-05,1.8002194e-05,1.0,40,0.020325175,5.103293e-06,0,-5.778766280261986e-08,1.0
9,9,1905053.1,682.4096,4652.1313,4701.9155,-81.65494,7.709501379489666,-0.020962417,-4.2352647e-05,1.795813e-05,1.7579858e-05,1.0,40,0.020723503,4.4074595e-06,0,-6.336199066769647e-08,1.0
10,10,1648567.4,906.4967,5284.836,5362.017,-80.26689,8.428502346941968,-0.021024888,-2.7120045e-06,1.826762e-05,1.7745513e-05,1.0,41,0.018918967,3.5283304e-06,0,-6.307047993954937e-08,1.0
11,11,1426616.2,829.32965,6308.383,6362.663,-82.510574,8.844479246734409,-0.021023603,-3.2613334e-06,1.7684588e-05,1.7384138e-05,1.0,41,0.021846863,3.4336035e-06,0,-6.321689513102236e-08,1.0
12,12,1234551.2,979.43,7196.509,7262.852,-82.24978,9.396496819594176,-0.020993998,-5.44414e-07,1.7913859e-05,1.7588081e-05,1.0,41,0.021038525,2.8967304e-06,0,-6.324862911313408e-08,1.0
13,13,1068345.5,1166.6279,8365.494,8446.45,-82.0609,9.9484798591875,-0.020979278,-4.153319e-06,1.7808068e-05,1.7468337e-05,1.0,41,0.02073355,2.4547057e-06,0,-6.420234439145033e-08,1.0
