True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,179.49072,1422.0763,1433.359,-82.80632,2.466487237106776,0.0119178435,-5.4208604e-06,1.5988146e-05,1.5737432e-05,1.0,40,0.010067426,7.0236597e-06,0,7.621694973418395e-09,1.0
1,1,6057573.0,320.5029,1634.9626,1666.0807,-78.90891,3.018491983326385,0.01191898,6.5981067e-06,1.6069918e-05,1.5475236e-05,1.0,40,0.014172677,8.506597e-06,0,5.205755535361808e-09,1.0
2,2,5242039.0,264.25906,1864.74,1883.3715,-81.93411,3.4345021897752304,0.012010834,-6.276802e-06,1.6281769e-05,1.5961225e-05,1.0,40,0.01957468,1.0393424e-05,0,7.199539796482036e-09,1.0
3,3,4536288.0,302.00446,2172.2651,2193.1582,-82.08505,4.8025023613881785,0.011894441,1.6645034e-05,1.6151269e-05,1.5845008e-05,1.0,40,0.018403484,8.391316e-06,0,1.6335025765821835e-08,1.0
4,4,3925558.5,303.112,2477.108,2495.5842,-83.02367,5.3545019076264,0.011965242,-2.5031033e-05,1.6367176e-05,1.6125721e-05,1.0,40,0.020404864,8.176387e-06,0,1.652406969655355e-08,1.0
5,5,3397055.0,362.8731,2828.0234,2851.2092,-82.68814,5.7704878207005095,0.011851402,1.1472749e-05,1.6566644e-05,1.6298303e-05,1.0,40,0.021228664,7.445495e-06,0,1.528697250816751e-08,1.0
6,6,2939708.2,373.72598,3255.868,3277.2468,-83.45194,6.322498860274209,0.011884101,-2.8733491e-05,1.6628348e-05,1.6412108e-05,1.0,40,0.020361613,6.213024e-06,0,1.2926500754070325e-08,1.0
7,7,2543924.5,419.39102,3615.674,3639.916,-83.38369,6.874497659824556,0.0118626,-8.602459e-06,1.7303208e-05,1.7073497e-05,1.0,40,0.02079817,5.7139146e-06,0,1.967094427379992e-08,1.0
8,8,2201436.2,706.5367,4337.3335,4394.503,-80.74798,7.426481126021827,0.011846242,3.1189331e-06,1.6668295e-05,1.623743e-05,1.0,40,0.020783458,4.729422e-06,0,1.3923308247765615e-08,1.0
9,9,1905053.1,684.58295,4964.2266,5011.2075,-82.14825,7.978487178945215,0.011796458,2.3342991e-05,1.682912e-05,1.6515049e-05,1.0,40,0.020315357,4.0539844e-06,0,7.57559041035923e-09,1.0
10,10,1648567.4,620.8819,5713.1143,5746.753,-83.79763,8.697485186421545,0.011965652,-1.0829246e-05,1.6898204e-05,1.6700955e-05,1.0,41,0.018959552,3.2991763e-06,0,1.4136071075711244e-08,1.0
11,11,1426616.2,616.8086,6588.8203,6617.6284,-84.65188,9.113481632812181,0.0118579045,-1.2520408e-06,1.6931885e-05,1.6784788e-05,1.0,41,0.02185092,3.301926e-06,0,1.3948497993816823e-08,1.0
12,12,1234551.2,634.5747,7531.599,7558.2847,-85.18392,9.665486139041604,0.01182897,1.0105076e-06,1.7116849e-05,1.6996195e-05,1.0,41,0.021108873,2.7928127e-06,0,1.4145874639726546e-08,1.0
13,13,1068345.5,1045.5059,8836.204,8897.842,-83.2521,10.217494111944688,0.011804823,7.2506677e-06,1.6859422e-05,1.662665e-05,1.0,41,0.020813756,2.3391915e-06,0,1.4120296861212486e-08,1.0
14,14,924510.06,1281.5269,10102.467,10183.425,-82.77048,10.769489898142638,0.011927923,-2.8032382e-06,1.7040451e-05,1.6770584e-05,1.0,41,0.02050634,2.0136977e-06,0,1.384998859923788e-08,1.0
15,15,800039.0,976.54553,11080.818,11123.767,-84.96357,11.457495717535494,0.011879629,-1.2427319e-06,1.7953003e-05,1.781464e-05,1.0,41,0.019274745,1.7327535e-06,0,1.3613380684416951e-08,1.0
16,16,692334.1,2214.9485,13871.018,14046.748,-80.927505,12.009493157063844,0.011843596,2.6846053e-06,1.6572807e-05,1.6160737e-05,1.0,41,0.01970591,1.4028806e-06,0,1.3798202249401154e-08,1.0
17,17,599122.25,2952.8713,14988.248,15276.355,-78.85475,12.561484889971325,0.011831708,6.1594315e-06,1.7723678e-05,1.7061455e-05,1.0,41,0.02055731,1.3456947e-06,0,1.3342077717099856e-08,1.0
18,18,518454.94,4055.0579,17269.398,17739.098,-76.78567,13.113492969510844,0.011876145,-8.088422e-07,1.7775912e-05,1.6847027e-05,1.0,41,0.020505827,1.1559679e-06,0,1.3630460879655162e-08,1.0
19,19,448662.03,4968.1597,19530.527,20152.521,-75.72785,13.665503795695258,0.011857979,-1.7384087e-07,1.816297e-05,1.7059096e-05,1.0,41,0.020346615,1.0096312e-06,0,1.3322651920083849e-08,1.0
20,20,388258.97,6043.963,22197.88,23005.986,-74.76892,14.217479341925355,0.011933065,-5.765964e-06,1.8466608e-05,1.719208e-05,1.0,41,0.020917788,9.0923237e-07,0,1.3149031528017632e-08,1.0
21,21,335983.9,6957.0283,27935.375,28788.633,-76.01553,14.769503661460476,0.011887343,-1.4066046e-06,1.6956927e-05,1.596666e-05,1.0,41,0.019789292,6.873995e-07,0,1.2668129556749994e-08,1.0
22,22,290751.2,9439.776,30340.053,31774.646,-72.717384,15.32148139437777,0.011881679,-2.2147901e-06,1.8041901e-05,1.644953e-05,1.0,41,0.020850046,6.5618497e-07,0,1.2623622364063102e-08,1.0
23,23,251605.19,13317.261,30733.203,33494.465,-66.57203,15.87348064724938,0.0119522745,-5.216622e-06,2.0582243e-05,1.7328552e-05,1.0,41,0.020381097,6.0849146e-07,0,1.2287707795874465e-08,1.0
24,24,217729.38,17366.254,34946.18,39023.355,-63.57525,16.42550299348659,0.01185934,5.8220394e-07,2.0917192e-05,1.6774655e-05,1.0,41,0.020331033,5.2099654e-07,0,1.251210241814091e-08,1.0
25,25,188418.58,21302.594,37580.62,43198.42,-60.453247,16.977487846364966,0.011905584,8.019403e-07,2.2476695e-05,1.7010794e-05,1.0,41,0.020776365,4.8095194e-07,0,1.2441255877553835e-08,1.0
26,26,163051.14,26321.055,38618.57,46735.34,-55.72304,17.529484085884178,0.011802009,7.870772e-06,2.527552e-05,1.7258446e-05,1.0,41,0.020388512,4.362547e-07,0,1.0146294163714882e-08,1.0
27,27,141098.2,30359.852,44396.32,53784.33,-55.63423,18.248500760033494,0.011838155,-2.6659112e-07,2.54069e-05,1.7311477e-05,1.0,42,0.019067546,3.5451862e-07,0,9.630767189353036e-09,1.0
28,28,122105.11,35985.05,43873.367,56743.25,-50.641308,18.664485473156674,0.011912682,-7.912606e-07,2.9708815e-05,1.776065e-05,1.0,42,0.020461105,3.60591e-07,0,9.557560231827879e-09,1.0
29,29,105663.59,44418.51,47157.72,64783.137,-46.713306,19.08048255959875,0.011900646,-5.1672623e-07,3.194052e-05,1.6924801e-05,1.0,42,0.02192241,3.3839686e-07,0,9.416010543464144e-09,1.0
30,30,91439.65,50702.297,50036.266,71234.48,-44.621197,19.63249295912101,0.011831708,2.1911772e-08,3.4785695e-05,1.7162874e-05,1.0,42,0.020389332,2.862284e-07,0,9.462828601480547e-09,1.0
31,31,79127.08,58525.664,48517.35,76020.96,-39.658485,20.048492045578314,0.011846409,-3.6198227e-08,4.1457002e-05,1.6885946e-05,1.0,42,0.021461526,2.8231065e-07,0,9.42651302018681e-09,1.0
32,32,68475.36,60403.676,46590.5,76284.195,-37.643684,20.60048537843977,0.011928296,-1.0006067e-06,4.988712e-05,1.8608614e-05,1.0,42,0.020238638,2.6530577e-07,0,9.404361750924295e-09,1.0
33,33,59252.523,67205.72,45504.55,81162.016,-34.10167,21.016492464841576,0.011883616,-4.0814191e-07,5.902805e-05,1.8555063e-05,1.0,42,0.020858215,2.5699478e-07,0,9.337292065415584e-09,1.0
34,34,51282.285,73510.04,42155.605,84739.73,-29.832863,21.43250301797525,0.01192062,-4.7221235e-07,7.362027e-05,1.8219396e-05,1.0,42,0.021401493,2.525556e-07,0,9.299017247826668e-09,1.0
35,35,44369.8,78843.06,38436.094,87712.95,-25.989294,21.848485651047667,0.011734935,1.0358635e-06,9.3324015e-05,1.7920265e-05,1.0,42,0.021827526,2.488518e-07,0,9.336935080976833e-09,1.0
36,36,38403.727,83865.055,35090.7,90910.42,-22.705341,22.400490477244603,0.0118606435,-4.2695297e-07,0.00011810131,1.7595898e-05,1.0,42,0.020384638,2.2422773e-07,0,9.296360612487694e-09,1.0
37,37,33226.32,85953.6,31444.188,91524.63,-20.093908,22.816492043697508,0.011902956,-5.753951e-07,0.00015233424,1.7980521e-05,1.0,42,0.020510774,2.2410114e-07,0,9.221041952059355e-09,1.0
38,38,28754.086,89368.055,29220.812,94023.96,-18.106274,23.232488436769927,0.011805382,1.198808e-07,0.00018942107,1.829514e-05,1.0,42,0.020601634,2.1911046e-07,0,9.12665165205241e-09,1.0
39,39,24884.947,90480.85,25871.51,94106.96,-15.957009,23.648486963211326,0.011920806,-3.2991568e-07,0.0002472075,1.8683648e-05,1.0,42,0.020605158,2.1895467e-07,0,9.12187646746787e-09,1.0
40,40,21553.963,93121.54,21918.871,95666.39,-13.245138,24.065501063043484,0.011844639,-3.485404e-07,0.00033687966,1.7684484e-05,1.0,42,0.020703018,2.1640847e-07,0,9.127212080385681e-09,1.0
41,41,18631.234,93916.414,19186.523,95856.23,-11.546279,24.481498709443258,0.011840503,-2.8521484e-07,0.00044522775,1.7837505e-05,1.0,42,0.020566829,2.1455912e-07,0,9.120097391946696e-09,1.0
42,42,16126.037,94016.01,16418.043,95438.79,-9.90569,24.89849334259634,0.011928575,-7.8697525e-07,0.0006011337,1.778951e-05,1.0,42,0.02030843,2.127901e-07,0,9.046053151359966e-09,1.0
43,43,13954.87,97446.73,14270.116,98486.05,-8.331187,25.31448936232482,0.011759082,6.631765e-07,0.0007992209,1.6779246e-05,1.0,42,0.020386416,2.0699802e-07,0,9.030915958525157e-09,1.0
44,44,12080.609,97237.51,16144.928,98568.72,-9.427161,25.73047972875065,0.011786955,3.3798182e-07,0.0008160094,2.1892187e-05,1.0,42,0.019996066,2.0286421e-07,0,8.980729523048145e-09,1.0
45,45,10447.592,96444.87,11145.36,97086.72,-6.5919733,26.14649137519882,0.011838565,-1.580046e-07,0.0013668153,1.8012683e-05,1.0,42,0.019416273,1.9998896e-07,0,9.017940135426783e-09,1.0
46,46,9045.586,97269.92,9791.5205,97761.5,-5.7482243,26.719258095748955,0.011928538,-3.5747928e-07,0.0017969387,1.8025938e-05,1.0,42,0.020159844,2.0621455e-07,0,8.951851727847502e-09,1.0
47,47,7827.7437,97911.375,7586.4624,98204.84,-4.430594,27.199932705261745,0.011878847,-2.2393678e-07,0.0026800581,1.5993997e-05,1.0,42,0.020327784,2.069937e-07,0,9.026521778900447e-09,1.0
48,48,6770.8345,96789.14,8953.782,97202.41,-5.2852826,27.7384076374874,0.011835957,2.9178814e-08,0.0026252547,2.2275653e-05,1.0,42,0.020224666,2.0806755e-07,0,8.931370260357001e-09,1.0
49,49,5860.798,96801.16,5711.374,96969.5,-3.3765993,28.345990733039798,0.011570138,1.5612812e-06,0.0047546965,1.6494292e-05,1.0,42,0.020359691,2.0995974e-07,0,8.93268310150815e-09,1.0
