True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,-6.559883,1315.7827,1315.7991,-90.285645,82.65650061928318,-0.021143535,-3.7277653e-06,1.7279723e-05,1.7279293e-05,2.0,40,0.01007933,7.660235e-06,0,-3.4709622951752725e-08,2.0
111,111,6057573.0,289.04944,1525.0945,1552.2444,-79.26809,83.2084828321531,-0.02121294,-7.3931387e-06,1.72276e-05,1.6630222e-05,2.0,40,0.0141967805,9.14597e-06,0,-3.8953826407419476e-08,2.0
112,112,5242039.0,283.3541,1803.1157,1825.244,-81.06918,83.62448213194148,-0.021087902,-3.2026655e-05,1.6838225e-05,1.6432423e-05,2.0,40,0.019657185,1.07696205e-05,0,-3.7835386685719485e-08,2.0
113,113,4536288.0,197.90488,2065.206,2074.6667,-84.52617,84.99248675690615,-0.021215025,3.2812298e-07,1.6988542e-05,1.6833957e-05,2.0,40,0.021473063,1.0350126e-05,0,-2.4944545768211095e-08,2.0
114,114,3925558.5,340.1355,2333.1187,2357.7817,-81.70552,85.4084838166309,-0.021165261,-1.6621387e-05,1.7377282e-05,1.701564e-05,2.0,40,0.01935308,8.208173e-06,0,-2.884603683391873e-08,2.0
115,115,3397055.0,352.1418,2637.5696,2660.973,-82.39542,85.8244991164247,-0.021175284,2.47756e-05,1.776289e-05,1.7451814e-05,2.0,40,0.020088445,7.5492862e-06,0,-2.9851356509364594e-08,2.0
116,116,2939708.2,352.11694,3074.8494,3094.945,-83.46722,86.24048897615285,-0.021312581,1.5249641e-05,1.7607272e-05,1.7379363e-05,2.0,40,0.021841997,7.0573133e-06,0,-3.2364905641217313e-08,2.0
117,117,2543924.5,460.77713,3435.8425,3466.602,-82.3617,86.79248598907725,-0.021262666,-5.4633153e-07,1.8208855e-05,1.7887152e-05,2.0,40,0.020395322,5.8833757e-06,0,-4.1581855164508064e-08,2.0
118,118,2201436.2,539.2749,4017.4958,4053.528,-82.3548,87.34450278859003,-0.021097794,-6.931185e-05,1.7995279e-05,1.7676777e-05,2.0,40,0.020484405,5.0534754e-06,0,-4.513107496048718e-08,2.0
119,119,1905053.1,572.9685,4643.795,4679.009,-82.96619,87.89650460149278,-0.021190003,-3.582215e-05,1.7990367e-05,1.7720597e-05,2.0,40,0.020652926,4.4139533e-06,0,-4.876777994894215e-08,2.0
120,120,1648567.4,488.98383,5435.603,5457.553,-84.85954,88.61550730231102,-0.021257563,-2.345157e-06,1.776093e-05,1.761835e-05,2.0,41,0.018821541,3.448714e-06,0,-4.772738832299457e-08,2.0
121,121,1426616.2,748.16486,6548.8433,6591.4414,-83.48257,89.03149166874937,-0.021167384,-7.0694914e-06,1.7035245e-05,1.6815771e-05,2.0,41,0.021793617,3.3063507e-06,0,-4.811380860311705e-08,2.0
122,122,1234551.2,688.2872,7063.1187,7096.5757,-84.43421,89.58349596164771,-0.021177819,-3.345131e-06,1.8252169e-05,1.8080475e-05,2.0,41,0.021136476,2.9784048e-06,0,-5.048405047246105e-08,2.0
123,123,1068345.5,1026.4236,8622.1,8682.98,-83.211136,90.13549150785548,-0.021262331,-1.0866465e-07,1.7278076e-05,1.7036635e-05,2.0,41,0.020669017,2.3804057e-06,0,-5.087702895909116e-08,2.0
124,124,924510.06,1776.722,9668.842,9830.7295,-79.58763,90.68749652072438,-0.021173533,-1.7008266e-06,1.7804674e-05,1.7223105e-05,2.0,41,0.020179419,2.052688e-06,0,-5.508962499804997e-08,2.0
125,125,800039.0,5799.493,9025.789,10728.42,-57.27735,91.23950356026762,-0.021180203,-4.364073e-07,2.2040618e-05,1.5599928e-05,2.0,41,0.020374484,1.8991133e-06,0,-5.42928993512872e-08,2.0
126,126,692334.1,2642.0928,12615.919,12889.61,-78.17176,91.79150483981357,-0.021286609,3.0756626e-06,1.8221559e-05,1.745596e-05,2.0,41,0.020281557,1.573481e-06,0,-5.31994930669389e-08,2.0
127,127,599122.25,3068.1106,14593.613,14912.641,-78.12724,92.34350750604062,-0.021192426,-1.4215009e-06,1.8202953e-05,1.743245e-05,2.0,41,0.020525515,1.3763837e-06,0,-5.2899491658225866e-08,2.0
128,128,518454.94,3433.667,16348.524,16705.219,-78.13862,92.89550678562955,-0.021106832,-5.5499518e-06,1.8777188e-05,1.7983877e-05,2.0,41,0.020533415,1.2291616e-06,0,-5.4435050155830484e-08,2.0
129,129,448662.03,4648.122,18817.79,19383.35,-76.12528,93.4475009184971,-0.021150857,-4.5406514e-06,1.8850906e-05,1.7766903e-05,2.0,41,0.020201834,1.0422261e-06,0,-5.389180451614806e-08,2.0
130,130,388258.97,6224.527,21203.516,22098.275,-73.63982,93.99950377139612,-0.021185458,1.9301041e-07,1.9332623e-05,1.779876e-05,2.0,41,0.020784795,9.405619e-07,0,-5.4526756592406873e-08,2.0
131,131,335983.9,7844.143,23237.549,24525.787,-71.347206,94.55150585094816,-0.02124273,2.2432682e-06,2.0385029e-05,1.8299786e-05,2.0,41,0.02030113,8.277463e-07,0,-5.4887911505052186e-08,2.0
