True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,193.54442,1217.6046,1232.8911,-80.96811,82.78350161199342,-0.00526397,-1.0723395e-05,1.8673025e-05,1.8212846e-05,2.0,40,0.01011065,8.200765e-06,0,-1.2360610687483052e-08,2.0
111,111,6057573.0,299.4429,1305.9806,1339.8699,-77.086105,83.33550678487518,-0.0052508903,-7.709429e-06,2.0118e-05,1.911318e-05,2.0,40,0.014094117,1.0519019e-05,0,-1.3662431853934799e-08,2.0
112,112,5242039.0,257.91125,1541.636,1563.061,-80.50253,83.7514874979679,-0.0052019446,-1.946802e-05,1.9694186e-05,1.9157986e-05,2.0,40,0.019425243,1.2427693e-05,0,-1.4660342344845627e-08,2.0
113,113,4536288.0,264.09143,1750.2439,1770.0559,-81.419464,85.1194847629231,-0.005217223,-2.757997e-05,2.0045687e-05,1.959946e-05,2.0,40,0.018502537,1.0453081e-05,0,-1.5026761114605274e-08,2.0
114,114,3925558.5,322.5067,2023.9048,2049.4392,-80.946106,85.535484969354,-0.0052266875,-2.9384693e-05,2.0032197e-05,1.9536135e-05,2.0,40,0.018049045,8.806821e-06,0,-1.7783041653237557e-08,2.0
115,115,3397055.0,373.36957,2285.4429,2315.7405,-80.721634,85.95149893578491,-0.005201926,-5.174836e-05,2.0499685e-05,1.9966785e-05,2.0,40,0.019085636,8.241699e-06,0,-1.972223717982481e-08,2.0
116,116,2939708.2,449.81686,2571.791,2610.832,-80.07909,86.36749338221853,-0.005323889,2.0831261e-05,2.1051363e-05,2.0426489e-05,2.0,40,0.020972902,8.033034e-06,0,-8.491053174087505e-09,2.0
117,117,2543924.5,443.65414,3022.5425,3054.9292,-81.64965,86.9195007951057,-0.0052283457,-2.653806e-05,2.069872e-05,2.0262174e-05,2.0,40,0.020678487,6.768892e-06,0,-1.3590182677667822e-08,2.0
118,118,2201436.2,632.6261,3480.4688,3537.496,-79.69812,87.47148220796953,-0.0053007486,-6.127956e-06,2.0771902e-05,2.010758e-05,2.0,40,0.02088654,5.904329e-06,0,-1.4835366611869854e-08,2.0
119,119,1905053.1,775.7357,3892.392,3968.9397,-78.72889,88.02349556752597,-0.005254449,-2.0826204e-05,2.1463296e-05,2.064337e-05,2.0,40,0.020695874,5.214459e-06,0,-1.950308516293633e-08,2.0
120,120,1648567.4,855.5876,4413.896,4496.0547,-79.02986,88.5754995670577,-0.005354855,9.048947e-07,2.1872145e-05,2.1080086e-05,2.0,40,0.019957304,4.438848e-06,0,-2.0425701925295037e-08,2.0
121,121,1426616.2,1064.4137,5016.365,5128.05,-78.020195,89.12748295327765,-0.0052184896,-6.973977e-05,2.223944e-05,2.1281276e-05,2.0,40,0.02046091,3.9899983e-06,0,-2.6380062205085548e-08,2.0
122,122,1234551.2,1170.3656,6115.3813,6226.3667,-79.1657,89.84550018739537,-0.0052865515,-2.02486e-06,2.1080818e-05,2.0335981e-05,2.0,41,0.019477421,3.1282163e-06,0,-2.8696677557046968e-08,2.0
123,123,1068345.5,1509.8597,6743.613,6910.571,-77.379906,90.39748474696535,-0.0051874677,-9.358109e-06,2.2091022e-05,2.1036487e-05,2.0,41,0.020209463,2.9244275e-06,0,-2.975651613362255e-08,2.0
124,124,924510.06,1729.1552,7905.4976,8092.396,-77.66211,90.94950661316398,-0.00533056,2.6045316e-06,2.1776059e-05,2.0781814e-05,2.0,41,0.020641822,2.5507677e-06,0,-2.9303261811318036e-08,2.0
125,125,800039.0,3518.2087,12401.941,12891.3125,-74.16231,91.5014962394198,-0.005278428,-1.4810887e-06,1.604055e-05,1.4845826e-05,2.0,41,0.021553427,1.6719342e-06,0,-3.074726069057121e-08,2.0
126,126,692334.1,2303.7363,9813.457,10080.235,-76.78887,92.05349527896033,-0.005258939,-3.7495477e-07,2.3425151e-05,2.220164e-05,2.0,41,0.02025244,2.0091238e-06,0,-3.159932950130716e-08,2.0
127,127,599122.25,3269.438,11456.139,11913.536,-74.07192,92.60549831847311,-0.005412483,5.9303857e-06,2.3188168e-05,2.1441818e-05,2.0,41,0.020543434,1.7243775e-06,0,-3.1187931673056114e-08,2.0
128,128,518454.94,4428.68,12760.916,13507.561,-70.86065,93.1574823714036,-0.005163526,-9.168167e-06,2.4056211e-05,2.147025e-05,2.0,41,0.020590518,1.5243698e-06,0,-3.197314508970766e-08,2.0
129,129,448662.03,5030.1006,14176.56,15042.498,-70.46439,93.70948863759986,-0.005253219,-2.3209325e-06,2.5022457e-05,2.2224485e-05,2.0,41,0.02021224,1.3436758e-06,0,-3.2174214898353406e-08,2.0
130,130,388258.97,6393.112,16153.621,17372.719,-68.40785,94.2614948238188,-0.005319474,3.740463e-06,2.5376325e-05,2.1939815e-05,2.0,41,0.020905688,1.2033631e-06,0,-3.3741195365137914e-08,2.0
131,131,335983.9,8473.211,17624.277,19555.318,-64.32318,94.81348794334917,-0.005302817,1.1557568e-06,2.687759e-05,2.183148e-05,2.0,41,0.020455113,1.0460128e-06,0,-3.3706914543072644e-08,2.0
132,132,290751.2,9283.737,19523.654,21618.531,-64.56834,95.36550084958435,-0.005319809,2.2376828e-06,2.8037386e-05,2.2866903e-05,2.0,41,0.020527419,9.4952884e-07,0,-3.5449733242379246e-08,2.0
