True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,128.34105,1154.9972,1162.1058,-83.65942,2.4664764371409547,-0.011531909,2.775255e-05,1.9685209e-05,1.9445115e-05,1.0,40,0.009994049,8.599947e-06,0,4.075829779360952e-09,1.0
1,1,6057573.0,237.24422,1395.5184,1415.541,-80.351715,3.0184890500095207,-0.011431651,-2.2277452e-05,1.8827208e-05,1.829836e-05,1.0,40,0.014151182,9.997013e-06,0,1.0193142424700202e-08,1.0
2,2,5242039.0,247.02478,1596.8264,1615.8204,-81.2062,3.434489976410987,-0.011467387,1.2254176e-05,1.9013505e-05,1.8569124e-05,1.0,40,0.019523226,1.2082546e-05,0,7.741050293955393e-09,1.0
3,3,4536288.0,183.7445,1845.8959,1855.0186,-84.31538,4.802486388100078,-0.0114662135,2.021206e-06,1.9006946e-05,1.8820458e-05,1.0,40,0.01842701,9.933599e-06,0,8.442856077029622e-10,1.0
4,4,3925558.5,278.177,2091.222,2109.6426,-82.42293,5.3544810276071075,-0.011500309,-2.0770387e-05,1.9387353e-05,1.9050265e-05,1.0,40,0.01958071,9.28153e-06,0,-1.4664652227540703e-08,1.0
5,5,3397055.0,348.00644,2369.9019,2395.317,-81.64615,5.770492700714385,-0.011411995,-5.7423007e-05,1.9769113e-05,1.9351826e-05,1.0,40,0.020478431,8.549362e-06,0,-1.3544904935713476e-08,1.0
6,6,2939708.2,376.9323,2714.7957,2740.8381,-82.095375,6.322477500274545,-0.0115582915,1.5324067e-05,1.9942461e-05,1.9565288e-05,1.0,40,0.020280456,7.399363e-06,0,-8.31045006361819e-09,1.0
7,7,2543924.5,421.48938,3186.0923,3213.8508,-82.46408,6.874496006494155,-0.011573811,-4.8441807e-06,1.9636205e-05,1.9298468e-05,1.0,40,0.020116001,6.2591585e-06,0,-1.1175114984868944e-08,1.0
8,8,2201436.2,620.8238,3633.283,3685.942,-80.303444,7.426499846071238,-0.011558347,2.8719944e-05,1.9898245e-05,1.9333758e-05,1.0,40,0.0209508,5.6839745e-06,0,-6.8555508497512265e-09,1.0
9,9,1905053.1,609.61285,4157.6553,4202.1094,-81.65849,7.97849411223433,-0.011565427,1.61427e-05,2.0093916e-05,1.9671017e-05,1.0,40,0.020522539,4.883866e-06,0,-1.9215982153026642e-09,1.0
10,10,1648567.4,774.1031,4813.52,4875.3677,-80.864006,8.530502431822242,-0.011493099,-8.025696e-06,2.0056292e-05,1.9550662e-05,1.0,40,0.020047272,4.1119506e-06,0,-1.3059102182953413e-09,1.0
11,11,1426616.2,562.8494,5524.025,5552.6255,-84.182144,9.249483719322598,-0.011493043,-1.9671336e-06,2.0195628e-05,1.9988114e-05,1.0,41,0.019242737,3.4655204e-06,0,-6.980939824390791e-10,1.0
12,12,1234551.2,839.0759,6708.713,6760.982,-82.87089,9.801503665541532,-0.0114333285,-6.5667014e-06,1.9216388e-05,1.8920415e-05,1.0,41,0.020788763,3.0748142e-06,0,-1.886452612495759e-09,1.0
13,13,1068345.5,1171.3021,7343.881,7436.7017,-80.93801,10.35350393175031,-0.011528089,2.8149575e-06,2.0285364e-05,1.9782143e-05,1.0,41,0.02090536,2.8111065e-06,0,-3.030446394682763e-09,1.0
14,14,924510.06,1251.6807,8965.793,9052.742,-82.05252,10.9054987312702,-0.011500924,-1.989464e-06,1.920082e-05,1.8833754e-05,1.0,41,0.020216692,2.233212e-06,0,-2.184359266253624e-09,1.0
15,15,800039.0,2879.0222,10147.51,10548.02,-74.16045,11.458481850888347,-0.011560471,1.0490861e-05,1.9604215e-05,1.814373e-05,1.0,41,0.020233165,1.9181957e-06,0,-1.8567534803253237e-09,1.0
16,16,692334.1,2132.5854,11300.78,11500.241,-79.31331,12.010502437100513,-0.011425894,-7.4251675e-06,2.0342108e-05,1.9642599e-05,1.0,41,0.020214424,1.757739e-06,0,-2.9595061996966856e-09,1.0
17,17,599122.25,2960.2468,12757.369,13096.317,-76.93616,12.56250291664037,-0.011572358,6.228333e-06,2.0823014e-05,1.9759113e-05,1.0,41,0.020580366,1.5714621e-06,0,-2.0803082929635113e-09,1.0
18,18,518454.94,3251.1873,14652.566,15008.928,-77.48959,13.114479609561386,-0.011678726,1.1673346e-05,2.0950549e-05,1.996749e-05,1.0,41,0.02051542,1.3668811e-06,0,-1.4266508565599326e-09,1.0
19,19,448662.03,4420.0815,16279.007,16868.408,-74.809265,13.666484702407615,-0.011484565,8.093906e-07,2.1790785e-05,2.0294601e-05,1.0,41,0.020275943,1.202007e-06,0,-1.8977499959633962e-09,1.0
20,20,388258.97,5512.5356,18391.393,19199.775,-73.31471,14.218483315285994,-0.0114524625,-4.6318974e-06,2.2288665e-05,2.0451302e-05,1.0,41,0.020959502,1.0916535e-06,0,-2.183758872083293e-09,1.0
21,21,335983.9,8193.292,21757.287,23248.861,-69.364784,14.770492408220889,-0.011423621,-4.235254e-06,2.1771928e-05,1.9067906e-05,1.0,41,0.020095266,8.6435483e-07,0,-1.6340104893528304e-09,1.0
22,22,290751.2,9368.797,23474.15,25274.693,-68.2425,15.3224845144141,-0.01161782,6.742295e-06,2.3318937e-05,2.0114847e-05,1.0,41,0.020681245,8.1825897e-07,0,-2.3616405027458615e-09,1.0
23,23,251605.19,11611.035,25712.363,28212.44,-65.6973,15.874495740659768,-0.011491831,-2.4773567e-06,2.460133e-05,2.043437e-05,1.0,41,0.020359471,7.2164875e-07,0,-1.8239524527056497e-09,1.0
24,24,217729.38,13343.442,28344.748,31328.457,-64.79104,16.426483073533745,-0.011517655,-7.0269914e-07,2.5788764e-05,2.111046e-05,1.0,41,0.020268038,6.4695297e-07,0,-1.9711489791542175e-09,1.0
25,25,188418.58,16727.893,31049.068,35268.5,-61.68614,16.9784896063793,-0.011556186,3.2823643e-06,2.7204942e-05,2.1084874e-05,1.0,41,0.020738985,5.880314e-07,0,-2.267434859185692e-09,1.0
26,26,163051.14,21314.102,32758.227,39081.867,-56.95001,17.530488432646962,-0.01152263,5.0607455e-06,2.9797233e-05,2.0934667e-05,1.0,41,0.020263031,5.1847655e-07,0,-2.440980717602138e-09,1.0
27,27,141098.2,25881.016,34101.504,42810.508,-52.80366,18.083488272241084,-0.01152317,2.6510866e-06,3.307692e-05,2.0988016e-05,1.0,41,0.020398961,4.7649425e-07,0,-1.4727233107691972e-09,1.0
28,28,122105.11,30170.736,40051.957,50144.117,-53.00965,18.49949682530132,-0.01149349,-2.3134849e-06,3.2543372e-05,2.0762043e-05,1.0,41,0.022231093,4.43344e-07,0,-3.5150638216394882e-09,1.0
29,29,105663.59,34684.527,38175.438,51578.875,-47.74309,19.05150106488145,-0.011436105,-5.3413896e-06,3.9455786e-05,2.1613994e-05,1.0,41,0.020459082,3.9665622e-07,0,-4.523906888463911e-09,1.0
30,30,91439.65,39033.055,41404.24,56902.465,-46.688515,19.63348063916783,-0.0115362685,6.17357e-07,4.203788e-05,2.2257082e-05,1.0,42,0.019925745,3.5017368e-07,0,-4.74160765954284e-09,1.0
