True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,44.69173,1114.1368,1115.0328,-87.7029,82.77548545159516,-0.017293604,1.6291631e-05,2.0407153e-05,2.037437e-05,2.0,40,0.009981638,8.951878e-06,0,5.485414738650876e-08,2.0
111,111,6057573.0,233.72435,1381.581,1401.2113,-80.39809,83.32750065115397,-0.017215407,-3.572915e-05,1.9017136e-05,1.8488028e-05,2.0,40,0.014164966,1.0109086e-05,0,5.112327086749562e-08,2.0
112,112,5242039.0,272.02167,1560.55,1584.0809,-80.11204,83.74448539098375,-0.017151408,-3.2026644e-05,1.945549e-05,1.8881778e-05,2.0,40,0.019455396,1.2281819e-05,0,4.872338391004089e-08,2.0
113,113,4536288.0,265.87732,1727.22,1747.5638,-81.24894,85.1124894026143,-0.017257143,-5.1046527e-06,2.0312897e-05,1.9842713e-05,2.0,40,0.018471582,1.0569904e-05,0,3.437420124218546e-08,2.0
114,114,3925558.5,375.69598,2032.1761,2066.6125,-79.52578,85.52848392902524,-0.017279146,-3.4426746e-05,1.9950663e-05,1.9291318e-05,2.0,40,0.018009262,8.714387e-06,0,3.1974387357602533e-08,2.0
115,115,3397055.0,372.31625,2335.3992,2364.8909,-80.94196,85.94449856210849,-0.017309908,-2.5179868e-05,2.006118e-05,1.9563946e-05,2.0,40,0.01913446,8.091054e-06,0,2.9937298660447214e-08,2.0
116,116,2939708.2,411.1908,2571.3655,2604.035,-80.91467,86.36049287518836,-0.017292282,-2.77102e-05,2.1054846e-05,2.0529866e-05,2.0,40,0.020986408,8.059188e-06,0,2.632570167520814e-08,2.0
117,117,2543924.5,491.77554,2960.6245,3001.19,-80.56897,86.91249927473837,-0.017256118,-4.8138918e-05,2.113161e-05,2.0564223e-05,2.0,40,0.020648962,6.8802583e-06,0,2.2565861911178647e-08,2.0
118,118,2201436.2,637.0678,3522.297,3579.4458,-79.74791,87.464496927656,-0.017355667,-3.468722e-05,2.0525229e-05,1.9875059e-05,2.0,40,0.02098778,5.8634164e-06,0,2.1607377846865778e-08,2.0
119,119,1905053.1,659.49414,4031.7795,4085.3616,-80.710175,88.01649842053303,-0.017308995,-7.5233547e-06,2.0721265e-05,2.0181285e-05,2.0,40,0.02059041,5.040046e-06,0,1.7254709556182332e-08,2.0
120,120,1648567.4,844.77484,4579.4116,4656.6787,-79.54802,88.56849420673097,-0.017246876,-5.7181136e-05,2.108161e-05,2.038781e-05,2.0,40,0.01980915,4.2539223e-06,0,7.225868759563683e-09,2.0
121,121,1426616.2,1044.473,5169.1157,5273.5835,-78.57661,89.12048916632193,-0.017253304,-6.0641734e-05,2.1582251e-05,2.0735646e-05,2.0,40,0.020395808,3.8675425e-06,0,1.7501650044001356e-09,2.0
122,122,1234551.2,1034.5446,6484.43,6566.4385,-80.935265,89.83950504046516,-0.017297965,-5.7492193e-06,1.9881043e-05,1.9387555e-05,2.0,41,0.0195954,2.9841747e-06,0,-6.706579268972569e-09,2.0
123,123,1068345.5,1266.4152,7056.3755,7169.117,-79.825386,90.39148576001753,-0.017345028,8.280131e-07,2.1111871e-05,2.045308e-05,2.0,41,0.020615367,2.8755796e-06,0,-6.926029752469907e-09,2.0
124,124,924510.06,1707.8201,7934.7344,8116.444,-77.85334,90.94349319956382,-0.017363697,2.3140315e-06,2.1695821e-05,2.0735251e-05,2.0,41,0.020285148,2.4992655e-06,0,-6.529495063315633e-09,2.0
125,125,800039.0,1778.7734,8239.164,8428.989,-77.81725,91.4955044791277,-0.017335676,-1.9280135e-06,2.4144922e-05,2.3069655e-05,2.0,41,0.019890193,2.3597363e-06,0,-6.340797826399896e-09,2.0
126,126,692334.1,1997.7384,10367.517,10558.236,-79.09324,92.04749594532768,-0.017312665,-1.1905895e-06,2.2173266e-05,2.1379443e-05,2.0,41,0.020031095,1.8972008e-06,0,-6.913399917999009e-09,2.0
127,127,599122.25,3225.7002,11891.8125,12321.54,-74.82349,92.5994844782108,-0.017403457,2.8577892e-06,2.2338636e-05,2.0807636e-05,2.0,41,0.020639267,1.6750558e-06,0,-7.465481943308797e-09,2.0
128,128,518454.94,4926.649,13326.403,14207.917,-69.71111,93.15150426441687,-0.017399712,3.9024712e-06,2.303542e-05,2.0265683e-05,2.0,41,0.020402733,1.4360115e-06,0,-8.586581479000364e-09,2.0
129,129,448662.03,4982.24,15204.991,16000.452,-71.85751,93.70350687732571,-0.017344506,-6.375223e-07,2.3329994e-05,2.106796e-05,2.0,41,0.020322427,1.2701158e-06,0,-9.183741366737448e-09,2.0
130,130,388258.97,6431.529,16422.502,17636.982,-68.61324,94.25549845022033,-0.017259303,-5.3004183e-06,2.4960847e-05,2.1641601e-05,2.0,41,0.020786002,1.1785464e-06,0,-8.673188006974265e-09,2.0
131,131,335983.9,6743.9243,17373.713,18636.695,-68.78537,94.80750818309025,-0.017198881,-6.985692e-06,2.7265221e-05,2.3694987e-05,2.0,41,0.020444704,1.0970134e-06,0,-8.679312719727427e-09,2.0
132,132,290751.2,9693.887,20121.93,22335.252,-64.277214,95.35948372932035,-0.017338116,3.0793879e-06,2.7203765e-05,2.2079363e-05,2.0,41,0.020563979,9.206961e-07,0,-8.348735495904375e-09,2.0
133,133,251605.19,12229.986,21964.7,25140.02,-60.890858,95.91150047551491,-0.017267501,-2.6002597e-06,2.8798859e-05,2.1983386e-05,2.0,41,0.020100217,7.995307e-07,0,-8.63805354765014e-09,2.0
134,134,217729.38,14613.739,23786.947,27917.383,-58.435116,96.46350684840581,-0.017411636,1.0723635e-05,3.073013e-05,2.2309632e-05,2.0,41,0.020388406,7.303122e-07,0,-9.006267417776018e-09,2.0
135,135,188418.58,18876.58,25401.691,31647.61,-53.383114,97.01549663461628,-0.01734063,9.88161e-07,3.3253225e-05,2.1422848e-05,2.0,41,0.020361846,6.4339287e-07,0,-8.97534440712396e-09,2.0
136,136,163051.14,21670.904,26687.477,34378.04,-50.92253,97.56749495418626,-0.017384173,5.578433e-06,3.6575377e-05,2.2041524e-05,2.0,41,0.02063794,6.003234e-07,0,-8.264050082393245e-09,2.0
137,137,141098.2,25533.16,27313.562,37389.477,-46.92956,98.1195066604123,-0.017360082,2.436936e-06,4.129717e-05,2.2038306e-05,2.0,41,0.020371635,5.448494e-07,0,-7.3211293570262604e-09,2.0
138,138,122105.11,29950.41,26669.17,40103.26,-41.68328,98.67150820660754,-0.017212966,-5.3544227e-06,4.8873877e-05,2.1614063e-05,2.0,41,0.02018442,5.033112e-07,0,-7.656634690254312e-09,2.0
139,139,105663.59,32565.416,27450.84,42591.723,-40.129032,99.08848731973558,-0.017304989,7.941713e-08,5.4870525e-05,2.2792921e-05,2.0,41,0.0215996,5.071314e-07,0,-7.373908327303348e-09,2.0
140,140,91439.65,37054.133,27067.809,45887.633,-36.147892,99.64049294599681,-0.017306237,-1.4512957e-06,6.430319e-05,2.2374194e-05,2.0,41,0.020332403,4.4309115e-07,0,-7.368942438937944e-09,2.0
141,141,79127.08,40608.04,25536.975,47970.3,-32.164352,100.05648821909563,-0.017357344,3.226499e-06,7.87636e-05,2.2321305e-05,2.0,41,0.021410936,4.4633734e-07,0,-9.490844509277865e-09,2.0
