True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,264.46008,1752.52,1772.3616,-81.418655,2.4674788104894105,0.047656298,-3.8021806e-06,1.29735245e-05,1.26846735e-05,1.0,40,0.009968563,5.624452e-06,0,8.834477041672371e-11,1.0
1,1,6057573.0,372.74792,1979.4893,2014.2787,-79.33579,3.0194862500356976,0.047604967,-3.4203487e-05,1.3272977e-05,1.281845e-05,1.0,40,0.01414851,7.0241076e-06,0,-5.6469588525310934e-09,1.0
2,2,5242039.0,303.61627,2290.1458,2310.184,-82.448044,3.435483123146696,0.047706958,-2.9068398e-05,1.32573505e-05,1.3028362e-05,1.0,40,0.019659217,8.509805e-06,0,-8.805118716130285e-09,1.0
3,3,4536288.0,217.30562,2640.3984,2649.3254,-85.29514,4.667498621653067,0.04768281,-5.031574e-05,1.3287707e-05,1.31983115e-05,1.0,40,0.021578869,8.145043e-06,0,-1.4260633228660582e-08,1.0
4,4,3925558.5,294.76917,2971.8875,2986.4702,-84.335594,5.083497521438403,0.04751412,5.830253e-05,1.364226e-05,1.3509356e-05,1.0,40,0.019909693,6.6666303e-06,0,-1.6539556333896145e-08,1.0
5,5,3397055.0,266.04526,3366.2705,3376.7673,-85.481155,5.499497221171623,0.047593005,-8.118708e-06,1.3917735e-05,1.3831341e-05,1.0,40,0.021059738,6.2366566e-06,0,-1.749159523996645e-08,1.0
6,6,2939708.2,281.19858,3949.7375,3959.7349,-85.92774,6.051479140733136,0.047534075,-1.2584022e-05,1.3707165e-05,1.3638039e-05,1.0,40,0.02083287,5.261178e-06,0,-1.7099773361375508e-08,1.0
7,7,2543924.5,407.0191,4565.012,4583.121,-84.904945,6.603481220285175,0.04760802,-2.63148e-05,1.370484e-05,1.3596753e-05,1.0,40,0.020472154,4.4668586e-06,0,-2.7762680667870476e-08,1.0
8,8,2201436.2,329.60214,5318.208,5328.412,-86.45356,7.3225010944588576,0.04776708,-2.3337503e-05,1.35940445e-05,1.3542029e-05,1.0,41,0.020149747,3.7815669e-06,0,-3.0641887570101604e-08,1.0
9,9,1905053.1,632.42413,5714.2236,5749.1143,-83.68447,7.874490720656468,0.047561277,-5.6952e-06,1.4620284e-05,1.4443365e-05,1.0,41,0.020512454,3.567933e-06,0,-3.1877442114844396e-08,1.0
10,10,1648567.4,196.14368,6821.382,6824.201,-88.35296,8.42649842685205,0.047647074,-1.0242642e-05,1.4152757e-05,1.41410665e-05,1.0,41,0.019574977,2.8684642e-06,0,-3.269248493519604e-08,1.0
11,11,1426616.2,572.19904,8269.962,8289.733,-86.04201,8.97849581312039,0.04764916,-8.954018e-06,1.3489923e-05,1.3425652e-05,1.0,41,0.020312233,2.4502879e-06,0,-3.29999440503362e-08,1.0
12,12,1234551.2,456.72272,9397.499,9408.591,-87.21759,9.53048807932646,0.047653187,-1.1762179e-05,1.3718251e-05,1.3685924e-05,1.0,41,0.02071413,2.2016188e-06,0,-3.3792001070714327e-08,1.0
13,13,1068345.5,69.8056,10466.46,10466.692,-89.617874,10.083490745601011,0.047617804,-4.237118e-06,1.4233398e-05,1.4232766e-05,1.0,41,0.020391895,1.9482654e-06,0,-3.594126776019222e-08,1.0
14,14,924510.06,715.60706,12748.242,12768.312,-86.78714,10.635500291798962,0.047643144,-1.5240736e-05,1.3503867e-05,1.346145e-05,1.0,41,0.02046537,1.6028251e-06,0,-3.7271572439168366e-08,1.0
15,15,800039.0,4118.523,13969.909,14564.36,-73.57375,11.187485571339494,0.047625687,-4.831152e-06,1.4240176e-05,1.310146e-05,1.0,41,0.020241095,1.3897688e-06,0,-3.831531495781822e-08,1.0
16,16,692334.1,1627.8234,17167.428,17244.43,-84.58338,11.739492264256114,0.047500852,2.693915e-06,1.3390574e-05,1.3271254e-05,1.0,41,0.020119147,1.1667041e-06,0,-3.780980097661137e-08,1.0
17,17,599122.25,1179.1779,18516.879,18554.387,-86.356255,12.29147930376348,0.04761365,-1.0980065e-05,1.43462e-05,1.4288257e-05,1.0,41,0.020644909,1.1126699e-06,0,-3.9194064076895074e-08,1.0
18,18,518454.94,1521.3019,22459.379,22510.844,-86.12495,12.843479863338871,0.047554083,-2.8367576e-06,1.3668201e-05,1.3605776e-05,1.0,41,0.020445794,9.082642e-07,0,-4.12343174653971e-08,1.0
19,19,448662.03,1503.0817,25006.096,25051.229,-86.560165,13.395478369580815,0.047533944,-1.08665105e-07,1.4185835e-05,1.4134766e-05,1.0,41,0.02027699,8.0942095e-07,0,-4.208586799839785e-08,1.0
20,20,388258.97,2719.9014,29665.354,29789.781,-84.76142,13.947482795774704,0.047550917,-2.96745e-07,1.3818125e-05,1.3702933e-05,1.0,41,0.021137213,7.0954576e-07,0,-4.2119768625424414e-08,1.0
21,21,335983.9,5378.4395,18858.773,19610.736,-74.082085,14.499496021977393,0.047447454,2.2916888e-06,2.5118181e-05,2.3228828e-05,1.0,41,0.018971583,9.67408e-07,0,-4.384420596869316e-08,1.0
22,22,290751.2,4076.334,37171.504,37394.348,-83.74179,15.051501648238627,0.04754514,-4.0769687e-06,1.4726125e-05,1.4551134e-05,1.0,41,0.020513233,5.485651e-07,0,-4.406391885429962e-08,1.0
23,23,251605.19,3734.0464,44459.42,44615.953,-85.19913,15.603487007756485,0.047492635,4.2320753e-06,1.4227766e-05,1.4128108e-05,1.0,41,0.020323027,4.555103e-07,0,-4.3629310077203856e-08,1.0
24,24,217729.38,7746.791,48914.703,49524.348,-81.00061,16.15548148730886,0.047627196,-9.309692e-06,1.4943891e-05,1.4578237e-05,1.0,41,0.0202716,4.0932593e-07,0,-4.4061377308970075e-08,1.0
25,25,188418.58,8110.273,53836.457,54443.92,-81.433014,16.874485574808205,0.047570813,-6.0321822e-06,1.5689891e-05,1.534172e-05,1.0,42,0.019752534,3.6280514e-07,0,-4.3967643632280425e-08,1.0
26,26,163051.14,9785.527,65008.24,65740.61,-81.43968,17.290481994539732,0.047728922,-7.4609147e-06,1.5015089e-05,1.4682407e-05,1.0,42,0.021740682,3.30704e-07,0,-4.4649586117051695e-08,1.0
27,27,141098.2,10841.632,72005.836,72817.45,-81.43752,17.842480180755956,0.047715247,-7.12231e-06,1.5665019e-05,1.5317764e-05,1.0,42,0.020342387,2.7936142e-07,0,-4.563040250216825e-08,1.0
28,28,122105.11,14061.408,82327.87,83520.06,-80.30754,18.394487700337777,0.047559936,-6.0884295e-06,1.5832135e-05,1.5383372e-05,1.0,42,0.02025982,2.425743e-07,0,-4.663071700921407e-08,1.0
29,29,105663.59,18979.318,95668.33,97532.78,-78.77898,18.810487933427794,0.04764968,-6.6432717e-06,1.5744417e-05,1.51482245e-05,1.0,42,0.02166629,2.2214367e-07,0,-4.717404353860072e-08,1.0
30,30,91439.65,27238.162,105314.05,108779.44,-75.49893,19.36249302633223,0.047574934,-6.0619823e-06,1.65272e-05,1.5490958e-05,1.0,42,0.020226777,1.8594301e-07,0,-4.791199828840773e-08,1.0
31,31,79127.08,30554.11,121632.96,125411.84,-75.8991,19.778485366055975,0.04759822,-6.047082e-06,1.6536505e-05,1.555497e-05,1.0,42,0.021202656,1.6906422e-07,0,-4.8579017592078263e-08,1.0
32,32,68475.36,41405.65,138402.7,144463.61,-73.344505,20.330483978934353,0.04764279,-6.7056662e-06,1.67935e-05,1.5413932e-05,1.0,42,0.020238653,1.4009517e-07,0,-4.954898808568784e-08,1.0
33,33,59252.523,52265.03,159858.34,168185.39,-71.89506,20.74647986536729,0.04741343,-4.87668e-06,1.6802656e-05,1.51800095e-05,1.0,42,0.020952096,1.2457738e-07,0,-5.0224574037407084e-08,1.0
34,34,51282.285,65862.26,174122.05,186162.1,-69.28071,21.16249137846171,0.04758995,-6.150824e-06,1.7823748e-05,1.5592797e-05,1.0,42,0.021438353,1.151596e-07,0,-5.092072499188838e-08,1.0
35,35,44369.8,87012.88,199921.6,218036.44,-66.47964,21.578482811542926,0.04754417,-6.1770857e-06,1.7942086e-05,1.5084614e-05,1.0,42,0.021927906,1.0056991e-07,0,-5.172023194410278e-08,1.0
36,36,38403.727,111870.375,224550.22,250874.03,-63.517624,22.130487584421644,0.047667775,-6.470618e-06,1.8455816e-05,1.4785936e-05,1.0,42,0.020293392,8.0890764e-08,0,-5.274037012059473e-08,1.0
