True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,191.62544,1523.5769,1535.5803,-82.83136,2.4674837438215036,0.038429134,1.748235e-05,1.4923015e-05,1.4690625e-05,1.0,40,0.009953354,6.481819e-06,0,3.888573544903314e-09,1.0
1,1,6057573.0,253.35826,1783.3179,1801.2255,-81.91403,3.0195001433894504,0.0384604,-6.109394e-06,1.4733053e-05,1.444156e-05,1.0,40,0.014103293,7.829833e-06,0,6.400853239812124e-10,1.0
2,2,5242039.0,212.90071,2086.6172,2097.4504,-84.17419,3.4354992831649724,0.038527027,-4.0999907e-06,1.4550473e-05,1.4400556e-05,1.0,40,0.019540863,9.316484e-06,0,8.082835053705317e-10,1.0
3,3,4536288.0,148.60367,2414.637,2419.2053,-86.478294,4.804486388195073,0.03847659,-4.341854e-06,1.4530069e-05,1.4475244e-05,1.0,40,0.020490067,8.469751e-06,0,5.412681038150267e-09,1.0
4,4,3925558.5,255.05766,2776.9995,2788.688,-84.752304,5.220496674621245,0.03843888,-7.876888e-06,1.4599664e-05,1.4477535e-05,1.0,40,0.01896573,6.800951e-06,0,1.8645511774669405e-09,1.0
5,5,3397055.0,277.47284,3187.3157,3199.3706,-85.02464,5.6364819743612316,0.038423527,-6.6675343e-06,1.469916e-05,1.4588597e-05,1.0,40,0.019895803,6.2186614e-06,0,-7.596126760884343e-10,1.0
6,6,2939708.2,299.5431,3617.0166,3629.3987,-85.265854,6.052484340762021,0.03842226,-6.221e-06,1.4968055e-05,1.4866099e-05,1.0,40,0.021712467,5.982387e-06,0,-1.344059290267473e-09,1.0
7,7,2543924.5,334.97958,4167.6494,4181.09,-85.40466,6.604503113689134,0.038430404,-4.7883905e-06,1.5011523e-05,1.49151665e-05,1.0,40,0.0205866,4.92374e-06,0,-6.4477022215846265e-09,1.0
8,8,2201436.2,368.08322,4795.328,4809.434,-85.61066,7.156501193210715,0.03838617,-4.509305e-06,1.5076332e-05,1.4988024e-05,1.0,40,0.020865612,4.3384753e-06,0,-6.930632824327808e-09,1.0
9,9,1905053.1,202.22615,5574.8584,5578.525,-87.92252,7.875497147353599,0.038430028,-3.3656345e-06,1.4985774e-05,1.4966082e-05,1.0,41,0.019329708,3.4650213e-06,0,-9.15197044936791e-09,1.0
10,10,1648567.4,173.39409,6438.4106,6440.745,-88.45733,8.427479386940831,0.038386058,-1.7920786e-06,1.4994595e-05,1.4983729e-05,1.0,41,0.020013511,3.1073287e-06,0,-8.662630844873497e-09,1.0
11,11,1426616.2,275.98334,7456.996,7462.1016,-87.880455,8.980486346496036,0.038417846,-6.189056e-07,1.4960601e-05,1.4940137e-05,1.0,41,0.020285252,2.718437e-06,0,-7.96826650645007e-09,1.0
12,12,1234551.2,352.16272,8611.349,8618.547,-87.65818,9.53250378606026,0.03839651,-4.4758448e-07,1.4970622e-05,1.4945625e-05,1.0,41,0.020741856,2.4066535e-06,0,-8.013674515663322e-09,1.0
13,13,1068345.5,310.76932,9960.786,9965.633,-88.21299,10.084496105642756,0.038403142,3.471974e-08,1.4955977e-05,1.4941434e-05,1.0,41,0.020691145,2.07625e-06,0,-7.431089339340089e-09,1.0
14,14,924510.06,389.4655,11491.261,11497.858,-88.05885,10.636503225163324,0.03840404,-1.7421831e-08,1.4981e-05,1.4963813e-05,1.0,41,0.020305306,1.7660076e-06,0,-7.842111339527946e-09,1.0
15,15,800039.0,433.20334,13250.766,13257.845,-88.12751,11.18848493139376,0.038405754,6.451505e-08,1.5013018e-05,1.4996989e-05,1.0,41,0.020757578,1.5656827e-06,0,-8.512298957342069e-09,1.0
16,16,692334.1,681.7828,15187.585,15202.88,-87.42967,11.740480664273491,0.038410373,3.7736066e-07,1.5136158e-05,1.5105718e-05,1.0,41,0.020314146,1.3362038e-06,0,-8.881280616438718e-09,1.0
17,17,599122.25,924.4959,17740.818,17764.89,-87.016945,12.292499063856667,0.038381755,-1.7012043e-07,1.4973765e-05,1.4933214e-05,1.0,41,0.020797277,1.1706954e-06,0,-9.967894178662186e-09,1.0
18,18,518454.94,1138.5349,20370.402,20402.195,-86.80097,12.844482743385015,0.038416464,4.14604e-07,1.5069871e-05,1.502294e-05,1.0,41,0.020370139,9.984287e-07,0,-1.0182803135506901e-08,1.0
19,19,448662.03,1548.292,23363.256,23414.502,-86.20853,13.396499916299945,0.038409684,7.0510396e-07,1.5183345e-05,1.5116955e-05,1.0,41,0.020228686,8.6393834e-07,0,-1.048059679823786e-08,1.0
20,20,388258.97,2053.4875,27241.852,27319.139,-85.6892,13.948504342493834,0.038392916,-2.8594538e-08,1.504742e-05,1.49624e-05,1.0,41,0.020812137,7.618153e-07,0,-9.958600945009443e-09,1.0
21,21,335983.9,2555.476,31249.578,31353.893,-85.32497,14.50050250205095,0.03840799,-6.1518125e-07,1.5158544e-05,1.5057846e-05,1.0,41,0.020356674,6.4925507e-07,0,-1.0957206003927035e-08,1.0
22,22,290751.2,3293.962,35975.793,36126.277,-84.768555,15.052478528261418,0.038413446,-6.4125203e-07,1.5215571e-05,1.5089074e-05,1.0,41,0.020553906,5.689461e-07,0,-1.0668086271100977e-08,1.0
23,23,251605.19,4431.0996,41292.105,41529.18,-83.87497,15.60449151447392,0.038394872,1.4831217e-07,1.531911e-05,1.5144707e-05,1.0,41,0.020482857,4.93216e-07,0,-1.1143212996562587e-08,1.0
24,24,217729.38,5832.0234,47654.176,48009.72,-83.02271,16.156490687368205,0.038415346,2.1721249e-07,1.5339181e-05,1.5112828e-05,1.0,41,0.020154666,4.1980388e-07,0,-1.0863047919497623e-08,1.0
25,25,188418.58,6544.9067,54155.766,54549.82,-83.10903,16.875503788207425,0.038401112,-2.190566e-06,1.5597381e-05,1.5372852e-05,1.0,42,0.019910622,3.6499887e-07,0,-1.0377128146053455e-08,1.0
26,26,163051.14,8152.681,61679.7,62216.168,-82.47042,17.2914857546275,0.038440425,-2.156296e-06,1.5825377e-05,1.555364e-05,1.0,42,0.021814322,3.5062143e-07,0,-1.0607319659357511e-08,1.0
27,27,141098.2,10508.267,71115.18,71887.36,-81.59457,17.84349319417379,0.038411435,-2.1110368e-06,1.5861211e-05,1.5522293e-05,1.0,42,0.020300314,2.823906e-07,0,-1.1022984810482682e-08,1.0
28,28,122105.11,14224.185,80736.984,81980.414,-80.00821,18.259486600611126,0.03842418,-2.1931735e-06,1.6144098e-05,1.5658085e-05,1.0,42,0.021963315,2.679093e-07,0,-1.1197631377062262e-08,1.0
29,29,105663.59,19016.668,92528.4,94462.37,-78.38615,18.811479746800615,0.03842213,-2.1209082e-06,1.62787e-05,1.5618962e-05,1.0,42,0.02044066,2.1638947e-07,0,-1.152590681645312e-08,1.0
30,30,91439.65,26159.324,109653.41,112730.56,-76.5821,19.22750371324946,0.038409162,-2.1402782e-06,1.5873162e-05,1.5018424e-05,1.0,42,0.021673247,1.9225706e-07,0,-1.179566045170688e-08,1.0
31,31,79127.08,30917.68,120543.44,124445.266,-75.61455,19.779487472755136,0.038435042,-2.157227e-06,1.6685968e-05,1.5656036e-05,1.0,42,0.020300876,1.6313096e-07,0,-1.2104443444461957e-08,1.0
32,32,68475.36,40522.56,136694.64,142574.55,-73.48776,20.195485519216163,0.038383525,-2.0931566e-06,1.7003344e-05,1.5629796e-05,1.0,42,0.021146541,1.4831919e-07,0,-1.2325150668806585e-08,1.0
33,33,59252.523,51949.58,153197.25,161765.75,-71.268074,20.611495832301443,0.03840786,-2.1220255e-06,1.7533244e-05,1.5725016e-05,1.0,42,0.021848967,1.3506548e-07,0,-1.258464525861548e-08,1.0
34,34,51282.285,63893.824,173502.62,184893.44,-69.78334,21.163496045192005,0.03839977,-2.0765804e-06,1.788738e-05,1.5751279e-05,1.0,42,0.02026753,1.0961735e-07,0,-1.292953018073775e-08,1.0
35,35,44369.8,87743.89,192155.02,211240.48,-65.45711,21.579479504929623,0.038417153,-2.0916668e-06,1.8667275e-05,1.54465e-05,1.0,42,0.0206617,9.7811274e-08,0,-1.3213271052324209e-08,1.0
36,36,38403.727,109340.92,209082.64,235947.0,-62.392433,21.995493044698378,0.038414918,-2.1304068e-06,1.9821147e-05,1.5564523e-05,1.0,42,0.020944431,8.876753e-08,0,-1.3447704860262292e-08,1.0
37,37,33226.32,136211.94,224678.78,262743.7,-58.77358,22.41148637110018,0.038440555,-2.0004036e-06,2.1319442e-05,1.5589614e-05,1.0,42,0.0211472,8.0486046e-08,0,-1.3650035615592538e-08,1.0
38,38,28754.086,166813.3,237960.67,290606.2,-54.96908,22.827504097571364,0.038431503,-2.1095466e-06,2.3260303e-05,1.55961e-05,1.0,42,0.021246994,7.3112666e-08,0,-1.3895667163001674e-08,1.0
39,39,24884.947,203242.16,248618.06,321120.4,-50.73443,23.243480170640396,0.038421124,-2.0426826e-06,2.5724723e-05,1.5419855e-05,1.0,42,0.021307329,6.635308e-08,0,-1.414443232655032e-08,1.0
40,40,21553.963,237007.83,253823.67,347273.9,-46.96218,23.66049504376133,0.03842716,-2.0989305e-06,2.9091147e-05,1.5541065e-05,1.0,42,0.021256508,6.120963e-08,0,-1.4384381590237557e-08,1.0
41,41,18631.234,270476.72,255999.6,372415.7,-43.42487,24.07649237019359,0.038416874,-2.0512502e-06,3.3368695e-05,1.5767464e-05,1.0,42,0.021136327,5.675466e-08,0,-1.4629004738137021e-08,1.0
42,42,16126.037,308892.53,248367.84,396359.9,-38.80134,24.492487029958284,0.038399287,-2.01251e-06,3.9737184e-05,1.5603011e-05,1.0,42,0.020941706,5.2835077e-08,0,-1.4813630717873276e-08,1.0
43,43,13954.87,342128.16,241897.83,419006.25,-35.261787,24.908504303049995,0.038392544,-2.054975e-06,4.7147903e-05,1.5713948e-05,1.0,42,0.020689627,4.937785e-08,0,-1.5016346477182097e-08,1.0
44,44,12080.609,368141.7,227996.75,433025.2,-31.770676,25.324490002793027,0.038406406,-2.056279e-06,5.7783338e-05,1.6018934e-05,1.0,42,0.020229332,4.6716295e-08,0,-1.52863874272851e-08,1.0
