True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,616.5424,1305.176,1443.4712,-64.71477,2.4674950238259044,-0.036911543,9.277839e-05,1.7420149e-05,1.4242092e-05,1.0,40,0.009923782,6.874943e-06,0,1.9100054530099443e-08,1.0
1,1,6057573.0,578.9298,1488.529,1597.147,-68.747574,3.0194777700526174,-0.036902245,6.981922e-05,1.7650791e-05,1.5331656e-05,1.0,40,0.014114373,8.837242e-06,0,2.510720280839804e-08,1.0
2,2,5242039.0,700.44165,1666.6517,1807.8569,-67.204506,3.4354931231646333,-0.036799174,1.809628e-05,1.8216922e-05,1.5482341e-05,1.0,40,0.01946641,1.07676715e-05,0,2.487892838179088e-08,1.0
3,3,4536288.0,884.5363,1898.088,2094.0732,-65.0138,4.80348582813167,-0.036894534,5.277672e-05,1.8484307e-05,1.5186305e-05,1.0,40,0.018401364,8.787354e-06,0,5.094440618231349e-08,1.0
4,4,3925558.5,1127.6785,2114.5544,2396.4556,-61.929283,5.219491927913623,-0.036717717,-3.6008205e-05,1.9173429e-05,1.4927902e-05,1.0,40,0.01805212,7.532841e-06,0,5.748417980800645e-08,1.0
5,5,3397055.0,1337.7704,2196.0498,2571.4324,-58.65143,5.635491574328626,-0.036893547,4.390195e-05,2.1334152e-05,1.5559997e-05,1.0,40,0.0190918,7.424578e-06,0,5.966767422916696e-08,1.0
6,6,2939708.2,1597.6095,2389.4617,2874.349,-56.233055,6.051479434041539,-0.036961887,7.489852e-05,2.2657701e-05,1.5658023e-05,1.0,40,0.021011503,7.310004e-06,0,6.495599109825889e-08,1.0
7,7,2543924.5,1889.727,2527.4666,3155.813,-53.215405,6.603486873646034,-0.036746,-6.3600004e-05,2.4753153e-05,1.5877378e-05,1.0,40,0.020703096,6.560305e-06,0,7.187851535487273e-08,1.0
8,8,2201436.2,2241.3271,2697.6448,3507.2546,-50.27864,7.155501806497341,-0.036889575,4.6073706e-06,2.6799657e-05,1.5854925e-05,1.0,40,0.020916572,5.963802e-06,0,7.575329108655953e-08,1.0
9,9,1905053.1,2760.278,2874.3547,3985.1035,-46.159832,7.707485886086943,-0.037016645,0.0001417849,2.9065157e-05,1.512078e-05,1.0,40,0.020982003,5.2651085e-06,0,8.00481154582763e-08,1.0
10,10,1648567.4,2911.1663,2860.1655,4081.1072,-44.4937,8.259478605614277,-0.036862075,1.902655e-05,3.375377e-05,1.657863e-05,1.0,40,0.019755935,4.8408274e-06,0,8.165873991050729e-08,1.0
11,11,1426616.2,3422.205,2901.651,4486.7656,-40.294254,8.81148428513552,-0.036905862,3.400387e-05,3.8447477e-05,1.6080197e-05,1.0,40,0.020614216,4.594449e-06,0,8.284662493681259e-08,1.0
12,12,1234551.2,3771.0903,2825.3518,4712.084,-36.841045,9.363493244716665,-0.036832582,6.3562766e-06,4.562874e-05,1.6404292e-05,1.0,40,0.020419205,4.3333703e-06,0,8.59551183862395e-08,1.0
13,13,1068345.5,3780.8794,2892.9883,4760.7173,-37.42187,9.915500337578123,-0.03693487,4.6748562e-05,5.1494604e-05,1.9015612e-05,1.0,40,0.020292114,4.262407e-06,0,9.436971221895065e-08,1.0
14,14,924510.06,4499.509,2636.3462,5214.9688,-30.366833,10.467479057173477,-0.03683018,-1.6528347e-05,6.5298926e-05,1.6688124e-05,1.0,40,0.020429283,3.9174315e-06,0,8.965986275947872e-08,1.0
15,15,800039.0,4056.4363,2441.2766,4734.396,-31.040703,11.019494203355862,-0.03688967,2.9129284e-05,8.1487684e-05,2.16669e-05,1.0,40,0.019643664,4.1491385e-06,0,9.827807419407009e-08,1.0
16,16,692334.1,5042.6724,2416.889,5591.949,-25.60781,11.73849103754037,-0.03692643,-1.1797574e-05,9.5114716e-05,1.7767841e-05,1.0,41,0.01898491,3.3950434e-06,0,1.0398156288821762e-07,1.0
17,17,599122.25,5395.0957,2206.5432,5828.8843,-22.244097,12.154502230609069,-0.036951136,-8.080646e-06,0.000120390505,1.725227e-05,1.0,41,0.021460356,3.6817262e-06,0,1.0331845036816508e-07,1.0
18,18,518454.94,5611.936,2036.2871,5969.949,-19.943268,12.706502230168553,-0.03693992,-1.6859253e-06,0.00015075444,1.7539081e-05,1.0,41,0.020557275,3.443459e-06,0,1.0106630571523725e-07,1.0
19,19,448662.03,5774.0786,1813.5109,6052.174,-17.436354,13.258502256387146,-0.036884304,-1.2693264e-05,0.00019560532,1.756298e-05,1.0,41,0.020409804,3.3723097e-06,0,9.881286634336878e-08,1.0
20,20,388258.97,5958.082,1669.6704,6187.612,-15.654797,13.810501695930725,-0.036864888,-9.099256e-06,0.00024550926,1.7876531e-05,1.0,41,0.020306401,3.2817832e-06,0,9.747704384036303e-08,1.0
21,21,335983.9,6627.458,1210.6091,6737.119,-10.351843,14.362486628844636,-0.03691089,-9.8236405e-06,0.00039128904,1.2634473e-05,1.0,41,0.021773918,3.231933e-06,0,9.719028974405496e-08,1.0
22,22,290751.2,6155.762,1293.6025,6290.216,-11.867735,14.914486628345912,-0.03696103,-2.589072e-06,0.00042315334,1.7896511e-05,1.0,41,0.020251371,3.2195032e-06,0,9.601678359518929e-08,1.0
23,23,251605.19,6179.3257,1166.6727,6288.4966,-10.691737,15.330492834822508,-0.03669957,-2.3655906e-05,0.00054219,1.8661904e-05,1.0,41,0.021841051,3.4731754e-06,0,9.60734267764628e-08,1.0
24,24,217729.38,6314.7026,1005.1164,6394.195,-9.043948,15.882501554355258,-0.03692252,-2.4121614e-06,0.000727255,1.7969985e-05,1.0,41,0.02051543,3.2084463e-06,0,9.4981134347852e-08,1.0
25,25,188418.58,6344.3945,863.33777,6402.866,-7.749145,16.29848938746727,-0.037082378,6.5970703e-06,0.0009783983,1.7788048e-05,1.0,41,0.021951074,3.42832e-06,0,9.467093763044608e-08,1.0
