True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,217.94899,1693.1497,1707.1196,-82.66499,2.465476837096503,0.056103405,2.4477977e-05,1.3428442e-05,1.3209561e-05,1.0,40,0.009927741,5.8154924e-06,0,7.722074652608373e-09,1.0
79,79,76.54279,612519.56,167975.66,635134.7,-15.33561,48.47371723573451,0.056058466,-7.8714027e-07,0.012378541,0.00086582574,1.0,43,0.021599518,3.4007776e-08,0,3.699430361074649e-09,1.0
78,78,88.4436,602448.0,151577.27,621224.0,-14.122612,47.8062697906571,0.056039423,-7.861718e-07,0.011871883,0.00070679147,1.0,43,0.021606414,3.4780392e-08,0,3.853053760929617e-09,1.0
77,77,102.25773,592644.8,136548.05,608172.06,-12.974775,47.11635391789605,0.05607676,-8.1680656e-07,0.011398258,0.00057458796,1.0,43,0.021588394,3.549718e-08,0,3.998202201238785e-09,1.0
76,76,118.14758,584887.3,123178.625,597717.44,-11.892828,46.44991609957651,0.056109793,-8.13473e-07,0.010936037,0.0004644498,1.0,43,0.021601284,3.6139625e-08,0,4.159402758417061e-09,1.0
75,75,136.52892,577776.75,110034.54,588161.2,-10.782558,45.761499506857945,0.056080636,-7.903619e-07,0.010594158,0.00037079322,1.0,43,0.021579327,3.6689478e-08,0,4.292881338198434e-09,1.0
74,74,157.72879,572184.6,98609.77,580619.6,-9.77825,45.0896528350022,0.05607788,-7.849799e-07,0.010232675,0.00029515196,1.0,43,0.021589426,3.7183426e-08,0,4.487119622784252e-09,1.0
73,73,182.27473,567715.1,88396.375,574555.8,-8.8502035,44.40126626894926,0.056086376,-8.0343517e-07,0.009877776,0.00023381031,1.0,43,0.021605007,3.7602973e-08,0,4.597757377653494e-09,1.0
72,72,210.60631,563456.25,78376.195,568881.2,-7.9189715,43.730188903718954,0.056069586,-7.933788e-07,0.0096419435,0.00018301631,1.0,43,0.021596856,3.7963737e-08,0,4.744551070688916e-09,1.0
71,71,243.36427,560204.5,68916.08,564427.56,-7.0132613,43.0531226315361,0.056079965,-7.843281e-07,0.009489488,0.00014147101,1.0,43,0.021589777,3.8250747e-08,0,4.877326875826476e-09,1.0
70,70,281.3503,557271.75,62071.46,560718.0,-6.355667,42.36981345247477,0.056082144,-7.8900246e-07,0.009113407,0.00011168008,1.0,43,0.021574296,3.84762e-08,0,4.9775836178402125e-09,1.0
69,69,325.10385,555247.0,55059.152,557970.2,-5.663025,41.69268240698875,0.056069233,-7.7797773e-07,0.0088913655,8.65776e-05,1.0,43,0.021557605,3.8635765e-08,0,5.157604941891523e-09,1.0
68,68,375.6009,554200.94,49746.11,556429.1,-5.1292295,41.0134573346877,0.056046672,-7.7548225e-07,0.008517937,6.8082096e-05,1.0,43,0.021562262,3.875114e-08,0,5.312652202268916e-09,1.0
