True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,77.30135,1599.6526,1601.5193,-87.2334,82.65049776565866,-0.019527959,-8.416327e-06,1.4213312e-05,1.41801975e-05,2.0,40,0.010118162,6.3178522e-06,0,2.7433364592896976e-08,2.0
111,111,6057573.0,273.94418,1725.4176,1747.0293,-80.97846,83.20249960522051,-0.019440968,-5.479967e-05,1.5227452e-05,1.485304e-05,2.0,40,0.014227991,8.144106e-06,0,1.951360023775391e-08,2.0
112,112,5242039.0,253.53429,1905.1549,1921.9508,-82.41973,83.6184923449473,-0.019477561,-7.058217e-06,1.5936377e-05,1.5659058e-05,2.0,40,0.019634629,1.0215989e-05,0,1.634747448147047e-08,2.0
113,113,4536288.0,235.89218,2227.931,2240.3843,-83.95607,84.9864854766347,-0.01947648,-2.196114e-05,1.5747724e-05,1.557314e-05,2.0,40,0.018212557,8.129211e-06,0,1.6038969105495107e-08,2.0
114,114,3925558.5,257.59415,2533.2234,2546.2866,-84.19376,85.53848523614579,-0.019488478,-1.1374674e-05,1.6004613e-05,1.5840817e-05,2.0,40,0.02050153,8.05154e-06,0,2.2457000996088025e-08,2.0
115,115,3397055.0,276.99295,2879.1135,2892.4072,-84.504616,85.95449770925916,-0.019442476,-6.276275e-05,1.6272668e-05,1.6123431e-05,2.0,40,0.021309048,7.3672363e-06,0,2.4446271870919746e-08,2.0
116,116,2939708.2,224.53825,3277.5916,3285.2737,-86.080956,86.50650634881458,-0.019558404,-4.183169e-05,1.6518137e-05,1.6440978e-05,2.0,40,0.020389142,6.206223e-06,0,2.124974854431826e-08,2.0
117,117,2543924.5,257.79303,3649.905,3658.9976,-85.95991,87.05849370834767,-0.019531537,-3.139406e-05,1.7140928e-05,1.7055845e-05,2.0,40,0.020686459,5.6535864e-06,0,1.3678948879729684e-08,2.0
118,118,2201436.2,544.7263,4396.0786,4429.699,-82.93638,87.6104993346089,-0.019515233,-1.7086528e-05,1.6445556e-05,1.6196866e-05,2.0,40,0.020873168,4.712096e-06,0,1.0306296551576703e-08,2.0
119,119,1905053.1,443.11035,4947.544,4967.347,-84.88215,88.16249357411289,-0.019526245,-3.5673304e-05,1.6885868e-05,1.6751499e-05,2.0,40,0.020335369,4.0938085e-06,0,2.121860926753014e-09,2.0
120,120,1648567.4,178.07329,5712.219,5714.994,-88.21443,88.88149696830078,-0.01940173,-9.562964e-06,1.690085e-05,1.6884444e-05,2.0,41,0.018820882,3.293246e-06,0,-1.01217024314436e-09,2.0
121,121,1426616.2,418.3553,6882.1387,6894.843,-86.521355,89.2974886946904,-0.019486671,-7.184945e-06,1.6210244e-05,1.6150563e-05,2.0,41,0.021767192,3.157025e-06,0,-6.558902071917869e-10,2.0
122,122,1234551.2,-272.95905,8020.366,8025.01,-91.94921,89.8495027476165,-0.019597512,3.59335e-06,1.6073735e-05,1.6055139e-05,2.0,41,0.02098243,2.6146297e-06,0,-5.316663793934535e-10,2.0
123,123,1068345.5,472.66293,9061.894,9074.212,-87.01419,90.40150200048811,-0.019574556,3.168772e-06,1.6439533e-05,1.639493e-05,2.0,41,0.020892667,2.3024222e-06,0,-1.398915306119106e-09,2.0
124,124,924510.06,417.35846,10522.184,10530.458,-87.72858,90.95350200004759,-0.019647427,8.205966e-06,1.6360727e-05,1.6335027e-05,2.0,41,0.020280689,1.9259076e-06,0,-1.3181615739051485e-09,2.0
125,125,800039.0,1469.3037,10571.271,10672.893,-82.08714,91.50548210626584,-0.019668331,1.0390303e-05,1.8818359e-05,1.846171e-05,2.0,41,0.02110701,1.977628e-06,0,-1.9479757593621687e-09,2.0
126,126,692334.1,1918.8922,14795.015,14918.935,-82.61007,92.05748690580367,-0.019555219,-1.052788e-06,1.5537782e-05,1.5280733e-05,2.0,41,0.020314822,1.3616805e-06,0,-2.874400483886122e-09,2.0
127,127,599122.25,929.42773,15892.635,15919.789,-86.65306,92.60949506537872,-0.019560695,3.4518225e-06,1.6715092e-05,1.665812e-05,2.0,41,0.02048289,1.2866308e-06,0,-4.575287480259149e-09,2.0
128,128,518454.94,801.1679,18456.059,18473.44,-87.51438,93.16150719826692,-0.019577147,2.5446144e-07,1.6632983e-05,1.66017e-05,2.0,41,0.020560537,1.1129782e-06,0,-3.3738950164292133e-09,2.0
129,129,448662.03,2042.4042,20790.717,20890.795,-84.38947,93.71349773110705,-0.019406034,-8.400949e-06,1.7062055e-05,1.6898974e-05,2.0,41,0.020169847,9.654897e-07,0,-3.4658924354109802e-09,2.0
130,130,388258.97,2770.454,24657.543,24812.695,-83.58929,94.26550274403417,-0.01957996,5.0253648e-06,1.662451e-05,1.6417256e-05,2.0,41,0.021035219,8.477603e-07,0,-4.108049943521566e-09,2.0
131,131,335983.9,5931.1436,29689.088,30275.74,-78.70245,94.81750269021722,-0.01966714,7.839118e-06,1.5955293e-05,1.5342954e-05,2.0,41,0.020563975,6.7922286e-07,0,-3.6058851948915165e-09,2.0
132,132,290751.2,2556.379,32375.592,32476.361,-85.48529,95.36948207646492,-0.019553298,1.1296839e-06,1.690756e-05,1.6802798e-05,2.0,41,0.020587359,6.3391826e-07,0,-4.033785003919574e-09,2.0
133,133,251605.19,5983.1724,36619.62,37105.188,-80.720604,95.92150348934229,-0.01953137,-8.1442954e-07,1.7273753e-05,1.6824615e-05,2.0,41,0.020482294,5.520062e-07,0,-3.946835742330161e-09,2.0
134,134,217729.38,5534.9614,43126.64,43480.375,-82.68652,96.47349098222912,-0.01943033,-8.913048e-06,1.6949523e-05,1.667486e-05,2.0,41,0.020192185,4.643977e-07,0,-5.96919688564511e-09,2.0
135,135,188418.58,9336.395,49508.38,50381.027,-79.320465,97.02549983511562,-0.019418834,-9.475427e-06,1.7061519e-05,1.6475593e-05,2.0,41,0.020912878,4.1509432e-07,0,-6.420072764327618e-09,2.0
136,136,163051.14,9797.246,55116.824,55980.805,-79.920715,97.74449834923143,-0.019555032,-4.2509112e-07,1.7709737e-05,1.716731e-05,2.0,42,0.0190998,3.411848e-07,0,-6.18099256443827e-09,2.0
137,137,141098.2,12465.063,63934.4,65138.2,-78.96764,98.16049351569382,-0.019505117,-6.389074e-07,1.764266e-05,1.6996586e-05,2.0,42,0.020931335,3.2133732e-07,0,-6.296326205848067e-09,2.0
138,138,122105.11,3117.9658,64841.688,64916.61,-87.24701,98.71250167521066,-0.019569881,-5.189615e-07,2.0101665e-05,2.0055291e-05,2.0,42,0.0199427,3.072049e-07,0,-5.958843355471465e-09,2.0
139,139,105663.59,21974.047,84715.914,87519.4,-75.458786,99.12850558830542,-0.01953189,-8.447148e-07,1.7779917e-05,1.6659083e-05,2.0,42,0.021655383,2.4743522e-07,0,-5.981153121793555e-09,2.0
140,140,91439.65,28575.953,96653.305,100789.12,-73.529465,99.68049257455277,-0.019567588,-4.6904626e-07,1.800814e-05,1.656056e-05,2.0,42,0.020404518,2.0244762e-07,0,-6.05418626775172e-09,2.0
141,141,79127.08,33986.74,102411.43,107903.66,-71.640816,100.09649528763839,-0.019519202,-6.513859e-07,1.964023e-05,1.7691764e-05,2.0,42,0.021317989,1.9756503e-07,0,-6.096069196537761e-09,2.0
142,142,68475.36,48558.574,115799.484,125568.53,-67.25008,100.6484909405408,-0.019580724,-1.2019768e-07,2.007147e-05,1.7069893e-05,2.0,42,0.02024474,1.6122463e-07,0,-6.152159565394437e-09,2.0
143,143,59252.523,60809.453,127889.15,141610.11,-64.56958,101.06448797360645,-0.019462282,-1.2827775e-06,2.1002916e-05,1.7130043e-05,2.0,42,0.020906793,1.476363e-07,0,-6.263117159606047e-09,2.0
144,144,51282.285,71794.08,140739.39,157993.56,-62.97293,101.48049034006544,-0.019525891,-3.9212446e-07,2.2051448e-05,1.749805e-05,2.0,42,0.02145285,1.3578307e-07,0,-6.245638212447465e-09,2.0
145,145,44369.8,95766.54,155701.19,182795.22,-58.40573,101.8964871064818,-0.019554732,-5.645931e-07,2.3037785e-05,1.6714559e-05,2.0,42,0.021905772,1.1983778e-07,0,-6.278296351555844e-09,2.0
146,146,38403.727,117735.336,155777.9,195264.86,-52.918385,102.44850774601218,-0.019605318,-3.1874146e-07,2.660363e-05,1.693185e-05,2.0,42,0.020172747,1.0330967e-07,0,-6.3237076220634434e-09,2.0
147,147,33226.32,130482.68,166821.16,211790.06,-51.968513,102.86448253909475,-0.019582681,-1.3118655e-07,2.871354e-05,1.7814673e-05,2.0,42,0.020315822,9.592434e-08,0,-6.4055293747108265e-09,2.0
148,148,28754.086,155373.88,176535.08,235171.6,-48.648014,103.28050069216988,-0.019532971,-4.2006207e-07,3.1353753e-05,1.7667775e-05,2.0,42,0.020446418,8.694255e-08,0,-6.416077247595729e-09,2.0
149,149,24884.947,190413.84,179563.2,261725.77,-43.320118,103.69649999195826,-0.019531015,-8.858762e-07,3.5617715e-05,1.6765163e-05,2.0,42,0.020620825,7.8787906e-08,0,-6.424299969106823e-09,2.0
150,150,21553.963,206197.39,171340.05,268094.72,-39.72494,104.11348643843667,-0.019589221,-2.1872472e-07,4.3095715e-05,1.760254e-05,2.0,42,0.02043876,7.6237086e-08,0,-6.4904429577348214e-09,2.0
151,151,18631.234,226377.73,171683.8,284116.53,-37.176506,104.52948440486216,-0.019483598,-7.649992e-07,4.9756425e-05,1.816832e-05,2.0,42,0.020367872,7.168845e-08,0,-6.5342196012250715e-09,2.0
152,152,16126.037,247133.69,161322.78,295127.25,-33.135513,104.94548407793627,-0.019546553,-3.5859935e-07,6.117821e-05,1.827972e-05,2.0,42,0.02015425,6.8290035e-08,0,-6.672159373795604e-09,2.0
153,153,13954.87,265495.06,116604.35,289972.75,-23.710888,105.36150519104558,-0.019555181,-1.8724826e-07,9.780917e-05,1.581593e-05,2.0,42,0.019984594,6.8918865e-08,0,-6.7227141232805276e-09,2.0
154,154,12080.609,264903.84,108582.3,286293.84,-22.288393,105.77748486414202,-0.019561384,-7.1154506e-07,0.000121331126,1.7452847e-05,2.0,42,0.019158982,6.692069e-08,0,-6.719370689291182e-09,2.0
155,155,10447.592,301290.75,128934.766,327719.84,-23.168083,106.1934836039145,-0.019567346,-4.364857e-08,0.00011815005,1.8288096e-05,2.0,42,0.019093309,5.826107e-08,0,-6.7869318844432e-09,2.0
156,156,9045.586,307594.03,114430.8,328189.72,-20.406153,106.62525541105424,-0.01956841,-1.3826389e-07,0.00015375899,1.8692888e-05,2.0,42,0.02157145,6.57286e-08,0,-6.833875752375423e-09,2.0
157,157,7827.7437,315029.47,110593.22,333877.88,-19.343967,107.10593826058903,-0.019555163,-6.4132826e-07,0.00018384636,2.0171434e-05,2.0,42,0.021574995,6.461942e-08,0,-6.892623963692736e-09,2.0
158,158,6770.8345,328504.56,94454.266,341814.06,-16.041428,107.64440561950323,-0.01966643,-2.6326918e-08,0.00024886074,1.9002891e-05,2.0,42,0.021680107,6.342661e-08,0,-6.928902646810108e-09,2.0
159,159,5860.798,325275.44,87113.15,336738.5,-14.992745,108.24998404827784,-0.019610442,1.3200827e-06,0.00031173075,2.086227e-05,2.0,42,0.021540953,6.396938e-08,0,-7.281477123187151e-09,2.0
160,160,5071.625,334557.34,82871.5,344668.4,-13.912414,108.93068370728724,-0.019571315,9.1197634e-08,0.00037867602,2.1891487e-05,2.0,42,0.021610523,6.2699456e-08,0,-7.34542995734956e-09,2.0
161,161,4388.5933,341675.2,82382.67,351466.7,-13.556069,109.61082437958976,-0.019572414,1.1671405e-07,0.000440209,2.4185905e-05,2.0,42,0.021746956,6.187487e-08,0,-7.285630777584176e-09,2.0
162,162,3798.7827,341803.34,78573.76,350718.34,-12.946236,110.290818411886,-0.019485796,-5.387039e-07,0.0005332099,2.676309e-05,2.0,42,0.02164237,6.170869e-08,0,-7.306949781930201e-09,2.0
163,163,3286.0488,343103.8,72256.945,350629.84,-11.892586,110.97068881751329,-0.019523693,-3.2316245e-09,0.00067029585,2.84661e-05,2.0,42,0.021637775,6.171116e-08,0,-7.3593481570591495e-09,2.0
164,164,2844.088,353064.06,74775.39,360895.53,-11.957964,111.65081487648422,-0.019518439,-3.0104727e-07,0.00074837357,3.2127195e-05,2.0,42,0.021696737,6.011916e-08,0,-7.369158000305218e-09,2.0
165,165,2460.7852,352970.66,68286.31,359515.38,-10.949277,112.33070562877401,-0.019584395,9.5295164e-08,0.0009471369,3.4170014e-05,2.0,42,0.021596001,6.006976e-08,0,-7.3322463126026035e-09,2.0
166,166,2129.3164,376863.53,70105.12,383328.66,-10.537857,113.2618358329928,-0.019523079,-2.9296308e-07,0.0010661791,3.5660472e-05,2.0,43,0.021372356,5.575465e-08,0,-7.393508040049173e-09,2.0
167,167,1843.2289,381633.5,66663.83,387412.2,-9.908467,113.94194330528262,-0.019374676,-3.8371246e-07,0.0012952412,3.8351693e-05,2.0,43,0.021468116,5.5414148e-08,0,-7.475244030418042e-09,2.0
168,168,1594.4913,383273.06,70910.42,389777.53,-10.481927,114.62183576426469,-0.019546963,-3.1009608e-07,0.001407628,4.658804e-05,2.0,43,0.021410765,5.4930734e-08,0,-7.545154126526417e-09,2.0
