True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,52.50812,1357.8025,1358.8174,-87.78539,2.4684996905562,-0.02106057,-6.434412e-05,1.6744969e-05,1.6719965e-05,1.0,40,0.010045242,7.3926353e-06,0,5.285152737441321e-09,1.0
1,1,6057573.0,341.31506,1629.6034,1664.9634,-78.170586,3.0204863567778375,-0.021180632,-1.7867975e-05,1.6122767e-05,1.5445217e-05,1.0,40,0.014211741,8.535768e-06,0,7.131635133880031e-10,1.0
2,2,5242039.0,254.331,1797.6241,1815.5266,-81.94714,3.4364828832040075,-0.021057662,-4.131075e-05,1.6889662e-05,1.6558217e-05,1.0,40,0.019575957,1.0782523e-05,0,-4.98938453678319e-09,1.0
3,3,4536288.0,260.02383,2122.0054,2137.8772,-83.013985,4.8044811348372605,-0.021151492,-4.026884e-05,1.6533813e-05,1.6289227e-05,1.0,40,0.019365467,9.058269e-06,0,-5.021175300776627e-09,1.0
4,4,3925558.5,292.45563,2377.6704,2395.589,-82.987785,5.220477581286104,-0.021032378,-8.134954e-05,1.7051674e-05,1.679754e-05,1.0,40,0.0184932,7.719687e-06,0,-1.1259909197270367e-08,1.0
5,5,3397055.0,374.78455,2681.7043,2707.7668,-82.0441,5.636493414378492,-0.02113571,-6.730248e-05,1.7470553e-05,1.713586e-05,1.0,40,0.019349013,7.1457457e-06,0,-1.3297054648991965e-08,1.0
6,6,2939708.2,368.10782,3079.5737,3101.496,-83.183655,6.05249180746614,-0.021199524,-1.0239738e-05,1.758026e-05,1.7332612e-05,1.0,40,0.021184908,6.830545e-06,0,-1.4733697919852931e-08,1.0
7,7,2543924.5,320.6559,3444.4946,3459.3877,-84.68153,6.604491486999905,-0.021213144,-4.0250234e-05,1.8163119e-05,1.8007066e-05,1.0,40,0.020744901,5.9966974e-06,0,-1.4571871490378245e-08,1.0
8,8,2201436.2,586.421,4139.335,4180.668,-81.93655,7.156491193192778,-0.021162782,-4.1980536e-05,1.7465598e-05,1.712195e-05,1.0,40,0.020905582,5.0005365e-06,0,-1.5697341963285934e-08,1.0
9,9,1905053.1,634.6219,4713.4253,4755.9565,-82.33173,7.708480952744139,-0.021118233,-6.886532e-05,1.7724598e-05,1.7409004e-05,1.0,40,0.020198755,4.2470438e-06,0,-2.2273157788406353e-08,1.0
10,10,1648567.4,701.7493,5406.0903,5451.4463,-82.60395,8.4274779202824,-0.021086784,-1.0002438e-05,1.785789e-05,1.7561972e-05,1.0,41,0.01900661,3.486526e-06,0,-2.9123407222701617e-08,1.0
11,11,1426616.2,745.9882,6478.4575,6521.266,-83.43137,8.843498500034912,-0.021162484,-4.1384196e-06,1.7220325e-05,1.6994984e-05,1.0,41,0.021936784,3.3638842e-06,0,-2.9420893276466132e-08,1.0
12,12,1234551.2,212.41676,7581.9526,7584.9277,-88.39522,9.395478312886553,-0.02126071,8.8387753e-07,1.700317e-05,1.6989836e-05,1.0,41,0.020910071,2.7567924e-06,0,-2.97911963837502e-08,1.0
13,13,1068345.5,1197.3674,8494.641,8578.613,-81.97669,9.947500312438933,-0.021244148,1.453704e-06,1.7537328e-05,1.7195676e-05,1.0,41,0.020737834,2.4173876e-06,0,-3.0764750585656014e-08,1.0
14,14,924510.06,1944.5056,10242.435,10425.381,-79.25044,10.49949428535183,-0.02112265,-8.559235e-06,1.6807584e-05,1.6222875e-05,1.0,41,0.020420887,1.9587665e-06,0,-3.092856361376701e-08,1.0
15,15,800039.0,-150.30038,16151.691,16152.391,-90.53315,11.051482258219039,-0.021199618,-2.5872248e-06,1.2316603e-05,1.2315537e-05,1.0,41,0.022092067,1.3677274e-06,0,-2.9402084577122247e-08,1.0
16,16,692334.1,3585.0151,13504.388,13972.145,-75.13259,11.603489884437295,-0.021161478,-3.4363798e-06,1.7022741e-05,1.5902051e-05,1.0,41,0.020508189,1.4677911e-06,0,-2.9690940496484092e-08,1.0
