True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,66.19027,1387.5668,1389.1447,-87.26892,2.4684860905690584,-0.019058552,-1.47979745e-05,1.6385777e-05,1.6348575e-05,1.0,40,0.010079633,7.256e-06,0,-1.0725696539238705e-09,1.0
1,1,6057573.0,301.54617,1597.3595,1625.573,-79.30963,3.020485796761932,-0.019143233,-2.4866685e-07,1.6448217e-05,1.588222e-05,1.0,40,0.014179941,8.723042e-06,0,-6.485966185083372e-09,1.0
2,2,5242039.0,267.5604,1767.3727,1787.5107,-81.39143,3.436503069853643,-0.019138575,4.7157875e-05,1.7178758e-05,1.6793867e-05,1.0,40,0.019639136,1.0986863e-05,0,-6.8979481763259775e-09,1.0
3,3,4536288.0,235.46704,2137.204,2150.1362,-83.712776,4.940485434635775,-0.019095741,-9.067603e-06,1.6416234e-05,1.6219354e-05,1.0,40,0.021066869,9.797923e-06,0,-6.925900109510823e-09,1.0
4,4,3925558.5,324.67355,2401.8857,2423.7302,-82.301735,5.3565023077244405,-0.019116292,-2.6631093e-05,1.6879763e-05,1.6576867e-05,1.0,40,0.019225495,7.932193e-06,0,-2.299383999525162e-08,1.0
5,5,3397055.0,335.86386,2700.9336,2721.736,-82.9116,5.772487260837806,-0.019199183,3.7297024e-05,1.7346172e-05,1.7082028e-05,1.0,40,0.020210132,7.4254563e-06,0,-2.1288976348197743e-08,1.0
6,6,2939708.2,390.09915,3102.063,3126.495,-82.832405,6.3244792603945825,-0.019057881,-5.091112e-05,1.7452807e-05,1.71811e-05,1.0,40,0.020472001,6.5479076e-06,0,-2.8477727616569206e-08,1.0
7,7,2543924.5,509.5121,3544.8738,3581.3032,-81.82078,6.87650016657426,-0.01918616,-3.304995e-05,1.7648797e-05,1.7291573e-05,1.0,40,0.020657737,5.7682178e-06,0,-3.026031692974761e-08,1.0
8,8,2201436.2,497.1158,4077.2466,4107.44,-83.04855,7.428496886132052,-0.019225528,2.4677404e-06,1.7731563e-05,1.7471837e-05,1.0,40,0.020519607,4.995717e-06,0,-3.1049946455861267e-08,1.0
9,9,1905053.1,577.82916,4789.2173,4823.9497,-83.1204,7.98048285904224,-0.019104311,-8.062914e-06,1.7444096e-05,1.7193806e-05,1.0,40,0.020767173,4.3050145e-06,0,-3.644758343158274e-08,1.0
10,10,1648567.4,440.90067,5480.3535,5498.0605,-85.4004,8.699484733195277,-0.019199202,7.013694e-07,1.7615901e-05,1.7502616e-05,1.0,41,0.01903268,3.4617078e-06,0,-2.9832751374731475e-08,1.0
