True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,-39.545567,1104.027,1104.735,-92.05142,82.65748925934895,-0.016995292,-4.0324565e-05,2.0594027e-05,2.0567639e-05,2.0,40,0.009916944,8.976764e-06,0,-1.7461307006409183e-08,2.0
111,111,6057573.0,287.50604,1583.849,1609.732,-79.71149,83.20948768555536,-0.017106542,2.8385024e-05,1.6588523e-05,1.6059354e-05,2.0,40,0.01424212,8.84751e-06,0,-1.9648364389725317e-08,2.0
112,112,5242039.0,311.22095,1803.9797,1830.6287,-80.21173,83.62550130530144,-0.017105537,-3.169699e-06,1.683016e-05,1.6343723e-05,2.0,40,0.019654252,1.073634e-05,0,-1.8835320876523927e-08,2.0
113,113,4536288.0,304.74554,1996.5624,2019.6859,-81.32163,84.99348971692962,-0.017031753,-4.1087475e-05,1.7572625e-05,1.7172548e-05,2.0,40,0.02076791,1.0282743e-05,0,-3.724985270559156e-08,2.0
114,114,3925558.5,368.84302,2364.2136,2392.8125,-81.13271,85.40948659004061,-0.017025774,-5.4520573e-05,1.714873e-05,1.6741256e-05,2.0,40,0.019048028,7.960518e-06,0,-3.8714771199937676e-08,2.0
115,115,3397055.0,382.38992,2659.0872,2686.4412,-81.81668,85.82550116980565,-0.01718226,2.1445236e-05,1.7619152e-05,1.7262173e-05,2.0,40,0.01993616,7.4210297e-06,0,-5.3055121893614535e-08,2.0
116,116,2939708.2,448.5576,3036.0347,3068.9917,-81.59566,86.24249196294113,-0.01711487,-2.9012583e-05,1.7832375e-05,1.7451437e-05,2.0,40,0.021685302,7.065937e-06,0,-5.632138724721041e-08,2.0
117,117,2543924.5,470.9225,3517.161,3548.5474,-82.37386,86.79449089584523,-0.017207116,4.607359e-06,1.778786e-05,1.7474587e-05,2.0,40,0.02082279,5.8679757e-06,0,-5.9088209420284106e-08,2.0
118,118,2201436.2,488.1243,3949.4937,3979.5435,-82.95445,87.34650177534786,-0.017079862,-3.7552458e-05,1.830512e-05,1.8029717e-05,2.0,40,0.020354882,5.1148786e-06,0,-7.232453497068035e-08,2.0
119,119,1905053.1,780.0266,4485.5034,4552.8213,-80.13495,87.89848220159183,-0.017078446,-5.161813e-05,1.8625238e-05,1.8078526e-05,2.0,40,0.02055388,4.5145366e-06,0,-7.80880491075347e-08,2.0
120,120,1648567.4,731.5949,5590.1313,5637.801,-82.54393,88.6174913024006,-0.017105872,-3.04161e-06,1.7269964e-05,1.6979153e-05,2.0,41,0.019178946,3.4018487e-06,0,-8.233492799848779e-08,2.0
121,121,1426616.2,764.5472,6332.1064,6378.0957,-83.11536,89.1694855686219,-0.01709702,-1.8758742e-06,1.7618331e-05,1.7365173e-05,2.0,41,0.020210443,3.1687268e-06,0,-8.299306998613037e-08,2.0
122,122,1234551.2,1251.2904,7235.3633,7342.7656,-80.18826,89.72149556819932,-0.017074049,-5.0471635e-06,1.781766e-05,1.7300235e-05,2.0,41,0.020819668,2.8353986e-06,0,-8.399741505957042e-08,2.0
