True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,729.89655,1497.2698,1665.7028,-64.01146,2.4654953970748466,-0.025536703,-1.9430709e-05,1.5185213e-05,1.22694755e-05,1.0,40,0.009970481,5.9857502e-06,0,4.0666373751668695e-09,1.0
1,1,6057573.0,837.32776,1445.9645,1670.9072,-59.925766,3.01749624995864,-0.025477994,-5.0408795e-05,1.8170374e-05,1.3607378e-05,1.0,40,0.014045101,8.405674e-06,0,7.039247542542802e-10,1.0
2,2,5242039.0,861.8564,1789.7673,1986.4701,-64.28702,3.4334881363611203,-0.025505122,-4.7004007e-05,1.6963806e-05,1.3770586e-05,1.0,40,0.019473825,9.803231e-06,0,-2.5129758888498246e-09,1.0
3,3,4536288.0,1099.1439,2049.286,2325.444,-61.79291,4.801502068032278,-0.025608696,2.1277769e-05,1.7120521e-05,1.3295671e-05,1.0,40,0.01888094,8.119283e-06,0,-2.2015349486537162e-10,1.0
4,4,3925558.5,1313.3291,2153.3477,2522.2488,-58.620937,5.217485341097927,-0.02561203,1.2756514e-05,1.8828014e-05,1.372325e-05,1.0,40,0.018076325,7.166749e-06,0,1.4707726704727974e-09,1.0
5,5,3397055.0,1601.5237,2280.6938,2786.8337,-54.923126,5.6334940542292316,-0.025574766,-1.6640004e-05,2.0542371e-05,1.3758226e-05,1.0,40,0.019001469,6.8183003e-06,0,-7.229080878232707e-10,1.0
6,6,2939708.2,1864.3894,2510.3806,3126.9727,-53.39976,6.049489753990201,-0.025468435,-8.696837e-05,2.1566335e-05,1.389976e-05,1.0,40,0.020757398,6.6381767e-06,0,-7.287435772190697e-10,1.0
7,7,2543924.5,2187.8672,2629.0027,3420.295,-50.232628,6.601493006834062,-0.025551626,-3.0166104e-05,2.3797147e-05,1.4059822e-05,1.0,40,0.02073348,6.061898e-06,0,-3.1739906972426802e-09,1.0
8,8,2201436.2,2501.8691,2745.966,3714.792,-47.663128,7.153487433068221,-0.025650132,1.541708e-05,2.632806e-05,1.4386004e-05,1.0,40,0.020699374,5.572149e-06,0,-8.626168938805436e-09,1.0
9,9,1905053.1,2781.277,2762.3208,3919.9385,-44.804077,7.705501939315582,-0.02562727,9.519177e-06,3.0243978e-05,1.5018572e-05,1.0,40,0.020398661,5.2038217e-06,0,-8.695373257667586e-09,1.0
10,10,1648567.4,3297.545,2818.9163,4338.213,-40.525578,8.257479245512513,-0.02558399,-2.3672825e-05,3.424769e-05,1.4460186e-05,1.0,40,0.019829474,4.5708853e-06,0,-1.1964227701837003e-08,1.0
11,11,1426616.2,3702.3013,2734.4358,4602.627,-36.448734,8.809503378375666,-0.025672378,1.7891598e-05,4.0798597e-05,1.4400221e-05,1.0,40,0.02055319,4.465535e-06,0,-1.137332908787414e-08,1.0
12,12,1234551.2,4070.191,2604.2283,4832.0244,-32.612312,9.361502977932105,-0.025627308,3.056188e-05,4.950305e-05,1.4379103e-05,1.0,40,0.020512942,4.2452066e-06,0,-1.1450069647633793e-08,1.0
13,13,1068345.5,4337.784,2417.0132,4965.715,-29.126549,9.913494950829772,-0.025551738,-3.8929255e-05,6.1635285e-05,1.4602389e-05,1.0,40,0.020891896,4.2072284e-06,0,-9.940683802977585e-09,1.0
14,14,924510.06,4701.415,2256.4583,5214.8735,-25.638819,10.465494763717288,-0.025692351,5.1841203e-06,7.629239e-05,1.4283947e-05,1.0,40,0.020316353,3.895848e-06,0,-1.192494791528039e-08,1.0
15,15,800039.0,5064.1914,1983.3771,5438.7334,-21.387661,11.183491757808952,-0.025632283,-9.261748e-07,0.000100300625,1.3338859e-05,1.0,41,0.020135224,3.7021898e-06,0,-1.7841003500695113e-08,1.0
16,16,692334.1,5286.1235,2007.2325,5654.386,-20.792637,11.735493944055634,-0.025632357,-3.1908817e-07,0.000114526694,1.4432154e-05,1.0,41,0.020422192,3.6117435e-06,0,-1.801568196525791e-08,1.0
17,17,599122.25,5418.651,1798.5977,5709.3545,-18.36241,12.287502343620872,-0.025706436,5.5933333e-06,0.00014769666,1.4657662e-05,1.0,41,0.020661687,3.6189183e-06,0,-1.8194365775591513e-08,1.0
18,18,518454.94,5535.371,1576.6332,5755.5283,-15.898479,12.83948087648605,-0.02554218,-9.5946025e-06,0.0001947056,1.4610645e-05,1.0,41,0.020112136,3.4944032e-06,0,-1.912287295416901e-08,1.0
19,19,448662.03,5719.1826,1410.322,5890.506,-13.852482,13.39148743604892,-0.025658367,4.0123437e-06,0.00025152578,1.4418295e-05,1.0,41,0.020367192,3.4576303e-06,0,-1.8949149571374354e-08,1.0
20,20,388258.97,5981.8184,1294.4032,6120.264,-12.209958,13.943480102258036,-0.025676366,8.083073e-06,0.00031668614,1.4165369e-05,1.0,41,0.02024696,3.308184e-06,0,-1.766855780545187e-08,1.0
21,21,335983.9,5756.019,1302.3141,5901.5063,-12.748674,14.359488282032544,-0.02572002,7.377312e-06,0.00036373566,1.7712979e-05,1.0,41,0.0217923,3.6926674e-06,0,-1.7231900600019716e-08,1.0
22,22,290751.2,5957.646,923.78516,6028.8413,-8.81402,14.91150337489671,-0.025567053,-1.1142247e-06,0.0005925536,1.3912395e-05,1.0,41,0.02086012,3.4600546e-06,0,-1.7511040712957677e-08,1.0
23,23,251605.19,5995.8423,855.65967,6056.59,-8.121775,15.46350046779844,-0.02555906,-4.4251788e-06,0.00073926384,1.4755206e-05,1.0,41,0.020204002,3.335871e-06,0,-1.8327276268304143e-08,1.0
24,24,217729.38,6020.7554,708.66797,6062.3184,-6.713064,15.879491634230362,-0.025779642,1.2988064e-05,0.0010314788,1.4095109e-05,1.0,41,0.021714315,3.58185e-06,0,-1.8523911510848104e-08,1.0
25,25,188418.58,6033.9863,608.71814,6064.613,-5.7606006,16.431498140416807,-0.025560811,-6.231488e-06,0.0013876507,1.3979978e-05,1.0,41,0.020424088,3.3677481e-06,0,-1.8185459100450886e-08,1.0
26,26,163051.14,6060.793,546.6193,6085.3926,-5.1535296,16.84748914683587,-0.025550826,-3.7417399e-06,0.0017857116,1.4408013e-05,1.0,41,0.02171292,3.5680393e-06,0,-1.651262678146755e-08,1.0
27,27,141098.2,6076.116,444.88028,6092.381,-4.1876025,17.399499546416337,-0.025491334,-6.607631e-06,0.0025354524,1.351972e-05,1.0,41,0.0202612,3.3256622e-06,0,-1.314687393738249e-08,1.0
28,28,122105.11,6097.9067,386.87766,6110.167,-3.630227,17.8154850594874,-0.025663752,4.006803e-06,0.0033690906,1.3506841e-05,1.0,41,0.02154918,3.5267742e-06,0,-1.4898547233859935e-08,1.0
29,29,105663.59,6043.819,334.70877,6053.08,-3.169822,18.367479379026918,-0.025643388,4.107361e-06,0.0045001567,1.3759702e-05,1.0,41,0.020277087,3.349879e-06,0,-1.481604877228272e-08,1.0
30,30,91439.65,6056.031,276.4013,6062.335,-2.6132042,18.783503398793982,-0.02560752,-8.925901e-07,0.006297171,1.3090186e-05,1.0,41,0.021573657,3.5586384e-06,0,-1.4834648642276547e-08,1.0
31,31,79127.08,6063.3667,206.31467,6066.876,-1.9488184,19.335503078385955,-0.025639847,4.0980503e-06,0.009749109,1.1274437e-05,1.0,41,0.020548979,3.3870774e-06,0,-2.0957217310184875e-08,1.0
32,32,68475.36,6054.071,196.27362,6057.2515,-1.8568848,19.75149357810733,-0.025604876,-1.5702506e-07,0.011841968,1.243359e-05,1.0,41,0.02189528,3.614722e-06,0,-1.9507370177571993e-08,1.0
33,33,59252.523,6025.8384,170.81973,6028.2593,-1.6237788,20.30350080432254,-0.025770027,1.2338203e-05,0.015724441,1.2626048e-05,1.0,41,0.020287678,3.365429e-06,0,-1.7453047412284187e-08,1.0
34,34,51282.285,6025.4834,160.95338,6027.633,-1.5301274,20.719495944067603,-0.02570394,1.0001171e-05,0.019282026,1.3748626e-05,1.0,41,0.021647958,3.5914527e-06,0,-1.9427981980535316e-08,1.0
35,35,44369.8,5986.74,160.54056,5988.8926,-1.5360767,21.27150117032579,-0.025625017,3.505884e-06,0.022343328,1.605552e-05,1.0,41,0.020300884,3.3897559e-06,0,-2.3317620958463988e-08,1.0
36,36,38403.727,6026.0127,156.22879,6028.0376,-1.4851023,21.687487643415807,-0.02558712,-2.9186178e-06,0.02652685,1.7817876e-05,1.0,41,0.02158763,3.5812038e-06,0,-2.0848701241992748e-08,1.0
37,37,33226.32,5991.6514,155.42714,5993.667,-1.4859546,22.239497749629663,-0.025607241,3.0645558e-06,0.030818466,2.0724283e-05,1.0,41,0.02032192,3.3905656e-06,0,-1.3024671803490959e-08,1.0
38,38,28754.086,5989.7983,139.36075,5991.4194,-1.3328232,22.655490462697344,-0.025447698,-1.2925965e-05,0.039717335,2.1488277e-05,1.0,41,0.021233639,3.544008e-06,0,-1.1856885630918e-08,1.0
39,39,24884.947,5985.9194,166.6461,5988.239,-1.5946844,23.2074837689579,-0.025657566,3.8280573e-06,0.03837852,2.972216e-05,1.0,41,0.020162359,3.366993e-06,0,-1.2920139146598014e-08,1.0
