True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,413.4817,2189.9756,2228.6677,-79.308044,2.4684777438815217,0.0032372347,-2.6575184e-05,1.0382016e-05,1.0024658e-05,1.0,40,0.010091532,4.528056e-06,0,-4.976661148380875e-09,1.0
1,1,6057573.0,282.67896,2411.3633,2427.8757,-83.31386,3.020480223436607,0.0030792004,3.100294e-06,1.0895794e-05,1.0748088e-05,1.0,40,0.0143303005,5.902403e-06,0,-8.157640273755836e-09,1.0
2,2,5242039.0,469.29434,3023.1206,3059.3293,-81.17612,3.436484643170843,0.003073499,-1.6528376e-05,1.0043022e-05,9.8067e-06,1.0,40,0.019921012,6.511562e-06,0,-1.1373927521251264e-08,1.0
3,3,4536288.0,317.57907,3003.6216,3020.364,-83.964424,4.804487881512614,0.0031274753,-3.4612807e-05,1.1680846e-05,1.1551707e-05,1.0,40,0.019633088,6.500239e-06,0,-1.934690551504935e-08,1.0
4,4,3925558.5,428.94232,3566.8337,3592.5332,-83.142624,5.220496514608385,0.00307553,-8.13735e-06,1.13667365e-05,1.1204693e-05,1.0,40,0.018630415,5.1858715e-06,0,-2.193758961139262e-08,1.0
5,5,3397055.0,536.5435,4123.7954,4158.5537,-82.58694,5.636480081040645,0.0030466134,1.061688e-05,1.1361101e-05,1.1171977e-05,1.0,40,0.01960349,4.7140165e-06,0,-2.7749025309415425e-08,1.0
6,6,2939708.2,414.08868,4611.703,4630.2563,-84.869125,6.052498234115774,0.0030728658,-2.086343e-05,1.1739634e-05,1.1645742e-05,1.0,40,0.021259638,4.5914603e-06,0,-3.2738946247540133e-08,1.0
7,7,2543924.5,550.96674,5184.602,5213.7954,-83.93395,6.60550100702676,0.0030416204,1.459844e-05,1.2067033e-05,1.19322785e-05,1.0,40,0.020387754,3.910348e-06,0,-3.7777461458922014e-08,1.0
8,8,2201436.2,95.0861,6313.881,6314.5967,-89.1372,7.324481174553512,0.003141449,-7.4773247e-06,1.145032e-05,1.1447724e-05,1.0,41,0.01998139,3.1643176e-06,0,-3.9611322715056e-08,1.0
9,9,1905053.1,1005.5022,6490.9575,6568.376,-81.194405,7.876489227433922,0.0030581653,-3.4888708e-07,1.28707625e-05,1.2569147e-05,1.0,41,0.020200983,3.0754911e-06,0,-4.0337957630015354e-08,1.0
10,10,1648567.4,758.10504,7959.9624,7995.982,-84.55957,8.428488560282858,0.0031737005,-1.1062006e-05,1.212837e-05,1.2019346e-05,1.0,41,0.019741442,2.4689202e-06,0,-4.0122849173400253e-08,1.0
11,11,1426616.2,414.20065,8794.984,8804.732,-87.30364,8.980480373167666,0.00307199,-5.8724726e-07,1.26846335e-05,1.2656561e-05,1.0,41,0.020640226,2.3442196e-06,0,-3.987026574214604e-08,1.0
12,12,1234551.2,878.114,10175.006,10212.827,-85.067535,9.533485092775663,0.002991799,5.3400704e-06,1.26699915e-05,1.2576324e-05,1.0,41,0.020460444,2.0034065e-06,0,-3.9835457523101544e-08,1.0
