True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,229.25073,1335.4305,1354.9652,-80.259094,2.4674806504917797,0.009775603,1.696141e-05,1.7025492e-05,1.6538113e-05,1.0,40,0.010071907,7.433333e-06,0,2.9991166855059722e-09,1.0
1,1,6057573.0,279.8906,1562.8424,1587.7075,-79.8465,3.0195006233698223,0.009801874,-7.635028e-06,1.6811495e-05,1.6289046e-05,1.0,40,0.01420745,8.948405e-06,0,6.827576113838379e-09,1.0
2,2,5242039.0,272.0576,1779.6512,1800.326,-81.30841,3.4354942164791282,0.009782982,-7.244295e-06,1.7060234e-05,1.6670647e-05,1.0,40,0.019568944,1.0869667e-05,0,6.5535598627219665e-09,1.0
3,3,4536288.0,255.20413,2030.4042,2046.3798,-82.83599,4.803502068127273,0.009747488,-1.9207557e-05,1.7279734e-05,1.7010989e-05,1.0,40,0.018356761,8.970359e-06,0,1.0430442181220517e-08,1.0
4,4,3925558.5,337.82727,2330.5493,2354.907,-81.752075,5.355478601035429,0.00978572,-2.2221624e-05,1.739644e-05,1.7038425e-05,1.0,40,0.02030974,8.6244345e-06,0,1.310394922926308e-08,1.0
5,5,3397055.0,381.85895,2655.6824,2682.9956,-81.81756,5.771482807438588,0.009741992,3.304966e-06,1.764174e-05,1.7284377e-05,1.0,40,0.021160588,7.886926e-06,0,1.3730939096679625e-08,1.0
6,6,2939708.2,421.20175,3019.4902,3048.7263,-82.05881,6.3234931269835215,0.009714641,-1.8277286e-05,1.793008e-05,1.7587845e-05,1.0,40,0.020264234,6.646787e-06,0,6.885838009629373e-09,1.0
7,7,2543924.5,511.4417,3404.2053,3442.41,-81.45589,6.875491686543683,0.009735303,1.3314664e-05,1.8378081e-05,1.7972417e-05,1.0,40,0.020839045,6.053621e-06,0,-2.2134384803141276e-09,1.0
8,8,2201436.2,517.28143,3973.5254,4007.0542,-82.58283,7.427497766067972,0.009736738,-1.124445e-05,1.8194412e-05,1.7891205e-05,1.0,40,0.020274278,5.0596464e-06,0,-4.7134288864627806e-11,1.0
9,9,1905053.1,715.8232,4556.962,4612.8413,-81.07273,7.979502272297395,0.00967719,2.4677224e-06,1.8333172e-05,1.789169e-05,1.0,40,0.020680904,4.483333e-06,0,-9.65427811135871e-09,1.0
10,10,1648567.4,759.7058,5227.5938,5282.508,-81.731316,8.532481231930433,0.009745103,-9.756014e-06,1.846765e-05,1.8085686e-05,1.0,40,0.019835742,3.754986e-06,0,-1.387178819056266e-08,1.0
11,11,1426616.2,753.649,6157.3174,6203.269,-83.02177,9.251481506071286,0.009692953,3.941071e-07,1.8118466e-05,1.785103e-05,1.0,41,0.019429533,3.1321442e-06,0,-1.133360839905764e-08,1.0
12,12,1234551.2,737.3857,7089.6187,7127.863,-84.062065,9.80350363891921,0.009714827,-2.5518461e-06,1.8183946e-05,1.798934e-05,1.0,41,0.020571578,2.8860795e-06,0,-1.2668821695996257e-08,1.0
13,13,1068345.5,1126.6752,8206.958,8283.934,-82.18313,10.355484811851056,0.009694723,7.646951e-07,1.8152072e-05,1.7816295e-05,1.0,41,0.020645728,2.4922615e-06,0,-1.387085484180438e-08,1.0
14,14,924510.06,1436.854,9434.303,9543.093,-81.34034,10.907478544715559,0.009717771,-7.1946215e-07,1.8247303e-05,1.7833641e-05,1.0,41,0.020359045,2.1333801e-06,0,-1.4227544093015373e-08,1.0
15,15,800039.0,1583.93,9866.922,9993.247,-80.88016,11.45948643758311,0.0097728465,-2.3600412e-06,2.0161704e-05,1.9655197e-05,1.0,41,0.020468144,2.0481975e-06,0,-1.4201367125333302e-08,1.0
16,16,692334.1,2293.0176,12330.4375,12541.835,-79.465385,12.011484757153085,0.009723808,1.2038124e-07,1.8643434e-05,1.8020246e-05,1.0,41,0.02038667,1.6254934e-06,0,-1.365640594661007e-08,1.0
17,17,599122.25,2865.5208,13880.674,14173.366,-78.33574,12.563501450029435,0.009702511,7.740065e-07,1.9137895e-05,1.8355628e-05,1.0,41,0.020560108,1.4506157e-06,0,-1.3270484198555564e-08,1.0
18,18,518454.94,3539.9954,15584.886,15981.872,-77.20281,13.11550075627747,0.009766175,-1.2129386e-06,1.9697245e-05,1.8730847e-05,1.0,41,0.02053668,1.2849983e-06,0,-1.4188675762527383e-08,1.0
19,19,448662.03,4736.721,18065.398,18676.059,-75.30785,13.667479315801756,0.009716671,2.1162762e-07,1.963601e-05,1.8372908e-05,1.0,41,0.020211257,1.0822014e-06,0,-1.448497357507645e-08,1.0
20,20,388258.97,6041.2026,20454.826,21328.293,-73.54583,14.219488408678444,0.0097274035,-3.6937143e-07,2.0040237e-05,1.8432414e-05,1.0,41,0.020923654,9.81028e-07,0,-1.4524235750555035e-08,1.0
21,21,335983.9,9778.886,23265.213,25236.812,-67.201904,14.77148870160454,0.009698096,1.6417818e-06,2.0360789e-05,1.7303728e-05,1.0,41,0.020798111,8.24118e-07,0,-1.4836358979408715e-08,1.0
22,22,290751.2,9085.107,25439.879,27013.453,-70.3473,15.324490594532108,0.009683525,1.5244647e-06,2.1517093e-05,1.90833e-05,1.0,41,0.020531444,7.6004517e-07,0,-1.5132186942679483e-08,1.0
