True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,205.45294,1413.8829,1428.7323,-81.732155,2.466482757095946,0.012706357,2.1594149e-05,1.6080796e-05,1.5748265e-05,1.0,40,0.010084134,7.0580986e-06,0,-2.5697242803567458e-09,1.0
1,1,6057573.0,311.38257,1618.0698,1647.7588,-79.107124,3.0185016366594937,0.012719809,-3.7465027e-06,1.623769e-05,1.5657826e-05,1.0,40,0.014233819,8.638291e-06,0,-4.541118762362986e-09,1.0
2,2,5242039.0,301.07965,1830.1946,1854.7941,-80.65812,3.434493416425539,0.0127685685,-2.0491329e-05,1.6589092e-05,1.615198e-05,1.0,40,0.019649368,1.0593827e-05,0,-5.90845605946634e-09,1.0
3,3,4536288.0,248.16289,2102.3408,2116.9368,-83.26789,4.802498628065223,0.012777474,-9.383907e-06,1.6688466e-05,1.645913e-05,1.0,40,0.019547496,9.23386e-06,0,7.209586805174695e-10,1.0
4,4,3925558.5,337.7975,2363.3752,2387.3938,-81.8658,5.218486007855972,0.012744421,-2.916144e-05,1.7154813e-05,1.6811375e-05,1.0,40,0.018524738,7.759398e-06,0,6.812967597069372e-10,1.0
5,5,3397055.0,422.16626,2671.7952,2704.9424,-81.02102,5.634503280947683,0.012696873,-3.467398e-06,1.7535347e-05,1.7108214e-05,1.0,40,0.01942727,7.1821382e-06,0,-4.0525676939435266e-10,1.0
6,6,2939708.2,461.02496,3061.5217,3096.0393,-81.436356,6.050497780699516,0.012690185,2.8770407e-06,1.768392e-05,1.7291804e-05,1.0,40,0.021202156,6.8481545e-06,0,-6.645998344936288e-10,1.0
7,7,2543924.5,439.157,3538.853,3565.9978,-82.925995,6.602497753599891,0.012717275,-1.7533068e-05,1.7678823e-05,1.7410703e-05,1.0,40,0.02085308,5.8477544e-06,0,2.72948112157994e-10,1.0
8,8,2201436.2,615.0486,4043.4553,4089.9653,-81.35106,7.15450369977043,0.012681465,1.0505252e-05,1.7879747e-05,1.7475411e-05,1.0,40,0.02067423,5.054867e-06,0,-4.577770830337613e-09,1.0
9,9,1905053.1,713.0588,4675.437,4729.4995,-81.328545,7.706494099315023,0.0126728015,-1.0183941e-05,1.7868613e-05,1.7462438e-05,1.0,40,0.020355262,4.3038935e-06,0,-5.1495746026159536e-09,1.0
10,10,1648567.4,654.36237,5548.3926,5586.846,-83.273766,8.42448786678142,0.012741757,-6.4419537e-06,1.739988e-05,1.7161183e-05,1.0,41,0.01895175,3.392209e-06,0,-4.0372834700864105e-09,1.0
11,11,1426616.2,845.2572,6334.3,6390.4473,-82.39928,8.840492499846732,0.012692756,1.3341757e-07,1.761223e-05,1.7304103e-05,1.0,41,0.021846464,3.4186126e-06,0,-4.302566533476061e-09,1.0
12,12,1234551.2,883.4277,7085.5845,7140.445,-82.89306,9.392493539402494,0.012723424,-1.9038076e-06,1.8194298e-05,1.7915798e-05,1.0,41,0.021042109,2.9468904e-06,0,-3.769615226987513e-09,1.0
13,13,1068345.5,1201.0696,8386.813,8472.379,-81.85013,9.944482658960624,0.012678428,5.9523734e-07,1.77628e-05,1.7405828e-05,1.0,41,0.020720571,2.4456615e-06,0,-3.739607492998213e-09,1.0
14,14,924510.06,1719.2638,9761.845,9912.088,-80.01146,10.497490551933879,0.012666149,4.952736e-06,1.7635046e-05,1.7104489e-05,1.0,41,0.020306326,2.0486427e-06,0,-3.03918583854094e-09,1.0
15,15,800039.0,2087.8667,11383.979,11573.856,-79.60723,11.049501404777402,0.012655958,1.8037914e-06,1.7474908e-05,1.6906233e-05,1.0,41,0.020930506,1.8084297e-06,0,-2.4683061388025687e-09,1.0
