True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,238.50096,1603.6987,1621.3365,-81.54101,82.78449241202907,0.017599963,-5.532508e-06,1.4177452e-05,1.3870668e-05,2.0,40,0.010101825,6.230554e-06,0,-3.0723099259469834e-08,2.0
111,111,6057573.0,349.91876,1809.6224,1843.1431,-79.05603,83.33649017158314,0.017598417,-3.898511e-05,1.4518893e-05,1.39955955e-05,2.0,40,0.014292038,7.754166e-06,0,-3.391282224626716e-08,2.0
112,112,5242039.0,325.64075,2094.263,2119.429,-81.16175,83.75248579130857,0.017571513,-2.1533237e-05,1.4497351e-05,1.4155114e-05,2.0,40,0.019766394,9.326283e-06,0,-3.7407468303613536e-08,2.0
113,113,4536288.0,293.9158,2368.0283,2386.1987,-82.92473,84.98449918316328,0.017596815,-1.9058712e-05,1.4816056e-05,1.4591273e-05,2.0,40,0.020874923,8.748191e-06,0,-4.095044418400167e-08,2.0
114,114,3925558.5,377.21637,2728.4954,2754.4473,-82.128716,85.40049794959486,0.017566333,-2.9514946e-05,1.4859202e-05,1.4580518e-05,2.0,40,0.01963096,7.1270047e-06,0,-4.165192115903535e-08,2.0
115,115,3397055.0,415.70602,3134.5603,3162.0056,-82.4455,85.8164885827282,0.017534472,-1.9468034e-05,1.4946549e-05,1.4688211e-05,2.0,40,0.020752769,6.563166e-06,0,-4.590793682295589e-08,2.0
116,116,2939708.2,483.94238,3532.3872,3565.3835,-82.19896,86.36848703559372,0.017537603,-1.2360773e-05,1.5326663e-05,1.5044289e-05,2.0,40,0.021011679,5.893245e-06,0,-4.613502492865409e-08,2.0
117,117,2543924.5,497.25815,4081.1838,4111.3657,-83.05323,86.92050114177982,0.017560631,-2.3840303e-05,1.5329562e-05,1.5105317e-05,2.0,40,0.020451702,4.9744303e-06,0,-4.1983548691620046e-08,2.0
118,118,2201436.2,569.4079,4720.867,4755.083,-83.12249,87.47249634136097,0.017527467,-3.5418211e-06,1.5314126e-05,1.509453e-05,2.0,40,0.021002563,4.4168655e-06,0,-4.6164481205070257e-08,2.0
119,119,1905053.1,501.93683,5591.317,5613.8013,-84.87026,88.19149954881868,0.017524635,-2.9391956e-06,1.4941664e-05,1.4822213e-05,2.0,41,0.019461961,3.4668062e-06,0,-4.7881317900743646e-08,2.0
120,120,1648567.4,492.97662,6371.6523,6390.695,-85.57582,88.74348714840016,0.017552005,-6.635985e-07,1.51517e-05,1.5061539e-05,2.0,41,0.020031415,3.134466e-06,0,-4.85909327783555e-08,2.0
121,121,1426616.2,574.45917,7383.0664,7405.3813,-85.55091,89.29548325462383,0.01751463,-1.1645249e-06,1.5110409e-05,1.501948e-05,2.0,41,0.020231182,2.7319568e-06,0,-4.805983842856105e-08,2.0
122,122,1234551.2,701.21533,8535.025,8563.782,-85.303276,89.84750181416166,0.017562663,-4.553691e-06,1.5104494e-05,1.5003224e-05,2.0,41,0.020867862,2.4367575e-06,0,-4.828622274389795e-08,2.0
123,123,1068345.5,852.8876,9720.595,9757.939,-84.985695,90.39950437369407,0.017490279,2.1907547e-07,1.5325533e-05,1.5208452e-05,2.0,41,0.02052297,2.1032074e-06,0,-4.739707348106097e-08,2.0
124,124,924510.06,856.25287,11089.808,11122.814,-85.58491,90.95148295993567,0.017513586,1.6492285e-06,1.5523316e-05,1.5431322e-05,2.0,41,0.020324193,1.8272527e-06,0,-4.8055363063171164e-08,2.0
125,125,800039.0,564.17535,12826.735,12839.137,-87.48151,91.50350306616747,0.017518114,-5.6304026e-07,1.5509322e-05,1.5479376e-05,2.0,41,0.020585794,1.6033628e-06,0,-4.829436205924983e-08,2.0
126,126,692334.1,1642.4136,14841.32,14931.923,-83.68506,92.05548447903129,0.017548857,-2.4270814e-06,1.5489302e-05,1.5301905e-05,2.0,41,0.020358263,1.3634053e-06,0,-4.917271269308543e-08,2.0
127,127,599122.25,2134.7725,17213.994,17345.86,-82.930626,92.60750634522992,0.017555844,-2.1667503e-07,1.543203e-05,1.51982895e-05,2.0,41,0.020595934,1.187369e-06,0,-4.970202486944291e-08,2.0
128,128,518454.94,2710.6594,19938.16,20121.578,-82.25791,93.15949053145596,0.017520629,-2.2892802e-06,1.5396572e-05,1.5117156e-05,2.0,41,0.020567581,1.0221654e-06,0,-5.0190867641152434e-08,2.0
129,129,448662.03,3244.1948,22618.377,22849.854,-81.83763,93.71150650436175,0.01754336,-4.2523953e-07,1.568337e-05,1.5367223e-05,2.0,41,0.020349342,8.905677e-07,0,-5.06232262986575e-08,2.0
130,130,388258.97,4067.1016,26062.25,26377.684,-81.13034,94.26350109060877,0.017558638,-3.386104e-06,1.572848e-05,1.5354555e-05,2.0,41,0.020902216,7.9242045e-07,0,-5.1505435673872864e-08,2.0
131,131,335983.9,6309.9385,28426.879,29118.77,-77.48492,94.81550642344519,0.017441873,3.7385942e-06,1.6663738e-05,1.5881253e-05,2.0,41,0.020563705,7.0620104e-07,0,-5.1698552555392676e-08,2.0
132,132,290751.2,6893.1626,33601.04,34300.81,-78.40678,95.36750444970676,0.017545726,-8.572646e-07,1.6290931e-05,1.563301e-05,2.0,41,0.02045823,5.964358e-07,0,-5.28846333680172e-08,2.0
133,133,251605.19,8537.891,38270.844,39211.645,-77.42375,95.91950308924424,0.017517257,-1.4252299e-06,1.6528465e-05,1.5744848e-05,2.0,41,0.020424228,5.208715e-07,0,-5.4801439861916395e-08,2.0
134,134,217729.38,10957.573,43658.926,45013.0,-75.91085,96.47149082212127,0.017560072,-3.4382467e-06,1.6742877e-05,1.5750713e-05,2.0,41,0.020283066,4.506046e-07,0,-5.490385753479722e-08,2.0
135,135,188418.58,13806.96,49050.395,50956.582,-74.27888,97.02350660835509,0.01749041,8.7828585e-07,1.7220822e-05,1.5956526e-05,2.0,41,0.020779341,4.0778522e-07,0,-5.457039667906274e-08,2.0
136,136,163051.14,15778.027,56168.746,58342.73,-74.30973,97.74250226913136,0.017524859,-1.0914981e-06,1.7378072e-05,1.6107106e-05,2.0,42,0.019282792,3.305089e-07,0,-5.395086898480213e-08,2.0
137,137,141098.2,19851.994,63316.176,66355.41,-72.591835,98.15949058227125,0.017550683,-1.4755478e-06,1.7814924e-05,1.6220367e-05,2.0,42,0.020974929,3.1609977e-07,0,-5.407779026143129e-08,2.0
138,138,122105.11,27498.678,71483.79,76590.53,-68.95906,98.7114846885379,0.017513772,-1.0466115e-06,1.8233864e-05,1.5883408e-05,2.0,42,0.020447928,2.6697722e-07,0,-5.43056231648848e-08,2.0
139,139,105663.59,31487.236,79494.875,85503.69,-68.39191,99.12750094829244,0.017479472,-1.0145761e-06,1.8947661e-05,1.6378126e-05,2.0,42,0.021855215,2.5560553e-07,0,-5.4422887248530495e-08,2.0
140,140,91439.65,39267.902,86766.15,95238.3,-65.64984,99.67949137449614,0.017526684,-1.3740411e-06,2.00602e-05,1.664994e-05,2.0,42,0.02040118,2.1421194e-07,0,-5.4531724111529834e-08,2.0
141,141,79127.08,47270.61,94452.266,105620.74,-63.41337,100.09548811425338,0.017547552,-1.426005e-06,2.1295245e-05,1.7029777e-05,2.0,42,0.021373132,2.0235734e-07,0,-5.4700431062874106e-08,2.0
142,142,68475.36,60779.05,104841.76,121185.34,-59.898197,100.64750174045912,0.017503023,-1.0579729e-06,2.2169275e-05,1.6592809e-05,2.0,42,0.020286463,1.674003e-07,0,-5.4886079848912634e-08,2.0
143,143,59252.523,73152.81,110852.45,132814.16,-56.57872,101.06349314688123,0.017549621,-1.4710778e-06,2.423081e-05,1.68799e-05,2.0,42,0.02091136,1.5744828e-07,0,-5.505547585736576e-08,2.0
144,144,51282.285,85094.8,120434.22,147463.64,-54.75625,101.47948761997395,0.017556645,-1.4239562e-06,2.5769315e-05,1.7188293e-05,2.0,42,0.021465423,1.4556417e-07,0,-5.515201800029779e-08,2.0
145,145,44369.8,103498.875,123169.05,160880.8,-49.959686,101.89550585308461,0.017471833,-8.8271037e-07,2.9122662e-05,1.7069697e-05,2.0,42,0.021830328,1.3569256e-07,0,-5.516912256722289e-08,2.0
146,146,38403.727,122428.27,127394.24,176686.1,-46.138775,102.44750849265256,0.017558564,-1.3880098e-06,3.2530967e-05,1.6911878e-05,2.0,42,0.020235244,1.1452653e-07,0,-5.54444700984757e-08,2.0
147,147,33226.32,138880.5,125403.95,187120.14,-42.080868,102.86348941907636,0.01754295,-1.0479151e-06,3.8196773e-05,1.7155684e-05,2.0,42,0.02040944,1.0907132e-07,0,-5.55434307910245e-08,2.0
148,148,28754.086,156397.7,123649.49,199372.61,-38.33023,103.27950642546057,0.017526815,-1.3457307e-06,4.4763932e-05,1.7217968e-05,2.0,42,0.020499201,1.0281855e-07,0,-5.563960201447513e-08,2.0
149,149,24884.947,174100.28,120353.26,211650.22,-34.6556,103.69549868526519,0.017593572,-1.4338276e-06,5.3140488e-05,1.718319e-05,2.0,42,0.020574674,9.721074e-08,0,-5.573563536128232e-08,2.0
150,150,21553.963,187159.03,113430.62,218849.28,-31.218605,104.11249161171145,0.017491769,-9.901772e-07,6.509726e-05,1.7487713e-05,2.0,42,0.020494789,9.364796e-08,0,-5.589495158833192e-08,2.0
151,151,18631.234,199889.5,107330.266,226882.34,-28.233484,104.52850445816875,0.017563036,-1.3222631e-06,7.958959e-05,1.7811451e-05,2.0,42,0.020397833,8.9904894e-08,0,-5.603011100919354e-08,2.0
