True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,196.05821,1591.5852,1603.6154,-82.97744,82.82749236075324,-0.013435885,-1.1988576e-05,1.4285356e-05,1.4071826e-05,2.0,40,0.010151832,6.3305906e-06,0,-2.7264687735576367e-08,2.0
111,111,6057573.0,331.74417,1813.4413,1843.5356,-79.633156,83.37950353362248,-0.013422005,-1.197564e-06,1.448832e-05,1.4019158e-05,2.0,40,0.014327618,7.771815e-06,0,-2.8691675556229277e-08,2.0
112,112,5242039.0,355.61017,2047.3893,2078.0427,-80.14662,83.79549174002022,-0.013389399,-8.769941e-06,1.4829259e-05,1.439499e-05,2.0,40,0.019831007,9.543119e-06,0,-3.113314207961872e-08,2.0
113,113,4536288.0,317.62137,2319.853,2341.4956,-82.20386,85.29949927816051,-0.01338612,-4.525511e-05,1.5123735e-05,1.4845447e-05,2.0,40,0.018772433,8.017283e-06,0,-5.580764664863914e-08,2.0
114,114,3925558.5,424.26062,2694.7637,2727.9568,-81.05286,85.71548860459006,-0.013454331,-1.1951467e-05,1.50452015e-05,1.4681295e-05,2.0,40,0.018356904,6.729177e-06,0,-5.984093149186896e-08,2.0
115,115,3397055.0,462.10754,3006.0017,3041.3137,-81.26044,86.13148214432294,-0.013450065,-1.764471e-05,1.5585772e-05,1.5225948e-05,2.0,40,0.019470131,6.401882e-06,0,-6.152686226566731e-08,2.0
116,116,2939708.2,487.48404,3388.0737,3422.9644,-81.81234,86.5474981640873,-0.013447512,-1.1932847e-05,1.5979494e-05,1.5655394e-05,2.0,40,0.021405846,6.2535987e-06,0,-6.07535388008513e-08,2.0
117,117,2543924.5,597.7847,3867.0618,3912.993,-81.21256,87.09949541700189,-0.013421111,-2.8938177e-05,1.6178372e-05,1.5800793e-05,2.0,40,0.02050284,5.239682e-06,0,-6.420731926725567e-08,2.0
118,118,2201436.2,661.34595,4439.2915,4488.283,-81.52665,87.65149890983594,-0.013516952,-4.6023224e-06,1.6285472e-05,1.5931886e-05,2.0,40,0.020969262,4.6720006e-06,0,-6.694753419992594e-08,2.0
119,119,1905053.1,773.09753,5174.5215,5231.955,-81.5026,88.2034996560833,-0.01347941,-1.0300938e-06,1.6145179e-05,1.5792657e-05,2.0,40,0.020550936,3.927965e-06,0,-7.016267239048249e-08,2.0
120,120,1648567.4,804.8298,6128.042,6180.6675,-82.51785,88.92250275690458,-0.013473373,-4.427077e-06,1.575403e-05,1.5486898e-05,2.0,41,0.018879768,3.0546487e-06,0,-7.341199155739591e-08,2.0
121,121,1426616.2,867.4342,7116.7783,7169.4473,-83.050735,89.33848288332229,-0.0134365745,-2.5835036e-06,1.5675792e-05,1.5446321e-05,2.0,41,0.021797806,3.0403746e-06,0,-7.306629755964246e-08,2.0
122,122,1234551.2,1161.2534,8219.41,8301.037,-81.95837,89.89050410952768,-0.013488147,-6.0773186e-07,1.5684487e-05,1.5377542e-05,2.0,41,0.02109918,2.5417523e-06,0,-7.244716081945372e-08,2.0
123,123,1068345.5,1311.6783,9352.394,9443.928,-82.01631,90.44250232240302,-0.013440376,-5.432639e-06,1.5928896e-05,1.5621614e-05,2.0,41,0.020597026,2.1809808e-06,0,-7.218567759305314e-08,2.0
124,124,924510.06,1846.8427,10964.167,11118.623,-80.43865,90.99449925529188,-0.013472422,-1.1105208e-06,1.57012e-05,1.5267999e-05,2.0,41,0.02047483,1.8414898e-06,0,-7.220226034608382e-08,2.0
125,125,800039.0,1759.8793,13065.204,13183.199,-82.32845,91.54650658820174,-0.013533143,2.6250111e-06,1.5226242e-05,1.49549005e-05,2.0,41,0.02052278,1.5567375e-06,0,-7.255766753791251e-08,2.0
126,126,692334.1,3119.5222,13964.233,14308.433,-77.40724,92.0984861877223,-0.013471696,-2.2334148e-06,1.6462178e-05,1.5679687e-05,2.0,41,0.02025316,1.4154701e-06,0,-7.22290745498084e-08,2.0
127,127,599122.25,3652.7925,16097.111,16506.36,-77.21483,92.65048912065686,-0.013441103,-3.268787e-06,1.6502767e-05,1.5694593e-05,2.0,41,0.020534962,1.2440637e-06,0,-7.189585866074171e-08,2.0
