True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,230.95265,1425.2251,1443.8164,-80.79543,83.0754950925184,0.024460224,5.8539886e-06,1.595282e-05,1.5544632e-05,2.0,40,0.010141229,7.0239053e-06,0,5.741464359906227e-09,2.0
111,111,6057573.0,299.48196,1595.006,1622.8782,-79.36583,83.62749474539305,0.024476191,-1.6137692e-05,1.6472488e-05,1.5911532e-05,2.0,40,0.014256835,8.784908e-06,0,2.4294121159600637e-09,2.0
112,112,5242039.0,295.72052,1812.295,1836.2635,-80.73246,84.04348743180162,0.024539595,-2.4900808e-05,1.6752938e-05,1.6318445e-05,2.0,40,0.01963825,1.0694679e-05,0,7.068158288079631e-10,2.0
113,113,4536288.0,270.98077,2070.42,2088.078,-82.543396,85.4114994701522,0.024438966,-1.7328413e-05,1.6945762e-05,1.6660368e-05,2.0,40,0.018632572,8.923313e-06,0,3.6761678683379588e-09,2.0
114,114,3925558.5,333.96643,2359.5342,2383.0518,-81.94392,85.82749567655264,0.024500804,-1.556091e-05,1.718274e-05,1.684527e-05,2.0,40,0.018175017,7.626782e-06,0,1.8500059673035214e-09,2.0
115,115,3397055.0,417.8023,2643.4407,2676.2544,-81.018555,86.2434871896694,0.024427135,-1.6063252e-05,1.7723438e-05,1.7291486e-05,2.0,40,0.019287432,7.2068756e-06,0,6.172657602516236e-10,2.0
116,116,2939708.2,455.1496,3044.8374,3078.668,-81.49824,86.65950102274655,0.024416123,-7.3187102e-06,1.778082e-05,1.739219e-05,2.0,40,0.02121178,6.889921e-06,0,-1.7269860483063818e-09,2.0
117,117,2543924.5,497.11255,3493.7605,3528.9492,-81.90198,87.21149726232397,0.024409955,-1.5951615e-05,1.7906998e-05,1.7551662e-05,2.0,40,0.020670515,5.8574133e-06,0,-3.063227535236024e-09,2.0
118,118,2201436.2,616.6663,3967.9182,4015.5513,-81.16616,87.76349027515971,0.02443483,-1.9337793e-05,1.8220124e-05,1.7790428e-05,2.0,40,0.020918235,5.209306e-06,0,-5.810356630384995e-09,2.0
119,119,1905053.1,687.4161,4569.205,4620.625,-81.444275,88.31550219471683,0.024407478,-2.104949e-05,1.8284049e-05,1.787937e-05,2.0,40,0.02044443,4.424603e-06,0,-1.090624781569084e-08,2.0
120,120,1648567.4,549.9952,5492.1196,5519.59,-84.28132,89.03449497555266,0.024417743,-4.4550093e-06,1.7578162e-05,1.7403629e-05,2.0,41,0.019091906,3.4589357e-06,0,-1.619422737457733e-08,2.0
121,121,1426616.2,707.6363,6270.858,6310.658,-83.56168,89.45048760864302,0.02440623,1.9859438e-07,1.7790413e-05,1.7566717e-05,2.0,41,0.021977343,3.4825753e-06,0,-1.520816933778472e-08,2.0
