True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,183.18602,1525.3846,1536.3448,-83.15205,2.465481263730908,0.006874717,2.2208127e-05,1.490533e-05,1.4693421e-05,1.0,40,0.010174813,6.6227403e-06,0,4.311553593652207e-09,1.0
1,1,6057573.0,274.91202,1704.9237,1726.9457,-80.84013,3.0174994499830063,0.0069196005,-1.6919119e-05,1.5410495e-05,1.5019971e-05,1.0,40,0.014304324,8.283019e-06,0,3.3249401482117317e-10,1.0
2,2,5242039.0,266.52527,1939.6357,1957.8617,-82.17599,3.4334992830699775,0.0069555975,-1.4723662e-05,1.5653077e-05,1.5363e-05,1.0,40,0.019816179,1.0121337e-05,0,-1.8593968697789225e-09,1.0
3,3,4536288.0,236.1037,2196.9048,2209.5554,-83.865906,4.938484101177892,0.0069612614,-3.1431304e-05,1.5970123e-05,1.5787777e-05,1.0,40,0.018921716,8.563586e-06,0,-4.907043753380296e-09,1.0
4,4,3925558.5,292.88757,2513.0178,2530.028,-83.35227,5.354480280977441,0.0068571847,1.2025503e-06,1.6133296e-05,1.5917085e-05,1.0,40,0.018476965,7.3030674e-06,0,-5.681713524773436e-09,1.0
5,5,3397055.0,299.3948,2849.0557,2864.7434,-84.00105,5.770494380703894,0.00683587,4.7747862e-06,1.6444346e-05,1.6264736e-05,1.0,40,0.019543283,6.822001e-06,0,-6.917260582915061e-09,1.0
6,6,2939708.2,345.9101,3254.6553,3272.9856,-83.93329,6.186490133841289,0.0068763006,-5.70004e-06,1.6634543e-05,1.6448743e-05,1.0,40,0.021436634,6.5495656e-06,0,-7.151104682179721e-09,1.0
7,7,2543924.5,332.3756,3816.9434,3831.3875,-85.02329,6.738491680036532,0.0068555637,-8.825749e-06,1.6390803e-05,1.626745e-05,1.0,40,0.020569254,5.3686176e-06,0,-7.330114055908628e-09,1.0
8,8,2201436.2,342.3967,4140.81,4154.942,-85.27306,7.2905028529057745,0.0068271873,2.8770432e-06,1.7459375e-05,1.7340812e-05,1.0,40,0.020900482,5.0302706e-06,0,-1.1437120249537556e-08,1.0
9,9,1905053.1,423.90002,5004.8765,5022.796,-85.15875,7.842491279152455,0.006859942,-1.3346858e-05,1.6692435e-05,1.6573542e-05,1.0,40,0.020600364,4.1013736e-06,0,-1.693654746340043e-08,1.0
