True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,219.02287,1358.4443,1375.9877,-80.84099,2.46749011715292,0.007637668,2.6989712e-05,1.6737056e-05,1.6312995e-05,1.0,40,0.01009879,7.3393026e-06,0,6.558345155939252e-09,1.0
1,1,6057573.0,337.37354,1541.498,1577.9851,-77.654854,3.0194981167151127,0.0076680747,-3.7837165e-06,1.7044275e-05,1.6265172e-05,1.0,40,0.01421235,9.006644e-06,0,6.803375866619869e-09,1.0
2,2,5242039.0,331.36487,1768.5859,1799.3607,-79.388016,3.435490909818327,0.007705003,-7.635009e-06,1.7166973e-05,1.6584776e-05,1.0,40,0.019626908,1.0907712e-05,0,5.879306133123584e-09,1.0
3,3,4536288.0,329.9284,2032.4867,2059.0908,-80.77975,4.803477721434319,0.007651921,1.7793144e-06,1.7262028e-05,1.6818847e-05,1.0,40,0.018313231,8.893843e-06,0,-8.470432232400072e-09,1.0
4,4,3925558.5,366.91785,2299.189,2328.2822,-80.93286,5.355499427678296,0.007649555,-8.43503e-06,1.7633722e-05,1.7195789e-05,1.0,40,0.020508016,8.808217e-06,0,-1.1760547519315878e-08,1.0
5,5,3397055.0,475.72812,2600.8477,2643.998,-79.63446,5.7714957940916065,0.007625688,3.565441e-06,1.8013689e-05,1.7430515e-05,1.0,40,0.021302762,8.057026e-06,0,-1.2852289698836709e-08,1.0
6,6,2939708.2,513.83936,2971.064,3015.1704,-80.187874,6.3234862470126245,0.0076086954,8.365628e-06,1.8222328e-05,1.769311e-05,1.0,40,0.020256666,6.7182496e-06,0,-1.307758307523146e-08,1.0
7,7,2543924.5,571.73444,3420.674,3468.125,-80.511246,6.875483579846332,0.0076147323,3.286363e-06,1.82896e-05,1.7792547e-05,1.0,40,0.020744115,5.9813633e-06,0,-1.7020752862486512e-08,1.0
8,8,2201436.2,743.85205,3874.6846,3945.44,-79.13272,7.427477979421383,0.007582462,3.3607819e-06,1.865854e-05,1.7995317e-05,1.0,40,0.020328263,5.152344e-06,0,-1.9437088840946773e-08,1.0
9,9,1905053.1,787.57025,4461.5557,4530.5347,-79.98907,7.979481232323451,0.00755403,6.9888347e-06,1.8725212e-05,1.8159355e-05,1.0,40,0.020615228,4.5502857e-06,0,-1.899221601480071e-08,1.0
10,10,1648567.4,842.2581,5279.467,5346.2295,-80.93572,8.69849086648901,0.0075938646,-2.5779323e-06,1.8286197e-05,1.7832339e-05,1.0,41,0.019001251,3.5541407e-06,0,-2.0187835006977492e-08,1.0
11,11,1426616.2,1019.9087,6014.713,6100.5723,-80.37596,9.114497659582412,0.007572643,2.1687427e-08,1.8548042e-05,1.8029627e-05,1.0,41,0.021856805,3.5827468e-06,0,-2.044516116369108e-08,1.0
12,12,1234551.2,1366.2505,6800.614,6936.4966,-78.640434,9.66649627246079,0.007587884,-1.5704769e-06,1.8956705e-05,1.8221275e-05,1.0,41,0.020997742,3.0271394e-06,0,-1.949999200978662e-08,1.0
13,13,1068345.5,1625.6741,7873.4185,8039.4985,-78.333725,10.218499925307697,0.0075458135,3.021657e-06,1.8921044e-05,1.8147375e-05,1.0,41,0.020729518,2.578459e-06,0,-2.039517101426232e-08,1.0
14,14,924510.06,1943.0259,8912.026,9121.38,-77.700676,10.77049312487361,0.0076161297,-3.069533e-06,1.931666e-05,1.8440125e-05,1.0,41,0.020100623,2.2036822e-06,0,-2.1061568732887004e-08,1.0
15,15,800039.0,2639.154,10765.817,11084.582,-76.22602,11.32248472442734,0.0075738356,2.0328396e-06,1.8478298e-05,1.74308e-05,1.0,41,0.020805692,1.8769939e-06,0,-1.977943612003151e-08,1.0
16,16,692334.1,3390.316,11732.064,12212.107,-73.881836,11.874484350642888,0.0076052113,2.5952177e-06,1.9594308e-05,1.8084129e-05,1.0,41,0.020530153,1.681131e-06,0,-1.848313628952446e-08,1.0
17,17,599122.25,3895.5154,13157.156,13721.728,-73.507256,12.426486750220647,0.0075915917,1.2954171e-06,2.0190295e-05,1.8563042e-05,1.0,41,0.020629156,1.5033935e-06,0,-1.8166489985159413e-08,1.0
18,18,518454.94,4859.254,14778.49,15556.867,-71.798836,12.978481923084473,0.007563644,3.2544299e-06,2.0772035e-05,1.8745408e-05,1.0,41,0.020462342,1.3153253e-06,0,-1.7099142617929096e-08,1.0
