True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,142.25833,1409.7444,1416.9039,-84.23775,2.468473530578194,-0.013710946,1.478458e-05,1.6128002e-05,1.5965426e-05,1.0,40,0.010116253,7.1396885e-06,0,-1.606161091189051e-09,1.0
1,1,6057573.0,230.85287,1587.2161,1603.9164,-81.72463,3.020479983446421,-0.013688327,-7.5606094e-06,1.6553333e-05,1.6210413e-05,1.0,40,0.014279057,8.90262e-06,0,-2.3028021241265781e-10,1.0
2,2,5242039.0,223.83806,1818.5397,1832.2637,-82.98295,3.4364951498864684,-0.013653859,3.5468327e-06,1.669541e-05,1.6446244e-05,1.0,40,0.019711284,1.0757886e-05,0,-4.2470916668612013e-10,1.0
3,3,4536288.0,230.76822,2043.7667,2056.754,-83.55784,4.804483321524458,-0.013672881,-1.2658458e-05,1.7166754e-05,1.6950644e-05,1.0,40,0.019393243,9.4290535e-06,0,-2.7767493036523975e-09,1.0
4,4,3925558.5,254.35942,2349.3296,2363.059,-83.82072,5.220481821248541,-0.013688662,-5.1977004e-06,1.7257375e-05,1.7057424e-05,1.0,40,0.01849312,7.825924e-06,0,-7.19618997340553e-09,1.0
5,5,3397055.0,305.21774,2684.0469,2701.3452,-83.51245,5.636480001005111,-0.013747725,1.2161128e-05,1.7455306e-05,1.7232467e-05,1.0,40,0.019441497,7.1969685e-06,0,-9.070154417208363e-09,1.0
6,6,2939708.2,305.1935,3085.9082,3100.9631,-84.35187,6.052492980757961,-0.013768779,3.6026565e-06,1.7544173e-05,1.7374236e-05,1.0,40,0.02124987,6.8526674e-06,0,-8.796152718888253e-09,1.0
7,7,2543924.5,348.0271,3524.7693,3541.9092,-84.36103,6.604493753664428,-0.013748899,-8.118738e-06,1.7749462e-05,1.7578093e-05,1.0,40,0.02099751,5.9283025e-06,0,-1.0311186891158287e-08,1.0
8,8,2201436.2,321.36517,4053.1426,4065.8628,-85.46662,7.156498579861363,-0.013734571,-2.6487562e-06,1.7837012e-05,1.772558e-05,1.0,40,0.020742513,5.1016264e-06,0,-5.83604523141427e-09,1.0
9,9,1905053.1,387.12247,4662.599,4678.6426,-85.25378,7.708497459447244,-0.01373539,-7.783846e-06,1.7917811e-05,1.7795139e-05,1.0,40,0.02038506,4.357046e-06,0,-8.337302312838802e-09,1.0
10,10,1648567.4,259.439,5530.7764,5536.858,-87.31432,8.427478480240097,-0.013764307,-2.8684321e-06,1.74553e-05,1.7416978e-05,1.0,41,0.018991122,3.4299458e-06,0,-8.893679059737123e-09,1.0
11,11,1426616.2,336.0719,6400.923,6409.7393,-86.99452,8.843497060035588,-0.013737738,6.3806795e-07,1.7428916e-05,1.7381004e-05,1.0,41,0.02190843,3.417991e-06,0,-9.356483994524625e-09,1.0
12,12,1234551.2,343.43073,7379.329,7387.3164,-87.3354,9.395503219595412,-0.013814706,2.5225927e-06,1.7470049e-05,1.743229e-05,1.0,41,0.02096227,2.8376028e-06,0,-9.07232412607881e-09,1.0
13,13,1068345.5,469.96014,8435.833,8448.914,-86.81135,9.947482472431147,-0.013769114,2.518869e-06,1.7659584e-05,1.7604942e-05,1.0,41,0.020780133,2.4595033e-06,0,-9.857466235931472e-09,1.0
14,14,924510.06,453.53238,9967.378,9977.69,-87.394745,10.499497405340662,-0.013714523,2.824266e-06,1.72714e-05,1.7235718e-05,1.0,41,0.020430556,2.0476236e-06,0,-9.349978124370118e-09,1.0
15,15,800039.0,-341.6047,10530.42,10535.959,-91.85801,11.051491351536242,-0.013706568,-6.859422e-07,1.8891362e-05,1.8871504e-05,1.0,41,0.02063037,1.9580914e-06,0,-1.0313720452715971e-08,1.0
16,16,692334.1,426.25018,13075.599,13082.544,-88.13288,11.603502791112987,-0.013760059,2.9155117e-06,1.758097e-05,1.7562308e-05,1.0,41,0.020324763,1.5535788e-06,0,-1.084511096284244e-08,1.0
17,17,599122.25,817.14734,15151.4,15173.42,-86.91291,12.155482763977489,-0.013815209,6.060734e-06,1.7532826e-05,1.7481976e-05,1.0,41,0.020580979,1.3563837e-06,0,-1.0343974822812167e-08,1.0
18,18,518454.94,1219.8364,17445.87,17488.463,-86.00032,12.707500950229587,-0.013729988,-1.9149807e-06,1.7596103e-05,1.7510496e-05,1.0,41,0.020570112,1.1762104e-06,0,-1.0417340816780376e-08,1.0
