True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,25.342999,1556.0665,1556.273,-89.06693,82.42550295495312,-0.03892188,-3.2566128e-05,1.4611432e-05,1.4607556e-05,2.0,40,0.010157059,6.526528e-06,0,-1.6695662417185208e-08,2.0
111,111,6057573.0,263.02087,1644.4663,1665.3677,-80.91291,82.97748591451091,-0.038863525,3.3607625e-06,1.5977046e-05,1.557852e-05,2.0,40,0.014232553,8.5461925e-06,0,-1.7540969782184222e-08,2.0
112,112,5242039.0,265.47247,1912.4673,1930.8047,-82.09718,83.39348572093877,-0.038822386,-2.4956616e-05,1.5875445e-05,1.5575328e-05,2.0,40,0.019683829,1.0194624e-05,0,-5.209335053860946e-09,2.0
113,113,4536288.0,227.47632,2152.1086,2164.0974,-83.96628,84.76148429259774,-0.038923632,-2.1277908e-06,1.6302542e-05,1.6122414e-05,2.0,40,0.020840807,9.630254e-06,0,-6.5553123041769785e-09,2.0
114,114,3925558.5,299.8865,2508.9185,2526.7773,-83.183876,85.17749687234755,-0.038874276,-5.191582e-05,1.6159656e-05,1.5932035e-05,2.0,40,0.01916464,7.584618e-06,0,-1.0109668532505772e-08,2.0
115,115,3397055.0,296.57465,2786.4617,2802.2,-83.924644,85.59350723875104,-0.03890224,-1.747725e-05,1.6813747e-05,1.662541e-05,2.0,40,0.019997174,7.136241e-06,0,-1.2357694580771147e-08,2.0
116,116,2939708.2,341.55487,3240.2961,3258.2478,-83.98276,86.00949000517721,-0.038950294,-4.732545e-06,1.6708258e-05,1.6524655e-05,2.0,40,0.021766672,6.6804837e-06,0,-1.3753883335703351e-08,2.0
117,117,2543924.5,339.5029,3704.465,3719.9897,-84.76364,86.56149651142186,-0.038951784,-1.03141665e-05,1.6888474e-05,1.6747807e-05,2.0,40,0.020763513,5.581605e-06,0,-1.7463076619258475e-08,2.0
118,118,2201436.2,356.73334,4392.7886,4407.2495,-85.35726,87.11350120432326,-0.038924992,-1.6751634e-05,1.6457874e-05,1.6350048e-05,2.0,40,0.020884262,4.738616e-06,0,-2.0087387434557364e-08,2.0
119,119,1905053.1,396.36157,4878.144,4894.22,-85.354774,87.66550669717253,-0.03896831,-1.6379523e-05,1.7126098e-05,1.7013774e-05,2.0,40,0.020369222,4.1618932e-06,0,-1.7066621112260342e-08,2.0
