True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,227.45236,1411.3624,1429.5729,-80.84504,2.4664868104446214,-0.04222499,7.3238302e-06,1.6109512e-05,1.570171e-05,1.0,40,0.010145614,7.096955e-06,0,1.932565560448691e-08,1.0
1,1,6057573.0,212.68486,1589.8473,1604.0104,-82.38039,3.0185004633676726,-0.042224113,-4.1310763e-05,1.6525937e-05,1.6235384e-05,1.0,40,0.014308079,8.920191e-06,0,1.5717510268195332e-08,1.0
2,2,5242039.0,196.27673,1684.6366,1696.0321,-83.35444,3.4344847231113818,-0.04217513,-7.4675404e-06,1.8022443e-05,1.7781074e-05,1.0,40,0.019579133,1.1544082e-05,0,1.6217259470093067e-08,1.0
3,3,4536288.0,207.01016,1937.9288,1948.9539,-83.90277,4.802487534732791,-0.04225221,1.1547157e-05,1.8104298e-05,1.7900049e-05,1.0,40,0.018061813,9.26744e-06,0,1.903548007034159e-09,1.0
4,4,3925558.5,221.45836,2198.8213,2209.9456,-84.24874,5.354483907605754,-0.042230036,-9.0117965e-06,1.8438634e-05,1.8253471e-05,1.0,40,0.01935016,8.755944e-06,0,-5.220444857324461e-09,1.0
5,5,3397055.0,215.67482,2477.1785,2486.5496,-85.02411,5.770483234053245,-0.04224237,6.914428e-06,1.8912993e-05,1.8770706e-05,1.0,40,0.020500988,8.244753e-06,0,-1.233164662784879e-08,1.0
6,6,2939708.2,285.99866,2842.3357,2856.6882,-84.25418,6.322478700283682,-0.042234585,-1.8859283e-06,1.9047611e-05,1.8856696e-05,1.0,40,0.02068618,7.241315e-06,0,-1.3028351275364811e-08,1.0
7,7,2543924.5,289.73782,3252.2961,3265.1765,-84.90912,6.874490673159016,-0.042298697,-1.3277682e-06,1.923649e-05,1.9085022e-05,1.0,40,0.020261087,6.205204e-06,0,-1.687176382355599e-08,1.0
8,8,2201436.2,278.77103,4014.2878,4023.9558,-86.02749,7.426493526058039,-0.042255748,-1.9728488e-05,1.800966e-05,1.7923223e-05,1.0,40,0.02112413,5.249593e-06,0,-2.0953230668662095e-08,1.0
9,9,1905053.1,332.04758,4285.729,4298.5728,-85.56972,7.9784926722350065,-0.042277176,-9.346684e-06,1.9493433e-05,1.9377117e-05,1.0,40,0.020475056,4.763222e-06,0,-1.8939824294395495e-08,1.0
10,10,1648567.4,505.83115,5136.468,5161.3145,-84.37574,8.530499098502332,-0.042380247,9.128469e-06,1.8795285e-05,1.8614757e-05,1.0,40,0.020052157,3.885087e-06,0,-2.397100739248496e-08,1.0
11,11,1426616.2,153.19237,6003.683,6005.637,-88.53834,9.24948267932632,-0.042276897,-3.1924485e-06,1.8582117e-05,1.8570028e-05,1.0,41,0.019398134,3.2299877e-06,0,-2.3557960007903173e-08,1.0
12,12,1234551.2,335.63742,6842.996,6851.222,-87.191986,9.801485078845872,-0.042358857,4.632446e-06,1.8839297e-05,1.8794084e-05,1.0,41,0.020433817,2.9825069e-06,0,-2.414760656214475e-08,1.0
13,13,1068345.5,335.42093,7930.6494,7937.7393,-87.57816,10.353490011737449,-0.04231645,7.479392e-07,1.8784502e-05,1.875096e-05,1.0,41,0.020708822,2.6089067e-06,0,-2.3826316231789076e-08,1.0
14,14,924510.06,187.47105,9189.663,9191.575,-88.831314,10.905501797940815,-0.04234315,-2.6840569e-06,1.8733068e-05,1.8725275e-05,1.0,41,0.020275787,2.2059098e-06,0,-2.324088851016231e-08,1.0
15,15,800039.0,739.3013,9647.502,9675.787,-85.61791,11.4574841974827,-0.042401597,5.01233e-06,2.0620257e-05,2.0499876e-05,1.0,41,0.02088085,2.1580518e-06,0,-2.3020334346818396e-08,1.0
16,16,692334.1,565.39215,12481.283,12494.083,-87.40632,12.00949273040169,-0.042296216,2.172504e-06,1.8418114e-05,1.8380397e-05,1.0,41,0.020311296,1.6256732e-06,0,-2.285800434692062e-08,1.0
17,17,599122.25,467.91858,14147.988,14155.724,-88.105736,12.561503609962529,-0.042255413,-1.8873689e-07,1.87763e-05,1.8755785e-05,1.0,41,0.020692803,1.4617976e-06,0,-2.2615834432773203e-08,1.0
18,18,518454.94,1384.5784,16213.968,16272.978,-85.11912,13.11348192949663,-0.042355746,4.008615e-06,1.8933017e-05,1.8795954e-05,1.0,41,0.020614753,1.2668089e-06,0,-2.2564106084764605e-08,1.0
19,19,448662.03,958.729,18614.082,18638.756,-87.05155,13.665492835716577,-0.042211592,-3.570457e-06,1.9057205e-05,1.9006782e-05,1.0,41,0.020213608,1.0844934e-06,0,-2.2396288179363763e-08,1.0
20,20,388258.97,1007.0896,21803.25,21826.496,-87.35539,14.2174956886156,-0.042243768,-1.0714102e-06,1.8800847e-05,1.876082e-05,1.0,41,0.020805761,9.532341e-07,0,-2.2119275045551175e-08,1.0
21,21,335983.9,1920.1053,26724.78,26793.668,-85.89051,14.769498861482134,-0.042164266,-7.868367e-06,1.7725051e-05,1.7634024e-05,1.0,41,0.020849178,7.7813826e-07,0,-2.3191210753830818e-08,1.0
22,22,290751.2,1916.9948,29314.537,29377.15,-86.25853,15.321478807687527,-0.04237268,6.2618506e-06,1.8673065e-05,1.8593551e-05,1.0,41,0.020536767,6.990728e-07,0,-2.4165807965613024e-08,1.0
23,23,251605.19,2759.5906,32396.086,32513.408,-85.131134,15.873487180593656,-0.04236245,-1.9991096e-07,1.9525762e-05,1.9385103e-05,1.0,41,0.020321334,6.2501397e-07,0,-2.4816533889255273e-08,1.0
24,24,217729.38,4046.2034,38069.715,38284.133,-83.93315,16.42550182013656,-0.04237365,1.8298634e-06,1.9200985e-05,1.8986508e-05,1.0,41,0.02034271,5.3136137e-07,0,-2.4307433289228204e-08,1.0
25,25,188418.58,4964.325,43701.32,43982.383,-83.51917,16.977491153025767,-0.042348664,5.6957483e-06,1.9328663e-05,1.908242e-05,1.0,41,0.020894365,4.7506217e-07,0,-2.398079414049587e-08,1.0
26,26,163051.14,5826.1084,49457.582,49799.56,-83.28152,17.529497552575776,-0.04230108,2.0570496e-06,1.9736195e-05,1.9466066e-05,1.0,41,0.020287568,4.073845e-07,0,-2.429907725316759e-08,1.0
27,27,141098.2,3980.0837,56848.383,56987.54,-85.995125,18.248504600051092,-0.042279206,-8.3149115e-07,1.9841775e-05,1.9744992e-05,1.0,42,0.018841304,3.3062148e-07,0,-2.431773777292712e-08,1.0
28,28,122105.11,7145.1777,63925.63,64323.71,-83.62234,18.664481313171564,-0.04227986,-1.1825747e-06,2.0389722e-05,2.013813e-05,1.0,42,0.0204056,3.1723295e-07,0,-2.441457701250095e-08,1.0
29,29,105663.59,7464.869,75877.41,76243.72,-84.38129,19.080503199569648,-0.042202573,-2.1391602e-06,1.9850995e-05,1.9660705e-05,1.0,42,0.021977896,2.8825843e-07,0,-2.457913009048656e-08,1.0
30,30,91439.65,9894.862,88693.02,89243.266,-83.63423,19.63248946578824,-0.042296946,-1.1848094e-06,1.9624387e-05,1.938314e-05,1.0,42,0.020468896,2.2936068e-07,0,-2.4773247683047116e-08,1.0
31,31,79127.08,11120.735,97584.32,98215.94,-83.498604,20.04848780555767,-0.04235286,-5.7297444e-07,2.0611755e-05,2.0347503e-05,1.0,42,0.021437079,2.1826476e-07,0,-2.4891894910189826e-08,1.0
32,32,68475.36,16747.111,115444.5,116652.9,-81.74589,20.60049583177897,-0.04227004,-1.162087e-06,2.013319e-05,1.9718233e-05,1.0,42,0.020325003,1.7423487e-07,0,-2.5133016621026232e-08,1.0
