True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,94.78429,1257.2417,1260.8096,-85.68859,2.4674947571766097,-0.041643362,2.1594173e-05,1.808432e-05,1.7982115e-05,1.0,40,0.010029419,7.954745e-06,0,5.487507289823649e-09,1.0
1,1,6057573.0,246.86247,1502.1959,1522.3448,-80.66775,3.019493770058034,-0.041690238,4.883234e-05,1.7490205e-05,1.7030288e-05,1.0,40,0.014152014,9.296195e-06,0,7.024562902706243e-09,1.0
2,2,5242039.0,197.76622,1705.1355,1716.5659,-83.38424,3.435482109809527,-0.04168169,1.8952116e-05,1.780578e-05,1.7569435e-05,1.0,40,0.0195671,1.139898e-05,0,5.774551263243666e-09,1.0
3,3,4536288.0,155.41614,1931.7302,1937.972,-85.400215,4.803497588116443,-0.041510295,-2.7412525e-05,1.8162391e-05,1.8045585e-05,1.0,40,0.018618805,9.607365e-06,0,-3.9720613923337725e-09,1.0
4,4,3925558.5,240.42311,2212.3418,2225.3672,-83.7978,5.355487507680664,-0.041619625,2.2258725e-06,1.8325947e-05,1.8112047e-05,1.0,40,0.019490283,8.758232e-06,0,-9.87337846923866e-10,1.0
5,5,3397055.0,267.7753,2539.959,2554.0352,-83.98182,5.771481020754436,-0.041631736,-2.5557183e-06,1.8445518e-05,1.824276e-05,1.0,40,0.020516157,8.032841e-06,0,-2.5593305301027967e-10,1.0
6,6,2939708.2,298.30692,2857.781,2873.308,-84.04081,6.323502166982507,-0.041659087,-2.21844e-05,1.8944665e-05,1.8740468e-05,1.0,40,0.020355951,7.0845e-06,0,-6.237195900300523e-09,1.0
7,7,2543924.5,240.5988,3298.8713,3307.6335,-85.8286,6.875503313232912,-0.04156084,-5.4260083e-05,1.8964898e-05,1.8864554e-05,1.0,40,0.02086485,6.30809e-06,0,-7.107784852324686e-09,1.0
8,8,2201436.2,370.6513,3778.0974,3796.2354,-84.39691,7.427482592785964,-0.04159695,-6.806528e-05,1.9135547e-05,1.895313e-05,1.0,40,0.020609202,5.4288525e-06,0,-6.4338960083129375e-09,1.0
9,9,1905053.1,372.95154,4424.912,4440.601,-85.18224,7.979489232326159,-0.041629203,-3.5840756e-05,1.8880279e-05,1.8747103e-05,1.0,40,0.020425685,4.5997567e-06,0,-1.0785587042455012e-08,1.0
10,10,1648567.4,433.8967,5103.1045,5121.5176,-85.14005,8.531497871881584,-0.041679453,2.042193e-05,1.8918163e-05,1.8782377e-05,1.0,40,0.01996914,3.899067e-06,0,-1.3608129308770522e-08,1.0
11,11,1426616.2,353.8723,6004.375,6014.794,-86.62713,9.250491852668347,-0.04168804,-1.4606223e-06,1.8579978e-05,1.8515664e-05,1.0,41,0.019474749,3.2378082e-06,0,-1.7821523391642954e-08,1.0
12,12,1234551.2,73.16174,6855.654,6856.044,-89.38858,9.802488652203465,-0.041600417,-2.5369454e-06,1.8804514e-05,1.8802373e-05,1.0,41,0.020711636,3.020931e-06,0,-1.917270030358351e-08,1.0
13,13,1068345.5,411.3918,8049.6797,8060.185,-87.074356,10.354498465108918,-0.04171701,2.7013664e-06,1.8506737e-05,1.8458524e-05,1.0,41,0.020840466,2.5856064e-06,0,-1.9240226169245033e-08,1.0
14,14,924510.06,528.19257,9483.474,9498.171,-86.81214,10.906500464683631,-0.04164694,-5.663545e-06,1.8152692e-05,1.8096558e-05,1.0,41,0.02023559,2.1304725e-06,0,-2.0043357799137437e-08,1.0
15,15,800039.0,-330.85324,9319.064,9324.936,-92.03331,11.458500624197768,-0.041540384,-1.1130904e-05,2.134699e-05,2.1320118e-05,1.0,41,0.020802157,2.2308097e-06,0,-1.9836937007029732e-08,1.0
