True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,52.409966,1926.966,1927.6786,-88.44204,2.4674793438462075,-0.029341685,-2.0788906e-05,1.1799047e-05,1.1790325e-05,1.0,40,0.0102948835,5.34056e-06,0,4.686588643368041e-10,1.0
1,1,6057573.0,276.0062,1698.2275,1720.5105,-80.76866,3.019493370054988,-0.029273102,-4.851105e-05,1.5471258e-05,1.5073105e-05,1.0,40,0.014250535,8.282736e-06,0,-9.325567844105838e-10,1.0
2,2,5242039.0,225.33113,1910.2842,1923.528,-83.27266,3.4355002431257162,-0.02921989,-9.005687e-05,1.5893587e-05,1.5675481e-05,1.0,40,0.019745423,1.0265212e-05,0,-7.2632636137591866e-09,1.0
3,3,4536288.0,191.5291,2168.0706,2176.514,-84.95155,4.804481054859934,-0.02929598,-2.6184563e-05,1.618252e-05,1.6057207e-05,1.0,40,0.021808667,1.0019999e-05,0,-4.367697179160738e-08,1.0
4,4,3925558.5,284.0625,2431.306,2447.844,-83.33604,5.220485421275953,-0.029384911,-8.7327035e-06,1.6675509e-05,1.6450944e-05,1.0,40,0.019370642,7.913348e-06,0,-4.443590595651712e-08,1.0
5,5,3397055.0,306.56097,2798.4624,2815.2036,-83.74839,5.6365006410342176,-0.029479783,-6.853562e-06,1.6741644e-05,1.654312e-05,1.0,40,0.020226248,7.1846484e-06,0,-4.702611347151257e-08,1.0
6,6,2939708.2,295.02286,3245.5159,3258.8972,-84.80599,6.052489727473585,-0.02941418,-1.9449411e-05,1.6681386e-05,1.6544678e-05,1.0,40,0.021949345,6.735206e-06,0,-5.0509490359912786e-08,1.0
7,7,2543924.5,460.98563,3680.3513,3709.1096,-82.86055,6.60449855364277,-0.029322159,-6.7079214e-05,1.6999127e-05,1.6736547e-05,1.0,40,0.020556055,5.5420455e-06,0,-5.259566372847581e-08,1.0
8,8,2201436.2,414.44296,4258.3057,4278.4263,-84.44115,7.156477566546528,-0.029487701,4.7375966e-06,1.6977634e-05,1.6818325e-05,1.0,40,0.020481795,4.7872263e-06,0,-6.081628409498939e-08,1.0
9,9,1905053.1,393.84363,4875.038,4890.921,-85.38123,7.708500019420171,-0.029446973,-9.383894e-06,1.7137008e-05,1.7025888e-05,1.0,40,0.020608786,4.213682e-06,0,-5.991737021454292e-08,1.0
10,10,1648567.4,131.79587,5728.542,5730.058,-88.68204,8.427480693586404,-0.029519506,-3.9778392e-08,1.6852695e-05,1.6843778e-05,1.0,41,0.018948765,3.3069064e-06,0,-6.309595946158374e-08,1.0
